time,Miami,pts.away,score,pts.home,Boston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Bass vs. U. Haslem (M. Smart gains possession),,,,Jump ball: B. Bass vs. U. Haslem (M. Smart gains possession)
11:44.0,,,0-2,2,A. Bradley makes 2-pt shot at rim (assist by T. Zeller)
11:17.0,U. Haslem misses 2-pt shot from 18 ft,,0-2,,
11:16.0,,,0-2,,Defensive rebound by E. Turner
10:59.0,,,0-4,2,A. Bradley makes 2-pt shot from 19 ft
10:39.0,L. Deng makes 2-pt shot from 11 ft (assist by M. Chalmers),2,2-4,,
10:24.0,,,2-4,,Turnover by A. Bradley (bad pass; steal by U. Haslem)
10:11.0,M. Chalmers misses 2-pt shot at rim,,2-4,,
10:10.0,,,2-4,,Defensive rebound by B. Bass
9:57.0,,,2-4,,E. Turner misses 2-pt shot from 18 ft
9:56.0,,,2-4,,Offensive rebound by B. Bass
9:52.0,,,2-7,3,A. Bradley makes 3-pt shot from 25 ft (assist by B. Bass)
9:33.0,H. Walker makes 3-pt shot from 25 ft (assist by G. Dragic),3,5-7,,
9:08.0,,,5-7,,E. Turner misses 2-pt shot from 19 ft
9:07.0,Defensive rebound by U. Haslem,,5-7,,
9:02.0,G. Dragic makes 2-pt shot at rim (assist by M. Chalmers),2,7-7,,
9:02.0,Shooting foul by E. Turner (drawn by G. Dragic),,7-7,,
9:02.0,G. Dragic makes free throw 1 of 1,1,8-7,,
8:53.0,,,8-9,2,B. Bass makes 2-pt shot at rim (assist by M. Smart)
8:29.0,L. Deng misses 2-pt shot from 12 ft,,8-9,,
8:28.0,,,8-9,,Defensive rebound by Team
8:18.0,,,8-9,,Shooting foul by M. Chalmers (drawn by A. Bradley)
8:18.0,,,8-9,,A. Bradley misses free throw 1 of 2
8:18.0,,,8-9,,Offensive rebound by Team
8:18.0,,,8-10,1,A. Bradley makes free throw 2 of 2
8:05.0,H. Walker makes 3-pt shot from 26 ft (assist by M. Chalmers),3,11-10,,
7:42.0,,,11-12,2,B. Bass makes 2-pt shot from 9 ft
7:26.0,Turnover by U. Haslem (3 sec),,11-12,,
7:15.0,,,11-12,,A. Bradley misses 2-pt shot from 20 ft
7:15.0,Defensive rebound by U. Haslem,,11-12,,
6:58.0,Turnover by G. Dragic (bad pass; steal by M. Smart),,11-12,,
6:47.0,T. Johnson enters the game for G. Dragic,,11-12,,
6:36.0,,,11-12,,E. Turner misses 2-pt shot from 18 ft
6:35.0,,,11-12,,Offensive rebound by T. Zeller
6:29.0,,,11-12,,Turnover by A. Bradley (bad pass)
6:21.0,,,11-12,,I. Thomas enters the game for M. Smart
6:08.0,U. Haslem makes 2-pt shot from 1 ft (assist by H. Walker),2,13-12,,
5:57.0,,,13-14,2,T. Zeller makes 2-pt shot from 8 ft (assist by E. Turner)
5:38.0,M. Chalmers misses 2-pt shot from 7 ft,,13-14,,
5:36.0,,,13-14,,Defensive rebound by B. Bass
5:31.0,,,13-14,,Boston full timeout
5:31.0,,,13-14,,K. Olynyk enters the game for T. Zeller
5:31.0,J. Ennis enters the game for H. Walker,,13-14,,
5:18.0,,,13-14,,A. Bradley misses 3-pt shot from 24 ft
5:17.0,Defensive rebound by U. Haslem,,13-14,,
4:57.0,Turnover by U. Haslem (bad pass; steal by B. Bass),,13-14,,
4:53.0,,,13-14,,Offensive charge foul by A. Bradley
4:53.0,,,13-14,,Turnover by A. Bradley (offensive foul)
4:53.0,,,13-14,,J. Crowder enters the game for E. Turner
4:37.0,,,13-14,,Personal block foul by K. Olynyk (drawn by J. Ennis)
4:28.0,T. Johnson makes 2-pt shot from 19 ft,2,15-14,,
4:17.0,Personal foul by T. Johnson (drawn by I. Thomas),,15-14,,
4:17.0,M. Beasley enters the game for U. Haslem,,15-14,,
4:05.0,,,15-14,,I. Thomas misses 3-pt shot from 25 ft
4:04.0,Defensive rebound by M. Beasley,,15-14,,
3:53.0,L. Deng misses 3-pt shot from 26 ft,,15-14,,
3:52.0,,,15-14,,Defensive rebound by A. Bradley
3:45.0,,,15-14,,Turnover by I. Thomas (lost ball; steal by L. Deng)
3:39.0,T. Johnson makes 2-pt shot at rim,2,17-14,,
3:13.0,,,17-14,,J. Crowder misses 2-pt shot from 1 ft (block by J. Ennis)
3:12.0,Defensive rebound by T. Johnson,,17-14,,
3:08.0,Shooting foul by B. Bass (drawn by J. Ennis),,17-14,,
3:08.0,J. Ennis makes free throw 1 of 2,1,18-14,,
3:08.0,G. Dragic enters the game for M. Chalmers,,18-14,,
3:08.0,,,18-14,,M. Smart enters the game for A. Bradley
3:08.0,J. Ennis misses free throw 2 of 2,,18-14,,
3:08.0,,,18-14,,Defensive rebound by K. Olynyk
2:49.0,,,18-14,,Shooting foul by M. Beasley (drawn by I. Thomas)
2:49.0,Miami full timeout,,18-14,,
2:49.0,H. Walker enters the game for L. Deng,,18-14,,
2:49.0,,,18-14,,I. Thomas misses free throw 1 of 2
2:49.0,,,18-14,,Offensive rebound by Team
2:49.0,,,18-14,,I. Thomas misses free throw 2 of 2
2:49.0,Defensive rebound by G. Dragic,,18-14,,
