time,Milwaukee,pts.away,score,pts.home,Toronto
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: L. Sanders vs. J. Valanciunas (A. Johnson gains possession),,,,Jump ball: L. Sanders vs. J. Valanciunas (A. Johnson gains possession)
11:46.0,,,0-0,,Shooting foul by J. Parker (drawn by J. Valanciunas)
11:46.0,,,0-1,1,J. Valanciunas makes free throw 1 of 2
11:46.0,,,0-2,1,J. Valanciunas makes free throw 2 of 2
11:28.0,J. Parker misses 2-pt shot from 17 ft,,0-2,,
11:27.0,,,0-2,,Defensive rebound by K. Lowry
11:20.0,,,0-2,,Turnover by K. Lowry (bad pass; steal by J. Parker)
11:11.0,B. Knight makes 3-pt shot from 22 ft (assist by K. Middleton),3,3-2,,
10:48.0,,,3-2,,D. DeRozan misses 2-pt shot from 20 ft
10:44.0,,,3-2,,Offensive rebound by K. Lowry
10:35.0,,,3-2,,Shooting foul by K. Middleton (drawn by D. DeRozan)
10:35.0,,,3-3,1,D. DeRozan makes free throw 1 of 2
10:35.0,,,3-4,1,D. DeRozan makes free throw 2 of 2
10:35.0,Turnover by K. Middleton (inbound),,3-4,,
10:27.0,,,3-4,,Turnover by D. DeRozan (bad pass)
10:16.0,J. Parker misses 2-pt shot from 5 ft (block by A. Johnson),,3-4,,
10:15.0,,,3-4,,Defensive rebound by Team
10:02.0,,,3-4,,J. Valanciunas misses 2-pt shot from 6 ft
10:01.0,Defensive rebound by J. Parker,,3-4,,
9:55.0,Turnover by J. Parker (bad pass; steal by J. Valanciunas),,3-4,,
9:38.0,,,3-4,,D. DeRozan misses 2-pt shot from 14 ft
9:37.0,Defensive rebound by B. Knight,,3-4,,
9:31.0,J. Bayless misses 3-pt shot from 23 ft,,3-4,,
9:30.0,,,3-4,,Defensive rebound by K. Lowry
9:25.0,,,3-4,,K. Lowry misses 2-pt shot from 2 ft (block by J. Parker)
9:25.0,,,3-4,,Offensive rebound by Team
9:12.0,,,3-7,3,K. Lowry makes 3-pt shot from 24 ft (assist by D. DeRozan)
8:55.0,K. Middleton misses 2-pt shot from 3 ft (block by A. Johnson),,3-7,,
8:52.0,,,3-7,,Defensive rebound by J. Valanciunas
8:42.0,,,3-7,,A. Johnson misses 2-pt shot from 10 ft
8:41.0,,,3-7,,Offensive rebound by J. Valanciunas
8:38.0,,,3-9,2,J. Valanciunas makes 2-pt shot from 2 ft
8:27.0,B. Knight makes 2-pt shot from 5 ft,2,5-9,,
8:05.0,,,5-12,3,A. Johnson makes 3-pt shot from 24 ft (assist by D. DeRozan)
7:55.0,,,5-12,,Personal foul by K. Lowry (drawn by B. Knight)
7:49.0,J. Parker makes 2-pt shot from 3 ft (assist by K. Middleton),2,7-12,,
7:28.0,,,7-15,3,T. Ross makes 3-pt shot from 24 ft (assist by K. Lowry)
7:12.0,Turnover by L. Sanders (traveling),,7-15,,
6:53.0,,,7-17,2,T. Ross makes 2-pt shot from 16 ft
6:40.0,B. Knight misses 3-pt shot from 24 ft,,7-17,,
6:40.0,,,7-17,,Defensive rebound by K. Lowry
6:29.0,,,7-17,,Turnover by D. DeRozan (lost ball; steal by J. Bayless)
6:22.0,Shooting foul by J. Valanciunas (drawn by L. Sanders),,7-17,,
6:22.0,L. Sanders misses free throw 1 of 2,,7-17,,
6:22.0,Offensive rebound by Team,,7-17,,
6:22.0,O. Mayo enters the game for J. Bayless,,7-17,,
6:22.0,L. Sanders misses free throw 2 of 2,,7-17,,
6:21.0,,,7-17,,Defensive rebound by J. Valanciunas
6:09.0,,,7-17,,T. Ross misses 2-pt shot from 12 ft
6:08.0,,,7-17,,Offensive rebound by Team
6:08.0,G. Antetokounmpo enters the game for K. Middleton,,7-17,,
6:02.0,,,7-19,2,J. Valanciunas makes 2-pt shot from 4 ft (assist by A. Johnson)
5:56.0,Milwaukee full timeout,,7-19,,
5:56.0,Z. Pachulia enters the game for L. Sanders,,7-19,,
5:50.0,Turnover by O. Mayo (bad pass; steal by T. Ross),,7-19,,
5:47.0,,,7-21,2,K. Lowry makes 2-pt shot from 3 ft (assist by T. Ross)
5:47.0,,,7-21,,Shooting foul by B. Knight (drawn by K. Lowry)
5:47.0,,,7-22,1,K. Lowry makes free throw 1 of 1
5:34.0,O. Mayo misses 2-pt shot from 22 ft,,7-22,,
5:32.0,,,7-22,,Defensive rebound by K. Lowry
5:24.0,,,7-24,2,J. Valanciunas makes 2-pt shot from 3 ft (assist by D. DeRozan)
5:05.0,J. Parker makes 2-pt shot from 1 ft,2,9-24,,
4:45.0,,,9-24,,D. DeRozan misses 2-pt shot from 12 ft
4:44.0,Defensive rebound by J. Parker,,9-24,,
4:40.0,B. Knight makes 2-pt shot from 1 ft (assist by J. Parker),2,11-24,,
4:34.0,,,11-24,,Turnover by A. Johnson (bad pass; steal by Z. Pachulia)
4:32.0,,,11-24,,Personal foul by A. Johnson (drawn by G. Antetokounmpo)
4:32.0,G. Antetokounmpo makes free throw 1 of 2,1,12-24,,
4:32.0,,,12-24,,L. Williams enters the game for T. Ross
4:32.0,,,12-24,,P. Patterson enters the game for A. Johnson
4:32.0,G. Antetokounmpo makes free throw 2 of 2,1,13-24,,
4:23.0,,,13-24,,D. DeRozan misses 2-pt shot from 4 ft
4:22.0,,,13-24,,Offensive rebound by J. Valanciunas
