time,Miami,pts.away,score,pts.home,Brooklyn
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Bosh vs. B. Lopez (K. Garnett gains possession),,,,Jump ball: C. Bosh vs. B. Lopez (K. Garnett gains possession)
11:43.0,,,0-0,,B. Lopez misses 2-pt shot from 6 ft
11:42.0,Defensive rebound by S. Williams,,0-0,,
11:22.0,Turnover by D. Granger (step out of bounds),,0-0,,
11:04.0,,,0-0,,B. Lopez misses 2-pt shot from 7 ft
11:03.0,Defensive rebound by S. Williams,,0-0,,
10:49.0,N. Cole misses 3-pt shot from 23 ft,,0-0,,
10:48.0,,,0-0,,Defensive rebound by B. Lopez
10:41.0,,,0-2,2,D. Williams makes 2-pt shot from 16 ft
10:23.0,M. Chalmers makes 2-pt shot from 17 ft (assist by S. Williams),2,2-2,,
10:06.0,,,2-2,,Turnover by B. Lopez (bad pass)
9:46.0,N. Cole misses 2-pt shot from 1 ft,,2-2,,
9:45.0,,,2-2,,Defensive rebound by K. Garnett
9:25.0,,,2-4,2,D. Williams makes 2-pt shot from 18 ft
9:05.0,D. Granger misses 3-pt shot from 24 ft,,2-4,,
9:04.0,,,2-4,,Defensive rebound by K. Garnett
8:47.0,,,2-4,,J. Johnson misses 3-pt shot from 23 ft
8:46.0,Defensive rebound by C. Bosh,,2-4,,
8:41.0,D. Granger makes 2-pt shot from 3 ft (assist by M. Chalmers),2,4-4,,
8:23.0,,,4-7,3,D. Williams makes 3-pt shot from 24 ft (assist by B. Lopez)
8:08.0,Shooting foul by B. Lopez (drawn by C. Bosh),,4-7,,
8:08.0,C. Bosh makes free throw 1 of 2,1,5-7,,
8:08.0,C. Bosh makes free throw 2 of 2,1,6-7,,
7:44.0,,,6-9,2,J. Johnson makes 2-pt shot from 18 ft
7:26.0,Turnover by N. Cole (lost ball; steal by D. Williams),,6-9,,
7:24.0,,,6-9,,Turnover by D. Williams (lost ball)
7:24.0,C. Andersen enters the game for S. Williams,,6-9,,
7:24.0,J. Ennis enters the game for M. Chalmers,,6-9,,
7:15.0,Turnover by C. Bosh (lost ball; steal by B. Lopez),,6-9,,
7:15.0,Loose ball foul by C. Bosh (drawn by B. Lopez),,6-9,,
6:57.0,,,6-9,,D. Williams misses 3-pt shot from 23 ft
6:56.0,Defensive rebound by C. Bosh,,6-9,,
6:35.0,N. Cole misses 2-pt shot from 20 ft,,6-9,,
6:33.0,Offensive rebound by C. Andersen,,6-9,,
6:32.0,C. Andersen makes 2-pt shot from 1 ft,2,8-9,,
6:14.0,,,8-11,2,B. Bogdanovic makes 2-pt shot from 1 ft (assist by B. Lopez)
5:46.0,C. Andersen makes 2-pt shot from 20 ft (assist by N. Cole),2,10-11,,
5:37.0,,,10-11,,Brooklyn full timeout
5:37.0,,,10-11,,M. Plumlee enters the game for K. Garnett
5:19.0,,,10-11,,B. Lopez misses 2-pt shot from 18 ft
5:18.0,,,10-11,,Offensive rebound by B. Bogdanovic
5:12.0,,,10-14,3,J. Johnson makes 3-pt shot from 27 ft (assist by B. Bogdanovic)
4:53.0,Shooting foul by B. Lopez (drawn by J. Ennis),,10-14,,
4:53.0,J. Ennis makes free throw 1 of 2,1,11-14,,
4:53.0,,,11-14,,J. Jordan enters the game for B. Lopez
4:53.0,J. Ennis makes free throw 2 of 2,1,12-14,,
4:43.0,,,12-14,,J. Johnson misses 2-pt shot from 8 ft
4:42.0,Defensive rebound by Team,,12-14,,
4:42.0,,,12-14,,Loose ball foul by J. Johnson (drawn by C. Andersen)
4:17.0,N. Cole makes 2-pt shot from 20 ft (assist by C. Bosh),2,14-14,,
4:09.0,Personal foul by N. Cole (drawn by D. Williams),,14-14,,
4:09.0,S. Williams enters the game for C. Bosh,,14-14,,
4:07.0,,,14-14,,Turnover by D. Williams (lost ball; steal by N. Cole)
4:06.0,Jump ball: N. Cole vs. D. Williams (S. Williams gains possession),,,,Jump ball: N. Cole vs. D. Williams (S. Williams gains possession)
3:52.0,Turnover by C. Andersen (bad pass; steal by D. Williams),,14-14,,
3:42.0,,,14-17,3,B. Bogdanovic makes 3-pt shot from 22 ft (assist by D. Williams)
3:37.0,Miami full timeout,,14-17,,
3:37.0,S. Napier enters the game for N. Cole,,14-17,,
3:37.0,M. Chalmers enters the game for D. Granger,,14-17,,
3:18.0,Turnover by M. Chalmers (bad pass; steal by J. Johnson),,14-17,,
3:00.0,,,14-17,,D. Williams misses 2-pt shot from 17 ft
2:59.0,,,14-17,,Offensive rebound by M. Plumlee
2:58.0,,,14-17,,M. Plumlee misses 2-pt shot at rim (block by C. Andersen)
2:57.0,Defensive rebound by Team,,14-17,,
2:37.0,S. Williams misses 3-pt shot from 22 ft,,14-17,,
2:36.0,,,14-17,,Defensive rebound by D. Williams
2:28.0,,,14-17,,D. Williams misses 2-pt shot from 8 ft
2:27.0,,,14-17,,Offensive rebound by J. Jordan
2:24.0,,,14-19,2,J. Jordan makes 2-pt shot from 3 ft
2:06.0,Shooting foul by J. Jordan (drawn by C. Andersen),,14-19,,
2:06.0,C. Andersen makes free throw 1 of 2,1,15-19,,
2:06.0,,,15-19,,J. Jack enters the game for D. Williams
2:06.0,,,15-19,,M. Teletovic enters the game for J. Jordan
2:06.0,C. Andersen misses free throw 2 of 2,,15-19,,
2:05.0,,,15-19,,Defensive rebound by J. Johnson
1:54.0,Personal foul by M. Chalmers (drawn by B. Bogdanovic),,15-19,,
1:54.0,U. Haslem enters the game for C. Andersen,,15-19,,
1:54.0,,,15-19,,A. Anderson enters the game for B. Bogdanovic
1:46.0,,,15-21,2,J. Jack makes 2-pt shot from 17 ft
1:25.0,S. Napier makes 2-pt shot from 17 ft,2,17-21,,
1:11.0,,,17-21,,Shooting foul by J. Ennis (drawn by M. Plumlee)
1:11.0,,,17-21,,M. Plumlee misses free throw 1 of 2
1:11.0,,,17-21,,Offensive rebound by Team
1:11.0,,,17-21,,M. Plumlee misses free throw 2 of 2
1:09.0,,,17-21,,Offensive rebound by M. Plumlee
0:57.0,,,17-21,,M. Plumlee misses 2-pt shot from 2 ft
0:56.0,,,17-21,,Offensive rebound by M. Plumlee
0:54.0,,,17-21,,M. Plumlee misses 2-pt shot from 2 ft
0:53.0,Defensive rebound by M. Chalmers,,17-21,,
0:42.0,,,17-21,,Personal foul by A. Anderson (drawn by M. Chalmers)
0:42.0,M. Chalmers makes free throw 1 of 2,1,18-21,,
0:42.0,M. Chalmers makes free throw 2 of 2,1,19-21,,
0:30.0,,,19-21,,J. Jack misses 2-pt shot from 22 ft
0:28.0,Defensive rebound by J. Ennis,,19-21,,
0:06.0,J. Ennis misses 3-pt shot from 23 ft,,19-21,,
0:05.0,Offensive rebound by S. Napier,,19-21,,
0:00.0,M. Chalmers misses 3-pt shot from 24 ft,,19-21,,
0:00.0,Offensive rebound by Team,,19-21,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:38.0,U. Haslem misses 2-pt shot from 1 ft,,19-21,,
11:37.0,Offensive rebound by U. Haslem,,19-21,,
11:33.0,U. Haslem misses 2-pt shot from 1 ft (block by M. Teletovic),,19-21,,
11:32.0,,,19-21,,Defensive rebound by M. Plumlee
11:15.0,,,19-21,,Turnover by A. Anderson (discontinued dribble)
11:03.0,S. Napier misses 3-pt shot from 24 ft,,19-21,,
11:01.0,,,19-21,,Defensive rebound by M. Teletovic
10:38.0,,,19-23,2,J. Jack makes 2-pt shot from 17 ft
10:26.0,Turnover by S. Napier (lost ball; steal by M. Plumlee),,19-23,,
10:22.0,,,19-25,2,M. Plumlee makes 2-pt shot at rim
10:22.0,,,19-25,,Shooting foul by M. Chalmers (drawn by M. Plumlee)
10:22.0,C. Bosh enters the game for S. Williams,,19-25,,
10:22.0,,,19-25,,M. Plumlee misses free throw 1 of 1
10:21.0,Defensive rebound by U. Haslem,,19-25,,
10:07.0,,,19-25,,Personal foul by J. Jack (drawn by M. Chalmers)
10:07.0,,,19-25,,B. Lopez enters the game for M. Plumlee
9:58.0,C. Bosh misses 2-pt shot from 1 ft,,19-25,,
9:57.0,Offensive rebound by C. Bosh,,19-25,,
9:56.0,C. Bosh misses 2-pt shot from 2 ft,,19-25,,
9:55.0,Offensive rebound by U. Haslem,,19-25,,
9:54.0,U. Haslem misses 2-pt shot from 3 ft,,19-25,,
9:53.0,,,19-25,,Defensive rebound by M. Teletovic
9:48.0,Personal foul by U. Haslem (drawn by B. Lopez),,19-25,,
9:43.0,Personal foul by C. Bosh (drawn by M. Teletovic),,19-25,,
9:33.0,,,19-25,,Turnover by A. Anderson (lost ball; steal by J. Ennis)
9:14.0,S. Napier misses 3-pt shot from 25 ft,,19-25,,
9:13.0,,,19-25,,Defensive rebound by M. Teletovic
9:02.0,,,19-27,2,B. Lopez makes 2-pt shot from 12 ft
9:01.0,Miami full timeout,,19-27,,
9:01.0,,,19-27,,K. Garnett enters the game for M. Teletovic
9:01.0,A. Dawkins enters the game for M. Chalmers,,19-27,,
8:51.0,C. Bosh makes 2-pt shot from 2 ft (assist by S. Napier),2,21-27,,
8:35.0,,,21-27,,B. Lopez misses 2-pt shot from 4 ft
8:34.0,Defensive rebound by J. Ennis,,21-27,,
8:14.0,C. Bosh misses 2-pt shot from 3 ft,,21-27,,
8:13.0,Offensive rebound by Team,,21-27,,
8:12.0,Turnover by Team (shot clock),,21-27,,
8:01.0,,,21-27,,B. Bogdanovic misses 2-pt shot from 18 ft
8:00.0,Defensive rebound by A. Dawkins,,21-27,,
7:49.0,S. Napier makes 3-pt shot from 25 ft,3,24-27,,
7:39.0,,,24-29,2,B. Lopez makes 2-pt shot from 1 ft (assist by J. Jack)
7:17.0,C. Bosh misses 2-pt shot from 3 ft (block by B. Lopez),,24-29,,
7:16.0,Offensive rebound by Team,,24-29,,
7:16.0,C. Andersen enters the game for U. Haslem,,24-29,,
7:12.0,A. Dawkins makes 3-pt shot from 24 ft (assist by J. Ennis),3,27-29,,
7:01.0,,,27-29,,J. Jack misses 2-pt shot from 20 ft
6:59.0,Defensive rebound by C. Bosh,,27-29,,
6:45.0,Turnover by S. Napier (bad pass; steal by A. Anderson),,27-29,,
6:33.0,,,27-29,,A. Anderson misses 3-pt shot from 23 ft
6:32.0,Defensive rebound by S. Napier,,27-29,,
6:30.0,J. Ennis makes 2-pt shot at rim (assist by S. Napier),2,29-29,,
6:30.0,,,29-29,,Brooklyn full timeout
6:12.0,,,29-29,,Shooting foul by C. Andersen (drawn by B. Lopez)
6:12.0,,,29-29,,B. Lopez misses free throw 1 of 2
6:12.0,,,29-29,,Offensive rebound by Team
6:12.0,,,29-29,,D. Williams enters the game for A. Anderson
6:12.0,,,29-29,,J. Johnson enters the game for J. Jack
6:12.0,,,29-30,1,B. Lopez makes free throw 2 of 2
5:50.0,Turnover by S. Napier (bad pass; steal by B. Bogdanovic),,29-30,,
5:48.0,,,29-30,,Turnover by B. Bogdanovic (lost ball; steal by S. Napier)
5:41.0,J. Ennis misses 2-pt shot from 2 ft,,29-30,,
5:40.0,,,29-30,,Defensive rebound by J. Johnson
5:22.0,,,29-32,2,K. Garnett makes 2-pt shot from 13 ft
5:09.0,Turnover by S. Napier (lost ball; steal by D. Williams),,29-32,,
5:03.0,,,29-34,2,B. Bogdanovic makes 2-pt shot at rim (assist by D. Williams)
5:00.0,Miami full timeout,,29-34,,
5:00.0,Official timeout,,29-34,,
5:00.0,M. Chalmers enters the game for S. Napier,,29-34,,
5:00.0,S. Williams enters the game for C. Bosh,,29-34,,
4:37.0,M. Chalmers makes 3-pt shot from 25 ft (assist by S. Williams),3,32-34,,
4:20.0,,,32-34,,K. Garnett misses 2-pt shot from 14 ft
4:19.0,Defensive rebound by M. Chalmers,,32-34,,
3:59.0,M. Chalmers makes 2-pt shot from 2 ft (assist by C. Andersen),2,34-34,,
3:48.0,,,34-34,,Offensive foul by D. Williams
3:48.0,,,34-34,,Turnover by D. Williams (offensive foul)
3:48.0,D. Granger enters the game for J. Ennis,,34-34,,
3:48.0,,,34-34,,M. Teletovic enters the game for K. Garnett
3:33.0,,,34-34,,Loose ball foul by B. Lopez (drawn by C. Andersen)
3:33.0,,,34-34,,M. Plumlee enters the game for B. Lopez
3:24.0,M. Chalmers misses 2-pt shot from 2 ft (block by M. Teletovic),,34-34,,
3:22.0,Offensive rebound by C. Andersen,,34-34,,
3:21.0,C. Andersen misses 2-pt shot from 2 ft,,34-34,,
3:20.0,,,34-34,,Defensive rebound by D. Williams
3:14.0,,,34-37,3,M. Teletovic makes 3-pt shot from 23 ft (assist by D. Williams)
2:51.0,A. Dawkins misses 3-pt shot from 22 ft,,34-37,,
2:50.0,,,34-37,,Defensive rebound by J. Johnson
2:43.0,Personal foul by A. Dawkins (drawn by M. Teletovic),,34-37,,
2:43.0,,,34-37,,Brooklyn full timeout
2:43.0,C. Bosh enters the game for C. Andersen,,34-37,,
2:43.0,,,34-38,1,M. Teletovic makes free throw 1 of 2
2:43.0,,,34-39,1,M. Teletovic makes free throw 2 of 2
2:24.0,C. Bosh makes 2-pt shot from 19 ft,2,36-39,,
2:12.0,,,36-39,,D. Williams misses 3-pt shot from 24 ft
2:11.0,,,36-39,,Offensive rebound by M. Plumlee
