time,Memphis,pts.away,score,pts.home,San Antonio
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Duncan vs. M. Gasol (Z. Randolph gains possession),,,,Jump ball: T. Duncan vs. M. Gasol (Z. Randolph gains possession)
11:38.0,M. Gasol makes 2-pt shot from 17 ft (assist by C. Lee),2,2-0,,
11:20.0,,,2-0,,M. Bonner misses 2-pt shot from 5 ft
11:19.0,Defensive rebound by Z. Randolph,,2-0,,
11:06.0,Z. Randolph makes 2-pt shot from 14 ft (assist by M. Conley),2,4-0,,
10:43.0,,,4-0,,K. Anderson misses 2-pt shot from 6 ft
10:42.0,Defensive rebound by Z. Randolph,,4-0,,
10:33.0,C. Lee makes 2-pt shot from 16 ft (assist by Q. Pondexter),2,6-0,,
10:12.0,,,6-0,,Shooting foul by M. Gasol (drawn by T. Duncan)
10:12.0,,,6-1,1,T. Duncan makes free throw 1 of 2
10:12.0,,,6-1,,T. Duncan misses free throw 2 of 2
10:11.0,Defensive rebound by M. Gasol,,6-1,,
9:53.0,Z. Randolph makes 2-pt shot from 17 ft,2,8-1,,
9:39.0,,,8-3,2,C. Joseph makes 2-pt shot from 8 ft
9:22.0,M. Gasol misses 2-pt shot from 16 ft,,8-3,,
9:20.0,,,8-3,,Defensive rebound by D. Green
9:13.0,,,8-3,,D. Green misses 3-pt shot from 24 ft
9:10.0,Defensive rebound by M. Conley,,8-3,,
9:06.0,,,8-3,,Personal foul by T. Duncan (drawn by M. Gasol)
8:59.0,Turnover by M. Conley (bad pass; steal by D. Green),,8-3,,
8:44.0,,,8-5,2,T. Duncan makes 2-pt shot from 1 ft
8:21.0,M. Gasol makes 2-pt shot from 6 ft,2,10-5,,
8:11.0,,,10-5,,C. Joseph misses 2-pt shot from 16 ft
8:09.0,Defensive rebound by M. Conley,,10-5,,
7:49.0,Shooting foul by T. Duncan (drawn by M. Gasol),,10-5,,
7:49.0,M. Gasol misses free throw 1 of 2,,10-5,,
7:49.0,Offensive rebound by Team,,10-5,,
7:49.0,V. Carter enters the game for Q. Pondexter,,10-5,,
7:49.0,,,10-5,,M. Ginobili enters the game for K. Anderson
7:49.0,,,10-5,,B. Diaw enters the game for M. Bonner
7:49.0,M. Gasol makes free throw 2 of 2,1,11-5,,
7:34.0,,,11-5,,T. Duncan misses 2-pt shot from 1 ft
7:32.0,,,11-5,,Offensive rebound by T. Duncan
7:32.0,,,11-5,,T. Duncan misses 2-pt shot from 1 ft
7:31.0,,,11-5,,Offensive rebound by T. Duncan
7:27.0,,,11-5,,M. Ginobili misses 2-pt shot from 15 ft
7:25.0,Defensive rebound by M. Conley,,11-5,,
7:05.0,Z. Randolph misses 2-pt shot from 11 ft,,11-5,,
7:02.0,,,11-5,,Defensive rebound by T. Duncan
6:51.0,,,11-5,,Shooting foul by V. Carter (drawn by T. Duncan)
6:51.0,,,11-6,1,T. Duncan makes free throw 1 of 2
6:51.0,K. Koufos enters the game for M. Gasol,,11-6,,
6:51.0,,,11-6,,T. Duncan misses free throw 2 of 2
6:49.0,Defensive rebound by Z. Randolph,,11-6,,
6:37.0,Shooting foul by B. Diaw (drawn by V. Carter),,11-6,,
6:37.0,V. Carter misses free throw 1 of 2,,11-6,,
6:37.0,Offensive rebound by Team,,11-6,,
6:37.0,,,11-6,,T. Splitter enters the game for T. Duncan
6:37.0,V. Carter makes free throw 2 of 2,1,12-6,,
6:27.0,Personal foul by Z. Randolph (drawn by T. Splitter),,12-6,,
6:12.0,,,12-6,,B. Diaw misses 2-pt shot from 19 ft
6:09.0,Defensive rebound by K. Koufos,,12-6,,
6:00.0,C. Lee makes 2-pt shot from 16 ft (assist by M. Conley),2,14-6,,
6:00.0,,,14-6,,San Antonio full timeout
5:46.0,,,14-6,,B. Diaw misses 3-pt shot from 22 ft
5:45.0,Defensive rebound by M. Conley,,14-6,,
5:24.0,M. Conley makes 3-pt shot from 24 ft (assist by C. Lee),3,17-6,,
5:07.0,,,17-8,2,C. Joseph makes 2-pt shot from 14 ft (assist by B. Diaw)
4:49.0,K. Koufos misses 2-pt shot from 8 ft,,17-8,,
4:48.0,,,17-8,,Defensive rebound by D. Green
4:37.0,Personal foul by C. Lee (drawn by M. Ginobili),,17-8,,
4:37.0,B. Udrih enters the game for M. Conley,,17-8,,
4:37.0,Q. Pondexter enters the game for C. Lee,,17-8,,
4:37.0,,,17-8,,M. Belinelli enters the game for C. Joseph
4:30.0,,,17-8,,T. Splitter misses 2-pt shot from 1 ft (block by K. Koufos)
4:30.0,,,17-8,,Offensive rebound by Team
4:24.0,,,17-11,3,M. Ginobili makes 3-pt shot from 25 ft
3:57.0,Q. Pondexter makes 2-pt shot from 1 ft,2,19-11,,
3:52.0,,,19-11,,Shooting foul by K. Koufos (drawn by B. Diaw)
3:52.0,,,19-12,1,B. Diaw makes free throw 1 of 2
3:52.0,,,19-13,1,B. Diaw makes free throw 2 of 2
3:33.0,Z. Randolph makes 2-pt shot from 5 ft,2,21-13,,
3:22.0,,,21-15,2,T. Splitter makes 2-pt shot from 1 ft (assist by B. Diaw)
3:02.0,K. Koufos misses 2-pt shot from 7 ft,,21-15,,
3:00.0,Offensive rebound by Z. Randolph,,21-15,,
2:58.0,Memphis full timeout,,21-15,,
2:58.0,,,21-15,,T. Duncan enters the game for B. Diaw
2:58.0,,,21-15,,C. Joseph enters the game for D. Green
2:47.0,V. Carter makes 3-pt shot from 24 ft (assist by B. Udrih),3,24-15,,
2:34.0,,,24-15,,C. Joseph misses 2-pt shot from 8 ft (block by B. Udrih)
2:32.0,Defensive rebound by B. Udrih,,24-15,,
2:28.0,K. Koufos makes 2-pt shot from 2 ft (assist by B. Udrih),2,26-15,,
2:12.0,,,26-15,,M. Ginobili misses 3-pt shot from 24 ft
2:11.0,Defensive rebound by Z. Randolph,,26-15,,
2:02.0,Z. Randolph misses 2-pt shot at rim,,26-15,,
2:01.0,,,26-15,,Defensive rebound by T. Duncan
1:52.0,,,26-15,,M. Ginobili misses 2-pt shot at rim
1:51.0,Defensive rebound by Q. Pondexter,,26-15,,
1:44.0,V. Carter makes 3-pt shot from 24 ft (assist by Q. Pondexter),3,29-15,,
1:16.0,,,29-15,,T. Splitter misses 2-pt shot from 13 ft
1:16.0,,,29-15,,Offensive rebound by Team
1:16.0,,,29-15,,Turnover by Team (shot clock)
1:16.0,J. Leuer enters the game for Z. Randolph,,29-15,,
1:16.0,,,29-15,,A. Daye enters the game for M. Belinelli
1:04.0,K. Koufos makes 2-pt shot at rim (assist by V. Carter),2,31-15,,
0:46.0,,,31-17,2,T. Duncan makes 2-pt shot from 8 ft
0:46.0,,,31-17,,Shooting foul by K. Koufos (drawn by T. Duncan)
0:46.0,,,31-17,,T. Duncan misses free throw 1 of 1
0:46.0,Defensive rebound by K. Koufos,,31-17,,
0:29.0,V. Carter makes 3-pt shot from 24 ft (assist by B. Udrih),3,34-17,,
0:08.0,,,34-19,2,T. Duncan makes 2-pt shot at rim (assist by M. Ginobili)
0:00.0,B. Udrih misses 3-pt shot from 24 ft,,34-19,,
0:00.0,,,34-19,,Defensive rebound by T. Splitter
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,,,34-19,,Turnover by C. Joseph (bad pass)
11:28.0,Q. Pondexter misses 3-pt shot from 25 ft,,34-19,,
11:27.0,,,34-19,,Defensive rebound by C. Joseph
11:08.0,,,34-19,,T. Duncan misses 2-pt shot from 10 ft
11:07.0,,,34-19,,Offensive rebound by C. Joseph
11:02.0,,,34-19,,Turnover by T. Duncan (lost ball; steal by V. Carter)
10:57.0,V. Carter misses 2-pt shot at rim (block by D. Green),,34-19,,
10:56.0,Offensive rebound by Q. Pondexter,,34-19,,
10:55.0,Q. Pondexter misses 2-pt shot at rim (block by K. Anderson),,34-19,,
10:55.0,Offensive rebound by Team,,34-19,,
10:55.0,M. Conley enters the game for Q. Pondexter,,34-19,,
10:55.0,N. Calathes enters the game for B. Udrih,,34-19,,
10:47.0,M. Conley misses 2-pt shot from 11 ft,,34-19,,
10:45.0,,,34-19,,Defensive rebound by T. Duncan
10:39.0,,,34-19,,Turnover by D. Green (lost ball; steal by J. Leuer)
10:31.0,N. Calathes misses 3-pt shot from 23 ft,,34-19,,
10:30.0,Offensive rebound by M. Gasol,,34-19,,
10:23.0,V. Carter makes 3-pt shot from 25 ft (assist by M. Conley),3,37-19,,
9:58.0,,,37-19,,D. Green misses 3-pt shot from 25 ft
9:57.0,Defensive rebound by Team,,37-19,,
9:45.0,Turnover by N. Calathes (lost ball),,37-19,,
9:26.0,,,37-19,,Shooting foul by J. Leuer (drawn by T. Duncan)
9:26.0,,,37-19,,T. Duncan misses free throw 1 of 2
9:26.0,,,37-19,,Offensive rebound by Team
9:26.0,,,37-19,,B. Diaw enters the game for M. Bonner
9:26.0,,,37-19,,T. Duncan misses free throw 2 of 2
9:26.0,Defensive rebound by J. Leuer,,37-19,,
9:07.0,J. Leuer makes 2-pt shot at rim (assist by V. Carter),2,39-19,,
8:51.0,,,39-19,,Turnover by B. Diaw (bad pass; steal by V. Carter)
8:48.0,J. Leuer misses 2-pt shot from 1 ft (block by D. Green),,39-19,,
8:48.0,Offensive rebound by Team,,39-19,,
8:48.0,Official timeout,,39-19,,
8:48.0,C. Lee enters the game for V. Carter,,39-19,,
8:35.0,C. Lee misses 2-pt shot from 8 ft,,39-19,,
8:33.0,,,39-19,,Defensive rebound by T. Duncan
8:28.0,,,39-21,2,B. Diaw makes 2-pt shot from 1 ft (assist by T. Duncan)
8:17.0,M. Conley misses 3-pt shot from 23 ft,,39-21,,
8:16.0,Offensive rebound by M. Gasol,,39-21,,
8:06.0,N. Calathes makes 2-pt shot at rim (assist by M. Gasol),2,41-21,,
8:04.0,Personal foul by N. Calathes (drawn by C. Joseph),,41-21,,
7:48.0,,,41-21,,C. Joseph misses 2-pt shot from 19 ft
7:46.0,Defensive rebound by M. Conley,,41-21,,
7:32.0,C. Lee makes 3-pt shot from 23 ft (assist by M. Conley),3,44-21,,
7:20.0,,,44-21,,B. Diaw misses 2-pt shot from 2 ft
7:19.0,,,44-21,,Offensive rebound by B. Diaw
7:19.0,,,44-21,,Shooting foul by J. Leuer (drawn by B. Diaw)
7:19.0,,,44-22,1,B. Diaw makes free throw 1 of 2
7:19.0,,,44-22,,M. Belinelli enters the game for D. Green
7:19.0,,,44-23,1,B. Diaw makes free throw 2 of 2
6:59.0,Turnover by N. Calathes (bad pass; steal by T. Duncan),,44-23,,
6:53.0,,,44-23,,Turnover by T. Duncan (bad pass; steal by M. Gasol)
6:47.0,J. Leuer misses 2-pt shot from 2 ft,,44-23,,
6:45.0,,,44-23,,Defensive rebound by T. Duncan
6:30.0,,,44-25,2,K. Anderson makes 2-pt shot from 7 ft
6:30.0,,,44-25,,Shooting foul by M. Conley (drawn by K. Anderson)
6:30.0,,,44-26,1,K. Anderson makes free throw 1 of 1
6:23.0,Memphis full timeout,,44-26,,
6:23.0,Z. Randolph enters the game for J. Leuer,,44-26,,
6:13.0,M. Gasol makes 2-pt shot from 12 ft (assist by M. Conley),2,46-26,,
5:53.0,,,46-29,3,M. Belinelli makes 3-pt shot from 25 ft (assist by T. Duncan)
5:31.0,M. Conley misses 3-pt shot from 24 ft,,46-29,,
5:30.0,,,46-29,,Defensive rebound by K. Anderson
5:15.0,,,46-29,,K. Anderson misses 2-pt shot from 6 ft
5:14.0,Defensive rebound by M. Gasol,,46-29,,
5:03.0,M. Conley misses 2-pt shot at rim,,46-29,,
5:02.0,,,46-29,,Defensive rebound by M. Belinelli
4:55.0,,,46-31,2,T. Duncan makes 2-pt shot at rim (assist by M. Belinelli)
4:25.0,N. Calathes misses 2-pt shot from 14 ft,,46-31,,
4:24.0,,,46-31,,Defensive rebound by T. Duncan
4:18.0,K. Koufos enters the game for M. Gasol,,46-31,,
4:18.0,,,46-31,,M. Ginobili enters the game for C. Joseph
4:18.0,,,46-31,,T. Splitter enters the game for T. Duncan
4:18.0,Q. Pondexter enters the game for N. Calathes,,46-31,,
4:01.0,,,46-31,,B. Diaw misses 3-pt shot from 24 ft
3:59.0,Defensive rebound by K. Koufos,,46-31,,
