time,Sacramento,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Mozgov vs. J. Thompson (B. McLemore gains possession),,,,Jump ball: T. Mozgov vs. J. Thompson (B. McLemore gains possession)
11:46.0,Turnover by J. Thompson (bad pass; steal by L. James),,0-0,,
11:41.0,,,0-2,2,L. James makes 2-pt shot at rim
11:24.0,D. Cousins misses 2-pt shot from 15 ft,,0-2,,
11:23.0,,,0-2,,Defensive rebound by K. Irving
11:21.0,Personal block foul by D. Cousins (drawn by L. James),,0-2,,
11:10.0,,,0-4,2,K. Love makes 2-pt shot from 5 ft (assist by J. Smith)
10:50.0,B. McLemore makes 3-pt shot from 25 ft (assist by D. Collison),3,3-4,,
10:32.0,,,3-4,,K. Love misses 2-pt shot from 18 ft
10:31.0,Defensive rebound by D. Cousins,,3-4,,
10:20.0,R. Gay makes 2-pt shot at rim (assist by D. Cousins),2,5-4,,
10:02.0,,,5-7,3,J. Smith makes 3-pt shot from 26 ft
9:45.0,D. Collison makes 2-pt shot at rim,2,7-7,,
9:31.0,,,7-9,2,K. Irving makes 2-pt shot from 5 ft
9:19.0,D. Collison misses 2-pt shot from 5 ft,,7-9,,
9:17.0,,,7-9,,Defensive rebound by T. Mozgov
9:06.0,,,7-11,2,K. Love makes 2-pt shot from 16 ft (assist by K. Irving)
8:44.0,D. Cousins makes 2-pt shot from 15 ft (assist by D. Collison),2,9-11,,
8:30.0,,,9-11,,Shooting foul by B. McLemore (drawn by T. Mozgov)
8:30.0,,,9-13,2,T. Mozgov makes 2-pt shot at rim (assist by L. James)
8:30.0,,,9-14,1,T. Mozgov makes free throw 1 of 1
8:16.0,B. McLemore misses 3-pt shot from 25 ft,,9-14,,
8:15.0,,,9-14,,Defensive rebound by K. Irving
8:12.0,,,9-16,2,J. Smith makes 2-pt shot at rim (assist by K. Irving)
7:50.0,J. Thompson misses 2-pt shot from 14 ft,,9-16,,
7:47.0,,,9-16,,Defensive rebound by J. Smith
