time,Denver,pts.away,score,pts.home,Milwaukee
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Henson vs. J. Nurkic (J. Nelson gains possession),,,,Jump ball: J. Henson vs. J. Nurkic (J. Nelson gains possession)
11:41.0,W. Chandler makes 3-pt shot from 23 ft,3,3-0,,
11:23.0,,,3-0,,K. Middleton misses 2-pt shot from 17 ft
11:22.0,Defensive rebound by W. Chandler,,3-0,,
11:07.0,J. Nelson misses 2-pt shot at rim,,3-0,,
11:05.0,,,3-0,,Defensive rebound by J. Dudley
10:54.0,,,3-0,,J. Dudley misses 3-pt shot from 25 ft
10:53.0,Defensive rebound by J. Nelson,,3-0,,
10:39.0,D. Gallinari misses 3-pt shot from 24 ft,,3-0,,
10:38.0,Offensive rebound by J. Nurkic,,3-0,,
10:36.0,J. Nurkic misses 2-pt shot from 1 ft (block by J. Henson),,3-0,,
10:35.0,,,3-0,,Defensive rebound by J. Bayless
10:29.0,,,3-0,,Turnover by J. Bayless (lost ball; steal by K. Faried)
10:20.0,W. Chandler misses 2-pt shot from 15 ft,,3-0,,
10:19.0,Offensive rebound by K. Faried,,3-0,,
10:19.0,K. Faried makes 2-pt shot at rim,2,5-0,,
10:19.0,Shooting foul by J. Henson (drawn by K. Faried),,5-0,,
10:19.0,K. Faried misses free throw 1 of 1,,5-0,,
10:17.0,,,5-0,,Defensive rebound by J. Henson
10:08.0,Personal foul by K. Faried (drawn by G. Antetokounmpo),,5-0,,
9:53.0,,,5-0,,Turnover by J. Henson (lost ball)
9:47.0,,,5-0,,Personal foul by K. Middleton (drawn by D. Gallinari)
9:34.0,Turnover by J. Nelson (bad pass; steal by J. Dudley),,5-0,,
9:30.0,,,5-2,2,G. Antetokounmpo makes 2-pt shot at rim (assist by K. Middleton)
9:08.0,W. Chandler misses 3-pt shot from 25 ft,,5-2,,
9:07.0,,,5-2,,Defensive rebound by J. Bayless
8:56.0,,,5-2,,G. Antetokounmpo misses 2-pt shot from 18 ft
8:54.0,Defensive rebound by D. Gallinari,,5-2,,
8:36.0,J. Nurkic makes 2-pt shot at rim (assist by W. Chandler),2,7-2,,
8:22.0,,,7-2,,J. Henson misses 2-pt shot from 1 ft (block by J. Nurkic)
8:19.0,,,7-2,,Offensive rebound by J. Henson
8:15.0,,,7-2,,Turnover by J. Henson (lost ball; steal by J. Nurkic)
8:12.0,J. Nurkic makes 2-pt shot from 1 ft (assist by D. Gallinari),2,9-2,,
7:57.0,,,9-4,2,J. Bayless makes 2-pt shot from 18 ft
7:41.0,K. Faried makes 2-pt shot from 3 ft (assist by W. Chandler),2,11-4,,
7:19.0,,,11-4,,Turnover by J. Dudley (lost ball; steal by J. Nelson)
7:09.0,Turnover by W. Chandler (bad pass; steal by J. Bayless),,11-4,,
7:06.0,,,11-4,,Offensive foul by J. Dudley
7:06.0,,,11-4,,Turnover by J. Dudley (offensive foul)
7:06.0,,,11-4,,Z. Pachulia enters the game for J. Henson
6:46.0,Turnover by W. Chandler (traveling),,11-4,,
6:35.0,,,11-4,,K. Middleton misses 2-pt shot from 17 ft
6:34.0,Defensive rebound by J. Nurkic,,11-4,,
6:23.0,D. Gallinari misses 2-pt shot at rim,,11-4,,
6:21.0,,,11-4,,Defensive rebound by G. Antetokounmpo
6:18.0,,,11-4,,Shooting foul by J. Nurkic (drawn by G. Antetokounmpo)
6:18.0,,,11-5,1,G. Antetokounmpo makes free throw 1 of 2
6:18.0,,,11-6,1,G. Antetokounmpo makes free throw 2 of 2
6:04.0,K. Faried misses 2-pt shot from 17 ft,,11-6,,
6:03.0,,,11-6,,Defensive rebound by J. Dudley
5:48.0,Violation by K. Faried (def goaltending),,11-6,,
5:48.0,,,11-8,2,J. Bayless makes 2-pt shot at rim
5:36.0,J. Nelson misses 3-pt shot from 26 ft,,11-8,,
5:35.0,,,11-8,,Defensive rebound by J. Bayless
5:21.0,,,11-8,,K. Middleton misses 3-pt shot from 26 ft
5:20.0,Defensive rebound by J. Nurkic,,11-8,,
5:07.0,K. Faried misses 2-pt shot from 3 ft,,11-8,,
5:06.0,,,11-8,,Defensive rebound by K. Middleton
5:00.0,,,11-10,2,K. Middleton makes 2-pt shot from 1 ft
4:53.0,Denver full timeout,,11-10,,
4:53.0,D. Arthur enters the game for K. Faried,,11-10,,
4:46.0,J. Nurkic makes 2-pt shot at rim,2,13-10,,
4:33.0,,,13-10,,Turnover by Z. Pachulia (dbl dribble)
4:10.0,W. Chandler makes 2-pt shot from 4 ft,2,15-10,,
3:50.0,,,15-10,,G. Antetokounmpo misses 2-pt shot at rim (block by J. Nurkic)
3:48.0,Defensive rebound by W. Chandler,,15-10,,
3:41.0,D. Arthur misses 2-pt shot from 18 ft,,15-10,,
3:40.0,,,15-10,,Defensive rebound by J. Bayless
3:29.0,,,15-10,,Z. Pachulia misses 2-pt shot from 18 ft
3:29.0,,,15-10,,Offensive rebound by Team
3:29.0,Loose ball foul by J. Nelson (drawn by Z. Pachulia),,15-10,,
3:29.0,R. Foye enters the game for D. Gallinari,,15-10,,
3:29.0,,,15-10,,O. Mayo enters the game for K. Middleton
3:16.0,,,15-12,2,G. Antetokounmpo makes 2-pt shot from 17 ft (assist by O. Mayo)
2:46.0,R. Foye makes 3-pt shot from 23 ft (assist by D. Arthur),3,18-12,,
2:36.0,,,18-12,,J. Bayless misses 3-pt shot from 25 ft
2:35.0,Defensive rebound by R. Foye,,18-12,,
2:23.0,Turnover by W. Chandler (traveling),,18-12,,
2:23.0,,,18-12,,Milwaukee full timeout
2:23.0,J. Hickson enters the game for J. Nurkic,,18-12,,
2:23.0,,,18-12,,J. O'Bryant enters the game for J. Dudley
2:08.0,,,18-12,,Z. Pachulia misses 2-pt shot from 17 ft
2:07.0,Defensive rebound by J. Hickson,,18-12,,
1:55.0,D. Arthur misses 2-pt shot from 19 ft,,18-12,,
1:53.0,,,18-12,,Defensive rebound by G. Antetokounmpo
1:35.0,,,18-12,,Z. Pachulia misses 2-pt shot from 2 ft
1:34.0,Defensive rebound by J. Nelson,,18-12,,
1:26.0,W. Chandler makes 3-pt shot from 24 ft (assist by J. Nelson),3,21-12,,
1:13.0,,,21-14,2,O. Mayo makes 2-pt shot from 15 ft (assist by J. Bayless)
1:02.0,W. Chandler misses 3-pt shot from 25 ft,,21-14,,
1:00.0,,,21-14,,Defensive rebound by J. O'Bryant
0:52.0,,,21-16,2,Z. Pachulia makes 2-pt shot from 13 ft (assist by J. Bayless)
0:37.0,W. Chandler misses 3-pt shot from 23 ft,,21-16,,
0:36.0,,,21-16,,Defensive rebound by J. O'Bryant
0:29.0,,,21-19,3,O. Mayo makes 3-pt shot from 27 ft (assist by J. Bayless)
0:05.0,W. Chandler misses 3-pt shot from 24 ft,,21-19,,
0:04.0,,,21-19,,Defensive rebound by J. Bayless
0:03.0,Personal foul by D. Arthur (drawn by J. Bayless),,21-19,,
0:03.0,,,21-19,,T. Ennis enters the game for J. Bayless
0:03.0,E. Green enters the game for J. Nelson,,21-19,,
0:00.0,,,21-19,,G. Antetokounmpo misses 3-pt shot from 29 ft
0:00.0,,,21-19,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,,,21-19,,Turnover by Z. Pachulia (lost ball; steal by D. Gallinari)
11:41.0,J. Hickson makes 2-pt shot at rim (assist by D. Gallinari),2,23-19,,
11:17.0,,,23-19,,O. Mayo misses 3-pt shot from 26 ft
11:16.0,,,23-19,,Offensive rebound by O. Mayo
11:10.0,,,23-19,,Shooting foul by D. Arthur (drawn by J. O'Bryant)
11:10.0,,,23-19,,J. O'Bryant misses free throw 1 of 2
11:10.0,,,23-19,,Offensive rebound by Team
11:10.0,,,23-20,1,J. O'Bryant makes free throw 2 of 2
10:55.0,D. Gallinari misses 2-pt shot from 19 ft,,23-20,,
10:54.0,,,23-20,,Defensive rebound by J. O'Bryant
10:45.0,,,23-20,,T. Ennis misses 2-pt shot from 14 ft
10:44.0,Defensive rebound by D. Gallinari,,23-20,,
10:35.0,Turnover by R. Foye (bad pass; steal by T. Ennis),,23-20,,
10:25.0,,,23-20,,O. Mayo misses 2-pt shot from 8 ft
10:23.0,Defensive rebound by J. Hickson,,23-20,,
10:19.0,J. Hickson makes 2-pt shot at rim,2,25-20,,
10:03.0,,,25-20,,Turnover by T. Ennis (bad pass; steal by J. Hickson)
10:01.0,Turnover by J. Hickson (bad pass; steal by O. Mayo),,25-20,,
10:01.0,Personal foul by E. Green (drawn by O. Mayo),,25-20,,
9:50.0,,,25-22,2,J. O'Bryant makes 2-pt shot from 14 ft (assist by K. Middleton)
9:33.0,Shooting foul by T. Ennis (drawn by E. Green),,25-22,,
9:33.0,E. Green makes free throw 1 of 2,1,26-22,,
9:33.0,E. Green makes free throw 2 of 2,1,27-22,,
9:13.0,,,27-22,,O. Mayo misses 2-pt shot from 11 ft
9:11.0,Defensive rebound by J. Hickson,,27-22,,
9:05.0,Shooting foul by J. O'Bryant (drawn by D. Arthur),,27-22,,
9:05.0,D. Arthur makes free throw 1 of 2,1,28-22,,
9:05.0,,,28-22,,J. Dudley enters the game for J. O'Bryant
9:05.0,D. Arthur makes free throw 2 of 2,1,29-22,,
8:49.0,Official timeout,,29-22,,
8:46.0,,,29-22,,Turnover by O. Mayo (bad pass; steal by E. Green)
8:43.0,E. Green makes 2-pt shot at rim,2,31-22,,
8:29.0,,,31-24,2,J. Dudley makes 2-pt shot from 17 ft (assist by T. Ennis)
8:03.0,D. Arthur misses 2-pt shot from 18 ft,,31-24,,
8:02.0,Offensive rebound by J. Hickson,,31-24,,
7:58.0,J. Hickson misses 2-pt shot at rim,,31-24,,
7:56.0,Offensive rebound by D. Gallinari,,31-24,,
7:52.0,D. Gallinari misses 2-pt shot from 11 ft,,31-24,,
