time,New Orleans,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Davis vs. A. Varejao (L. James gains possession),,,,Jump ball: A. Davis vs. A. Varejao (L. James gains possession)
11:45.0,Violation by A. Davis (def goaltending),,0-0,,
11:45.0,,,0-2,2,A. Varejao makes 2-pt shot from 3 ft (assist by K. Love)
11:25.0,A. Davis misses 2-pt shot from 14 ft,,0-2,,
11:24.0,,,0-2,,Defensive rebound by L. James
11:18.0,,,0-2,,L. James misses 2-pt shot from 2 ft (block by T. Evans)
11:17.0,Defensive rebound by T. Evans,,0-2,,
11:13.0,T. Evans misses 2-pt shot at rim (block by A. Varejao),,0-2,,
11:11.0,Offensive rebound by O. Asik,,0-2,,
11:06.0,Turnover by O. Asik (bad pass; steal by L. James),,0-2,,
11:00.0,,,0-4,2,L. James makes 2-pt shot at rim (assist by S. Marion)
10:44.0,A. Davis misses 2-pt shot from 16 ft,,0-4,,
10:43.0,,,0-4,,Defensive rebound by K. Love
10:32.0,,,0-7,3,K. Love makes 3-pt shot from 24 ft (assist by K. Irving)
10:07.0,A. Davis makes 2-pt shot from 12 ft (assist by T. Evans),2,2-7,,
9:46.0,,,2-7,,L. James misses 3-pt shot from 26 ft
9:45.0,Defensive rebound by Team,,2-7,,
9:32.0,J. Holiday misses 2-pt shot from 15 ft,,2-7,,
9:31.0,,,2-7,,Defensive rebound by L. James
9:16.0,,,2-7,,K. Irving misses 2-pt shot from 6 ft
9:15.0,Defensive rebound by A. Davis,,2-7,,
9:03.0,A. Davis makes 2-pt shot from 16 ft (assist by J. Holiday),2,4-7,,
8:44.0,,,4-7,,Shooting foul by O. Asik (drawn by A. Varejao)
8:44.0,,,4-8,1,A. Varejao makes free throw 1 of 2
8:44.0,,,4-9,1,A. Varejao makes free throw 2 of 2
8:28.0,Turnover by T. Evans (bad pass; steal by S. Marion),,4-9,,
8:20.0,,,4-9,,K. Irving misses 3-pt shot from 25 ft
8:19.0,Defensive rebound by O. Asik,,4-9,,
8:18.0,New Orleans full timeout,,4-9,,
7:59.0,E. Gordon misses 2-pt shot from 5 ft,,4-9,,
7:58.0,Offensive rebound by O. Asik,,4-9,,
7:56.0,O. Asik misses 2-pt shot at rim (block by A. Varejao),,4-9,,
7:45.0,Offensive rebound by A. Davis,,4-9,,
7:44.0,A. Davis makes 2-pt shot at rim,2,6-9,,
7:31.0,,,6-9,,Turnover by K. Irving (bad pass; steal by E. Gordon)
7:19.0,E. Gordon misses 3-pt shot from 26 ft,,6-9,,
7:18.0,,,6-9,,Defensive rebound by L. James
6:57.0,,,6-9,,Turnover by L. James (bad pass; steal by A. Davis)
6:53.0,T. Evans makes 2-pt shot from 2 ft (assist by A. Davis),2,8-9,,
6:37.0,,,8-9,,Shooting foul by A. Davis (drawn by A. Varejao)
6:37.0,,,8-10,1,A. Varejao makes free throw 1 of 2
6:37.0,R. Anderson enters the game for O. Asik,,8-10,,
6:37.0,,,8-11,1,A. Varejao makes free throw 2 of 2
6:18.0,J. Holiday misses 2-pt shot from 8 ft,,8-11,,
6:16.0,Offensive rebound by A. Davis,,8-11,,
6:16.0,A. Davis makes 2-pt shot at rim,2,10-11,,
6:02.0,,,10-11,,S. Marion misses 2-pt shot from 7 ft
5:58.0,,,10-11,,Offensive rebound by S. Marion
5:58.0,,,10-13,2,S. Marion makes 2-pt shot at rim
5:47.0,,,10-13,,M. Miller enters the game for S. Marion
5:45.0,R. Anderson makes 3-pt shot from 26 ft (assist by T. Evans),3,13-13,,
5:31.0,,,13-13,,K. Love misses 2-pt shot from 2 ft
5:28.0,Defensive rebound by R. Anderson,,13-13,,
5:22.0,R. Anderson makes 3-pt shot from 25 ft (assist by T. Evans),3,16-13,,
5:20.0,,,16-13,,Cleveland full timeout
5:20.0,,,16-13,,S. Marion enters the game for K. Irving
5:04.0,,,16-15,2,A. Varejao makes 2-pt shot at rim (assist by L. James)
4:50.0,Turnover by J. Holiday (bad pass; steal by K. Love),,16-15,,
4:28.0,,,16-18,3,M. Miller makes 3-pt shot from 26 ft (assist by A. Varejao)
4:10.0,T. Evans misses 2-pt shot from 15 ft,,16-18,,
4:09.0,Offensive rebound by E. Gordon,,16-18,,
4:09.0,E. Gordon misses 2-pt shot from 1 ft,,16-18,,
4:09.0,Offensive rebound by R. Anderson,,16-18,,
4:09.0,Shooting foul by M. Miller (drawn by R. Anderson),,16-18,,
4:09.0,R. Anderson makes free throw 1 of 2,1,17-18,,
4:09.0,A. Rivers enters the game for E. Gordon,,17-18,,
4:09.0,,,17-18,,K. Irving enters the game for K. Love
4:09.0,,,17-18,,T. Thompson enters the game for A. Varejao
4:09.0,R. Anderson makes free throw 2 of 2,1,18-18,,
3:46.0,,,18-18,,K. Irving misses 2-pt shot from 10 ft
3:43.0,Defensive rebound by A. Davis,,18-18,,
3:28.0,A. Rivers makes 3-pt shot from 25 ft (assist by R. Anderson),3,21-18,,
3:07.0,,,21-18,,S. Marion misses 2-pt shot from 10 ft
3:05.0,Defensive rebound by R. Anderson,,21-18,,
2:53.0,T. Evans makes 2-pt shot from 1 ft (assist by A. Rivers),2,23-18,,
2:45.0,,,23-18,,Turnover by L. James (traveling)
2:29.0,A. Rivers makes 3-pt shot from 25 ft (assist by A. Davis),3,26-18,,
2:10.0,,,26-21,3,K. Irving makes 3-pt shot from 24 ft
1:56.0,T. Evans misses 3-pt shot from 26 ft,,26-21,,
1:54.0,,,26-21,,Defensive rebound by K. Irving
1:46.0,,,26-23,2,T. Thompson makes 2-pt shot from 1 ft (assist by K. Irving)
1:32.0,J. Holiday misses 2-pt shot from 1 ft,,26-23,,
1:31.0,Offensive rebound by R. Anderson,,26-23,,
1:31.0,R. Anderson makes 2-pt shot at rim,2,28-23,,
1:06.0,,,28-23,,L. James misses 2-pt shot from 21 ft
1:05.0,Defensive rebound by A. Davis,,28-23,,
0:51.0,J. Holiday misses 2-pt shot from 12 ft,,28-23,,
0:50.0,,,28-23,,Defensive rebound by S. Marion
0:33.0,,,28-23,,Shooting foul by T. Evans (drawn by L. James)
0:33.0,,,28-23,,L. James misses free throw 1 of 2
0:33.0,,,28-23,,Offensive rebound by Team
0:33.0,J. Salmons enters the game for T. Evans,,28-23,,
0:33.0,J. Fredette enters the game for J. Holiday,,28-23,,
0:33.0,,,28-24,1,L. James makes free throw 2 of 2
0:13.0,A. Rivers misses 2-pt shot from 19 ft,,28-24,,
0:12.0,,,28-24,,Defensive rebound by S. Marion
0:00.0,,,28-24,,Turnover by T. Thompson (lost ball; steal by A. Davis)
0:00.0,A. Davis misses 3-pt shot from 69 ft,,28-24,,
0:00.0,Offensive rebound by Team,,28-24,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,R. Anderson makes 3-pt shot from 28 ft (assist by J. Fredette),3,31-24,,
11:23.0,,,31-24,,K. Love misses 2-pt shot from 7 ft (block by O. Asik)
11:22.0,Defensive rebound by O. Asik,,31-24,,
11:10.0,R. Anderson misses 3-pt shot from 24 ft,,31-24,,
11:08.0,,,31-24,,Defensive rebound by K. Love
10:45.0,,,31-24,,K. Irving misses 2-pt shot from 1 ft
10:45.0,,,31-24,,Offensive rebound by K. Love
10:45.0,,,31-24,,Turnover by Team (shot clock)
10:27.0,R. Anderson makes 2-pt shot from 14 ft (assist by J. Fredette),2,33-24,,
10:12.0,,,33-24,,T. Thompson misses 2-pt shot from 2 ft
10:11.0,Defensive rebound by J. Salmons,,33-24,,
9:59.0,J. Fredette makes 2-pt shot from 18 ft,2,35-24,,
9:55.0,,,35-24,,Cleveland full timeout
9:38.0,,,35-24,,K. Love misses 3-pt shot from 22 ft
9:37.0,,,35-24,,Offensive rebound by S. Marion
9:33.0,,,35-26,2,T. Thompson makes 2-pt shot at rim (assist by K. Love)
9:22.0,R. Anderson makes 3-pt shot from 27 ft (assist by A. Rivers),3,38-26,,
9:03.0,,,38-28,2,K. Love makes 2-pt shot at rim (assist by K. Irving)
8:44.0,A. Rivers misses 2-pt shot from 1 ft,,38-28,,
8:42.0,,,38-28,,Defensive rebound by M. Miller
8:41.0,Personal foul by J. Fredette (drawn by K. Irving),,38-28,,
8:41.0,,,38-28,,L. James enters the game for S. Marion
8:39.0,,,38-28,,Shooting foul by J. Salmons (drawn by K. Love)
8:39.0,,,38-29,1,K. Love makes free throw 1 of 2
8:39.0,,,38-30,1,K. Love makes free throw 2 of 2
8:25.0,J. Fredette makes 2-pt shot from 18 ft (assist by O. Asik),2,40-30,,
8:09.0,,,40-30,,K. Love misses 2-pt shot from 18 ft
8:08.0,Defensive rebound by R. Anderson,,40-30,,
7:52.0,R. Anderson makes 2-pt shot from 18 ft,2,42-30,,
7:36.0,,,42-32,2,K. Irving makes 2-pt shot at rim
7:09.0,O. Asik misses 2-pt shot from 6 ft,,42-32,,
7:08.0,Offensive rebound by Team,,42-32,,
7:08.0,,,42-32,,J. Harris enters the game for M. Miller
7:08.0,,,42-32,,A. Varejao enters the game for T. Thompson
6:55.0,R. Anderson misses 2-pt shot from 19 ft,,42-32,,
6:54.0,,,42-32,,Defensive rebound by L. James
6:41.0,,,42-32,,K. Irving misses 3-pt shot from 25 ft
6:40.0,Defensive rebound by O. Asik,,42-32,,
6:30.0,J. Salmons misses 3-pt shot from 22 ft,,42-32,,
6:29.0,Offensive rebound by Team,,42-32,,
6:20.0,O. Asik misses 2-pt shot from 2 ft (block by L. James),,42-32,,
6:20.0,,,42-32,,Defensive rebound by Team
6:20.0,,,42-32,,W. Cherry enters the game for K. Irving
6:01.0,,,42-34,2,L. James makes 2-pt shot from 9 ft
5:40.0,R. Anderson misses 2-pt shot from 21 ft,,42-34,,
5:38.0,,,42-34,,Defensive rebound by K. Love
5:33.0,,,42-37,3,J. Harris makes 3-pt shot from 24 ft (assist by L. James)
5:33.0,New Orleans full timeout,,42-37,,
5:33.0,E. Gordon enters the game for R. Anderson,,42-37,,
5:33.0,J. Holiday enters the game for A. Rivers,,42-37,,
5:33.0,A. Davis enters the game for J. Fredette,,42-37,,
5:16.0,A. Davis misses 3-pt shot from 23 ft,,42-37,,
5:15.0,,,42-37,,Defensive rebound by W. Cherry
5:06.0,,,42-37,,Shooting foul by O. Asik (drawn by L. James)
5:06.0,,,42-38,1,L. James makes free throw 1 of 2
5:06.0,,,42-38,,L. James misses free throw 2 of 2
5:06.0,Defensive rebound by Team,,42-38,,
5:06.0,,,42-38,,Loose ball foul by A. Varejao (drawn by A. Davis)
5:06.0,R. Anderson enters the game for O. Asik,,42-38,,
4:51.0,J. Holiday misses 3-pt shot from 25 ft,,42-38,,
4:48.0,Offensive rebound by E. Gordon,,42-38,,
4:45.0,R. Anderson makes 3-pt shot from 23 ft (assist by E. Gordon),3,45-38,,
4:30.0,,,45-38,,A. Varejao misses 2-pt shot from 8 ft
4:27.0,Defensive rebound by A. Davis,,45-38,,
4:22.0,J. Holiday makes 2-pt shot from 1 ft (assist by A. Davis),2,47-38,,
4:10.0,T. Evans enters the game for J. Salmons,,47-38,,
3:58.0,,,47-40,2,A. Varejao makes 2-pt shot from 1 ft (assist by L. James)
3:35.0,E. Gordon makes 2-pt shot at rim,2,49-40,,
3:15.0,,,49-40,,W. Cherry misses 3-pt shot from 25 ft
3:14.0,Defensive rebound by T. Evans,,49-40,,
3:04.0,T. Evans misses 2-pt shot from 8 ft,,49-40,,
3:01.0,Offensive rebound by A. Davis,,49-40,,
3:01.0,R. Anderson misses 2-pt shot at rim,,49-40,,
2:58.0,,,49-40,,Defensive rebound by L. James
2:54.0,,,49-42,2,W. Cherry makes 2-pt shot at rim (assist by L. James)
2:40.0,Official timeout,,49-42,,
2:40.0,,,49-42,,K. Irving enters the game for W. Cherry
2:31.0,Turnover by Team (shot clock),,49-42,,
2:12.0,,,49-44,2,L. James makes 2-pt shot at rim (assist by K. Irving)
1:50.0,J. Holiday misses 3-pt shot from 23 ft,,49-44,,
1:49.0,,,49-44,,Defensive rebound by L. James
1:41.0,,,49-44,,L. James misses 2-pt shot from 1 ft
1:40.0,,,49-44,,Offensive rebound by L. James
1:40.0,,,49-44,,Shooting foul by T. Evans (drawn by L. James)
1:40.0,,,49-45,1,L. James makes free throw 1 of 2
1:40.0,A. Rivers enters the game for T. Evans,,49-45,,
1:40.0,,,49-46,1,L. James makes free throw 2 of 2
1:28.0,E. Gordon makes 2-pt shot at rim,2,51-46,,
1:28.0,Shooting foul by K. Love (drawn by E. Gordon),,51-46,,
1:28.0,E. Gordon misses free throw 1 of 1,,51-46,,
1:26.0,,,51-46,,Defensive rebound by A. Varejao
1:12.0,,,51-46,,K. Love misses 3-pt shot from 23 ft
1:11.0,Defensive rebound by J. Holiday,,51-46,,
1:01.0,R. Anderson misses 3-pt shot from 25 ft,,51-46,,
1:00.0,,,51-46,,Defensive rebound by K. Irving
0:51.0,,,51-46,,J. Harris misses 3-pt shot from 23 ft
0:50.0,Defensive rebound by A. Davis,,51-46,,
0:45.0,Shooting foul by J. Harris (drawn by J. Holiday),,51-46,,
0:45.0,J. Holiday makes free throw 1 of 2,1,52-46,,
0:45.0,J. Holiday makes free throw 2 of 2,1,53-46,,
0:45.0,,,53-46,,Cleveland full timeout
0:34.0,,,53-49,3,K. Love makes 3-pt shot from 24 ft (assist by K. Irving)
0:22.0,J. Holiday makes 2-pt shot at rim (assist by A. Rivers),2,55-49,,
0:22.0,,,55-49,,Shooting block foul by K. Irving (drawn by J. Holiday)
0:22.0,J. Holiday makes free throw 1 of 1,1,56-49,,
0:00.0,,,56-51,2,J. Harris makes 2-pt shot from 1 ft (assist by L. James)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,Shooting foul by K. Love (drawn by A. Davis),,56-51,,
11:45.0,A. Davis makes free throw 1 of 2,1,57-51,,
11:45.0,A. Davis makes free throw 2 of 2,1,58-51,,
11:27.0,,,58-51,,A. Varejao misses 2-pt shot from 7 ft
11:27.0,Defensive rebound by Team,,58-51,,
11:16.0,E. Gordon misses 3-pt shot from 24 ft,,58-51,,
11:15.0,,,58-51,,Defensive rebound by Team
10:56.0,,,58-53,2,L. James makes 2-pt shot from 8 ft
10:40.0,E. Gordon makes 2-pt shot from 16 ft (assist by O. Asik),2,60-53,,
10:19.0,,,60-55,2,L. James makes 2-pt shot from 1 ft (assist by K. Irving)
9:57.0,A. Davis makes 2-pt shot at rim (assist by T. Evans),2,62-55,,
9:43.0,,,62-55,,K. Irving misses 2-pt shot from 12 ft
9:41.0,Defensive rebound by O. Asik,,62-55,,
9:30.0,T. Evans misses 2-pt shot from 6 ft,,62-55,,
9:28.0,,,62-55,,Defensive rebound by A. Varejao
9:25.0,,,62-57,2,L. James makes 2-pt shot at rim (assist by A. Varejao)
9:22.0,,,62-57,,Violation by Team (delay of game)
9:02.0,A. Davis misses 2-pt shot from 8 ft,,62-57,,
9:00.0,,,62-57,,Defensive rebound by A. Varejao
8:55.0,,,62-57,,L. James misses 2-pt shot from 1 ft
8:54.0,Defensive rebound by O. Asik,,62-57,,
8:49.0,A. Davis makes 2-pt shot from 1 ft (assist by T. Evans),2,64-57,,
8:40.0,,,64-57,,Shooting foul by J. Holiday (drawn by L. James)
8:40.0,,,64-58,1,L. James makes free throw 1 of 3
8:40.0,,,64-59,1,L. James makes free throw 2 of 3
8:40.0,,,64-60,1,L. James makes free throw 3 of 3
8:27.0,J. Holiday makes 2-pt shot from 13 ft,2,66-60,,
8:09.0,,,66-62,2,K. Irving makes 2-pt shot from 1 ft (assist by L. James)
7:51.0,A. Davis misses 2-pt shot from 13 ft,,66-62,,
7:49.0,,,66-62,,Defensive rebound by A. Varejao
7:41.0,,,66-64,2,A. Varejao makes 2-pt shot from 15 ft (assist by K. Irving)
7:18.0,E. Gordon makes 3-pt shot from 22 ft (assist by T. Evans),3,69-64,,
7:07.0,,,69-64,,K. Irving misses 2-pt shot from 6 ft
7:06.0,,,69-64,,Offensive rebound by A. Varejao
7:03.0,,,69-64,,Turnover by A. Varejao (lost ball; steal by A. Davis)
6:59.0,Shooting foul by L. James (drawn by T. Evans),,69-64,,
6:59.0,T. Evans makes free throw 1 of 2,1,70-64,,
6:59.0,,,70-64,,J. Harris enters the game for S. Marion
6:59.0,T. Evans makes free throw 2 of 2,1,71-64,,
6:38.0,,,71-67,3,L. James makes 3-pt shot from 24 ft
6:17.0,A. Davis makes 2-pt shot from 6 ft (assist by T. Evans),2,73-67,,
5:59.0,,,73-69,2,K. Irving makes 2-pt shot at rim
5:35.0,J. Holiday makes 3-pt shot from 23 ft (assist by A. Davis),3,76-69,,
5:12.0,,,76-69,,A. Varejao misses 2-pt shot from 6 ft
5:09.0,,,76-69,,Offensive rebound by Team
5:09.0,,,76-69,,Cleveland full timeout
5:09.0,Jump ball: O. Asik vs. A. Varejao (K. Love gains possession),,,,Jump ball: O. Asik vs. A. Varejao (K. Love gains possession)
5:06.0,Personal foul by T. Evans (drawn by K. Love),,76-69,,
5:06.0,,,76-69,,T. Thompson enters the game for A. Varejao
4:48.0,,,76-69,,Turnover by K. Love (lost ball; steal by J. Holiday)
4:44.0,,,76-69,,Personal foul by J. Harris (drawn by A. Davis)
4:38.0,T. Evans misses 2-pt shot from 1 ft,,76-69,,
4:38.0,Offensive rebound by O. Asik,,76-69,,
4:38.0,Shooting foul by T. Thompson (drawn by O. Asik),,76-69,,
4:38.0,O. Asik makes free throw 1 of 2,1,77-69,,
4:38.0,,,77-69,,S. Marion enters the game for K. Love
4:38.0,O. Asik makes free throw 2 of 2,1,78-69,,
4:17.0,,,78-71,2,K. Irving makes 2-pt shot at rim
4:07.0,E. Gordon misses 3-pt shot from 22 ft,,78-71,,
4:06.0,,,78-71,,Defensive rebound by S. Marion
3:59.0,,,78-73,2,K. Irving makes 2-pt shot from 17 ft
3:55.0,New Orleans full timeout,,78-73,,
3:55.0,R. Anderson enters the game for O. Asik,,78-73,,
3:34.0,T. Evans misses 2-pt shot from 6 ft,,78-73,,
3:33.0,,,78-73,,Defensive rebound by L. James
3:27.0,,,78-75,2,K. Irving makes 2-pt shot at rim (assist by L. James)
3:05.0,T. Evans misses 2-pt shot from 5 ft,,78-75,,
3:04.0,Offensive rebound by A. Davis,,78-75,,
3:01.0,A. Davis misses 2-pt shot from 1 ft (block by T. Thompson),,78-75,,
2:58.0,,,78-75,,Defensive rebound by T. Thompson
2:46.0,,,78-78,3,K. Irving makes 3-pt shot from 25 ft
2:30.0,,,78-78,,Personal block foul by K. Irving (drawn by E. Gordon)
2:30.0,E. Gordon misses free throw 1 of 2,,78-78,,
2:30.0,Offensive rebound by Team,,78-78,,
2:30.0,A. Rivers enters the game for T. Evans,,78-78,,
2:30.0,E. Gordon makes free throw 2 of 2,1,79-78,,
2:15.0,,,79-78,,J. Harris misses 2-pt shot from 17 ft
2:15.0,Defensive rebound by A. Davis,,79-78,,
1:59.0,R. Anderson misses 2-pt shot from 6 ft,,79-78,,
1:59.0,,,79-78,,Defensive rebound by Team
1:49.0,Personal block foul by E. Gordon (drawn by L. James),,79-78,,
1:49.0,J. Fredette enters the game for J. Holiday,,79-78,,
1:36.0,,,79-80,2,T. Thompson makes 2-pt shot at rim (assist by K. Irving)
1:19.0,E. Gordon misses 2-pt shot from 2 ft,,79-80,,
1:17.0,,,79-80,,Defensive rebound by S. Marion
1:11.0,,,79-80,,J. Harris misses 3-pt shot from 23 ft
1:10.0,,,79-80,,Offensive rebound by T. Thompson
1:08.0,,,79-80,,T. Thompson misses 2-pt shot from 2 ft (block by A. Davis)
1:05.0,,,79-80,,Offensive rebound by K. Irving
1:02.0,,,79-80,,K. Irving misses 3-pt shot from 25 ft
1:00.0,,,79-80,,Offensive rebound by S. Marion
1:00.0,,,79-80,,Shooting foul by R. Anderson (drawn by L. James)
1:00.0,,,79-80,,L. James misses free throw 1 of 2
1:00.0,,,79-80,,Offensive rebound by Team
1:00.0,,,79-80,,M. Miller enters the game for K. Irving
1:00.0,O. Asik enters the game for A. Davis,,79-80,,
1:00.0,J. Salmons enters the game for E. Gordon,,79-80,,
1:00.0,,,79-81,1,L. James makes free throw 2 of 2
0:38.0,J. Fredette misses 3-pt shot from 28 ft,,79-81,,
0:37.0,,,79-81,,Defensive rebound by M. Miller
0:29.0,,,79-81,,Shooting foul by A. Rivers (drawn by L. James)
0:29.0,,,79-82,1,L. James makes free throw 1 of 2
0:29.0,,,79-83,1,L. James makes free throw 2 of 2
0:12.0,J. Fredette misses 2-pt shot from 11 ft,,79-83,,
0:09.0,,,79-83,,Defensive rebound by T. Thompson
0:03.0,,,79-85,2,L. James makes 2-pt shot at rim
0:01.0,Turnover by A. Rivers (traveling),,79-85,,
0:00.0,,,79-85,,J. Harris misses 3-pt shot from 25 ft
0:00.0,,,79-85,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,,,79-85,,Turnover by L. James (bad pass; steal by O. Asik)
11:31.0,Shooting foul by S. Marion (drawn by O. Asik),,79-85,,
11:31.0,O. Asik makes free throw 1 of 2,1,80-85,,
11:31.0,,,80-85,,K. Irving enters the game for L. James
11:31.0,,,80-85,,K. Love enters the game for J. Harris
11:31.0,O. Asik makes free throw 2 of 2,1,81-85,,
11:19.0,Personal foul by R. Anderson (drawn by K. Love),,81-85,,
11:19.0,A. Davis enters the game for J. Salmons,,81-85,,
11:13.0,,,81-85,,S. Marion misses 2-pt shot from 4 ft (block by A. Davis)
11:13.0,Defensive rebound by O. Asik,,81-85,,
11:13.0,Turnover by O. Asik (traveling),,81-85,,
10:50.0,,,81-88,3,K. Love makes 3-pt shot from 25 ft (assist by M. Miller)
10:22.0,A. Rivers makes 2-pt shot from 6 ft,2,83-88,,
10:10.0,,,83-91,3,K. Love makes 3-pt shot from 25 ft (assist by K. Irving)
9:50.0,J. Holiday enters the game for J. Fredette,,83-91,,
9:42.0,A. Rivers misses 2-pt shot from 18 ft,,83-91,,
9:42.0,Offensive rebound by Team,,83-91,,
9:42.0,Turnover by Team (shot clock),,83-91,,
9:26.0,,,83-91,,K. Love misses 3-pt shot from 26 ft
9:25.0,Defensive rebound by J. Holiday,,83-91,,
9:07.0,J. Holiday makes 2-pt shot from 9 ft (assist by R. Anderson),2,85-91,,
8:48.0,,,85-91,,K. Irving misses 2-pt shot from 11 ft
8:47.0,,,85-91,,Offensive rebound by T. Thompson
8:43.0,,,85-94,3,K. Love makes 3-pt shot from 25 ft (assist by T. Thompson)
8:26.0,J. Holiday misses 3-pt shot from 23 ft,,85-94,,
8:25.0,,,85-94,,Defensive rebound by S. Marion
8:21.0,,,85-94,,Turnover by S. Marion (bad pass; steal by R. Anderson)
8:13.0,O. Asik makes 2-pt shot at rim (assist by J. Holiday),2,87-94,,
7:42.0,,,87-94,,K. Irving misses 2-pt shot from 19 ft
7:39.0,,,87-94,,Offensive rebound by T. Thompson
7:39.0,,,87-94,,T. Thompson misses 2-pt shot at rim
7:36.0,Defensive rebound by J. Holiday,,87-94,,
7:34.0,A. Davis misses 2-pt shot from 1 ft,,87-94,,
7:33.0,Offensive rebound by O. Asik,,87-94,,
7:32.0,O. Asik makes 2-pt shot from 1 ft,2,89-94,,
7:28.0,,,89-94,,Cleveland full timeout
7:28.0,,,89-94,,L. James enters the game for K. Irving
7:28.0,E. Gordon enters the game for O. Asik,,89-94,,
7:28.0,T. Evans enters the game for A. Rivers,,89-94,,
7:09.0,,,89-94,,L. James misses 3-pt shot from 25 ft
7:08.0,Defensive rebound by T. Evans,,89-94,,
7:02.0,R. Anderson makes 3-pt shot from 24 ft (assist by T. Evans),3,92-94,,
6:52.0,Personal foul by T. Evans (drawn by K. Love),,92-94,,
6:36.0,,,92-96,2,S. Marion makes 2-pt shot at rim (assist by L. James)
6:27.0,T. Evans misses 2-pt shot from 1 ft,,92-96,,
6:27.0,Offensive rebound by A. Davis,,92-96,,
6:27.0,Shooting foul by M. Miller (drawn by A. Davis),,92-96,,
6:27.0,A. Davis makes free throw 1 of 2,1,93-96,,
6:27.0,,,93-96,,K. Irving enters the game for S. Marion
6:27.0,A. Davis misses free throw 2 of 2,,93-96,,
6:22.0,,,93-96,,Defensive rebound by T. Thompson
6:04.0,,,93-96,,M. Miller misses 3-pt shot from 25 ft (block by A. Davis)
6:03.0,,,93-96,,Offensive rebound by L. James
5:59.0,,,93-96,,M. Miller misses 3-pt shot from 25 ft
5:58.0,Defensive rebound by A. Davis,,93-96,,
5:43.0,T. Evans misses 2-pt shot from 5 ft (block by T. Thompson),,93-96,,
5:42.0,Offensive rebound by T. Evans,,93-96,,
5:38.0,T. Evans misses 2-pt shot from 15 ft,,93-96,,
5:37.0,,,93-96,,Defensive rebound by K. Irving
5:35.0,,,93-96,,Shooting foul by E. Gordon (drawn by K. Irving)
5:35.0,Official timeout,,93-96,,
5:35.0,,,93-96,,J. Harris enters the game for M. Miller
5:35.0,,,93-97,1,K. Irving makes free throw 1 of 2
