time,San Antonio,pts.away,score,pts.home,Sacramento
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Duncan vs. J. Thompson (R. Gay gains possession),,,,Jump ball: T. Duncan vs. J. Thompson (R. Gay gains possession)
11:38.0,,,0-2,2,C. Landry makes 2-pt shot from 5 ft (assist by J. Thompson)
11:18.0,D. Green misses 2-pt shot from 4 ft,,0-2,,
11:17.0,Offensive rebound by T. Splitter,,0-2,,
11:17.0,T. Splitter misses 2-pt shot at rim,,0-2,,
11:16.0,,,0-2,,Defensive rebound by C. Landry
11:06.0,,,0-2,,B. McLemore misses 3-pt shot from 24 ft
11:04.0,Defensive rebound by T. Parker,,0-2,,
11:00.0,K. Leonard makes 3-pt shot from 24 ft (assist by T. Parker),3,3-2,,
10:45.0,Personal block foul by D. Green (drawn by B. McLemore),,3-2,,
10:35.0,,,3-4,2,J. Thompson makes 2-pt shot from 19 ft (assist by B. McLemore)
10:16.0,D. Green makes 3-pt shot from 24 ft (assist by K. Leonard),3,6-4,,
10:05.0,,,6-4,,C. Landry misses 2-pt shot from 3 ft (block by K. Leonard)
10:03.0,Defensive rebound by D. Green,,6-4,,
10:02.0,Turnover by D. Green (bad pass; steal by R. Gay),,6-4,,
9:59.0,,,6-4,,Turnover by R. Gay (lost ball; steal by D. Green)
9:54.0,T. Parker makes 2-pt shot from 3 ft (assist by D. Green),2,8-4,,
9:40.0,,,8-6,2,R. Gay makes 2-pt shot from 5 ft (assist by R. McCallum)
9:30.0,T. Splitter misses 2-pt shot from 5 ft,,8-6,,
9:27.0,Offensive rebound by T. Splitter,,8-6,,
9:27.0,T. Splitter misses 2-pt shot from 1 ft,,8-6,,
9:27.0,,,8-6,,Defensive rebound by J. Thompson
9:25.0,,,8-6,,Shooting foul by D. Green (drawn by B. McLemore)
9:25.0,,,8-7,1,B. McLemore makes free throw 1 of 2
9:25.0,M. Belinelli enters the game for D. Green,,8-7,,
9:25.0,,,8-8,1,B. McLemore makes free throw 2 of 2
9:12.0,T. Parker misses 2-pt shot from 20 ft,,8-8,,
9:10.0,,,8-8,,Defensive rebound by B. McLemore
8:59.0,,,8-10,2,J. Thompson makes 2-pt shot from 6 ft (assist by R. Gay)
8:42.0,Turnover by M. Belinelli (bad pass),,8-10,,
8:26.0,,,8-12,2,R. McCallum makes 2-pt shot from 4 ft (assist by J. Thompson)
8:08.0,K. Leonard makes 2-pt shot from 7 ft,2,10-12,,
7:54.0,Personal foul by K. Leonard (drawn by R. McCallum),,10-12,,
7:54.0,,,10-12,,Sacramento full timeout
7:42.0,,,10-14,2,R. Gay makes 2-pt shot from 16 ft
7:21.0,K. Leonard misses 2-pt shot from 7 ft,,10-14,,
7:20.0,,,10-14,,Defensive rebound by B. McLemore
7:10.0,,,10-16,2,B. McLemore makes 2-pt shot from 21 ft
6:53.0,T. Duncan misses 2-pt shot from 20 ft,,10-16,,
6:52.0,,,10-16,,Defensive rebound by B. McLemore
6:46.0,,,10-18,2,B. McLemore makes 2-pt shot from 22 ft
6:33.0,M. Belinelli misses 3-pt shot from 25 ft,,10-18,,
6:32.0,,,10-18,,Defensive rebound by J. Thompson
6:22.0,,,10-18,,C. Landry misses 2-pt shot from 14 ft
6:21.0,Defensive rebound by T. Splitter,,10-18,,
6:17.0,,,10-18,,Personal foul by C. Landry (drawn by T. Duncan)
6:17.0,B. Diaw enters the game for T. Splitter,,10-18,,
6:03.0,K. Leonard misses 2-pt shot from 5 ft,,10-18,,
6:03.0,,,10-18,,Defensive rebound by R. Gay
5:57.0,,,10-18,,R. Gay misses 2-pt shot from 3 ft (block by T. Duncan)
5:55.0,,,10-18,,Offensive rebound by R. Gay
5:54.0,,,10-20,2,R. Gay makes 2-pt shot from 4 ft
5:54.0,San Antonio full timeout,,10-20,,
5:39.0,K. Leonard makes 2-pt shot from 9 ft,2,12-20,,
5:20.0,,,12-22,2,R. Gay makes 2-pt shot from 8 ft
5:14.0,,,12-22,,Violation by J. Thompson (kicked ball)
5:11.0,,,12-22,,Personal foul by C. Landry (drawn by T. Parker)
5:11.0,,,12-22,,O. Casspi enters the game for C. Landry
5:11.0,C. Joseph enters the game for T. Parker,,12-22,,
4:57.0,T. Duncan makes 2-pt shot from 7 ft,2,14-22,,
4:40.0,,,14-22,,R. McCallum misses 2-pt shot from 3 ft
4:38.0,,,14-22,,Offensive rebound by J. Thompson
4:38.0,,,14-24,2,J. Thompson makes 2-pt shot from 2 ft
4:22.0,B. Diaw misses 2-pt shot from 5 ft,,14-24,,
4:21.0,,,14-24,,Defensive rebound by J. Thompson
4:12.0,,,14-24,,J. Thompson misses 2-pt shot from 4 ft
4:10.0,Defensive rebound by T. Duncan,,14-24,,
3:57.0,K. Leonard misses 2-pt shot from 11 ft,,14-24,,
3:56.0,,,14-24,,Defensive rebound by O. Casspi
3:46.0,,,14-24,,Turnover by R. Gay (lost ball)
3:46.0,M. Ginobili enters the game for K. Leonard,,14-24,,
3:46.0,T. Splitter enters the game for T. Duncan,,14-24,,
3:28.0,T. Splitter misses 2-pt shot from 5 ft,,14-24,,
3:28.0,,,14-24,,Defensive rebound by J. Thompson
3:20.0,,,14-24,,Offensive foul by J. Thompson
3:20.0,,,14-24,,Turnover by J. Thompson (offensive foul)
3:20.0,,,14-24,,R. Evans enters the game for J. Thompson
3:06.0,B. Diaw makes 2-pt shot from 7 ft,2,16-24,,
2:47.0,,,16-24,,R. McCallum misses 2-pt shot from 7 ft (block by T. Splitter)
2:45.0,Defensive rebound by T. Splitter,,16-24,,
2:31.0,M. Belinelli misses 3-pt shot from 25 ft,,16-24,,
2:30.0,,,16-24,,Defensive rebound by R. Gay
2:17.0,,,16-24,,R. Gay misses 2-pt shot from 3 ft (block by T. Splitter)
2:15.0,Defensive rebound by M. Belinelli,,16-24,,
2:06.0,M. Belinelli misses 3-pt shot from 23 ft,,16-24,,
2:05.0,,,16-24,,Defensive rebound by R. Gay
1:58.0,,,16-24,,R. McCallum misses 2-pt shot from 2 ft
1:57.0,Defensive rebound by T. Splitter,,16-24,,
1:56.0,,,16-24,,D. Williams enters the game for R. Gay
1:56.0,,,16-24,,A. Miller enters the game for R. McCallum
1:45.0,M. Ginobili makes 2-pt shot from 15 ft,2,18-24,,
1:21.0,,,18-24,,A. Miller misses 2-pt shot from 14 ft
1:20.0,Defensive rebound by T. Splitter,,18-24,,
1:09.0,M. Belinelli misses 2-pt shot from 12 ft,,18-24,,
1:09.0,Offensive rebound by T. Splitter,,18-24,,
1:08.0,T. Splitter makes 2-pt shot from 5 ft,2,20-24,,
1:08.0,Shooting foul by A. Miller (drawn by T. Splitter),,20-24,,
1:08.0,,,20-24,,Violation by O. Casspi (lane)
1:08.0,T. Splitter misses free throw 1 of 1,,20-24,,
1:07.0,,,20-24,,Defensive rebound by R. Evans
0:53.0,,,20-24,,Shooting foul by C. Joseph (drawn by B. McLemore)
0:53.0,,,20-25,1,B. McLemore makes free throw 1 of 2
0:53.0,,,20-25,,B. McLemore misses free throw 2 of 2
0:53.0,Defensive rebound by B. Diaw,,20-25,,
0:34.0,,,20-25,,R. Hollins enters the game for B. McLemore
0:29.0,C. Joseph misses 2-pt shot from 19 ft,,20-25,,
0:28.0,,,20-25,,Defensive rebound by R. Evans
0:02.0,,,20-25,,O. Casspi misses 2-pt shot from 8 ft
0:01.0,,,20-25,,Offensive rebound by O. Casspi
0:00.0,,,20-25,,O. Casspi misses 2-pt shot from 12 ft (block by M. Ginobili)
0:00.0,,,20-25,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,T. Splitter misses 2-pt shot from 3 ft,,20-25,,
11:45.0,,,20-25,,Defensive rebound by R. Evans
11:21.0,,,20-27,2,A. Miller makes 2-pt shot from 9 ft
11:14.0,M. Belinelli misses 2-pt shot from 13 ft,,20-27,,
11:14.0,,,20-27,,Defensive rebound by D. Williams
11:01.0,,,20-29,2,O. Casspi makes 2-pt shot from 1 ft (assist by R. Evans)
10:46.0,T. Splitter misses 2-pt shot from 6 ft,,20-29,,
10:45.0,,,20-29,,Defensive rebound by R. Evans
10:35.0,,,20-29,,Turnover by R. Evans (lost ball; steal by C. Joseph)
10:31.0,Shooting foul by A. Miller (drawn by C. Joseph),,20-29,,
10:31.0,C. Joseph makes free throw 1 of 2,1,21-29,,
10:31.0,A. Baynes enters the game for T. Splitter,,21-29,,
10:31.0,C. Joseph makes free throw 2 of 2,1,22-29,,
10:11.0,,,22-29,,R. Evans misses 2-pt shot from 6 ft
10:10.0,Defensive rebound by M. Belinelli,,22-29,,
9:55.0,M. Ginobili misses 3-pt shot from 25 ft,,22-29,,
9:54.0,,,22-29,,Defensive rebound by A. Miller
9:52.0,,,22-29,,Turnover by D. Williams (bad pass)
9:52.0,D. Green enters the game for M. Belinelli,,22-29,,
9:37.0,M. Ginobili makes 3-pt shot from 25 ft (assist by A. Baynes),3,25-29,,
9:20.0,,,25-29,,D. Williams misses 2-pt shot from 16 ft
9:20.0,,,25-29,,Offensive rebound by Team
9:20.0,Loose ball foul by D. Green (drawn by A. Miller),,25-29,,
9:20.0,K. Leonard enters the game for D. Green,,25-29,,
9:12.0,,,25-29,,O. Casspi misses 2-pt shot from 7 ft
9:11.0,Defensive rebound by K. Leonard,,25-29,,
8:55.0,B. Diaw misses 3-pt shot from 25 ft,,25-29,,
8:54.0,,,25-29,,Defensive rebound by A. Miller
8:47.0,,,25-31,2,A. Miller makes 2-pt shot from 5 ft
8:45.0,San Antonio full timeout,,25-31,,
8:45.0,T. Parker enters the game for C. Joseph,,25-31,,
8:32.0,,,25-31,,Personal foul by D. Williams (drawn by K. Leonard)
8:25.0,A. Baynes misses 2-pt shot from 8 ft,,25-31,,
8:24.0,,,25-31,,Defensive rebound by R. Evans
8:09.0,,,25-31,,Shooting foul by K. Leonard (drawn by A. Miller)
8:09.0,,,25-32,1,A. Miller makes free throw 1 of 2
8:09.0,,,25-33,1,A. Miller makes free throw 2 of 2
7:53.0,M. Ginobili misses 3-pt shot from 25 ft,,25-33,,
7:53.0,,,25-33,,Defensive rebound by R. Evans
7:47.0,,,25-33,,Offensive foul by R. Hollins
7:47.0,,,25-33,,Turnover by R. Hollins (offensive foul)
7:47.0,T. Duncan enters the game for A. Baynes,,25-33,,
7:42.0,,,25-33,,J. Thompson enters the game for R. Hollins
7:35.0,Shooting foul by D. Williams (drawn by K. Leonard),,25-33,,
7:35.0,K. Leonard makes free throw 1 of 2,1,26-33,,
7:35.0,M. Belinelli enters the game for M. Ginobili,,26-33,,
7:35.0,K. Leonard makes free throw 2 of 2,1,27-33,,
7:11.0,,,27-33,,A. Miller misses 2-pt shot from 6 ft
7:10.0,Defensive rebound by T. Duncan,,27-33,,
6:59.0,K. Leonard makes 2-pt shot from 2 ft,2,29-33,,
6:45.0,,,29-33,,D. Williams misses 2-pt shot at rim
6:43.0,Defensive rebound by K. Leonard,,29-33,,
6:32.0,K. Leonard misses 2-pt shot from 13 ft,,29-33,,
6:32.0,,,29-33,,Defensive rebound by J. Thompson
6:28.0,,,29-35,2,O. Casspi makes 2-pt shot from 2 ft (assist by A. Miller)
6:05.0,Shooting foul by R. Evans (drawn by T. Duncan),,29-35,,
6:05.0,T. Duncan makes free throw 1 of 2,1,30-35,,
6:05.0,T. Splitter enters the game for B. Diaw,,30-35,,
6:05.0,,,30-35,,R. Gay enters the game for D. Williams
6:05.0,T. Duncan makes free throw 2 of 2,1,31-35,,
5:44.0,,,31-35,,J. Thompson misses 2-pt shot from 15 ft
5:44.0,Defensive rebound by T. Duncan,,31-35,,
5:34.0,T. Parker misses 2-pt shot from 14 ft,,31-35,,
5:34.0,,,31-35,,Defensive rebound by R. Evans
5:23.0,,,31-37,2,R. Gay makes 2-pt shot from 14 ft (assist by A. Miller)
5:08.0,T. Duncan misses 2-pt shot from 4 ft,,31-37,,
5:07.0,,,31-37,,Defensive rebound by R. Evans
5:03.0,Personal foul by T. Splitter (drawn by J. Thompson),,31-37,,
5:03.0,Official timeout,,31-37,,
5:03.0,,,31-37,,B. McLemore enters the game for O. Casspi
4:48.0,,,31-37,,Turnover by R. Gay (lost ball; steal by T. Splitter)
4:40.0,T. Parker misses 2-pt shot from 6 ft,,31-37,,
4:38.0,,,31-37,,Defensive rebound by R. Evans
4:30.0,,,31-39,2,J. Thompson makes 2-pt shot from 3 ft (assist by B. McLemore)
4:17.0,Shooting foul by B. McLemore (drawn by M. Belinelli),,31-39,,
4:17.0,M. Belinelli makes free throw 1 of 3,1,32-39,,
4:17.0,M. Belinelli makes free throw 2 of 3,1,33-39,,
4:17.0,,,33-39,,R. McCallum enters the game for A. Miller
4:17.0,,,33-39,,C. Landry enters the game for R. Evans
4:17.0,A. Baynes enters the game for T. Splitter,,33-39,,
4:17.0,M. Belinelli makes free throw 3 of 3,1,34-39,,
3:54.0,,,34-39,,R. Gay misses 2-pt shot from 21 ft
3:53.0,Defensive rebound by K. Leonard,,34-39,,
3:42.0,M. Belinelli makes 3-pt shot from 25 ft (assist by K. Leonard),3,37-39,,
3:27.0,,,37-39,,Shooting foul by A. Baynes (drawn by B. McLemore)
3:27.0,,,37-40,1,B. McLemore makes free throw 1 of 2
3:27.0,,,37-41,1,B. McLemore makes free throw 2 of 2
3:16.0,T. Parker misses 2-pt shot from 11 ft,,37-41,,
3:14.0,,,37-41,,Defensive rebound by Team
2:55.0,,,37-41,,J. Thompson misses 2-pt shot from 15 ft
2:53.0,Defensive rebound by Team,,37-41,,
2:53.0,,,37-41,,Loose ball foul by C. Landry (drawn by A. Baynes)
2:53.0,,,37-41,,Sacramento full timeout
2:53.0,A. Baynes makes free throw 1 of 2,1,38-41,,
2:53.0,A. Baynes makes free throw 2 of 2,1,39-41,,
2:41.0,,,39-43,2,B. McLemore makes 2-pt shot from 19 ft (assist by R. McCallum)
2:25.0,T. Duncan misses 2-pt shot from 7 ft,,39-43,,
