time,Portland,pts.away,score,pts.home,Houston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Howard vs. M. Leonard (J. Freeland gains possession),,,,Jump ball: D. Howard vs. M. Leonard (J. Freeland gains possession)
11:36.0,M. Leonard makes 2-pt shot at rim (assist by W. Matthews),2,2-0,,
11:18.0,,,2-0,,Turnover by J. Harden (bad pass)
10:58.0,W. Matthews misses 2-pt shot from 16 ft,,2-0,,
10:57.0,,,2-0,,Defensive rebound by P. Beverley
10:46.0,,,2-2,2,D. Howard makes 2-pt shot at rim (assist by D. Motiejunas)
10:29.0,M. Leonard makes 3-pt shot from 24 ft (assist by N. Batum),3,5-2,,
10:17.0,,,5-2,,T. Ariza misses 3-pt shot from 24 ft
10:15.0,Defensive rebound by J. Freeland,,5-2,,
10:06.0,W. Matthews misses 3-pt shot from 24 ft,,5-2,,
10:04.0,,,5-2,,Defensive rebound by D. Howard
9:41.0,,,5-4,2,J. Harden makes 2-pt shot from 9 ft
9:21.0,Shooting foul by P. Beverley (drawn by D. Lillard),,5-4,,
9:21.0,D. Lillard makes free throw 1 of 2,1,6-4,,
9:21.0,D. Lillard makes free throw 2 of 2,1,7-4,,
9:08.0,,,7-4,,J. Harden misses 3-pt shot from 24 ft
9:06.0,Defensive rebound by N. Batum,,7-4,,
8:57.0,D. Lillard makes 2-pt shot from 16 ft,2,9-4,,
8:39.0,,,9-4,,D. Motiejunas misses 2-pt shot from 2 ft
8:38.0,Defensive rebound by J. Freeland,,9-4,,
8:32.0,D. Lillard misses 3-pt shot from 25 ft,,9-4,,
8:30.0,Offensive rebound by W. Matthews,,9-4,,
8:12.0,J. Freeland misses 2-pt shot from 4 ft,,9-4,,
8:11.0,,,9-4,,Defensive rebound by D. Howard
8:06.0,,,9-4,,J. Harden misses 2-pt shot from 2 ft (block by J. Freeland)
8:04.0,Defensive rebound by D. Lillard,,9-4,,
7:53.0,W. Matthews makes 3-pt shot from 24 ft,3,12-4,,
7:48.0,,,12-4,,Houston full timeout
7:35.0,,,12-7,3,P. Beverley makes 3-pt shot from 24 ft (assist by D. Howard)
7:26.0,N. Batum makes 2-pt shot at rim (assist by D. Lillard),2,14-7,,
7:12.0,,,14-7,,T. Ariza misses 3-pt shot from 24 ft
7:11.0,,,14-7,,Offensive rebound by P. Beverley
6:49.0,,,14-10,3,D. Motiejunas makes 3-pt shot from 23 ft (assist by T. Ariza)
6:34.0,N. Batum misses 2-pt shot from 21 ft,,14-10,,
6:33.0,,,14-10,,Defensive rebound by D. Howard
6:27.0,,,14-10,,P. Beverley misses 2-pt shot from 1 ft
6:26.0,,,14-10,,Offensive rebound by Team
6:18.0,Personal block foul by J. Freeland (drawn by D. Howard),,14-10,,
6:08.0,,,14-12,2,J. Harden makes 2-pt shot at rim
5:53.0,M. Leonard makes 3-pt shot from 24 ft (assist by D. Lillard),3,17-12,,
5:35.0,,,17-12,,D. Motiejunas misses 3-pt shot from 22 ft
5:34.0,Defensive rebound by Team,,17-12,,
5:34.0,S. Blake enters the game for J. Freeland,,17-12,,
5:34.0,C. Kaman enters the game for W. Matthews,,17-12,,
5:13.0,M. Leonard misses 2-pt shot from 15 ft,,17-12,,
5:11.0,,,17-12,,Defensive rebound by J. Harden
5:02.0,,,17-12,,D. Howard misses 2-pt shot from 6 ft
5:02.0,Defensive rebound by M. Leonard,,17-12,,
4:53.0,D. Lillard makes 2-pt shot from 1 ft,2,19-12,,
4:41.0,,,19-14,2,T. Ariza makes 2-pt shot from 1 ft
4:26.0,D. Lillard misses 3-pt shot from 25 ft,,19-14,,
4:25.0,,,19-14,,Defensive rebound by J. Harden
4:23.0,,,19-14,,Shooting foul by M. Leonard (drawn by J. Harden)
4:23.0,,,19-15,1,J. Harden makes free throw 1 of 2
4:23.0,T. Robinson enters the game for M. Leonard,,19-15,,
4:23.0,,,19-15,,J. Dorsey enters the game for D. Howard
4:23.0,,,19-15,,C. Brewer enters the game for T. Ariza
4:23.0,,,19-16,1,J. Harden makes free throw 2 of 2
4:04.0,Turnover by C. Kaman (lost ball; steal by C. Brewer),,19-16,,
3:56.0,,,19-18,2,J. Dorsey makes 2-pt shot at rim (assist by J. Harden)
3:55.0,Portland full timeout,,19-18,,
3:42.0,Turnover by N. Batum (bad pass; steal by J. Dorsey),,19-18,,
3:37.0,,,19-18,,J. Harden misses 2-pt shot at rim
3:36.0,,,19-18,,Offensive rebound by P. Beverley
3:27.0,,,19-21,3,P. Beverley makes 3-pt shot from 26 ft (assist by C. Brewer)
3:05.0,S. Blake makes 2-pt shot from 19 ft (assist by T. Robinson),2,21-21,,
2:58.0,,,21-21,,Turnover by C. Brewer (bad pass; steal by C. Kaman)
2:48.0,D. Lillard makes 2-pt shot at rim,2,23-21,,
2:35.0,,,23-21,,C. Brewer misses 2-pt shot from 1 ft
2:34.0,Defensive rebound by T. Robinson,,23-21,,
2:24.0,D. Lillard misses 2-pt shot at rim,,23-21,,
2:23.0,Offensive rebound by C. Kaman,,23-21,,
2:23.0,C. Kaman makes 2-pt shot from 1 ft,2,25-21,,
2:06.0,,,25-23,2,J. Harden makes 2-pt shot at rim
2:06.0,,,25-23,,Shooting foul by N. Batum (drawn by J. Harden)
2:06.0,C. McCollum enters the game for N. Batum,,25-23,,
2:06.0,W. Matthews enters the game for D. Lillard,,25-23,,
2:06.0,,,25-23,,K. Papanikolaou enters the game for D. Motiejunas
2:06.0,,,25-23,,A. Shved enters the game for P. Beverley
2:06.0,,,25-24,1,J. Harden makes free throw 1 of 1
1:50.0,Turnover by C. Kaman (lost ball; steal by J. Harden),,25-24,,
1:47.0,,,25-26,2,J. Harden makes 2-pt shot at rim (assist by C. Brewer)
1:32.0,,,25-26,,Violation by J. Dorsey (kicked ball)
1:23.0,C. Kaman misses 2-pt shot from 14 ft,,25-26,,
1:22.0,,,25-26,,Defensive rebound by C. Brewer
1:13.0,,,25-28,2,J. Harden makes 2-pt shot from 1 ft (assist by C. Brewer)
0:56.0,W. Matthews makes 2-pt shot from 10 ft,2,27-28,,
0:45.0,,,27-31,3,J. Harden makes 3-pt shot from 24 ft
0:45.0,,,27-31,,Shooting foul by W. Matthews (drawn by J. Harden)
0:45.0,,,27-31,,D. Howard enters the game for J. Dorsey
0:45.0,,,27-32,1,J. Harden makes free throw 1 of 1
0:33.0,C. McCollum makes 3-pt shot from 23 ft (assist by S. Blake),3,30-32,,
0:11.0,,,30-35,3,C. Brewer makes 3-pt shot from 23 ft (assist by J. Harden)
0:07.0,Turnover by S. Blake (lost ball; steal by J. Harden),,30-35,,
0:07.0,Personal foul by S. Blake (drawn by J. Harden),,30-35,,
0:07.0,,,30-36,1,J. Harden makes free throw 1 of 2
0:07.0,D. Lillard enters the game for T. Robinson,,30-36,,
0:07.0,,,30-37,1,J. Harden makes free throw 2 of 2
0:02.0,,,30-37,,Personal foul by C. Brewer (drawn by D. Lillard)
0:02.0,D. Lillard makes free throw 1 of 3,1,31-37,,
0:02.0,D. Lillard makes free throw 2 of 3,1,32-37,,
0:02.0,D. Lillard makes free throw 3 of 3,1,33-37,,
