time,Indiana,pts.away,score,pts.home,Atlanta
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Hibbert vs. A. Horford,,,,Jump ball: R. Hibbert vs. A. Horford
11:40.0,,,0-2,2,J. Teague makes 2-pt shot from 20 ft
11:21.0,R. Hibbert makes 2-pt shot at rim (assist by S. Hill),2,2-2,,
11:05.0,,,2-4,2,D. Carroll makes 2-pt shot from 21 ft (assist by A. Horford)
10:38.0,L. Scola misses 2-pt shot from 20 ft,,2-4,,
10:37.0,,,2-4,,Defensive rebound by Team
10:14.0,,,2-7,3,P. Millsap makes 3-pt shot from 25 ft (assist by D. Carroll)
9:48.0,C. Miles misses 3-pt shot from 23 ft,,2-7,,
9:47.0,,,2-7,,Defensive rebound by K. Korver
9:41.0,,,2-7,,J. Teague misses 2-pt shot from 2 ft
9:41.0,Defensive rebound by Team,,2-7,,
9:41.0,,,2-7,,Loose ball foul by A. Horford (drawn by R. Hibbert)
9:29.0,C. Miles misses 3-pt shot from 25 ft,,2-7,,
9:27.0,Offensive rebound by L. Scola,,2-7,,
9:15.0,,,2-7,,Violation by P. Millsap (def goaltending)
9:15.0,D. Sloan makes 2-pt shot from 1 ft (assist by R. Hibbert),2,4-7,,
9:01.0,,,4-9,2,J. Teague makes 2-pt shot from 19 ft (assist by A. Horford)
8:38.0,R. Hibbert makes 2-pt shot from 1 ft (assist by D. Sloan),2,6-9,,
8:33.0,,,6-9,,Shooting foul by D. Sloan (drawn by J. Teague)
8:33.0,,,6-10,1,J. Teague makes free throw 1 of 2
8:33.0,,,6-11,1,J. Teague makes free throw 2 of 2
8:12.0,S. Hill misses 3-pt shot from 24 ft,,6-11,,
8:11.0,,,6-11,,Defensive rebound by Team
7:59.0,,,6-11,,D. Carroll misses 3-pt shot from 24 ft
7:58.0,Defensive rebound by L. Scola,,6-11,,
7:46.0,D. Sloan makes 3-pt shot from 24 ft (assist by C. Miles),3,9-11,,
7:33.0,Personal foul by C. Miles (drawn by D. Carroll),,9-11,,
7:23.0,,,9-13,2,A. Horford makes 2-pt shot from 19 ft (assist by J. Teague)
7:08.0,L. Scola makes 2-pt shot from 18 ft (assist by S. Hill),2,11-13,,
6:56.0,,,11-13,,Shooting foul by D. Sloan (drawn by J. Teague)
6:56.0,,,11-14,1,J. Teague makes free throw 1 of 2
6:56.0,,,11-14,,P. Antic enters the game for A. Horford
6:56.0,R. Stuckey enters the game for D. Sloan,,11-14,,
6:56.0,,,11-15,1,J. Teague makes free throw 2 of 2
6:41.0,S. Hill misses 2-pt shot from 1 ft (block by P. Millsap),,11-15,,
6:39.0,,,11-15,,Defensive rebound by P. Millsap
6:35.0,,,11-15,,Offensive charge foul by P. Millsap
6:35.0,,,11-15,,Turnover by P. Millsap (offensive foul)
6:24.0,L. Scola misses 2-pt shot from 18 ft,,11-15,,
6:23.0,,,11-15,,Defensive rebound by D. Carroll
5:59.0,,,11-15,,Turnover by Team (shot clock)
5:59.0,,,11-15,,Atlanta full timeout
5:41.0,Turnover by C. Miles (bad pass; steal by D. Carroll),,11-15,,
5:17.0,,,11-15,,J. Teague misses 2-pt shot from 1 ft
5:15.0,Defensive rebound by L. Scola,,11-15,,
5:07.0,C. Miles misses 2-pt shot from 5 ft,,11-15,,
5:06.0,,,11-15,,Defensive rebound by D. Carroll
4:55.0,,,11-15,,P. Millsap misses 3-pt shot from 25 ft
4:54.0,Defensive rebound by S. Hill,,11-15,,
4:34.0,Turnover by L. Scola (bad pass),,11-15,,
4:34.0,,,11-15,,K. Bazemore enters the game for K. Korver
4:24.0,,,11-17,2,P. Millsap makes 2-pt shot from 16 ft (assist by J. Teague)
4:03.0,R. Stuckey misses 2-pt shot from 18 ft (block by J. Teague),,11-17,,
4:02.0,,,11-17,,Defensive rebound by K. Bazemore
3:44.0,,,11-19,2,P. Millsap makes 2-pt shot from 16 ft
3:31.0,Turnover by C. Miles (step out of bounds),,11-19,,
3:31.0,,,11-19,,T. Sefolosha enters the game for D. Carroll
3:31.0,C. Copeland enters the game for S. Hill,,11-19,,
3:16.0,,,11-22,3,J. Teague makes 3-pt shot from 25 ft (assist by P. Millsap)
3:15.0,Indiana full timeout,,11-22,,
3:15.0,L. Allen enters the game for L. Scola,,11-22,,
3:05.0,C. Copeland misses 2-pt shot from 15 ft,,11-22,,
3:03.0,Offensive rebound by R. Hibbert,,11-22,,
3:03.0,Shooting foul by P. Antic (drawn by R. Hibbert),,11-22,,
3:03.0,R. Hibbert makes free throw 1 of 2,1,12-22,,
3:03.0,R. Hibbert makes free throw 2 of 2,1,13-22,,
2:49.0,,,13-22,,T. Sefolosha misses 2-pt shot from 5 ft
2:48.0,Defensive rebound by R. Hibbert,,13-22,,
2:36.0,C. Miles misses 2-pt shot from 13 ft (block by T. Sefolosha),,13-22,,
2:34.0,,,13-22,,Defensive rebound by T. Sefolosha
2:32.0,,,13-22,,Turnover by K. Bazemore (lost ball; steal by R. Stuckey)
2:25.0,Offensive charge foul by R. Stuckey,,13-22,,
2:25.0,Turnover by R. Stuckey (offensive foul),,13-22,,
2:25.0,,,13-22,,S. Mack enters the game for P. Millsap
2:25.0,,,13-22,,M. Scott enters the game for J. Teague
2:06.0,,,13-22,,T. Sefolosha misses 3-pt shot from 23 ft
2:05.0,Defensive rebound by C. Miles,,13-22,,
1:53.0,R. Hibbert misses 2-pt shot from 19 ft,,13-22,,
1:52.0,,,13-22,,Defensive rebound by S. Mack
1:36.0,,,13-22,,S. Mack misses 3-pt shot from 25 ft
1:35.0,Defensive rebound by R. Hibbert,,13-22,,
1:16.0,R. Stuckey misses 3-pt shot from 25 ft,,13-22,,
1:14.0,,,13-22,,Defensive rebound by K. Bazemore
1:07.0,,,13-25,3,P. Antic makes 3-pt shot from 25 ft (assist by K. Bazemore)
0:52.0,Indiana full timeout,,13-25,,
0:52.0,,,13-25,,A. Horford enters the game for P. Antic
0:52.0,S. Hill enters the game for R. Stuckey,,13-25,,
0:47.0,C. Miles misses 2-pt shot from 6 ft (block by A. Horford),,13-25,,
0:44.0,,,13-25,,Defensive rebound by T. Sefolosha
0:41.0,,,13-25,,T. Sefolosha misses 2-pt shot from 2 ft (block by R. Hibbert)
0:39.0,Defensive rebound by L. Allen,,13-25,,
0:21.0,C. Miles makes 2-pt shot from 20 ft (assist by R. Hibbert),2,15-25,,
0:06.0,,,15-27,2,S. Mack makes 2-pt shot from 7 ft
0:00.0,S. Hill makes 3-pt shot from 33 ft (assist by C. Miles),3,18-27,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:39.0,D. Sloan misses 3-pt shot from 25 ft,,18-27,,
11:38.0,,,18-27,,Defensive rebound by M. Scott
11:33.0,,,18-27,,Turnover by M. Scott (lost ball; steal by D. Rudez)
11:10.0,Turnover by D. Sloan (traveling),,18-27,,
10:56.0,,,18-27,,K. Bazemore misses 2-pt shot from 12 ft (block by L. Allen)
10:54.0,Defensive rebound by I. Mahinmi,,18-27,,
10:34.0,Turnover by D. Sloan (bad pass; steal by M. Scott),,18-27,,
10:30.0,,,18-27,,Shooting foul by C. Copeland (drawn by M. Scott)
10:30.0,,,18-28,1,M. Scott makes free throw 1 of 2
10:30.0,,,18-28,,M. Scott misses free throw 2 of 2
10:29.0,Defensive rebound by L. Allen,,18-28,,
10:13.0,,,18-28,,Personal foul by T. Sefolosha (drawn by C. Copeland)
10:00.0,Turnover by L. Allen (lost ball; steal by T. Sefolosha),,18-28,,
9:54.0,,,18-28,,T. Sefolosha misses 2-pt shot from 2 ft
9:52.0,,,18-28,,Offensive rebound by M. Scott
9:49.0,,,18-31,3,K. Bazemore makes 3-pt shot from 25 ft (assist by M. Scott)
9:31.0,C. Copeland makes 3-pt shot from 25 ft (assist by D. Sloan),3,21-31,,
