time,Golden State,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Bogut vs. T. Mozgov (T. Thompson gains possession),,,,Jump ball: A. Bogut vs. T. Mozgov (T. Thompson gains possession)
11:48.0,,,0-2,2,L. James makes 2-pt shot from 2 ft
11:30.0,Turnover by H. Barnes (lost ball),,0-2,,
11:02.0,,,0-2,,M. Dellavedova misses 2-pt shot from 13 ft
11:00.0,Defensive rebound by D. Green,,0-2,,
10:49.0,D. Green misses 3-pt shot from 26 ft,,0-2,,
10:48.0,,,0-2,,Defensive rebound by L. James
10:40.0,,,0-2,,L. James misses 2-pt shot from 3 ft
10:39.0,,,0-2,,Offensive rebound by T. Thompson
10:33.0,,,0-4,2,T. Thompson makes 2-pt shot at rim
10:28.0,S. Curry makes 3-pt shot from 25 ft,3,3-4,,
10:05.0,,,3-6,2,M. Dellavedova makes 2-pt shot from 8 ft
9:56.0,S. Curry misses 2-pt shot from 5 ft,,3-6,,
9:55.0,,,3-6,,Defensive rebound by T. Thompson
9:45.0,Personal foul by H. Barnes (drawn by L. James),,3-6,,
9:39.0,,,3-6,,L. James misses 2-pt shot from 6 ft
9:36.0,Defensive rebound by Team,,3-6,,
9:27.0,K. Thompson makes 2-pt shot from 6 ft (assist by S. Curry),2,5-6,,
9:08.0,,,5-6,,L. James misses 2-pt shot from 21 ft
9:06.0,Defensive rebound by S. Curry,,5-6,,
8:44.0,Turnover by H. Barnes (lost ball; steal by L. James),,5-6,,
8:43.0,Personal foul by S. Curry (drawn by L. James),,5-6,,
8:24.0,,,5-8,2,L. James makes 2-pt shot from 1 ft
8:11.0,K. Thompson misses 2-pt shot from 12 ft,,5-8,,
8:09.0,,,5-8,,Defensive rebound by T. Thompson
8:03.0,,,5-8,,L. James misses 2-pt shot from 8 ft
8:01.0,,,5-8,,Offensive rebound by T. Thompson
7:59.0,,,5-8,,M. Dellavedova misses 3-pt shot from 25 ft
7:57.0,Defensive rebound by A. Bogut,,5-8,,
7:46.0,K. Thompson misses 2-pt shot from 19 ft,,5-8,,
7:45.0,,,5-8,,Defensive rebound by T. Thompson
7:33.0,,,5-10,2,M. Dellavedova makes 2-pt shot from 8 ft
7:30.0,Golden State full timeout,,5-10,,
7:13.0,S. Curry misses 3-pt shot from 26 ft,,5-10,,
7:11.0,,,5-10,,Defensive rebound by T. Thompson
6:59.0,,,5-12,2,L. James makes 2-pt shot at rim
6:49.0,,,5-12,,Personal foul by M. Dellavedova (drawn by H. Barnes)
6:49.0,A. Iguodala enters the game for H. Barnes,,5-12,,
6:38.0,K. Thompson misses 3-pt shot from 26 ft,,5-12,,
6:36.0,Offensive rebound by D. Green,,5-12,,
6:22.0,A. Iguodala misses 3-pt shot from 26 ft,,5-12,,
6:20.0,,,5-12,,Defensive rebound by L. James
6:16.0,,,5-12,,Turnover by L. James (traveling)
6:04.0,D. Green makes 2-pt shot from 1 ft (assist by A. Iguodala),2,7-12,,
6:04.0,Shooting foul by T. Thompson (drawn by D. Green),,7-12,,
6:04.0,F. Ezeli enters the game for A. Bogut,,7-12,,
6:04.0,,,7-12,,J. Smith enters the game for M. Dellavedova
6:04.0,D. Green makes free throw 1 of 1,1,8-12,,
5:48.0,,,8-14,2,J. Smith makes 2-pt shot from 13 ft
5:39.0,K. Thompson makes 2-pt shot from 18 ft (assist by A. Iguodala),2,10-14,,
5:17.0,,,10-16,2,T. Mozgov makes 2-pt shot from 1 ft (assist by J. Smith)
5:10.0,,,10-16,,Personal foul by I. Shumpert (drawn by S. Curry)
5:02.0,A. Iguodala makes 2-pt shot at rim (assist by S. Curry),2,12-16,,
4:53.0,,,12-16,,Cleveland full timeout
4:53.0,,,12-16,,M. Dellavedova enters the game for I. Shumpert
4:38.0,,,12-18,2,T. Thompson makes 2-pt shot from 8 ft
4:22.0,F. Ezeli makes 2-pt shot at rim (assist by K. Thompson),2,14-18,,
4:02.0,S. Livingston enters the game for K. Thompson,,14-18,,
4:02.0,,,14-18,,J. Jones enters the game for T. Mozgov
3:56.0,,,14-18,,M. Dellavedova misses 2-pt shot from 15 ft
3:55.0,Defensive rebound by F. Ezeli,,14-18,,
3:44.0,A. Iguodala misses 3-pt shot from 26 ft,,14-18,,
3:43.0,Offensive rebound by S. Livingston,,14-18,,
3:28.0,S. Livingston makes 2-pt shot from 1 ft (assist by S. Curry),2,16-18,,
3:13.0,,,16-21,3,J. Jones makes 3-pt shot from 26 ft (assist by L. James)
3:13.0,,,16-21,,Shooting foul by D. Green (drawn by J. Jones)
3:13.0,H. Barnes enters the game for D. Green,,16-21,,
3:13.0,,,16-22,1,J. Jones makes free throw 1 of 1
3:01.0,S. Curry misses 2-pt shot from 15 ft,,16-22,,
3:00.0,,,16-22,,Defensive rebound by J. Jones
2:48.0,,,16-22,,L. James misses 2-pt shot from 3 ft
2:45.0,Defensive rebound by F. Ezeli,,16-22,,
2:31.0,H. Barnes misses 2-pt shot from 13 ft,,16-22,,
2:28.0,Offensive rebound by F. Ezeli,,16-22,,
2:24.0,A. Iguodala makes 2-pt shot at rim (assist by S. Livingston),2,18-22,,
2:12.0,,,18-22,,Turnover by L. James (bad pass; steal by S. Curry)
2:12.0,,,18-22,,Personal foul by J. Jones (drawn by H. Barnes)
1:52.0,H. Barnes misses 2-pt shot from 18 ft,,18-22,,
1:51.0,,,18-22,,Defensive rebound by L. James
1:38.0,,,18-22,,L. James misses 2-pt shot from 7 ft
1:37.0,Defensive rebound by S. Curry,,18-22,,
1:33.0,S. Curry misses 3-pt shot from 26 ft,,18-22,,
1:32.0,Offensive rebound by H. Barnes,,18-22,,
1:32.0,H. Barnes misses 2-pt shot from 3 ft,,18-22,,
1:31.0,Offensive rebound by H. Barnes,,18-22,,
1:31.0,H. Barnes misses 2-pt shot from 3 ft,,18-22,,
1:26.0,Offensive rebound by S. Curry,,18-22,,
1:24.0,Turnover by F. Ezeli (bad pass),,18-22,,
1:11.0,Personal block foul by S. Livingston (drawn by J. Smith),,18-22,,
0:58.0,,,18-22,,L. James misses 2-pt shot from 1 ft
0:57.0,,,18-22,,Offensive rebound by T. Thompson
0:57.0,,,18-22,,Turnover by Team (shot clock)
0:57.0,,,18-22,,M. Miller enters the game for L. James
0:38.0,F. Ezeli makes 2-pt shot from 13 ft (assist by A. Iguodala),2,20-22,,
0:32.0,,,20-22,,M. Dellavedova misses 2-pt shot from 6 ft (block by F. Ezeli)
0:32.0,,,20-22,,Offensive rebound by Team
0:26.0,,,20-24,2,T. Thompson makes 2-pt shot from 2 ft (assist by M. Dellavedova)
0:01.0,Turnover by S. Curry (bad pass; steal by M. Miller),,20-24,,
0:01.0,,,20-24,,M. Dellavedova misses 2-pt shot from 20 ft (block by S. Curry)
0:01.0,,,20-24,,Offensive rebound by Team
0:01.0,,,20-24,,Offensive foul by J. Jones
0:01.0,,,20-24,,Turnover by J. Jones (offensive foul)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:37.0,S. Livingston makes 2-pt shot from 16 ft (assist by F. Ezeli),2,22-24,,
11:24.0,,,22-24,,Offensive foul by T. Mozgov
11:24.0,,,22-24,,Turnover by T. Mozgov (offensive foul)
11:11.0,Shooting foul by J. Jones (drawn by F. Ezeli),,22-24,,
11:11.0,F. Ezeli makes free throw 1 of 2,1,23-24,,
11:11.0,,,23-24,,T. Thompson enters the game for J. Jones
11:11.0,D. Green enters the game for H. Barnes,,23-24,,
11:11.0,F. Ezeli misses free throw 2 of 2,,23-24,,
11:10.0,,,23-24,,Defensive rebound by J. Smith
10:53.0,,,23-26,2,J. Smith makes 2-pt shot from 20 ft
10:37.0,A. Iguodala makes 3-pt shot from 24 ft (assist by S. Livingston),3,26-26,,
10:21.0,Personal foul by F. Ezeli (drawn by T. Mozgov),,26-26,,
10:08.0,,,26-28,2,L. James makes 2-pt shot from 1 ft
9:49.0,L. Barbosa misses 2-pt shot from 7 ft,,26-28,,
9:48.0,,,26-28,,Defensive rebound by L. James
9:28.0,,,26-31,3,J. Smith makes 3-pt shot from 26 ft (assist by T. Mozgov)
9:23.0,Golden State full timeout,,26-31,,
9:23.0,A. Bogut enters the game for F. Ezeli,,26-31,,
9:23.0,K. Thompson enters the game for L. Barbosa,,26-31,,
9:13.0,Turnover by S. Livingston (bad pass; steal by T. Mozgov),,26-31,,
8:58.0,,,26-31,,L. James misses 2-pt shot from 15 ft
8:55.0,Defensive rebound by A. Bogut,,26-31,,
8:41.0,A. Iguodala misses 3-pt shot from 26 ft,,26-31,,
8:40.0,,,26-31,,Defensive rebound by L. James
8:17.0,,,26-31,,T. Mozgov misses 2-pt shot from 2 ft (block by A. Bogut)
8:15.0,Defensive rebound by A. Bogut,,26-31,,
8:08.0,K. Thompson misses 2-pt shot from 7 ft (block by J. Smith),,26-31,,
8:06.0,Offensive rebound by K. Thompson,,26-31,,
8:04.0,K. Thompson makes 2-pt shot from 10 ft,2,28-31,,
7:46.0,Personal foul by K. Thompson (drawn by J. Smith),,28-31,,
7:46.0,,,28-31,,M. Dellavedova enters the game for M. Miller
7:46.0,S. Curry enters the game for S. Livingston,,28-31,,
7:38.0,,,28-31,,T. Thompson misses 2-pt shot from 13 ft
7:38.0,,,28-31,,Offensive rebound by Team
7:38.0,Loose ball foul by D. Green (drawn by T. Mozgov),,28-31,,
7:28.0,,,28-31,,Shooting foul by A. Iguodala (drawn by L. James)
7:28.0,,,28-32,1,L. James makes free throw 1 of 2
7:28.0,,,28-32,,L. James misses free throw 2 of 2
7:27.0,Defensive rebound by D. Green,,28-32,,
7:12.0,K. Thompson misses 3-pt shot from 26 ft,,28-32,,
7:11.0,,,28-32,,Defensive rebound by T. Mozgov
7:01.0,,,28-34,2,L. James makes 2-pt shot from 1 ft
6:49.0,D. Green misses 2-pt shot from 5 ft (block by T. Mozgov),,28-34,,
6:48.0,,,28-34,,Defensive rebound by L. James
6:41.0,,,28-34,,M. Dellavedova misses 3-pt shot from 24 ft
6:40.0,Defensive rebound by K. Thompson,,28-34,,
6:19.0,D. Green misses 3-pt shot from 26 ft,,28-34,,
6:18.0,,,28-34,,Defensive rebound by M. Dellavedova
6:12.0,,,28-34,,J. Smith misses 3-pt shot from 25 ft
6:10.0,Defensive rebound by Team,,28-34,,
5:55.0,D. Green makes 3-pt shot from 25 ft (assist by A. Bogut),3,31-34,,
