time,Milwaukee,pts.away,score,pts.home,Boston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Bass vs. Z. Pachulia (M. Smart gains possession),,,,Jump ball: B. Bass vs. Z. Pachulia (M. Smart gains possession)
11:40.0,,,0-0,,T. Zeller misses 2-pt shot from 19 ft
11:39.0,Defensive rebound by K. Middleton,,0-0,,
11:26.0,G. Antetokounmpo misses 2-pt shot from 19 ft,,0-0,,
11:25.0,,,0-0,,Defensive rebound by M. Smart
11:09.0,,,0-2,2,A. Bradley makes 2-pt shot from 20 ft
10:58.0,Turnover by Z. Pachulia (bad pass),,0-2,,
10:36.0,,,0-2,,A. Bradley misses 3-pt shot from 25 ft
10:35.0,Defensive rebound by G. Antetokounmpo,,0-2,,
10:24.0,E. Ilyasova makes 2-pt shot at rim (assist by Z. Pachulia),2,2-2,,
10:13.0,,,2-2,,E. Turner misses 2-pt shot from 17 ft
10:12.0,Defensive rebound by M. Carter-Williams,,2-2,,
10:03.0,K. Middleton misses 3-pt shot from 26 ft,,2-2,,
10:02.0,,,2-2,,Defensive rebound by E. Turner
9:56.0,,,2-4,2,A. Bradley makes 2-pt shot from 20 ft (assist by E. Turner)
9:40.0,Z. Pachulia misses 2-pt shot from 1 ft,,2-4,,
9:39.0,Offensive rebound by Z. Pachulia,,2-4,,
9:38.0,Z. Pachulia misses 2-pt shot at rim (block by E. Turner),,2-4,,
9:37.0,Offensive rebound by Team,,2-4,,
9:32.0,Z. Pachulia misses 2-pt shot from 6 ft,,2-4,,
9:30.0,,,2-4,,Defensive rebound by A. Bradley
9:21.0,,,2-4,,T. Zeller misses 2-pt shot from 2 ft
9:20.0,Defensive rebound by M. Carter-Williams,,2-4,,
9:08.0,Turnover by M. Carter-Williams (traveling),,2-4,,
8:49.0,,,2-4,,T. Zeller misses 2-pt shot from 9 ft
8:48.0,Defensive rebound by Z. Pachulia,,2-4,,
8:39.0,G. Antetokounmpo makes 2-pt shot from 1 ft,2,4-4,,
8:18.0,,,4-4,,B. Bass misses 2-pt shot from 11 ft
8:17.0,Defensive rebound by Z. Pachulia,,4-4,,
8:05.0,E. Ilyasova misses 3-pt shot from 25 ft,,4-4,,
8:04.0,,,4-4,,Defensive rebound by A. Bradley
7:56.0,,,4-6,2,A. Bradley makes 2-pt shot from 8 ft
7:39.0,K. Middleton makes 2-pt shot from 1 ft (assist by Z. Pachulia),2,6-6,,
7:20.0,,,6-9,3,A. Bradley makes 3-pt shot from 25 ft (assist by T. Zeller)
7:08.0,,,6-9,,Personal foul by M. Smart (drawn by M. Carter-Williams)
6:59.0,M. Carter-Williams misses 2-pt shot from 12 ft,,6-9,,
6:58.0,,,6-9,,Defensive rebound by A. Bradley
6:50.0,,,6-9,,T. Zeller misses 2-pt shot from 4 ft (block by Z. Pachulia)
6:49.0,,,6-9,,Offensive rebound by B. Bass
6:48.0,,,6-9,,B. Bass misses 2-pt shot at rim
6:47.0,,,6-9,,Offensive rebound by B. Bass
6:47.0,,,6-11,2,B. Bass makes 2-pt shot at rim
6:29.0,E. Ilyasova misses 2-pt shot from 8 ft,,6-11,,
6:28.0,,,6-11,,Defensive rebound by T. Zeller
6:17.0,,,6-13,2,T. Zeller makes 2-pt shot from 2 ft (assist by E. Turner)
6:06.0,G. Antetokounmpo misses 2-pt shot from 19 ft,,6-13,,
6:05.0,,,6-13,,Defensive rebound by T. Zeller
5:49.0,,,6-15,2,E. Turner makes 2-pt shot from 1 ft
5:46.0,Milwaukee full timeout,,6-15,,
5:46.0,,,6-15,,I. Thomas enters the game for M. Smart
5:46.0,J. Dudley enters the game for E. Ilyasova,,6-15,,
5:46.0,J. Henson enters the game for Z. Pachulia,,6-15,,
5:21.0,J. Henson makes 2-pt shot from 9 ft,2,8-15,,
5:01.0,,,8-15,,A. Bradley misses 2-pt shot from 2 ft
5:00.0,Defensive rebound by K. Middleton,,8-15,,
4:56.0,Turnover by K. Middleton (lost ball; steal by E. Turner),,8-15,,
4:56.0,Personal foul by J. Dudley (drawn by E. Turner),,8-15,,
4:41.0,,,8-15,,B. Bass misses 3-pt shot from 23 ft
4:40.0,Defensive rebound by K. Middleton,,8-15,,
4:33.0,Turnover by K. Middleton (lost ball),,8-15,,
4:24.0,,,8-15,,A. Bradley misses 3-pt shot from 24 ft
4:23.0,Defensive rebound by M. Carter-Williams,,8-15,,
4:09.0,M. Carter-Williams misses 2-pt shot from 6 ft (block by T. Zeller),,8-15,,
4:09.0,Offensive rebound by Team,,8-15,,
4:07.0,K. Middleton misses 2-pt shot from 20 ft,,8-15,,
4:06.0,,,8-15,,Defensive rebound by T. Zeller
3:53.0,,,8-17,2,B. Bass makes 2-pt shot from 7 ft (assist by T. Zeller)
3:36.0,M. Carter-Williams misses 2-pt shot from 6 ft,,8-17,,
3:34.0,Offensive rebound by J. Henson,,8-17,,
3:34.0,J. Henson makes 2-pt shot at rim,2,10-17,,
3:18.0,,,10-17,,E. Turner misses 2-pt shot from 1 ft (block by J. Henson)
3:17.0,Defensive rebound by J. Henson,,10-17,,
3:09.0,G. Antetokounmpo makes 2-pt shot from 2 ft (assist by K. Middleton),2,12-17,,
3:01.0,,,12-17,,Turnover by I. Thomas (bad pass; steal by M. Carter-Williams)
2:52.0,,,12-17,,Boston full timeout
2:52.0,O. Mayo enters the game for K. Middleton,,12-17,,
2:52.0,,,12-17,,J. Crowder enters the game for E. Turner
2:52.0,,,12-17,,K. Olynyk enters the game for T. Zeller
2:44.0,J. Dudley misses 3-pt shot from 23 ft,,12-17,,
2:42.0,Offensive rebound by J. Henson,,12-17,,
2:36.0,O. Mayo misses 2-pt shot from 13 ft,,12-17,,
2:35.0,,,12-17,,Defensive rebound by J. Crowder
2:14.0,,,12-17,,I. Thomas misses 3-pt shot from 25 ft
2:12.0,Defensive rebound by G. Antetokounmpo,,12-17,,
2:06.0,Turnover by G. Antetokounmpo (lost ball; steal by A. Bradley),,12-17,,
2:03.0,Personal foul by G. Antetokounmpo (drawn by A. Bradley),,12-17,,
2:03.0,J. Bayless enters the game for M. Carter-Williams,,12-17,,
1:51.0,,,12-17,,J. Crowder misses 3-pt shot from 22 ft
1:50.0,Defensive rebound by J. Dudley,,12-17,,
1:46.0,O. Mayo makes 2-pt shot from 1 ft,2,14-17,,
1:46.0,Shooting foul by B. Bass (drawn by O. Mayo),,14-17,,
1:46.0,O. Mayo misses free throw 1 of 1,,14-17,,
1:46.0,,,14-17,,Defensive rebound by B. Bass
1:31.0,,,14-17,,J. Crowder misses 2-pt shot at rim
1:30.0,Defensive rebound by J. Henson,,14-17,,
1:22.0,G. Antetokounmpo makes 2-pt shot at rim (assist by J. Dudley),2,16-17,,
1:06.0,,,16-20,3,K. Olynyk makes 3-pt shot from 25 ft (assist by I. Thomas)
0:58.0,O. Mayo makes 3-pt shot from 25 ft (assist by J. Bayless),3,19-20,,
