time,Philadelphia,pts.away,score,pts.home,Chicago
3:29.0,,,16-22,,Offensive rebound by Team
3:29.0,,,16-23,1,P. Gasol makes free throw 2 of 2
3:20.0,,,16-23,,Personal foul by T. Gibson (drawn by R. Covington)
3:08.0,G. Robinson makes 2-pt shot from 16 ft (assist by R. Covington),2,18-23,,
2:55.0,,,18-23,,Shooting foul by G. Robinson (drawn by J. Butler)
2:55.0,,,18-23,,Chicago full timeout
2:55.0,,,18-24,1,J. Butler makes free throw 1 of 2
2:55.0,,,18-25,1,J. Butler makes free throw 2 of 2
2:32.0,R. Covington makes 2-pt shot from 5 ft,2,20-25,,
2:15.0,,,20-25,,A. Brooks misses 3-pt shot from 25 ft
2:14.0,Defensive rebound by H. Sims,,20-25,,
2:07.0,G. Robinson misses 3-pt shot from 23 ft,,20-25,,
2:05.0,Offensive rebound by H. Sims,,20-25,,
2:04.0,H. Sims misses 2-pt shot from 2 ft,,20-25,,
2:03.0,,,20-25,,Defensive rebound by M. Dunleavy
1:49.0,,,20-25,,P. Gasol misses 2-pt shot from 17 ft
1:48.0,Defensive rebound by T. Robinson,,20-25,,
1:39.0,H. Sims makes 2-pt shot from 15 ft (assist by R. Covington),2,22-25,,
1:21.0,,,22-25,,Turnover by P. Gasol (bad pass; steal by H. Sims)
1:11.0,R. Covington misses 3-pt shot from 24 ft,,22-25,,
1:07.0,Offensive rebound by H. Sims,,22-25,,
1:07.0,Philadelphia full timeout,,22-25,,
1:07.0,,,22-25,,K. Hinrich enters the game for J. Butler
1:07.0,,,22-25,,N. Mirotic enters the game for M. Dunleavy
1:07.0,J. Richardson enters the game for R. Covington,,22-25,,
1:04.0,,,22-25,,Personal foul by A. Brooks (drawn by J. Richardson)
0:55.0,J. Richardson makes 2-pt shot from 15 ft,2,24-25,,
0:40.0,,,24-25,,P. Gasol misses 2-pt shot from 2 ft (block by H. Sims)
0:39.0,Defensive rebound by Team,,24-25,,
0:26.0,H. Sims makes 2-pt shot from 19 ft (assist by T. Robinson),2,26-25,,
0:07.0,,,26-28,3,A. Brooks makes 3-pt shot from 24 ft
0:01.0,Turnover by G. Robinson (traveling),,26-28,,
0:00.0,,,26-28,,A. Brooks misses 3-pt shot from 49 ft
0:00.0,,,26-28,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:38.0,G. Robinson misses 2-pt shot from 18 ft,,26-28,,
11:37.0,,,26-28,,Defensive rebound by N. Mirotic
11:28.0,,,26-28,,Turnover by A. Brooks (bad pass; steal by T. Robinson)
11:19.0,T. Robinson misses 2-pt shot from 1 ft,,26-28,,
11:17.0,,,26-28,,Defensive rebound by J. Noah
11:06.0,,,26-28,,A. Brooks misses 2-pt shot from 8 ft
11:03.0,Defensive rebound by T. Robinson,,26-28,,
10:51.0,J. Richardson makes 3-pt shot from 25 ft,3,29-28,,
10:29.0,,,29-28,,J. Noah misses 2-pt shot at rim
10:28.0,Defensive rebound by T. Robinson,,29-28,,
10:21.0,Shooting foul by N. Mirotic (drawn by G. Robinson),,29-28,,
10:21.0,G. Robinson makes free throw 1 of 2,1,30-28,,
10:21.0,J. Grant enters the game for T. Robinson,,30-28,,
10:21.0,G. Robinson makes free throw 2 of 2,1,31-28,,
10:02.0,,,31-28,,A. Brooks misses 2-pt shot from 17 ft
10:01.0,Defensive rebound by G. Robinson,,31-28,,
9:57.0,Offensive charge foul by G. Robinson,,31-28,,
9:57.0,Turnover by G. Robinson (offensive foul),,31-28,,
9:57.0,R. Covington enters the game for G. Robinson,,31-28,,
9:44.0,,,31-28,,N. Mirotic misses 3-pt shot from 25 ft
9:43.0,Defensive rebound by F. Aldemir,,31-28,,
9:36.0,J. Richardson makes 3-pt shot from 26 ft (assist by H. Thompson),3,34-28,,
9:31.0,,,34-28,,Chicago full timeout
9:21.0,,,34-28,,Turnover by J. Noah (bad pass)
9:05.0,Turnover by J. Grant (lost ball),,34-28,,
8:51.0,,,34-28,,T. Gibson misses 2-pt shot from 6 ft
8:50.0,Defensive rebound by H. Thompson,,34-28,,
8:44.0,H. Thompson misses 2-pt shot from 3 ft,,34-28,,
8:42.0,,,34-28,,Defensive rebound by Team
8:26.0,,,34-28,,N. Mirotic misses 2-pt shot from 22 ft
8:25.0,,,34-28,,Offensive rebound by T. Gibson
8:21.0,,,34-28,,A. Brooks misses 3-pt shot from 23 ft
8:19.0,,,34-28,,Offensive rebound by J. Noah
8:19.0,,,34-30,2,J. Noah makes 2-pt shot from 1 ft
8:06.0,J. Richardson makes 3-pt shot from 24 ft,3,37-30,,
7:43.0,,,37-30,,A. Brooks misses 2-pt shot from 4 ft (block by J. Grant)
7:43.0,,,37-30,,Offensive rebound by Team
7:43.0,J. Sampson enters the game for H. Thompson,,37-30,,
7:41.0,,,37-30,,Turnover by A. Brooks (bad pass; steal by J. Richardson)
7:38.0,R. Covington makes 2-pt shot from 1 ft (assist by J. Richardson),2,39-30,,
7:31.0,,,39-30,,Chicago full timeout
7:31.0,,,39-30,,D. Rose enters the game for A. Brooks
7:31.0,,,39-30,,J. Butler enters the game for K. Hinrich
7:31.0,,,39-30,,M. Dunleavy enters the game for N. Mirotic
7:21.0,,,39-30,,M. Dunleavy misses 3-pt shot from 23 ft
7:19.0,Defensive rebound by J. Richardson,,39-30,,
7:11.0,J. Richardson misses 2-pt shot from 14 ft,,39-30,,
7:08.0,Offensive rebound by F. Aldemir,,39-30,,
6:57.0,J. Richardson misses 3-pt shot from 25 ft,,39-30,,
6:56.0,,,39-30,,Defensive rebound by M. Dunleavy
6:48.0,,,39-33,3,M. Dunleavy makes 3-pt shot from 25 ft (assist by D. Rose)
6:27.0,J. Grant misses 3-pt shot from 25 ft,,39-33,,
6:27.0,Offensive rebound by Team,,39-33,,
6:27.0,,,39-33,,Personal foul by J. Noah (drawn by F. Aldemir)
6:27.0,G. Robinson enters the game for J. Richardson,,39-33,,
6:14.0,R. Covington misses 2-pt shot from 10 ft,,39-33,,
6:13.0,,,39-33,,Defensive rebound by T. Gibson
6:07.0,,,39-33,,Shooting foul by F. Aldemir (drawn by D. Rose)
6:07.0,,,39-34,1,D. Rose makes free throw 1 of 2
6:07.0,H. Sims enters the game for F. Aldemir,,39-34,,
6:07.0,,,39-35,1,D. Rose makes free throw 2 of 2
5:55.0,R. Covington misses 2-pt shot from 2 ft,,39-35,,
5:53.0,Offensive rebound by J. Grant,,39-35,,
5:50.0,J. Grant makes 3-pt shot from 23 ft,3,42-35,,
5:42.0,Personal foul by H. Sims (drawn by M. Dunleavy),,42-35,,
5:33.0,,,42-37,2,D. Rose makes 2-pt shot from 15 ft
5:11.0,J. Sampson makes 3-pt shot from 23 ft (assist by G. Robinson),3,45-37,,
5:01.0,,,45-39,2,D. Rose makes 2-pt shot from 2 ft
4:44.0,Turnover by J. Grant (bad pass; steal by J. Butler),,45-39,,
4:44.0,Personal foul by H. Sims (drawn by J. Butler),,45-39,,
4:44.0,T. Robinson enters the game for H. Sims,,45-39,,
4:33.0,Personal foul by G. Robinson (drawn by J. Butler),,45-39,,
4:25.0,,,45-41,2,T. Gibson makes 2-pt shot at rim (assist by D. Rose)
3:58.0,J. Sampson misses 3-pt shot from 24 ft,,45-41,,
3:57.0,Offensive rebound by G. Robinson,,45-41,,
3:42.0,J. Sampson makes 2-pt shot from 1 ft,2,47-41,,
3:26.0,,,47-41,,D. Rose misses 2-pt shot from 21 ft
3:26.0,,,47-41,,Offensive rebound by Team
3:26.0,,,47-41,,P. Gasol enters the game for J. Noah
3:26.0,H. Thompson enters the game for G. Robinson,,47-41,,
3:21.0,,,47-41,,Shooting foul by H. Thompson (drawn by J. Butler)
3:21.0,,,47-41,,J. Butler misses free throw 1 of 2
3:21.0,,,47-41,,Offensive rebound by Team
3:21.0,,,47-42,1,J. Butler makes free throw 2 of 2
2:57.0,R. Covington misses 3-pt shot from 23 ft,,47-42,,
2:56.0,,,47-42,,Defensive rebound by M. Dunleavy
2:43.0,,,47-44,2,T. Gibson makes 2-pt shot from 16 ft (assist by J. Butler)
2:37.0,Philadelphia full timeout,,47-44,,
2:19.0,J. Sampson misses 2-pt shot at rim,,47-44,,
2:18.0,,,47-44,,Defensive rebound by D. Rose
2:07.0,,,47-44,,Turnover by P. Gasol (3 sec)
1:52.0,J. Grant misses 3-pt shot from 25 ft,,47-44,,
1:51.0,,,47-44,,Defensive rebound by P. Gasol
1:43.0,,,47-46,2,T. Gibson makes 2-pt shot at rim (assist by D. Rose)
1:26.0,T. Robinson misses 2-pt shot from 2 ft (block by P. Gasol),,47-46,,
1:24.0,,,47-46,,Defensive rebound by T. Gibson
1:19.0,,,47-46,,J. Butler misses 2-pt shot from 21 ft
