time,San Antonio,pts.away,score,pts.home,Utah
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Duncan vs. R. Gobert (T. Parker gains possession),,,,Jump ball: T. Duncan vs. R. Gobert (T. Parker gains possession)
11:42.0,A. Baynes misses 2-pt shot from 6 ft,,0-0,,
11:41.0,,,0-0,,Defensive rebound by R. Gobert
11:23.0,,,0-0,,G. Hayward misses 2-pt shot from 8 ft
11:22.0,Defensive rebound by T. Duncan,,0-0,,
11:10.0,K. Leonard makes 2-pt shot from 13 ft,2,2-0,,
10:48.0,,,2-0,,R. Gobert misses 2-pt shot from 3 ft (block by T. Duncan)
10:47.0,,,2-0,,Offensive rebound by R. Gobert
10:47.0,,,2-0,,R. Gobert misses 2-pt shot from 3 ft
10:46.0,Defensive rebound by D. Green,,2-0,,
10:37.0,Turnover by T. Duncan (bad pass; steal by D. Favors),,2-0,,
10:14.0,,,2-0,,D. Favors misses 2-pt shot from 4 ft
10:13.0,Defensive rebound by D. Green,,2-0,,
10:05.0,T. Duncan makes 2-pt shot from 2 ft (assist by T. Parker),2,4-0,,
9:47.0,,,4-0,,J. Ingles misses 2-pt shot from 5 ft
9:47.0,,,4-0,,Offensive rebound by R. Gobert
9:44.0,,,4-3,3,D. Exum makes 3-pt shot from 25 ft (assist by J. Ingles)
9:29.0,T. Duncan misses 2-pt shot from 21 ft,,4-3,,
9:27.0,,,4-3,,Defensive rebound by D. Favors
9:13.0,,,4-5,2,D. Exum makes 2-pt shot from 1 ft
8:57.0,A. Baynes makes 2-pt shot from 14 ft (assist by T. Parker),2,6-5,,
8:32.0,,,6-5,,D. Exum misses 2-pt shot from 16 ft
8:29.0,,,6-5,,Offensive rebound by R. Gobert
8:29.0,,,6-5,,R. Gobert misses 2-pt shot from 2 ft
8:29.0,,,6-5,,Offensive rebound by D. Favors
8:29.0,Personal foul by D. Green (drawn by D. Favors),,6-5,,
8:22.0,,,6-5,,Turnover by J. Ingles (bad pass; steal by K. Leonard)
8:16.0,D. Green makes 2-pt shot from 1 ft (assist by K. Leonard),2,8-5,,
8:11.0,,,8-5,,Shooting foul by A. Baynes (drawn by G. Hayward)
8:11.0,,,8-6,1,G. Hayward makes free throw 1 of 2
8:11.0,,,8-7,1,G. Hayward makes free throw 2 of 2
7:53.0,T. Parker misses 2-pt shot from 18 ft,,8-7,,
7:51.0,,,8-7,,Defensive rebound by R. Gobert
7:32.0,,,8-7,,D. Favors misses 2-pt shot from 17 ft
7:31.0,Defensive rebound by T. Parker,,8-7,,
7:18.0,T. Duncan misses 2-pt shot from 3 ft (block by D. Favors),,8-7,,
7:16.0,,,8-7,,Defensive rebound by G. Hayward
7:08.0,,,8-9,2,D. Favors makes 2-pt shot at rim (assist by G. Hayward)
6:53.0,Turnover by D. Green (lost ball; steal by G. Hayward),,8-9,,
6:49.0,,,8-11,2,R. Gobert makes 2-pt shot at rim (assist by J. Ingles)
6:49.0,San Antonio full timeout,,8-11,,
6:49.0,M. Ginobili enters the game for A. Baynes,,8-11,,
6:49.0,B. Diaw enters the game for D. Green,,8-11,,
6:34.0,Turnover by T. Parker (bad pass; steal by D. Exum),,8-11,,
6:28.0,,,8-13,2,J. Ingles makes 2-pt shot from 3 ft (assist by D. Exum)
6:13.0,,,8-13,,Personal foul by D. Favors (drawn by K. Leonard)
6:05.0,Shooting foul by D. Favors (drawn by K. Leonard),,8-13,,
6:05.0,K. Leonard makes free throw 1 of 2,1,9-13,,
6:05.0,,,9-13,,T. Booker enters the game for D. Favors
6:05.0,,,9-13,,T. Burke enters the game for D. Exum
6:05.0,K. Leonard misses free throw 2 of 2,,9-13,,
6:03.0,,,9-13,,Defensive rebound by R. Gobert
5:54.0,,,9-13,,Shooting foul by T. Duncan (drawn by G. Hayward)
5:54.0,,,9-14,1,G. Hayward makes free throw 1 of 2
5:54.0,,,9-15,1,G. Hayward makes free throw 2 of 2
5:33.0,T. Duncan makes 2-pt shot from 14 ft,2,11-15,,
5:22.0,,,11-15,,T. Booker misses 2-pt shot from 13 ft
5:19.0,Defensive rebound by K. Leonard,,11-15,,
5:19.0,,,11-15,,Personal foul by R. Gobert (drawn by T. Duncan)
5:19.0,P. Mills enters the game for T. Parker,,11-15,,
5:02.0,M. Ginobili misses 3-pt shot from 24 ft,,11-15,,
5:00.0,Offensive rebound by T. Duncan,,11-15,,
4:58.0,T. Duncan misses 2-pt shot from 1 ft (block by R. Gobert),,11-15,,
4:56.0,Offensive rebound by K. Leonard,,11-15,,
4:51.0,K. Leonard misses 2-pt shot from 3 ft,,11-15,,
4:50.0,,,11-15,,Defensive rebound by R. Gobert
4:45.0,,,11-15,,Turnover by T. Booker (lost ball; steal by K. Leonard)
4:37.0,T. Duncan misses 2-pt shot from 19 ft,,11-15,,
4:36.0,,,11-15,,Defensive rebound by R. Gobert
4:27.0,,,11-17,2,G. Hayward makes 2-pt shot from 17 ft
4:05.0,K. Leonard misses 2-pt shot from 18 ft,,11-17,,
4:03.0,Offensive rebound by T. Duncan,,11-17,,
3:53.0,T. Duncan misses 2-pt shot from 4 ft (block by R. Gobert),,11-17,,
3:53.0,Offensive rebound by Team,,11-17,,
3:53.0,T. Splitter enters the game for T. Duncan,,11-17,,
3:53.0,,,11-17,,E. Millsap enters the game for J. Ingles
3:51.0,M. Ginobili makes 2-pt shot from 16 ft (assist by B. Diaw),2,13-17,,
3:38.0,,,13-17,,Shooting foul by P. Mills (drawn by G. Hayward)
3:38.0,,,13-18,1,G. Hayward makes free throw 1 of 2
3:38.0,,,13-19,1,G. Hayward makes free throw 2 of 2
3:26.0,Turnover by M. Ginobili (bad pass; steal by R. Gobert),,13-19,,
3:20.0,,,13-21,2,R. Gobert makes 2-pt shot at rim (assist by G. Hayward)
3:14.0,Offensive charge foul by M. Ginobili,,13-21,,
3:14.0,Turnover by M. Ginobili (offensive foul),,13-21,,
3:14.0,M. Belinelli enters the game for K. Leonard,,13-21,,
2:54.0,,,13-23,2,T. Burke makes 2-pt shot from 14 ft
2:40.0,M. Ginobili makes 2-pt shot from 1 ft,2,15-23,,
2:34.0,,,15-23,,Shooting foul by T. Splitter (drawn by G. Hayward)
2:34.0,,,15-23,,Utah full timeout
2:34.0,,,15-23,,G. Hayward misses free throw 1 of 2
2:34.0,,,15-23,,Offensive rebound by Team
2:34.0,,,15-24,1,G. Hayward makes free throw 2 of 2
2:20.0,Turnover by M. Ginobili (lost ball; steal by E. Millsap),,15-24,,
2:06.0,,,15-24,,T. Booker misses 2-pt shot from 3 ft (block by M. Ginobili)
2:03.0,Defensive rebound by M. Ginobili,,15-24,,
1:55.0,T. Splitter makes 2-pt shot from 5 ft (assist by B. Diaw),2,17-24,,
1:37.0,,,17-26,2,T. Burke makes 2-pt shot from 13 ft
1:23.0,T. Splitter misses 2-pt shot from 5 ft,,17-26,,
1:22.0,,,17-26,,Defensive rebound by R. Gobert
1:12.0,,,17-28,2,T. Burke makes 2-pt shot from 1 ft
1:00.0,B. Diaw makes 3-pt shot from 23 ft (assist by M. Ginobili),3,20-28,,
0:46.0,,,20-28,,Turnover by E. Millsap (offensive foul)
0:46.0,,,20-28,,Offensive foul by E. Millsap
