time,Charlotte,pts.away,score,pts.home,Portland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Jefferson vs. R. Lopez (M. Kidd-Gilchrist gains possession),,,,Jump ball: A. Jefferson vs. R. Lopez (M. Kidd-Gilchrist gains possession)
11:44.0,M. Williams misses 2-pt shot from 22 ft,,0-0,,
11:43.0,,,0-0,,Defensive rebound by R. Lopez
11:20.0,,,0-0,,A. Crabbe misses 2-pt shot from 12 ft
11:19.0,,,0-0,,Offensive rebound by A. Crabbe
11:12.0,,,0-0,,L. Aldridge misses 2-pt shot from 16 ft
11:10.0,Defensive rebound by L. Stephenson,,0-0,,
10:58.0,M. Kidd-Gilchrist makes 2-pt shot from 6 ft (assist by K. Walker),2,2-0,,
10:43.0,,,2-0,,R. Lopez misses 2-pt shot from 8 ft
10:42.0,Defensive rebound by K. Walker,,2-0,,
10:33.0,K. Walker makes 2-pt shot from 19 ft,2,4-0,,
10:15.0,,,4-2,2,R. Lopez makes 2-pt shot from 2 ft (assist by D. Lillard)
10:03.0,L. Stephenson makes 3-pt shot from 24 ft (assist by M. Kidd-Gilchrist),3,7-2,,
9:36.0,,,7-2,,Shooting foul by M. Williams (drawn by L. Aldridge)
9:36.0,,,7-3,1,L. Aldridge makes free throw 1 of 2
9:36.0,,,7-4,1,L. Aldridge makes free throw 2 of 2
9:19.0,A. Jefferson misses 2-pt shot from 4 ft,,7-4,,
9:19.0,,,7-4,,Defensive rebound by L. Aldridge
9:07.0,,,7-4,,Turnover by D. Lillard (bad pass; steal by K. Walker)
8:59.0,A. Jefferson misses 2-pt shot from 22 ft,,7-4,,
8:58.0,,,7-4,,Defensive rebound by L. Aldridge
8:50.0,,,7-6,2,D. Lillard makes 2-pt shot from 21 ft
8:35.0,A. Jefferson makes 2-pt shot at rim,2,9-6,,
8:16.0,,,9-6,,L. Aldridge misses 2-pt shot from 10 ft
8:15.0,Defensive rebound by L. Stephenson,,9-6,,
8:08.0,L. Stephenson makes 2-pt shot from 21 ft,2,11-6,,
