time,Memphis,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gasol vs. A. Varejao (M. Conley gains possession),,,,Jump ball: M. Gasol vs. A. Varejao (M. Conley gains possession)
11:45.0,,,0-0,,Personal foul by M. Miller (drawn by M. Gasol)
11:34.0,Turnover by C. Lee (dbl dribble),,0-0,,
11:09.0,,,0-3,3,K. Irving makes 3-pt shot from 24 ft (assist by L. James)
10:52.0,Turnover by M. Gasol (lost ball),,0-3,,
10:38.0,,,0-5,2,K. Love makes 2-pt shot from 20 ft (assist by M. Miller)
10:20.0,C. Lee misses 2-pt shot from 16 ft,,0-5,,
10:20.0,,,0-5,,Defensive rebound by Team
10:09.0,,,0-5,,Turnover by K. Irving (bad pass; steal by J. Leuer)
10:00.0,M. Gasol misses 2-pt shot from 19 ft,,0-5,,
9:59.0,,,0-5,,Defensive rebound by K. Love
9:44.0,Violation by M. Conley (kicked ball),,0-5,,
9:36.0,,,0-5,,L. James misses 2-pt shot from 16 ft
9:35.0,Defensive rebound by M. Conley,,0-5,,
9:25.0,M. Gasol makes 2-pt shot from 8 ft (assist by M. Conley),2,2-5,,
9:10.0,,,2-7,2,A. Varejao makes 2-pt shot from 16 ft (assist by L. James)
8:50.0,J. Leuer misses 3-pt shot from 26 ft,,2-7,,
8:49.0,,,2-7,,Defensive rebound by K. Love
8:35.0,,,2-7,,A. Varejao misses 2-pt shot from 11 ft (block by M. Gasol)
8:33.0,Defensive rebound by C. Lee,,2-7,,
8:29.0,M. Gasol makes 2-pt shot at rim (assist by C. Lee),2,4-7,,
8:16.0,Personal foul by M. Gasol (drawn by L. James),,4-7,,
8:07.0,,,4-7,,K. Irving misses 2-pt shot from 11 ft
8:04.0,Defensive rebound by C. Lee,,4-7,,
7:56.0,C. Lee misses 2-pt shot from 6 ft,,4-7,,
7:53.0,,,4-7,,Defensive rebound by A. Varejao
7:35.0,,,4-7,,Turnover by K. Love (traveling)
7:18.0,M. Gasol misses 2-pt shot from 19 ft,,4-7,,
7:17.0,,,4-7,,Defensive rebound by L. James
7:08.0,,,4-9,2,A. Varejao makes 2-pt shot at rim (assist by L. James)
6:51.0,T. Prince misses 2-pt shot from 17 ft,,4-9,,
6:51.0,,,4-9,,Defensive rebound by Team
6:51.0,Loose ball foul by M. Gasol (drawn by A. Varejao),,4-9,,
6:51.0,K. Koufos enters the game for M. Gasol,,4-9,,
6:31.0,,,4-11,2,K. Love makes 2-pt shot from 12 ft (assist by L. James)
6:16.0,Turnover by C. Lee (bad pass),,4-11,,
6:02.0,,,4-14,3,L. James makes 3-pt shot from 24 ft (assist by K. Irving)
6:01.0,Memphis full timeout,,4-14,,
5:42.0,J. Leuer misses 2-pt shot from 9 ft,,4-14,,
5:41.0,,,4-14,,Defensive rebound by A. Varejao
5:35.0,,,4-16,2,K. Irving makes 2-pt shot at rim
5:11.0,M. Conley misses 2-pt shot from 17 ft,,4-16,,
5:10.0,,,4-16,,Defensive rebound by K. Love
5:04.0,,,4-16,,M. Miller misses 3-pt shot from 27 ft
5:03.0,,,4-16,,Offensive rebound by K. Irving
4:58.0,,,4-18,2,A. Varejao makes 2-pt shot at rim (assist by M. Miller)
4:40.0,T. Prince makes 2-pt shot from 18 ft (assist by C. Lee),2,6-18,,
4:23.0,,,6-20,2,A. Varejao makes 2-pt shot from 1 ft (assist by L. James)
4:09.0,M. Conley makes 2-pt shot from 6 ft,2,8-20,,
3:56.0,,,8-20,,K. Irving misses 2-pt shot from 12 ft
3:55.0,Defensive rebound by K. Koufos,,8-20,,
3:41.0,,,8-20,,Personal foul by K. Irving (drawn by M. Conley)
3:41.0,,,8-20,,D. Waiters enters the game for M. Miller
3:41.0,N. Calathes enters the game for C. Lee,,8-20,,
3:41.0,Q. Pondexter enters the game for J. Leuer,,8-20,,
3:41.0,,,8-20,,M. Dellavedova enters the game for K. Irving
3:27.0,M. Conley misses 3-pt shot from 27 ft,,8-20,,
3:27.0,Offensive rebound by Team,,8-20,,
3:27.0,Turnover by Team (shot clock),,8-20,,
3:15.0,,,8-20,,K. Love misses 2-pt shot from 6 ft
3:12.0,Defensive rebound by T. Prince,,8-20,,
3:00.0,K. Koufos makes 2-pt shot from 6 ft (assist by N. Calathes),2,10-20,,
2:44.0,,,10-20,,K. Love misses 2-pt shot from 4 ft (block by Q. Pondexter)
2:44.0,,,10-20,,Offensive rebound by Team
2:44.0,,,10-20,,Cleveland full timeout
2:44.0,,,10-20,,T. Thompson enters the game for A. Varejao
