time,Portland,pts.away,score,pts.home,Dallas
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Chandler vs. R. Lopez (D. Nowitzki gains possession),,,,Jump ball: T. Chandler vs. R. Lopez (D. Nowitzki gains possession)
11:42.0,,,0-2,2,D. Nowitzki makes 2-pt shot from 20 ft (assist by R. Rondo)
11:25.0,D. Lillard makes 2-pt shot from 17 ft (assist by A. Crabbe),2,2-2,,
11:07.0,,,2-2,,D. Nowitzki misses 2-pt shot from 18 ft
11:07.0,Defensive rebound by L. Aldridge,,2-2,,
10:57.0,L. Aldridge misses 3-pt shot from 24 ft,,2-2,,
10:56.0,,,2-2,,Defensive rebound by D. Nowitzki
10:50.0,,,2-2,,Shooting foul by A. Gee (drawn by T. Chandler)
10:50.0,,,2-3,1,T. Chandler makes free throw 1 of 2
10:50.0,,,2-4,1,T. Chandler makes free throw 2 of 2
10:35.0,A. Gee makes 2-pt shot from 6 ft,2,4-4,,
10:17.0,,,4-4,,Turnover by D. Nowitzki (lost ball)
10:09.0,A. Gee misses 3-pt shot from 23 ft,,4-4,,
10:08.0,,,4-4,,Defensive rebound by T. Chandler
9:59.0,,,4-4,,M. Ellis misses 2-pt shot from 1 ft
9:58.0,,,4-4,,Offensive rebound by T. Chandler
9:58.0,,,4-6,2,T. Chandler makes 2-pt shot at rim
9:34.0,L. Aldridge misses 2-pt shot from 12 ft,,4-6,,
9:33.0,,,4-6,,Defensive rebound by R. Jefferson
9:27.0,,,4-8,2,T. Chandler makes 2-pt shot at rim (assist by R. Rondo)
9:14.0,A. Crabbe misses 3-pt shot from 22 ft,,4-8,,
9:13.0,,,4-8,,Defensive rebound by T. Chandler
9:08.0,,,4-10,2,R. Rondo makes 2-pt shot from 1 ft
8:45.0,L. Aldridge misses 2-pt shot from 7 ft,,4-10,,
8:45.0,Offensive rebound by Team,,4-10,,
8:45.0,Turnover by L. Aldridge (traveling),,4-10,,
8:25.0,,,4-10,,Shooting foul by L. Aldridge (drawn by T. Chandler)
8:25.0,,,4-11,1,T. Chandler makes free throw 1 of 2
8:25.0,,,4-12,1,T. Chandler makes free throw 2 of 2
8:06.0,A. Gee misses 2-pt shot from 12 ft,,4-12,,
8:05.0,,,4-12,,Defensive rebound by T. Chandler
7:53.0,,,4-12,,R. Jefferson misses 2-pt shot from 10 ft (block by R. Lopez)
7:51.0,,,4-12,,Offensive rebound by R. Jefferson
7:48.0,,,4-12,,R. Rondo misses 3-pt shot from 24 ft
7:48.0,Defensive rebound by Team,,4-12,,
7:34.0,D. Lillard makes 2-pt shot from 20 ft,2,6-12,,
7:14.0,,,6-12,,R. Jefferson misses 3-pt shot from 22 ft
7:14.0,Defensive rebound by L. Aldridge,,6-12,,
7:06.0,D. Lillard makes 2-pt shot at rim,2,8-12,,
6:56.0,,,8-12,,Turnover by M. Ellis (bad pass; steal by A. Crabbe)
6:52.0,Turnover by A. Gee (lost ball; steal by R. Rondo),,8-12,,
6:47.0,,,8-12,,Shooting foul by A. Crabbe (drawn by T. Chandler)
6:47.0,,,8-13,1,T. Chandler makes free throw 1 of 2
6:47.0,,,8-13,,A. Aminu enters the game for D. Nowitzki
6:47.0,,,8-13,,T. Chandler misses free throw 2 of 2
6:46.0,Defensive rebound by L. Aldridge,,8-13,,
6:31.0,L. Aldridge misses 2-pt shot from 9 ft,,8-13,,
6:30.0,,,8-13,,Defensive rebound by T. Chandler
6:21.0,,,8-15,2,T. Chandler makes 2-pt shot from 15 ft (assist by A. Aminu)
6:07.0,Turnover by D. Lillard (bad pass),,8-15,,
6:07.0,T. Frazier enters the game for A. Gee,,8-15,,
5:57.0,,,8-17,2,M. Ellis makes 2-pt shot at rim (assist by R. Rondo)
5:55.0,Portland full timeout,,8-17,,
5:55.0,J. Freeland enters the game for R. Lopez,,8-17,,
5:37.0,L. Aldridge misses 2-pt shot from 13 ft,,8-17,,
5:36.0,,,8-17,,Defensive rebound by A. Aminu
5:15.0,,,8-19,2,M. Ellis makes 2-pt shot from 13 ft
4:59.0,L. Aldridge misses 2-pt shot from 20 ft,,8-19,,
4:58.0,,,8-19,,Defensive rebound by T. Chandler
4:54.0,Shooting block foul by D. Lillard (drawn by R. Jefferson),,8-19,,
4:54.0,,,8-20,1,R. Jefferson makes free throw 1 of 2
4:54.0,,,8-21,1,R. Jefferson makes free throw 2 of 2
4:46.0,,,8-21,,Def 3 sec tech foul by T. Chandler
4:46.0,D. Lillard makes technical free throw,1,9-21,,
4:31.0,A. Crabbe misses 2-pt shot from 17 ft,,9-21,,
4:30.0,Offensive rebound by L. Aldridge,,9-21,,
4:30.0,Turnover by L. Aldridge (step out of bounds),,9-21,,
4:18.0,,,9-21,,Offensive charge foul by R. Jefferson
4:18.0,,,9-21,,Turnover by R. Jefferson (offensive foul)
4:03.0,L. Aldridge misses 2-pt shot from 7 ft,,9-21,,
4:02.0,Offensive rebound by Team,,9-21,,
3:55.0,D. Lillard misses 2-pt shot from 22 ft (block by A. Aminu),,9-21,,
3:53.0,,,9-21,,Defensive rebound by T. Chandler
3:49.0,,,9-21,,M. Ellis misses 3-pt shot from 24 ft
3:48.0,,,9-21,,Offensive rebound by R. Rondo
3:43.0,,,9-21,,Dallas full timeout
3:43.0,,,9-21,,A. Stoudemire enters the game for T. Chandler
3:38.0,,,9-21,,Turnover by M. Ellis (bad pass)
3:25.0,Turnover by T. Frazier (traveling),,9-21,,
3:10.0,,,9-21,,Turnover by R. Rondo (bad pass)
2:59.0,L. Aldridge makes 2-pt shot from 4 ft,2,11-21,,
2:59.0,Shooting foul by A. Aminu (drawn by L. Aldridge),,11-21,,
2:59.0,,,11-21,,J. Barea enters the game for R. Rondo
2:59.0,,,11-21,,D. Nowitzki enters the game for R. Jefferson
2:59.0,M. Leonard enters the game for A. Crabbe,,11-21,,
2:59.0,L. Aldridge misses free throw 1 of 1,,11-21,,
2:58.0,,,11-21,,Defensive rebound by A. Aminu
2:42.0,,,11-21,,Turnover by M. Ellis (bad pass; steal by J. Freeland)
2:34.0,M. Leonard misses 3-pt shot from 24 ft,,11-21,,
2:34.0,Offensive rebound by T. Frazier,,11-21,,
2:18.0,L. Aldridge misses 2-pt shot from 2 ft,,11-21,,
2:16.0,Offensive rebound by J. Freeland,,11-21,,
2:02.0,T. Frazier misses 2-pt shot from 20 ft,,11-21,,
2:01.0,,,11-21,,Defensive rebound by A. Stoudemire
1:54.0,,,11-23,2,M. Ellis makes 2-pt shot at rim
1:44.0,Shooting foul by M. Ellis (drawn by D. Lillard),,11-23,,
1:44.0,D. Lillard makes free throw 1 of 2,1,12-23,,
1:44.0,S. Blake enters the game for T. Frazier,,12-23,,
1:44.0,D. Lillard makes free throw 2 of 2,1,13-23,,
1:36.0,,,13-23,,Shooting foul by J. Freeland (drawn by A. Stoudemire)
1:36.0,,,13-24,1,A. Stoudemire makes free throw 1 of 2
1:36.0,,,13-25,1,A. Stoudemire makes free throw 2 of 2
1:16.0,L. Aldridge misses 2-pt shot from 12 ft,,13-25,,
1:15.0,Offensive rebound by J. Freeland,,13-25,,
1:15.0,,,13-25,,Loose ball foul by M. Ellis (drawn by J. Freeland)
1:15.0,J. Freeland makes free throw 1 of 2,1,14-25,,
1:15.0,,,14-25,,R. Felton enters the game for M. Ellis
1:15.0,J. Freeland makes free throw 2 of 2,1,15-25,,
1:04.0,,,15-25,,Turnover by J. Barea (bad pass; steal by S. Blake)
1:00.0,L. Aldridge makes 2-pt shot from 1 ft (assist by D. Lillard),2,17-25,,
0:50.0,,,17-27,2,A. Stoudemire makes 2-pt shot from 5 ft
0:32.0,S. Blake misses 3-pt shot from 23 ft,,17-27,,
0:31.0,Offensive rebound by M. Leonard,,17-27,,
0:23.0,S. Blake misses 3-pt shot from 22 ft,,17-27,,
0:23.0,,,17-27,,Defensive rebound by D. Nowitzki
0:23.0,Loose ball foul by J. Freeland (drawn by D. Nowitzki),,17-27,,
0:23.0,,,17-28,1,D. Nowitzki makes free throw 1 of 2
0:23.0,A. Crabbe enters the game for J. Freeland,,17-28,,
0:23.0,,,17-29,1,D. Nowitzki makes free throw 2 of 2
0:00.0,L. Aldridge makes 2-pt shot from 18 ft (assist by A. Crabbe),2,19-29,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,Turnover by D. Lillard (bad pass),,19-29,,
11:28.0,,,19-29,,D. Nowitzki misses 2-pt shot from 16 ft
11:27.0,Defensive rebound by A. Gee,,19-29,,
11:19.0,Turnover by D. Lillard (bad pass; steal by J. Barea),,19-29,,
11:10.0,,,19-29,,D. Nowitzki misses 3-pt shot from 24 ft
11:10.0,Defensive rebound by M. Leonard,,19-29,,
11:06.0,Shooting foul by D. Nowitzki (drawn by D. Lillard),,19-29,,
11:06.0,D. Lillard makes free throw 1 of 2,1,20-29,,
11:06.0,D. Lillard misses free throw 2 of 2,,20-29,,
11:05.0,,,20-29,,Defensive rebound by A. Aminu
10:53.0,,,20-29,,J. Barea misses 2-pt shot from 15 ft
10:52.0,Defensive rebound by D. Lillard,,20-29,,
10:44.0,D. Lillard misses 3-pt shot from 24 ft,,20-29,,
