time,Washington,pts.away,score,pts.home,Boston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. T. Zeller (K. Humphries gains possession),,,,Jump ball: M. Gortat vs. T. Zeller (K. Humphries gains possession)
11:42.0,M. Gortat misses 2-pt shot from 11 ft,,0-0,,
11:41.0,,,0-0,,Defensive rebound by J. Green
11:26.0,,,0-2,2,J. Sullinger makes 2-pt shot from 8 ft
11:06.0,Turnover by B. Beal (lost ball; steal by R. Rondo),,0-2,,
11:01.0,,,0-4,2,R. Rondo makes 2-pt shot from 1 ft (assist by J. Sullinger)
10:41.0,P. Pierce makes 2-pt shot from 12 ft,2,2-4,,
10:23.0,,,2-4,,J. Green misses 3-pt shot from 22 ft
10:22.0,Defensive rebound by K. Humphries,,2-4,,
10:16.0,Turnover by P. Pierce (step out of bounds),,2-4,,
10:15.0,,,2-4,,Turnover by J. Sullinger (bad pass)
10:08.0,Turnover by M. Gortat (lost ball),,2-4,,
9:59.0,,,2-4,,Turnover by R. Rondo (bad pass)
9:51.0,Turnover by M. Gortat (offensive foul),,2-4,,
9:51.0,Offensive charge foul by M. Gortat,,2-4,,
9:34.0,,,2-4,,J. Green misses 2-pt shot from 3 ft
9:33.0,,,2-4,,Offensive rebound by Team
9:29.0,,,2-6,2,R. Rondo makes 2-pt shot from 21 ft (assist by T. Zeller)
9:11.0,M. Gortat misses 2-pt shot from 7 ft,,2-6,,
9:10.0,Offensive rebound by K. Humphries,,2-6,,
9:09.0,K. Humphries misses 2-pt shot from 2 ft (block by A. Bradley),,2-6,,
9:09.0,,,2-6,,Defensive rebound by A. Bradley
8:58.0,,,2-8,2,A. Bradley makes 2-pt shot from 14 ft
8:41.0,P. Pierce makes 2-pt shot from 13 ft (assist by M. Gortat),2,4-8,,
8:21.0,,,4-10,2,A. Bradley makes 2-pt shot from 2 ft (assist by R. Rondo)
8:08.0,P. Pierce misses 2-pt shot from 18 ft,,4-10,,
8:07.0,,,4-10,,Defensive rebound by T. Zeller
7:58.0,,,4-10,,R. Rondo misses 2-pt shot from 5 ft
7:57.0,Defensive rebound by K. Humphries,,4-10,,
7:51.0,B. Beal misses 3-pt shot from 23 ft,,4-10,,
7:49.0,Offensive rebound by K. Humphries,,4-10,,
7:45.0,J. Wall misses 3-pt shot from 25 ft,,4-10,,
7:44.0,,,4-10,,Defensive rebound by T. Zeller
7:24.0,,,4-12,2,J. Green makes 2-pt shot from 6 ft
7:20.0,Washington full timeout,,4-12,,
7:10.0,B. Beal misses 2-pt shot from 20 ft,,4-12,,
7:09.0,,,4-12,,Defensive rebound by T. Zeller
6:58.0,,,4-12,,T. Zeller misses 2-pt shot at rim
6:57.0,Defensive rebound by J. Wall,,4-12,,
6:53.0,Turnover by J. Wall (lost ball; steal by J. Green),,4-12,,
6:41.0,,,4-14,2,R. Rondo makes 2-pt shot from 13 ft
6:22.0,K. Humphries misses 2-pt shot from 14 ft,,4-14,,
6:20.0,,,4-14,,Defensive rebound by J. Sullinger
5:56.0,,,4-14,,R. Rondo misses 3-pt shot from 27 ft
5:55.0,,,4-14,,Offensive rebound by Team
5:55.0,,,4-14,,Turnover by Team (shot clock)
5:49.0,Offensive charge foul by J. Wall,,4-14,,
5:49.0,Turnover by J. Wall (offensive foul),,4-14,,
5:49.0,,,4-14,,B. Bass enters the game for J. Sullinger
5:37.0,,,4-16,2,J. Green makes 2-pt shot from 20 ft (assist by R. Rondo)
5:18.0,M. Gortat misses 2-pt shot from 9 ft,,4-16,,
5:17.0,,,4-16,,Defensive rebound by A. Bradley
5:11.0,,,4-16,,A. Bradley misses 3-pt shot from 25 ft
5:10.0,Defensive rebound by K. Humphries,,4-16,,
4:54.0,P. Pierce misses 3-pt shot from 24 ft,,4-16,,
4:52.0,Offensive rebound by Team,,4-16,,
4:52.0,N. Hilario enters the game for K. Humphries,,4-16,,
4:52.0,,,4-16,,E. Turner enters the game for A. Bradley
4:45.0,M. Gortat makes 2-pt shot from 4 ft (assist by J. Wall),2,6-16,,
4:45.0,Shooting foul by T. Zeller (drawn by M. Gortat),,6-16,,
4:45.0,M. Gortat makes free throw 1 of 1,1,7-16,,
4:29.0,,,7-16,,T. Zeller misses 2-pt shot from 6 ft
4:28.0,Defensive rebound by M. Gortat,,7-16,,
4:17.0,N. Hilario makes 2-pt shot from 11 ft (assist by J. Wall),2,9-16,,
4:00.0,,,9-16,,Turnover by E. Turner (lost ball)
4:00.0,,,9-16,,M. Smart enters the game for R. Rondo
3:43.0,M. Gortat misses 2-pt shot from 12 ft,,9-16,,
3:42.0,Offensive rebound by P. Pierce,,9-16,,
3:38.0,Turnover by J. Wall (bad pass; steal by J. Green),,9-16,,
3:34.0,,,9-16,,J. Green misses 2-pt shot from 1 ft (block by J. Wall)
3:33.0,,,9-16,,Offensive rebound by Team
3:33.0,R. Butler enters the game for P. Pierce,,9-16,,
3:27.0,,,9-16,,J. Green misses 2-pt shot from 8 ft
3:26.0,Defensive rebound by M. Gortat,,9-16,,
3:12.0,Turnover by B. Beal (lost ball; steal by E. Turner),,9-16,,
3:07.0,,,9-16,,J. Green misses 2-pt shot from 17 ft
3:06.0,,,9-16,,Offensive rebound by T. Zeller
3:00.0,,,9-16,,B. Bass misses 2-pt shot from 14 ft
2:59.0,Defensive rebound by R. Butler,,9-16,,
2:50.0,J. Wall misses 2-pt shot from 11 ft,,9-16,,
2:49.0,,,9-16,,Defensive rebound by T. Zeller
2:44.0,,,9-16,,Boston full timeout
2:35.0,,,9-16,,E. Turner misses 2-pt shot from 8 ft
2:34.0,Defensive rebound by N. Hilario,,9-16,,
2:16.0,B. Beal misses 2-pt shot from 20 ft,,9-16,,
2:15.0,Offensive rebound by N. Hilario,,9-16,,
2:10.0,Shooting foul by B. Bass (drawn by J. Wall),,9-16,,
2:10.0,J. Wall makes free throw 1 of 2,1,10-16,,
2:10.0,O. Porter enters the game for B. Beal,,10-16,,
2:10.0,,,10-16,,K. Olynyk enters the game for T. Zeller
2:10.0,J. Wall makes free throw 2 of 2,1,11-16,,
1:52.0,,,11-18,2,J. Green makes 2-pt shot at rim
1:38.0,M. Gortat misses 2-pt shot from 7 ft,,11-18,,
1:37.0,,,11-18,,Defensive rebound by B. Bass
