time,Memphis,pts.away,score,pts.home,Portland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gasol vs. R. Lopez (M. Leonard gains possession),,,,Jump ball: M. Gasol vs. R. Lopez (M. Leonard gains possession)
11:35.0,,,0-2,2,N. Batum makes 2-pt shot from 15 ft
11:18.0,J. Green makes 2-pt shot from 1 ft (assist by M. Conley),2,2-2,,
11:04.0,,,2-2,,R. Lopez misses 2-pt shot from 7 ft
11:03.0,Defensive rebound by M. Gasol,,2-2,,
10:53.0,C. Lee misses 2-pt shot from 15 ft,,2-2,,
10:52.0,,,2-2,,Defensive rebound by N. Batum
10:40.0,,,2-2,,W. Matthews misses 2-pt shot from 16 ft
10:40.0,Defensive rebound by Team,,2-2,,
10:40.0,,,2-2,,Loose ball foul by M. Leonard (drawn by Z. Randolph)
10:23.0,M. Conley makes 2-pt shot from 21 ft (assist by Z. Randolph),2,4-2,,
10:01.0,,,4-5,3,M. Leonard makes 3-pt shot from 26 ft (assist by N. Batum)
9:44.0,M. Conley misses 2-pt shot from 19 ft,,4-5,,
9:43.0,,,4-5,,Defensive rebound by D. Lillard
9:37.0,,,4-5,,D. Lillard misses 3-pt shot from 25 ft
9:36.0,Defensive rebound by Z. Randolph,,4-5,,
9:20.0,M. Gasol misses 2-pt shot from 11 ft,,4-5,,
9:19.0,,,4-5,,Defensive rebound by N. Batum
8:58.0,,,4-5,,N. Batum misses 3-pt shot from 25 ft
8:57.0,Defensive rebound by M. Conley,,4-5,,
8:51.0,J. Green misses 3-pt shot from 26 ft,,4-5,,
8:49.0,,,4-5,,Defensive rebound by N. Batum
8:30.0,,,4-5,,Turnover by W. Matthews (lost ball; steal by J. Green)
8:24.0,Z. Randolph makes 2-pt shot from 2 ft (assist by C. Lee),2,6-5,,
8:09.0,,,6-5,,M. Leonard misses 3-pt shot from 25 ft
8:08.0,Defensive rebound by C. Lee,,6-5,,
7:58.0,M. Gasol makes 2-pt shot from 5 ft,2,8-5,,
7:58.0,Shooting foul by M. Leonard (drawn by M. Gasol),,8-5,,
7:58.0,M. Gasol makes free throw 1 of 1,1,9-5,,
7:39.0,,,9-5,,M. Leonard misses 3-pt shot from 25 ft
7:37.0,Defensive rebound by Z. Randolph,,9-5,,
7:25.0,M. Gasol misses 2-pt shot from 20 ft,,9-5,,
7:24.0,,,9-5,,Defensive rebound by D. Lillard
7:21.0,,,9-7,2,M. Leonard makes 2-pt shot at rim (assist by D. Lillard)
7:02.0,Z. Randolph misses 2-pt shot from 17 ft,,9-7,,
7:01.0,,,9-7,,Defensive rebound by W. Matthews
6:57.0,Personal foul by C. Lee (drawn by W. Matthews),,9-7,,
6:51.0,,,9-10,3,M. Leonard makes 3-pt shot from 25 ft (assist by D. Lillard)
6:25.0,Z. Randolph misses 2-pt shot from 4 ft,,9-10,,
6:24.0,Offensive rebound by M. Gasol,,9-10,,
6:15.0,J. Green makes 2-pt shot from 13 ft,2,11-10,,
6:02.0,,,11-12,2,D. Lillard makes 2-pt shot from 6 ft
5:44.0,C. Lee makes 2-pt shot from 14 ft (assist by M. Gasol),2,13-12,,
5:31.0,,,13-12,,Portland full timeout
5:31.0,,,13-12,,A. Afflalo enters the game for W. Matthews
5:22.0,,,13-12,,M. Leonard misses 2-pt shot from 6 ft (block by M. Gasol)
5:22.0,Defensive rebound by J. Green,,13-12,,
4:58.0,M. Gasol makes 2-pt shot from 17 ft (assist by C. Lee),2,15-12,,
4:43.0,,,15-14,2,A. Afflalo makes 2-pt shot from 16 ft (assist by D. Lillard)
4:29.0,J. Green misses 3-pt shot from 23 ft,,15-14,,
4:28.0,,,15-14,,Defensive rebound by M. Leonard
4:25.0,T. Allen enters the game for C. Lee,,15-14,,
4:25.0,,,15-14,,C. Kaman enters the game for M. Leonard
4:03.0,,,15-17,3,N. Batum makes 3-pt shot from 25 ft (assist by R. Lopez)
3:45.0,M. Gasol makes 2-pt shot from 9 ft,2,17-17,,
3:29.0,,,17-19,2,D. Lillard makes 2-pt shot from 16 ft
3:18.0,Turnover by M. Gasol (lost ball),,17-19,,
2:55.0,,,17-19,,N. Batum misses 2-pt shot from 18 ft
2:53.0,,,17-19,,Offensive rebound by R. Lopez
2:53.0,,,17-19,,R. Lopez misses 2-pt shot at rim
2:52.0,Defensive rebound by J. Green,,17-19,,
2:43.0,M. Conley makes 2-pt shot from 1 ft,2,19-19,,
2:37.0,Personal foul by T. Allen (drawn by A. Afflalo),,19-19,,
2:37.0,Memphis full timeout,,19-19,,
2:37.0,K. Koufos enters the game for Z. Randolph,,19-19,,
2:37.0,B. Udrih enters the game for M. Conley,,19-19,,
2:37.0,,,19-19,,D. Wright enters the game for N. Batum
2:37.0,,,19-19,,W. Matthews enters the game for R. Lopez
2:37.0,,,19-19,,S. Blake enters the game for D. Lillard
2:30.0,,,19-19,,A. Afflalo misses 2-pt shot from 16 ft
2:29.0,Defensive rebound by J. Green,,19-19,,
2:14.0,M. Gasol misses 2-pt shot at rim,,19-19,,
2:13.0,,,19-19,,Defensive rebound by C. Kaman
1:58.0,,,19-19,,W. Matthews misses 2-pt shot from 2 ft
1:56.0,Defensive rebound by J. Green,,19-19,,
1:49.0,,,19-19,,Personal foul by S. Blake (drawn by B. Udrih)
1:36.0,B. Udrih misses 3-pt shot from 25 ft,,19-19,,
1:35.0,,,19-19,,Defensive rebound by A. Afflalo
