time,Brooklyn,pts.away,score,pts.home,Phoenix
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Lopez vs. M. Plumlee (D. Williams gains possession),,,,Jump ball: B. Lopez vs. M. Plumlee (D. Williams gains possession)
11:41.0,K. Garnett misses 2-pt shot from 9 ft,,0-0,,
11:40.0,,,0-0,,Defensive rebound by E. Bledsoe
11:17.0,,,0-0,,M. Morris misses 2-pt shot from 19 ft
11:16.0,Defensive rebound by D. Williams,,0-0,,
10:57.0,B. Bogdanovic misses 2-pt shot from 7 ft,,0-0,,
10:56.0,,,0-0,,Defensive rebound by M. Morris
10:43.0,,,0-2,2,M. Morris makes 2-pt shot at rim (assist by G. Dragic)
10:33.0,D. Williams makes 2-pt shot from 1 ft,2,2-2,,
10:11.0,,,2-2,,Turnover by E. Bledsoe (lost ball; steal by D. Williams)
10:03.0,K. Garnett misses 2-pt shot from 9 ft,,2-2,,
10:02.0,,,2-2,,Defensive rebound by M. Morris
9:52.0,,,2-2,,Turnover by M. Plumlee (offensive goaltending)
9:34.0,K. Garnett makes 2-pt shot at rim (assist by D. Williams),2,4-2,,
9:14.0,,,4-4,2,M. Plumlee makes 2-pt shot from 3 ft
9:03.0,Turnover by K. Garnett (bad pass; steal by E. Bledsoe),,4-4,,
8:58.0,,,4-4,,G. Dragic misses 2-pt shot from 1 ft
8:57.0,,,4-4,,Offensive rebound by M. Morris
8:57.0,Personal foul by K. Garnett (drawn by M. Morris),,4-4,,
8:51.0,,,4-4,,G. Dragic misses 2-pt shot from 13 ft
8:50.0,,,4-4,,Offensive rebound by M. Morris
8:35.0,Personal foul by D. Williams (drawn by M. Morris),,4-4,,
8:29.0,,,4-4,,Turnover by E. Bledsoe (bad pass; steal by B. Lopez)
8:15.0,K. Garnett makes 2-pt shot from 6 ft,2,6-4,,
8:01.0,,,6-6,2,M. Morris makes 2-pt shot from 20 ft
7:48.0,,,6-6,,Personal foul by M. Morris (drawn by J. Johnson)
7:37.0,D. Williams makes 3-pt shot from 25 ft,3,9-6,,
7:22.0,,,9-8,2,E. Bledsoe makes 2-pt shot at rim (assist by G. Dragic)
7:04.0,J. Johnson makes 2-pt shot from 6 ft (assist by K. Garnett),2,11-8,,
6:48.0,,,11-8,,Turnover by E. Bledsoe (bad pass; steal by J. Johnson)
6:43.0,B. Bogdanovic makes 2-pt shot from 2 ft (assist by J. Johnson),2,13-8,,
6:27.0,,,13-8,,M. Morris misses 2-pt shot from 19 ft
6:26.0,Defensive rebound by J. Johnson,,13-8,,
6:17.0,Shooting foul by E. Bledsoe (drawn by B. Bogdanovic),,13-8,,
6:17.0,B. Bogdanovic makes free throw 1 of 2,1,14-8,,
6:17.0,M. Teletovic enters the game for K. Garnett,,14-8,,
