time,Sacramento,pts.away,score,pts.home,LA Clippers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Jordan vs. J. Thompson (C. Paul gains possession),,,,Jump ball: D. Jordan vs. J. Thompson (C. Paul gains possession)
11:42.0,,,0-0,,Turnover by M. Barnes (bad pass; steal by B. McLemore)
11:33.0,D. Collison misses 2-pt shot from 2 ft,,0-0,,
11:31.0,,,0-0,,Defensive rebound by B. Griffin
11:24.0,,,0-3,3,M. Barnes makes 3-pt shot from 25 ft (assist by C. Paul)
11:13.0,,,0-3,,Personal foul by D. Jordan (drawn by D. Cousins)
11:09.0,D. Cousins makes 2-pt shot from 15 ft (assist by R. Gay),2,2-3,,
10:58.0,,,2-6,3,J. Redick makes 3-pt shot from 25 ft (assist by B. Griffin)
10:42.0,J. Thompson misses 2-pt shot from 12 ft,,2-6,,
10:41.0,,,2-6,,Defensive rebound by D. Jordan
10:36.0,Personal foul by J. Thompson (drawn by B. Griffin),,2-6,,
10:25.0,,,2-6,,B. Griffin misses 2-pt shot from 19 ft
10:24.0,Defensive rebound by D. Cousins,,2-6,,
10:14.0,D. Cousins makes 2-pt shot from 18 ft (assist by D. Collison),2,4-6,,
9:58.0,,,4-9,3,J. Redick makes 3-pt shot from 24 ft (assist by C. Paul)
9:42.0,B. McLemore misses 2-pt shot from 8 ft,,4-9,,
9:41.0,Offensive rebound by Team,,4-9,,
9:37.0,Offensive foul by D. Cousins,,4-9,,
9:37.0,Turnover by D. Cousins (offensive foul),,4-9,,
9:29.0,,,4-9,,J. Redick misses 3-pt shot from 25 ft
9:28.0,Defensive rebound by D. Cousins,,4-9,,
9:18.0,R. Gay misses 2-pt shot from 8 ft,,4-9,,
9:17.0,,,4-9,,Defensive rebound by D. Jordan
9:07.0,,,4-9,,B. Griffin misses 2-pt shot from 17 ft
9:04.0,Defensive rebound by R. Gay,,4-9,,
8:54.0,Turnover by R. Gay (lost ball),,4-9,,
8:31.0,,,4-9,,M. Barnes misses 3-pt shot from 23 ft
8:30.0,Defensive rebound by J. Thompson,,4-9,,
8:09.0,B. McLemore misses 3-pt shot from 26 ft,,4-9,,
8:08.0,Offensive rebound by D. Cousins,,4-9,,
8:07.0,D. Cousins makes 2-pt shot at rim,2,6-9,,
7:54.0,Violation by J. Thompson (kicked ball),,6-9,,
7:45.0,,,6-11,2,C. Paul makes 2-pt shot from 19 ft
7:25.0,D. Collison misses 2-pt shot from 19 ft,,6-11,,
7:24.0,,,6-11,,Defensive rebound by D. Jordan
7:07.0,,,6-13,2,B. Griffin makes 2-pt shot from 8 ft
6:51.0,D. Cousins misses 2-pt shot from 20 ft (block by D. Jordan),,6-13,,
6:49.0,Offensive rebound by D. Cousins,,6-13,,
6:44.0,D. Cousins makes 2-pt shot from 19 ft (assist by D. Collison),2,8-13,,
6:29.0,,,8-13,,C. Paul misses 2-pt shot from 7 ft (block by D. Collison)
6:27.0,Defensive rebound by Team,,8-13,,
6:15.0,D. Cousins misses 2-pt shot from 19 ft,,8-13,,
6:14.0,,,8-13,,Defensive rebound by J. Redick
6:12.0,,,8-13,,B. Griffin misses flagrant free throw 1 of 2
6:12.0,,,8-13,,Offensive rebound by Team
6:12.0,,,8-13,,B. Griffin misses flagrant free throw 2 of 2
6:12.0,,,8-13,,Offensive rebound by Team
6:03.0,,,8-13,,J. Redick misses 3-pt shot from 24 ft
6:01.0,,,8-13,,Offensive rebound by D. Jordan
6:01.0,,,8-13,,D. Jordan misses 2-pt shot at rim
5:58.0,Defensive rebound by D. Cousins,,8-13,,
5:44.0,,,8-13,,Def 3 sec tech foul by D. Jordan
5:44.0,,,8-13,,LA Clippers full timeout
5:44.0,D. Collison makes technical free throw,1,9-13,,
5:34.0,D. Cousins makes 2-pt shot from 16 ft (assist by R. Gay),2,11-13,,
5:09.0,,,11-13,,J. Redick misses 2-pt shot from 9 ft (block by R. Gay)
5:08.0,Defensive rebound by B. McLemore,,11-13,,
5:03.0,D. Collison makes 2-pt shot from 16 ft,2,13-13,,
4:53.0,Personal foul by B. McLemore (drawn by J. Redick),,13-13,,
4:40.0,,,13-13,,B. Griffin misses 2-pt shot from 20 ft
4:39.0,Defensive rebound by D. Cousins,,13-13,,
4:33.0,,,13-13,,Personal foul by C. Paul (drawn by D. Collison)
4:33.0,N. Stauskas enters the game for B. McLemore,,13-13,,
4:24.0,R. Gay makes 2-pt shot from 9 ft,2,15-13,,
4:23.0,Violation by Team (delay of game),,15-13,,
4:11.0,,,15-13,,J. Redick misses 3-pt shot from 23 ft
4:10.0,,,15-13,,Offensive rebound by D. Jordan
4:09.0,,,15-13,,D. Jordan misses 2-pt shot from 1 ft (block by D. Cousins)
4:08.0,,,15-13,,Offensive rebound by Team
4:08.0,,,15-13,,J. Farmar enters the game for J. Redick
3:50.0,,,15-13,,B. Griffin misses 2-pt shot from 4 ft (block by D. Cousins)
3:50.0,,,15-13,,Offensive rebound by Team
3:47.0,,,15-13,,B. Griffin misses 3-pt shot from 24 ft
3:46.0,Defensive rebound by D. Collison,,15-13,,
3:34.0,R. Gay makes 2-pt shot from 13 ft (assist by D. Cousins),2,17-13,,
3:20.0,,,17-13,,M. Barnes misses 2-pt shot from 1 ft
3:19.0,Defensive rebound by J. Thompson,,17-13,,
3:10.0,Shooting foul by M. Barnes (drawn by R. Gay),,17-13,,
3:10.0,R. Gay makes free throw 1 of 2,1,18-13,,
3:10.0,,,18-13,,C. Douglas-Roberts enters the game for M. Barnes
3:10.0,,,18-13,,S. Hawes enters the game for D. Jordan
3:10.0,R. Gay makes free throw 2 of 2,1,19-13,,
2:59.0,,,19-13,,J. Farmar misses 3-pt shot from 25 ft
2:58.0,Defensive rebound by R. Gay,,19-13,,
2:50.0,J. Thompson makes 2-pt shot at rim (assist by D. Cousins),2,21-13,,
2:25.0,,,21-15,2,B. Griffin makes 2-pt shot from 1 ft (assist by J. Farmar)
2:07.0,R. Gay makes 2-pt shot from 10 ft (assist by J. Thompson),2,23-15,,
1:56.0,,,23-17,2,S. Hawes makes 2-pt shot from 7 ft (assist by C. Paul)
1:35.0,R. Gay makes 2-pt shot from 7 ft,2,25-17,,
1:35.0,Shooting foul by S. Hawes (drawn by R. Gay),,25-17,,
1:35.0,Sacramento full timeout,,25-17,,
1:35.0,R. Evans enters the game for D. Cousins,,25-17,,
1:35.0,R. Gay misses free throw 1 of 1,,25-17,,
1:34.0,,,25-17,,Defensive rebound by B. Griffin
1:17.0,,,25-17,,B. Griffin misses 2-pt shot from 18 ft
1:16.0,Defensive rebound by J. Thompson,,25-17,,
0:55.0,Turnover by J. Thompson (bad pass; steal by C. Paul),,25-17,,
0:49.0,,,25-17,,B. Griffin misses 2-pt shot from 5 ft
0:48.0,,,25-17,,Offensive rebound by B. Griffin
0:47.0,,,25-17,,B. Griffin misses 2-pt shot from 1 ft (block by J. Thompson)
0:47.0,,,25-17,,Offensive rebound by Team
0:41.0,,,25-19,2,B. Griffin makes 2-pt shot from 2 ft
0:41.0,,,25-19,,Violation by Team (delay of game)
0:29.0,D. Collison misses 2-pt shot from 14 ft,,25-19,,
0:26.0,,,25-19,,Defensive rebound by J. Farmar
0:22.0,,,25-19,,C. Douglas-Roberts misses 2-pt shot from 2 ft (block by J. Thompson)
0:19.0,,,25-19,,Offensive rebound by B. Griffin
