time,New Orleans,pts.away,score,pts.home,LA Clippers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Davis vs. D. Jordan (C. Paul gains possession),,,,Jump ball: A. Davis vs. D. Jordan (C. Paul gains possession)
11:46.0,,,0-0,,Turnover by C. Paul (bad pass; steal by A. Davis)
11:21.0,Q. Pondexter makes 3-pt shot from 24 ft,3,3-0,,
11:10.0,,,3-0,,J. Redick misses 2-pt shot from 12 ft
11:08.0,Defensive rebound by A. Davis,,3-0,,
10:50.0,A. Davis makes 2-pt shot from 14 ft,2,5-0,,
10:30.0,,,5-2,2,J. Redick makes 2-pt shot from 17 ft (assist by C. Paul)
10:08.0,A. Davis makes 2-pt shot from 17 ft,2,7-2,,
9:49.0,,,7-2,,C. Paul misses 3-pt shot from 24 ft
9:48.0,Defensive rebound by N. Cole,,7-2,,
9:41.0,D. Cunningham makes 2-pt shot from 1 ft (assist by N. Cole),2,9-2,,
9:19.0,,,9-2,,J. Redick misses 3-pt shot from 23 ft
9:18.0,Defensive rebound by A. Davis,,9-2,,
9:05.0,A. Ajinca makes 2-pt shot from 11 ft,2,11-2,,
9:05.0,,,11-2,,LA Clippers full timeout
8:44.0,,,11-2,,B. Griffin misses 2-pt shot from 13 ft
8:42.0,Defensive rebound by Team,,11-2,,
8:18.0,N. Cole makes 2-pt shot from 6 ft,2,13-2,,
8:09.0,,,13-5,3,M. Barnes makes 3-pt shot from 26 ft (assist by J. Redick)
7:52.0,Turnover by N. Cole (bad pass; steal by J. Redick),,13-5,,
7:28.0,,,13-5,,C. Paul misses 2-pt shot from 16 ft
7:27.0,Defensive rebound by A. Davis,,13-5,,
7:14.0,,,13-5,,Personal foul by C. Paul (drawn by N. Cole)
7:03.0,A. Davis makes 2-pt shot from 2 ft,2,15-5,,
6:52.0,Personal foul by N. Cole (drawn by M. Barnes),,15-5,,
6:46.0,,,15-5,,J. Redick misses 2-pt shot from 6 ft (block by A. Davis)
6:44.0,Defensive rebound by N. Cole,,15-5,,
6:42.0,Turnover by N. Cole (lost ball; steal by C. Paul),,15-5,,
6:38.0,,,15-7,2,B. Griffin makes 2-pt shot from 1 ft (assist by C. Paul)
6:18.0,D. Cunningham misses 2-pt shot from 20 ft (block by M. Barnes),,15-7,,
6:17.0,,,15-7,,Defensive rebound by D. Jordan
5:59.0,,,15-9,2,C. Paul makes 2-pt shot from 16 ft
5:41.0,N. Cole makes 2-pt shot from 21 ft (assist by A. Davis),2,17-9,,
5:18.0,,,17-9,,M. Barnes misses 3-pt shot from 26 ft
5:17.0,Defensive rebound by A. Davis,,17-9,,
5:07.0,Turnover by N. Cole (bad pass; steal by C. Paul),,17-9,,
4:59.0,,,17-12,3,J. Redick makes 3-pt shot from 24 ft (assist by M. Barnes)
4:59.0,New Orleans full timeout,,17-12,,
4:59.0,E. Gordon enters the game for D. Cunningham,,17-12,,
4:36.0,N. Cole makes 3-pt shot from 25 ft,3,20-12,,
4:08.0,,,20-12,,C. Paul misses 2-pt shot from 9 ft
4:07.0,,,20-12,,Offensive rebound by C. Paul
4:03.0,,,20-12,,C. Paul misses 2-pt shot from 6 ft
4:02.0,Defensive rebound by A. Davis,,20-12,,
3:49.0,A. Ajinca misses 2-pt shot from 14 ft,,20-12,,
3:48.0,,,20-12,,Defensive rebound by C. Paul
3:44.0,,,20-14,2,M. Barnes makes 2-pt shot at rim (assist by C. Paul)
3:28.0,Turnover by E. Gordon (dbl dribble),,20-14,,
3:28.0,,,20-14,,A. Rivers enters the game for J. Redick
3:17.0,,,20-14,,D. Jordan misses 2-pt shot at rim
3:15.0,Defensive rebound by A. Ajinca,,20-14,,
3:09.0,E. Gordon misses 3-pt shot from 25 ft,,20-14,,
3:08.0,,,20-14,,Defensive rebound by D. Jordan
3:01.0,,,20-16,2,B. Griffin makes 2-pt shot at rim (assist by C. Paul)
2:39.0,Shooting foul by D. Jordan (drawn by A. Ajinca),,20-16,,
2:39.0,A. Ajinca makes free throw 1 of 2,1,21-16,,
2:39.0,J. Fredette enters the game for Q. Pondexter,,21-16,,
2:39.0,,,21-16,,H. Turkoglu enters the game for M. Barnes
2:39.0,A. Ajinca misses free throw 2 of 2,,21-16,,
2:33.0,,,21-16,,Defensive rebound by B. Griffin
2:23.0,,,21-16,,B. Griffin misses 2-pt shot from 16 ft
2:22.0,,,21-16,,Offensive rebound by D. Jordan
2:22.0,,,21-18,2,D. Jordan makes 2-pt shot at rim
2:07.0,N. Cole misses 2-pt shot from 15 ft,,21-18,,
2:06.0,,,21-18,,Defensive rebound by A. Rivers
1:53.0,,,21-18,,A. Rivers misses 3-pt shot from 25 ft
1:52.0,Defensive rebound by A. Ajinca,,21-18,,
1:45.0,E. Gordon makes 2-pt shot from 2 ft,2,23-18,,
1:27.0,,,23-20,2,B. Griffin makes 2-pt shot at rim (assist by H. Turkoglu)
1:27.0,,,23-20,,Shooting foul by A. Davis (drawn by B. Griffin)
1:27.0,,,23-20,,N. Robinson enters the game for C. Paul
1:27.0,,,23-21,1,B. Griffin makes free throw 1 of 1
1:18.0,A. Davis makes 2-pt shot from 15 ft (assist by N. Cole),2,25-21,,
1:18.0,Shooting foul by B. Griffin (drawn by A. Davis),,25-21,,
1:18.0,J. Withey enters the game for A. Ajinca,,25-21,,
1:18.0,D. Cunningham enters the game for N. Cole,,25-21,,
1:18.0,A. Davis makes free throw 1 of 1,1,26-21,,
1:00.0,,,26-21,,B. Griffin misses 2-pt shot from 7 ft
1:00.0,,,26-21,,Offensive rebound by D. Jordan
1:00.0,,,26-23,2,D. Jordan makes 2-pt shot at rim
1:00.0,,,26-23,,Shooting foul by J. Withey (drawn by D. Jordan)
1:00.0,,,26-24,1,D. Jordan makes free throw 1 of 1
0:43.0,E. Gordon misses 2-pt shot from 1 ft (block by B. Griffin),,26-24,,
0:41.0,,,26-24,,Defensive rebound by N. Robinson
0:35.0,,,26-27,3,H. Turkoglu makes 3-pt shot from 24 ft (assist by N. Robinson)
0:15.0,D. Cunningham makes 2-pt shot from 22 ft (assist by E. Gordon),2,28-27,,
0:03.0,,,28-27,,N. Robinson misses 2-pt shot from 18 ft
0:00.0,Defensive rebound by E. Gordon,,28-27,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,E. Gordon makes 3-pt shot from 24 ft (assist by J. Fredette),3,31-27,,
11:25.0,,,31-27,,Turnover by S. Hawes (traveling)
11:11.0,A. Davis makes 2-pt shot from 19 ft (assist by J. Fredette),2,33-27,,
10:47.0,,,33-29,2,G. Davis makes 2-pt shot from 1 ft (assist by N. Robinson)
10:34.0,Turnover by J. Fredette (lost ball; steal by N. Robinson),,33-29,,
10:14.0,,,33-31,2,A. Rivers makes 2-pt shot from 4 ft
9:59.0,E. Gordon misses 3-pt shot from 24 ft,,33-31,,
9:58.0,,,33-31,,Defensive rebound by H. Turkoglu
9:51.0,,,33-31,,H. Turkoglu misses 3-pt shot from 25 ft
9:49.0,,,33-31,,Offensive rebound by N. Robinson
9:39.0,,,33-31,,Turnover by N. Robinson (lost ball; steal by E. Gordon)
9:18.0,E. Gordon makes 3-pt shot from 24 ft (assist by J. Withey),3,36-31,,
9:02.0,,,36-31,,Shooting foul by J. Fredette (drawn by G. Davis)
9:02.0,,,36-32,1,G. Davis makes free throw 1 of 2
9:02.0,Q. Pondexter enters the game for A. Davis,,36-32,,
9:02.0,,,36-32,,G. Davis misses free throw 2 of 2
9:00.0,Defensive rebound by J. Withey,,36-32,,
8:43.0,E. Gordon misses 2-pt shot from 1 ft,,36-32,,
8:42.0,,,36-32,,Defensive rebound by S. Hawes
8:32.0,,,36-32,,N. Robinson misses 3-pt shot from 24 ft
8:31.0,Defensive rebound by J. Withey,,36-32,,
8:23.0,D. Cunningham makes 2-pt shot from 20 ft (assist by J. Fredette),2,38-32,,
8:07.0,,,38-32,,A. Rivers misses 2-pt shot from 19 ft
8:04.0,Defensive rebound by J. Withey,,38-32,,
7:53.0,J. Fredette misses 2-pt shot from 14 ft,,38-32,,
7:52.0,,,38-32,,Defensive rebound by H. Turkoglu
7:39.0,,,38-35,3,N. Robinson makes 3-pt shot from 25 ft (assist by G. Davis)
7:17.0,Turnover by D. Cunningham (lost ball; steal by N. Robinson),,38-35,,
7:06.0,,,38-37,2,G. Davis makes 2-pt shot from 3 ft (assist by N. Robinson)
7:06.0,New Orleans full timeout,,38-37,,
7:06.0,N. Cole enters the game for J. Fredette,,38-37,,
6:48.0,Q. Pondexter makes 3-pt shot from 25 ft,3,41-37,,
6:30.0,,,41-37,,N. Robinson misses 2-pt shot from 13 ft
6:28.0,,,41-37,,Offensive rebound by G. Davis
6:27.0,,,41-37,,G. Davis misses 2-pt shot from 2 ft (block by J. Withey)
6:25.0,Defensive rebound by D. Cunningham,,41-37,,
6:15.0,Q. Pondexter misses 3-pt shot from 26 ft,,41-37,,
6:13.0,,,41-37,,Defensive rebound by Team
6:13.0,A. Davis enters the game for J. Withey,,41-37,,
6:13.0,,,41-37,,C. Paul enters the game for A. Rivers
6:13.0,,,41-37,,B. Griffin enters the game for N. Robinson
6:13.0,,,41-37,,J. Redick enters the game for S. Hawes
6:13.0,,,41-37,,D. Jordan enters the game for G. Davis
5:56.0,,,41-37,,H. Turkoglu misses 2-pt shot from 7 ft
5:52.0,Defensive rebound by A. Davis,,41-37,,
5:52.0,,,41-37,,Personal foul by H. Turkoglu (drawn by A. Davis)
5:52.0,Official timeout,,41-37,,
5:52.0,,,41-37,,M. Barnes enters the game for H. Turkoglu
5:52.0,A. Ajinca enters the game for D. Cunningham,,41-37,,
5:33.0,Q. Pondexter misses 2-pt shot from 5 ft,,41-37,,
5:32.0,,,41-37,,Defensive rebound by D. Jordan
5:11.0,,,41-39,2,B. Griffin makes 2-pt shot from 14 ft
4:58.0,Offensive foul by E. Gordon,,41-39,,
4:58.0,Turnover by E. Gordon (offensive foul),,41-39,,
4:47.0,,,41-39,,Shooting foul by N. Cole (drawn by C. Paul)
4:47.0,,,41-40,1,C. Paul makes free throw 1 of 2
4:47.0,,,41-41,1,C. Paul makes free throw 2 of 2
4:32.0,Turnover by N. Cole (bad pass),,41-41,,
4:21.0,Personal foul by Q. Pondexter (drawn by B. Griffin),,41-41,,
4:08.0,,,41-43,2,B. Griffin makes 2-pt shot from 20 ft (assist by C. Paul)
3:53.0,Turnover by N. Cole (bad pass),,41-43,,
3:45.0,,,41-45,2,C. Paul makes 2-pt shot from 20 ft
3:32.0,,,41-45,,Personal foul by J. Redick (drawn by E. Gordon)
3:21.0,A. Ajinca misses 2-pt shot from 1 ft (block by D. Jordan),,41-45,,
3:19.0,,,41-45,,Defensive rebound by D. Jordan
3:14.0,,,41-47,2,C. Paul makes 2-pt shot from 11 ft
3:14.0,,,41-47,,Shooting foul by N. Cole (drawn by C. Paul)
3:14.0,D. Cunningham enters the game for N. Cole,,41-47,,
3:14.0,,,41-48,1,C. Paul makes free throw 1 of 1
3:02.0,,,41-48,,Personal foul by J. Redick (drawn by E. Gordon)
2:51.0,D. Cunningham makes 2-pt shot from 21 ft (assist by E. Gordon),2,43-48,,
2:34.0,,,43-48,,C. Paul misses 2-pt shot from 8 ft
2:34.0,,,43-48,,Offensive rebound by D. Jordan
