time,Milwaukee,pts.away,score,pts.home,San Antonio
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Duncan vs. Z. Pachulia (T. Parker gains possession),,,,Jump ball: T. Duncan vs. Z. Pachulia (T. Parker gains possession)
11:47.0,Jump ball: K. Middleton vs. T. Parker,,,,Jump ball: K. Middleton vs. T. Parker
11:40.0,,,0-0,,K. Leonard misses 3-pt shot from 23 ft
11:39.0,Defensive rebound by G. Antetokounmpo,,0-0,,
11:23.0,Turnover by E. Ilyasova (bad pass; steal by D. Green),,0-0,,
11:07.0,,,0-0,,D. Green misses 3-pt shot from 22 ft
11:06.0,Defensive rebound by G. Antetokounmpo,,0-0,,
10:54.0,K. Middleton makes 2-pt shot from 16 ft (assist by Z. Pachulia),2,2-0,,
10:41.0,,,2-0,,Turnover by T. Parker (lost ball; steal by G. Antetokounmpo)
10:35.0,G. Antetokounmpo misses 2-pt shot from 2 ft,,2-0,,
10:34.0,,,2-0,,Defensive rebound by D. Green
10:27.0,,,2-2,2,T. Parker makes 2-pt shot from 1 ft
10:14.0,K. Middleton makes 2-pt shot from 16 ft (assist by B. Knight),2,4-2,,
9:49.0,,,4-5,3,K. Leonard makes 3-pt shot from 24 ft (assist by M. Bonner)
9:36.0,K. Middleton misses 2-pt shot from 17 ft,,4-5,,
9:35.0,,,4-5,,Defensive rebound by T. Duncan
9:32.0,,,4-5,,San Antonio full timeout
9:32.0,,,4-5,,C. Joseph enters the game for K. Leonard
9:23.0,,,4-5,,Turnover by T. Duncan (lost ball; steal by Z. Pachulia)
9:04.0,Z. Pachulia misses 2-pt shot from 2 ft,,4-5,,
9:03.0,,,4-5,,Defensive rebound by C. Joseph
8:51.0,,,4-7,2,T. Duncan makes 2-pt shot from 3 ft (assist by D. Green)
8:51.0,,,4-7,,Shooting foul by K. Middleton (drawn by T. Duncan)
8:51.0,,,4-8,1,T. Duncan makes free throw 1 of 1
8:37.0,E. Ilyasova misses 3-pt shot from 24 ft,,4-8,,
8:36.0,,,4-8,,Defensive rebound by T. Duncan
8:25.0,,,4-10,2,T. Duncan makes 2-pt shot at rim (assist by T. Parker)
8:10.0,E. Ilyasova makes 2-pt shot from 15 ft (assist by Z. Pachulia),2,6-10,,
7:55.0,,,6-10,,T. Parker misses 2-pt shot from 1 ft
7:54.0,Defensive rebound by Z. Pachulia,,6-10,,
7:45.0,Z. Pachulia misses 2-pt shot from 15 ft,,6-10,,
7:43.0,,,6-10,,Defensive rebound by Team
7:22.0,,,6-10,,D. Green misses 2-pt shot from 20 ft
7:21.0,Defensive rebound by G. Antetokounmpo,,6-10,,
7:10.0,Z. Pachulia misses 2-pt shot from 2 ft,,6-10,,
7:09.0,,,6-10,,Defensive rebound by M. Bonner
7:03.0,,,6-10,,T. Parker misses 2-pt shot from 2 ft
7:02.0,Defensive rebound by B. Knight,,6-10,,
6:57.0,B. Knight makes 2-pt shot from 2 ft,2,8-10,,
6:30.0,,,8-10,,T. Duncan misses 2-pt shot from 1 ft (block by Z. Pachulia)
6:29.0,,,8-10,,Offensive rebound by T. Duncan
6:28.0,,,8-12,2,T. Duncan makes 2-pt shot from 2 ft
6:15.0,Turnover by B. Knight (bad pass),,8-12,,
6:15.0,,,8-12,,M. Ginobili enters the game for C. Joseph
6:15.0,,,8-12,,K. Leonard enters the game for D. Green
6:00.0,,,8-12,,Turnover by T. Duncan (lost ball; steal by K. Middleton)
5:55.0,K. Middleton makes 2-pt shot from 4 ft (assist by G. Antetokounmpo),2,10-12,,
5:42.0,,,10-12,,Offensive foul by M. Ginobili
5:42.0,,,10-12,,Turnover by M. Ginobili (offensive foul)
5:31.0,K. Middleton makes 3-pt shot from 24 ft (assist by B. Knight),3,13-12,,
5:12.0,,,13-12,,T. Parker misses 3-pt shot from 23 ft
5:11.0,Defensive rebound by G. Antetokounmpo,,13-12,,
5:04.0,,,13-12,,B. Diaw enters the game for M. Bonner
4:53.0,Z. Pachulia makes 2-pt shot from 1 ft,2,15-12,,
4:46.0,Personal foul by E. Ilyasova (drawn by B. Diaw),,15-12,,
4:46.0,,,15-12,,T. Splitter enters the game for T. Duncan
4:45.0,Personal block foul by K. Middleton (drawn by M. Ginobili),,15-12,,
4:45.0,O. Mayo enters the game for K. Middleton,,15-12,,
4:45.0,J. Henson enters the game for Z. Pachulia,,15-12,,
4:37.0,,,15-12,,M. Ginobili misses 2-pt shot from 2 ft
4:36.0,Defensive rebound by O. Mayo,,15-12,,
4:19.0,G. Antetokounmpo makes 2-pt shot from 18 ft (assist by B. Knight),2,17-12,,
4:10.0,,,17-12,,Turnover by B. Diaw (bad pass; steal by B. Knight)
4:07.0,,,17-12,,Violation by B. Diaw (kicked ball)
4:07.0,,,17-12,,P. Mills enters the game for T. Parker
3:57.0,B. Knight makes 2-pt shot from 18 ft,2,19-12,,
3:38.0,,,19-12,,K. Leonard misses 2-pt shot from 7 ft
3:37.0,Defensive rebound by J. Henson,,19-12,,
3:29.0,B. Knight makes 3-pt shot from 24 ft,3,22-12,,
3:08.0,,,22-12,,K. Leonard misses 2-pt shot from 8 ft
3:07.0,Defensive rebound by J. Henson,,22-12,,
3:00.0,E. Ilyasova makes 2-pt shot from 1 ft (assist by G. Antetokounmpo),2,24-12,,
2:49.0,Personal foul by B. Knight (drawn by P. Mills),,24-12,,
2:49.0,Milwaukee full timeout,,24-12,,
2:49.0,J. Dudley enters the game for E. Ilyasova,,24-12,,
2:42.0,Personal foul by O. Mayo (drawn by M. Ginobili),,24-12,,
2:42.0,,,24-13,1,M. Ginobili makes free throw 1 of 2
2:42.0,,,24-14,1,M. Ginobili makes free throw 2 of 2
2:30.0,Turnover by B. Knight (step out of bounds),,24-14,,
2:13.0,,,24-17,3,P. Mills makes 3-pt shot from 24 ft (assist by M. Ginobili)
1:44.0,B. Knight misses 2-pt shot from 20 ft,,24-17,,
1:44.0,Offensive rebound by Team,,24-17,,
1:44.0,,,24-17,,Loose ball foul by P. Mills (drawn by G. Antetokounmpo)
1:38.0,Turnover by B. Knight (lost ball; steal by K. Leonard),,24-17,,
1:26.0,,,24-17,,Shooting foul by J. Henson (drawn by T. Splitter)
