time,Atlanta,pts.away,score,pts.home,Philadelphia
1:43.0,,,23-20,,Defensive rebound by Team
1:23.0,,,23-20,,J. Grant misses 2-pt shot from 21 ft
1:22.0,Defensive rebound by K. Bazemore,,23-20,,
1:10.0,Turnover by A. Horford (traveling),,23-20,,
0:59.0,,,23-20,,Turnover by H. Sims (bad pass; steal by E. Brand)
0:51.0,S. Mack misses 3-pt shot from 25 ft,,23-20,,
0:50.0,,,23-20,,Defensive rebound by J. Sampson
0:37.0,,,23-20,,Offensive charge foul by H. Thompson
0:37.0,,,23-20,,Turnover by H. Thompson (offensive foul)
0:32.0,S. Mack makes 2-pt shot from 1 ft (assist by K. Korver),2,25-20,,
0:12.0,,,25-20,,H. Sims misses 2-pt shot from 6 ft (block by E. Brand)
0:09.0,Defensive rebound by S. Mack,,25-20,,
0:02.0,S. Mack misses 2-pt shot at rim (block by H. Sims),,25-20,,
0:01.0,Offensive rebound by E. Brand,,25-20,,
0:00.0,E. Brand misses 2-pt shot from 5 ft,,25-20,,
0:00.0,Offensive rebound by Team,,25-20,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,,,25-20,,H. Thompson misses 2-pt shot from 20 ft
11:43.0,Defensive rebound by K. Bazemore,,25-20,,
11:42.0,Turnover by K. Bazemore (lost ball),,25-20,,
11:28.0,,,25-20,,Turnover by J. Sampson (lost ball)
11:12.0,M. Muscala makes 2-pt shot at rim (assist by S. Mack),2,27-20,,
10:46.0,,,27-20,,T. Wroten misses 2-pt shot from 1 ft
10:44.0,Defensive rebound by M. Muscala,,27-20,,
10:39.0,K. Bazemore misses 3-pt shot from 25 ft,,27-20,,
10:37.0,,,27-20,,Defensive rebound by J. Sampson
10:31.0,,,27-22,2,J. Grant makes 2-pt shot from 1 ft (assist by J. Sampson)
10:22.0,K. Korver misses 3-pt shot from 27 ft,,27-22,,
10:21.0,,,27-22,,Defensive rebound by H. Sims
10:15.0,,,27-24,2,T. Wroten makes 2-pt shot from 2 ft
10:03.0,Turnover by K. Korver (bad pass; steal by H. Sims),,27-24,,
9:46.0,,,27-24,,J. Sampson misses 3-pt shot from 25 ft
9:45.0,Defensive rebound by K. Korver,,27-24,,
9:35.0,K. Bazemore makes 3-pt shot from 23 ft (assist by A. Horford),3,30-24,,
9:34.0,,,30-24,,Philadelphia full timeout
9:34.0,,,30-24,,N. Noel enters the game for H. Sims
9:34.0,,,30-24,,L. Mbah a Moute enters the game for J. Grant
9:34.0,,,30-24,,R. Covington enters the game for H. Thompson
9:34.0,,,30-24,,K. McDaniels enters the game for J. Sampson
9:22.0,,,30-24,,R. Covington misses 2-pt shot from 4 ft
9:20.0,Defensive rebound by M. Muscala,,30-24,,
8:56.0,S. Mack misses 2-pt shot from 14 ft,,30-24,,
8:56.0,,,30-24,,Defensive rebound by Team
8:34.0,,,30-27,3,K. McDaniels makes 3-pt shot from 25 ft (assist by L. Mbah a Moute)
8:13.0,M. Muscala misses 2-pt shot from 12 ft,,30-27,,
8:11.0,,,30-27,,Defensive rebound by R. Covington
8:05.0,,,30-30,3,L. Mbah a Moute makes 3-pt shot from 26 ft (assist by T. Wroten)
8:04.0,Atlanta full timeout,,30-30,,
8:04.0,D. Schroder enters the game for S. Mack,,30-30,,
8:04.0,,,30-30,,M. Carter-Williams enters the game for T. Wroten
7:43.0,K. Bazemore misses 2-pt shot from 11 ft,,30-30,,
7:41.0,,,30-30,,Defensive rebound by N. Noel
7:17.0,,,30-30,,R. Covington misses 3-pt shot from 25 ft
7:15.0,Defensive rebound by M. Muscala,,30-30,,
6:56.0,D. Schroder makes 3-pt shot from 25 ft (assist by A. Horford),3,33-30,,
6:43.0,,,33-32,2,M. Carter-Williams makes 2-pt shot from 1 ft
6:43.0,,,33-32,,Shooting foul by D. Schroder (drawn by M. Carter-Williams)
