time,Atlanta,pts.away,score,pts.home,Philadelphia
4:39.0,,,96-74,,Defensive rebound by F. Aldemir
4:27.0,Personal foul by K. Bazemore (drawn by J. Grant),,96-74,,
4:27.0,M. Scott enters the game for T. Sefolosha,,96-74,,
4:27.0,,,96-74,,M. Thomas enters the game for F. Aldemir
4:14.0,,,96-74,,J. Sampson misses 2-pt shot from 3 ft
4:12.0,Defensive rebound by K. Bazemore,,96-74,,
4:09.0,Shooting foul by J. Grant (drawn by M. Scott),,96-74,,
4:09.0,M. Scott misses free throw 1 of 2,,96-74,,
4:09.0,Offensive rebound by Team,,96-74,,
4:09.0,M. Muscala enters the game for K. Bazemore,,96-74,,
4:09.0,M. Scott makes free throw 2 of 2,1,97-74,,
3:51.0,,,97-74,,J. Grant misses 3-pt shot from 24 ft
3:49.0,,,97-74,,Offensive rebound by N. Noel
3:45.0,,,97-77,3,J. Sampson makes 3-pt shot from 25 ft (assist by N. Noel)
3:27.0,S. Mack makes 3-pt shot from 25 ft,3,100-77,,
3:14.0,,,100-77,,Turnover by K. McDaniels (bad pass)
3:14.0,,,100-77,,H. Thompson enters the game for K. McDaniels
2:52.0,E. Brand misses 2-pt shot from 15 ft,,100-77,,
2:51.0,,,100-77,,Defensive rebound by H. Thompson
2:38.0,,,100-79,2,H. Thompson makes 2-pt shot from 10 ft (assist by J. Sampson)
2:16.0,S. Mack misses 3-pt shot from 26 ft,,100-79,,
2:15.0,,,100-79,,Defensive rebound by Team
2:15.0,,,100-79,,F. Aldemir enters the game for N. Noel
2:04.0,,,100-79,,Turnover by J. Grant (bad pass; steal by A. Payne)
2:01.0,A. Payne misses 2-pt shot from 3 ft,,100-79,,
2:00.0,,,100-79,,Defensive rebound by F. Aldemir
1:50.0,,,100-79,,Shooting foul by A. Payne (drawn by J. Sampson)
1:50.0,,,100-79,,J. Sampson misses free throw 1 of 2
1:50.0,,,100-79,,Offensive rebound by Team
1:50.0,,,100-79,,J. Sampson misses free throw 2 of 2
1:49.0,Defensive rebound by A. Payne,,100-79,,
1:35.0,Turnover by M. Scott (traveling),,100-79,,
1:23.0,,,100-81,2,J. Grant makes 2-pt shot from 2 ft
1:23.0,,,100-81,,Shooting foul by E. Brand (drawn by J. Grant)
1:23.0,,,100-82,1,J. Grant makes free throw 1 of 1
1:13.0,Shooting foul by J. Sampson (drawn by A. Payne),,100-82,,
1:13.0,A. Payne misses free throw 1 of 2,,100-82,,
1:13.0,Offensive rebound by Team,,100-82,,
1:13.0,A. Payne makes free throw 2 of 2,1,101-82,,
1:01.0,,,101-85,3,J. Grant makes 3-pt shot from 23 ft (assist by H. Thompson)
0:48.0,A. Payne makes 2-pt shot from 2 ft (assist by S. Mack),2,103-85,,
0:26.0,,,103-85,,M. Thomas misses 2-pt shot from 16 ft
0:25.0,Defensive rebound by E. Brand,,103-85,,
0:21.0,S. Mack makes 2-pt shot from 2 ft (assist by E. Brand),2,105-85,,
0:16.0,,,105-85,,Shooting foul by A. Payne (drawn by F. Aldemir)
0:16.0,,,105-86,1,F. Aldemir makes free throw 1 of 2
0:16.0,,,105-87,1,F. Aldemir makes free throw 2 of 2
0:00.0,End of 4th quarter,,,,End of 4th quarter
