time,New York,pts.away,score,pts.home,LA Clippers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Aldrich vs. D. Jordan (C. Paul gains possession),,,,Jump ball: C. Aldrich vs. D. Jordan (C. Paul gains possession)
11:46.0,,,0-0,,Turnover by J. Redick (bad pass; steal by C. Aldrich)
11:33.0,C. Aldrich makes 2-pt shot from 4 ft,2,2-0,,
11:23.0,,,2-2,2,D. Jordan makes 2-pt shot from 1 ft (assist by B. Griffin)
10:57.0,C. Anthony misses 2-pt shot from 13 ft,,2-2,,
10:55.0,,,2-2,,Defensive rebound by C. Paul
10:47.0,,,2-2,,C. Paul misses 3-pt shot from 25 ft
10:46.0,Defensive rebound by C. Anthony,,2-2,,
10:31.0,Turnover by J. Calderon (bad pass; steal by M. Barnes),,2-2,,
10:24.0,,,2-4,2,J. Redick makes 2-pt shot from 17 ft (assist by B. Griffin)
10:03.0,Turnover by C. Anthony (bad pass; steal by M. Barnes),,2-4,,
9:54.0,,,2-7,3,J. Redick makes 3-pt shot from 27 ft (assist by B. Griffin)
9:44.0,New York full timeout,,2-7,,
9:36.0,T. Hardaway makes 2-pt shot from 1 ft (assist by C. Aldrich),2,4-7,,
9:17.0,,,4-10,3,J. Redick makes 3-pt shot from 23 ft (assist by B. Griffin)
9:03.0,J. Calderon misses 2-pt shot from 20 ft,,4-10,,
9:01.0,,,4-10,,Defensive rebound by C. Paul
8:50.0,,,4-13,3,M. Barnes makes 3-pt shot from 25 ft (assist by B. Griffin)
8:35.0,C. Anthony makes 2-pt shot at rim (assist by C. Aldrich),2,6-13,,
8:24.0,Personal foul by T. Hardaway (drawn by B. Griffin),,6-13,,
8:20.0,,,6-13,,B. Griffin misses 2-pt shot from 17 ft
8:18.0,,,6-13,,Offensive rebound by Team
8:09.0,,,6-15,2,D. Jordan makes 2-pt shot at rim (assist by C. Paul)
7:53.0,J. Smith misses 2-pt shot from 11 ft,,6-15,,
