time,Golden State,pts.away,score,pts.home,Houston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Bogut vs. D. Howard (P. Beverley gains possession),,,,Jump ball: A. Bogut vs. D. Howard (P. Beverley gains possession)
11:39.0,,,0-2,2,P. Beverley makes 2-pt shot from 1 ft (assist by T. Ariza)
11:18.0,D. Green misses 3-pt shot from 25 ft,,0-2,,
11:16.0,Offensive rebound by H. Barnes,,0-2,,
11:12.0,K. Thompson misses 2-pt shot from 20 ft,,0-2,,
11:10.0,,,0-2,,Defensive rebound by D. Howard
11:06.0,,,0-2,,Turnover by P. Beverley (bad pass; steal by K. Thompson)
11:01.0,K. Thompson makes 2-pt shot at rim,2,2-2,,
10:44.0,,,2-2,,T. Ariza misses 2-pt shot from 14 ft
10:42.0,Defensive rebound by D. Green,,2-2,,
10:36.0,H. Barnes makes 3-pt shot from 22 ft (assist by S. Curry),3,5-2,,
10:20.0,,,5-2,,P. Beverley misses 2-pt shot from 6 ft (block by A. Bogut)
10:20.0,,,5-2,,Offensive rebound by Team
10:14.0,,,5-2,,J. Harden misses 2-pt shot from 13 ft (block by K. Thompson)
10:13.0,Defensive rebound by K. Thompson,,5-2,,
10:08.0,S. Curry misses 2-pt shot from 22 ft,,5-2,,
10:06.0,Offensive rebound by S. Curry,,5-2,,
10:04.0,S. Curry makes 2-pt shot from 6 ft,2,7-2,,
9:51.0,,,7-2,,Offensive charge foul by D. Howard
9:51.0,,,7-2,,Turnover by D. Howard (offensive foul)
9:51.0,,,7-2,,Technical foul by D. Howard
9:51.0,S. Curry makes technical free throw,1,8-2,,
9:39.0,Shooting foul by P. Beverley (drawn by S. Curry),,8-2,,
9:39.0,,,8-2,,Houston full timeout
9:39.0,S. Curry misses free throw 1 of 2,,8-2,,
9:39.0,Offensive rebound by Team,,8-2,,
9:39.0,S. Curry makes free throw 2 of 2,1,9-2,,
9:24.0,,,9-2,,D. Motiejunas misses 2-pt shot from 4 ft
9:23.0,Defensive rebound by A. Bogut,,9-2,,
9:18.0,Turnover by A. Bogut (lost ball; steal by D. Motiejunas),,9-2,,
9:15.0,,,9-2,,D. Motiejunas misses 2-pt shot from 3 ft
9:13.0,Defensive rebound by H. Barnes,,9-2,,
9:10.0,A. Bogut misses 2-pt shot from 2 ft,,9-2,,
9:07.0,Offensive rebound by A. Bogut,,9-2,,
9:06.0,Turnover by A. Bogut (lost ball; steal by P. Beverley),,9-2,,
8:50.0,,,9-4,2,D. Howard makes 2-pt shot from 6 ft
8:35.0,Shooting foul by J. Harden (drawn by K. Thompson),,9-4,,
8:35.0,K. Thompson misses free throw 1 of 2,,9-4,,
8:35.0,Offensive rebound by Team,,9-4,,
8:35.0,K. Thompson makes free throw 2 of 2,1,10-4,,
8:26.0,,,10-6,2,P. Beverley makes 2-pt shot from 1 ft
8:26.0,,,10-6,,Shooting foul by A. Bogut (drawn by P. Beverley)
8:26.0,,,10-7,1,P. Beverley makes free throw 1 of 1
8:15.0,Turnover by K. Thompson (step out of bounds),,10-7,,
8:01.0,,,10-7,,J. Harden misses 2-pt shot from 22 ft (block by K. Thompson)
7:59.0,,,10-7,,Offensive rebound by J. Harden
7:55.0,,,10-10,3,D. Motiejunas makes 3-pt shot from 25 ft (assist by D. Howard)
7:41.0,,,10-10,,Violation by P. Beverley (kicked ball)
7:34.0,,,10-10,,Violation by D. Motiejunas (kicked ball)
7:26.0,Turnover by H. Barnes (traveling),,10-10,,
7:14.0,,,10-12,2,J. Harden makes 2-pt shot from 1 ft (assist by P. Beverley)
7:02.0,K. Thompson misses 3-pt shot from 25 ft,,10-12,,
7:01.0,,,10-12,,Defensive rebound by P. Beverley
6:45.0,,,10-12,,Shooting foul by H. Barnes (drawn by J. Harden)
6:45.0,,,10-12,,J. Harden misses free throw 1 of 2
6:45.0,,,10-12,,Offensive rebound by Team
6:45.0,,,10-13,1,J. Harden makes free throw 2 of 2
6:30.0,S. Curry misses 3-pt shot from 25 ft,,10-13,,
6:29.0,,,10-13,,Defensive rebound by T. Ariza
6:16.0,,,10-13,,Shooting foul by D. Green (drawn by D. Motiejunas)
6:16.0,,,10-14,1,D. Motiejunas makes free throw 1 of 3
6:16.0,,,10-15,1,D. Motiejunas makes free throw 2 of 3
6:16.0,,,10-16,1,D. Motiejunas makes free throw 3 of 3
6:04.0,A. Bogut makes 2-pt shot from 1 ft (assist by K. Thompson),2,12-16,,
5:51.0,,,12-16,,Shooting foul by A. Bogut (drawn by D. Howard)
5:51.0,,,12-17,1,D. Howard makes free throw 1 of 2
5:51.0,M. Speights enters the game for A. Bogut,,12-17,,
5:51.0,,,12-18,1,D. Howard makes free throw 2 of 2
5:37.0,D. Green makes 2-pt shot from 1 ft (assist by M. Speights),2,14-18,,
5:28.0,,,14-20,2,D. Howard makes 2-pt shot at rim (assist by J. Harden)
5:17.0,K. Thompson makes 2-pt shot from 18 ft (assist by S. Curry),2,16-20,,
5:09.0,,,16-20,,P. Beverley misses 2-pt shot from 3 ft (block by K. Thompson)
5:07.0,Defensive rebound by S. Curry,,16-20,,
4:58.0,M. Speights misses 2-pt shot from 3 ft,,16-20,,
4:56.0,,,16-20,,Defensive rebound by J. Harden
4:47.0,,,16-20,,J. Harden misses 3-pt shot from 25 ft
4:45.0,Defensive rebound by M. Speights,,16-20,,
4:42.0,D. Green makes 2-pt shot at rim (assist by M. Speights),2,18-20,,
4:29.0,,,18-20,,D. Howard misses 2-pt shot from 3 ft
4:28.0,Defensive rebound by D. Green,,18-20,,
4:22.0,H. Barnes misses 3-pt shot from 24 ft,,18-20,,
4:21.0,,,18-20,,Defensive rebound by D. Howard
4:05.0,,,18-20,,T. Ariza misses 3-pt shot from 24 ft
4:04.0,Defensive rebound by K. Thompson,,18-20,,
3:58.0,K. Thompson misses 3-pt shot from 24 ft,,18-20,,
3:56.0,Offensive rebound by H. Barnes,,18-20,,
3:52.0,S. Curry misses 3-pt shot from 25 ft,,18-20,,
3:52.0,,,18-20,,Defensive rebound by D. Motiejunas
3:47.0,,,18-22,2,D. Howard makes 2-pt shot at rim (assist by T. Ariza)
3:39.0,K. Thompson makes 2-pt shot from 1 ft (assist by S. Curry),2,20-22,,
3:13.0,,,20-24,2,J. Harden makes 2-pt shot from 17 ft
3:02.0,M. Speights makes 2-pt shot at rim (assist by S. Curry),2,22-24,,
2:55.0,,,22-24,,Houston full timeout
2:55.0,Golden State full timeout,,22-24,,
2:55.0,,,22-24,,C. Brewer enters the game for T. Ariza
2:55.0,,,22-24,,J. Terry enters the game for D. Howard
2:55.0,,,22-24,,J. Smith enters the game for P. Beverley
2:55.0,A. Iguodala enters the game for H. Barnes,,22-24,,
2:55.0,J. Holiday enters the game for K. Thompson,,22-24,,
2:43.0,,,22-24,,D. Motiejunas misses 2-pt shot from 4 ft
2:40.0,Defensive rebound by M. Speights,,22-24,,
2:33.0,Turnover by S. Curry (lost ball; steal by J. Harden),,22-24,,
2:28.0,,,22-24,,J. Harden misses 2-pt shot from 2 ft
2:25.0,,,22-24,,Offensive rebound by J. Smith
2:25.0,,,22-24,,J. Smith misses 2-pt shot at rim
2:23.0,Defensive rebound by M. Speights,,22-24,,
