time,Philadelphia,pts.away,score,pts.home,New York
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Dalembert vs. N. Noel (J. Calderon gains possession),,,,Jump ball: S. Dalembert vs. N. Noel (J. Calderon gains possession)
11:37.0,,,0-0,,J. Calderon misses 2-pt shot from 9 ft
11:36.0,Defensive rebound by N. Noel,,0-0,,
11:18.0,L. Mbah a Moute misses 2-pt shot from 22 ft,,0-0,,
11:17.0,,,0-0,,Defensive rebound by S. Dalembert
11:10.0,,,0-0,,Turnover by I. Shumpert (lost ball; steal by H. Sims)
10:56.0,L. Mbah a Moute makes 2-pt shot from 1 ft (assist by N. Noel),2,2-0,,
10:42.0,,,2-0,,Turnover by C. Anthony (bad pass)
10:29.0,Turnover by M. Carter-Williams (lost ball; steal by J. Calderon),,2-0,,
10:20.0,,,2-2,2,Q. Acy makes 2-pt shot at rim (assist by J. Calderon)
10:06.0,Turnover by M. Carter-Williams (lost ball; steal by C. Anthony),,2-2,,
9:46.0,Personal foul by H. Sims,,2-2,,
9:39.0,,,2-5,3,J. Calderon makes 3-pt shot from 25 ft (assist by Q. Acy)
9:26.0,N. Noel misses 2-pt shot from 4 ft,,2-5,,
9:25.0,,,2-5,,Defensive rebound by Q. Acy
9:09.0,,,2-7,2,C. Anthony makes 2-pt shot at rim (assist by I. Shumpert)
8:55.0,N. Noel makes 2-pt shot at rim (assist by M. Carter-Williams),2,4-7,,
8:42.0,,,4-7,,S. Dalembert misses 2-pt shot from 14 ft
8:41.0,Defensive rebound by M. Carter-Williams,,4-7,,
8:28.0,M. Carter-Williams misses 2-pt shot from 2 ft,,4-7,,
8:27.0,,,4-7,,Defensive rebound by J. Calderon
8:19.0,,,4-7,,Q. Acy misses 2-pt shot from 3 ft
8:17.0,,,4-7,,Offensive rebound by S. Dalembert
8:17.0,,,4-9,2,S. Dalembert makes 2-pt shot from 1 ft
8:01.0,L. Mbah a Moute misses 2-pt shot from 1 ft,,4-9,,
8:00.0,,,4-9,,Defensive rebound by Team
7:48.0,,,4-9,,J. Calderon misses 2-pt shot from 21 ft
7:47.0,Defensive rebound by H. Sims,,4-9,,
7:37.0,Turnover by M. Carter-Williams (lost ball; steal by I. Shumpert),,4-9,,
7:31.0,,,4-9,,I. Shumpert misses 3-pt shot from 26 ft
7:30.0,Defensive rebound by H. Sims,,4-9,,
7:19.0,L. Mbah a Moute misses 3-pt shot from 25 ft,,4-9,,
7:18.0,Offensive rebound by M. Carter-Williams,,4-9,,
7:14.0,,,4-9,,Personal foul by J. Calderon
7:04.0,H. Sims misses 2-pt shot from 3 ft (block by S. Dalembert),,4-9,,
7:02.0,,,4-9,,Defensive rebound by C. Anthony
6:54.0,,,4-11,2,C. Anthony makes 2-pt shot from 16 ft (assist by Q. Acy)
6:53.0,Philadelphia full timeout,,4-11,,
6:37.0,H. Sims makes 2-pt shot from 2 ft (assist by T. Wroten),2,6-11,,
6:14.0,,,6-11,,C. Anthony misses 2-pt shot from 17 ft
6:13.0,,,6-11,,Offensive rebound by S. Dalembert
