time,Boston,pts.away,score,pts.home,Indiana
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Hibbert vs. T. Zeller (D. West gains possession),,,,Jump ball: R. Hibbert vs. T. Zeller (D. West gains possession)
11:39.0,,,0-2,2,R. Hibbert makes 2-pt shot from 8 ft (assist by D. West)
11:21.0,Turnover by E. Turner (bad pass; steal by R. Stuckey),,0-2,,
11:07.0,,,0-2,,R. Hibbert misses 2-pt shot from 17 ft
11:06.0,,,0-2,,Offensive rebound by C. Watson
11:01.0,Personal foul by A. Bradley (drawn by C. Watson),,0-2,,
10:50.0,,,0-2,,S. Hill misses 2-pt shot from 4 ft (block by J. Sullinger)
10:49.0,Defensive rebound by E. Turner,,0-2,,
10:44.0,Turnover by A. Bradley (bad pass; steal by C. Watson),,0-2,,
10:35.0,,,0-2,,Turnover by C. Watson (bad pass)
10:25.0,Shooting foul by R. Hibbert (drawn by T. Zeller),,0-2,,
10:25.0,T. Zeller makes free throw 1 of 2,1,1-2,,
10:25.0,T. Zeller makes free throw 2 of 2,1,2-2,,
10:14.0,Personal foul by E. Turner (drawn by R. Hibbert),,2-2,,
10:04.0,,,2-2,,D. West misses 2-pt shot from 13 ft
10:03.0,,,2-2,,Offensive rebound by R. Hibbert
10:03.0,,,2-4,2,R. Hibbert makes 2-pt shot from 2 ft
9:53.0,,,2-4,,Personal foul by R. Stuckey (drawn by A. Bradley)
9:44.0,A. Bradley misses 2-pt shot from 17 ft,,2-4,,
9:42.0,,,2-4,,Defensive rebound by Team
9:28.0,,,2-4,,C. Watson misses 2-pt shot at rim
9:27.0,Defensive rebound by E. Turner,,2-4,,
9:16.0,E. Turner misses 2-pt shot from 10 ft,,2-4,,
9:15.0,,,2-4,,Defensive rebound by R. Stuckey
8:54.0,,,2-4,,C. Watson misses 3-pt shot from 23 ft
8:52.0,,,2-4,,Offensive rebound by C. Watson
8:48.0,,,2-4,,S. Hill misses 3-pt shot from 26 ft
8:47.0,Defensive rebound by A. Bradley,,2-4,,
8:39.0,J. Sullinger misses 3-pt shot from 25 ft,,2-4,,
8:39.0,,,2-4,,Defensive rebound by Team
8:27.0,,,2-4,,Turnover by D. West (bad pass; steal by A. Bradley)
8:22.0,T. Zeller makes 2-pt shot from 1 ft (assist by E. Turner),2,4-4,,
8:22.0,Shooting foul by D. West (drawn by T. Zeller),,4-4,,
8:22.0,T. Zeller makes free throw 1 of 1,1,5-4,,
8:10.0,,,5-4,,Turnover by R. Stuckey (bad pass)
7:58.0,J. Sullinger misses 2-pt shot from 7 ft (block by D. West),,5-4,,
7:57.0,,,5-4,,Defensive rebound by R. Hibbert
7:42.0,,,5-4,,R. Hibbert misses 2-pt shot at rim
7:40.0,Defensive rebound by E. Turner,,5-4,,
7:36.0,Turnover by E. Turner (lost ball; steal by D. West),,5-4,,
7:24.0,,,5-4,,R. Hibbert misses 2-pt shot from 9 ft
7:23.0,Defensive rebound by J. Crowder,,5-4,,
7:11.0,J. Sullinger makes 2-pt shot from 2 ft (assist by T. Zeller),2,7-4,,
7:11.0,,,7-4,,Indiana full timeout
7:11.0,,,7-4,,C. Miles enters the game for S. Hill
6:55.0,,,7-6,2,R. Hibbert makes 2-pt shot from 7 ft
