time,Washington,pts.away,score,pts.home,Chicago
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: P. Gasol vs. M. Gortat (T. Snell gains possession),,,,Jump ball: P. Gasol vs. M. Gortat (T. Snell gains possession)
11:40.0,,,0-0,,P. Gasol misses 2-pt shot from 14 ft
11:38.0,Defensive rebound by Team,,0-0,,
11:20.0,N. Hilario misses 2-pt shot from 2 ft,,0-0,,
11:19.0,Offensive rebound by Team,,0-0,,
11:02.0,P. Pierce misses 3-pt shot from 24 ft,,0-0,,
11:00.0,Offensive rebound by M. Gortat,,0-0,,
10:57.0,N. Hilario misses 2-pt shot from 1 ft (block by J. Noah),,0-0,,
10:55.0,,,0-0,,Defensive rebound by D. Rose
10:50.0,,,0-0,,D. Rose misses 2-pt shot from 2 ft
10:48.0,,,0-0,,Offensive rebound by J. Noah
10:48.0,,,0-2,2,J. Noah makes 2-pt shot at rim
10:33.0,B. Beal makes 3-pt shot from 24 ft (assist by J. Wall),3,3-2,,
10:12.0,,,3-2,,J. Butler misses 2-pt shot from 6 ft
10:11.0,Defensive rebound by M. Gortat,,3-2,,
9:55.0,J. Wall misses 2-pt shot from 20 ft,,3-2,,
9:54.0,Offensive rebound by J. Wall,,3-2,,
9:49.0,P. Pierce makes 2-pt shot from 19 ft,2,5-2,,
9:27.0,,,5-5,3,J. Butler makes 3-pt shot from 25 ft
9:12.0,Turnover by J. Wall (lost ball; steal by T. Snell),,5-5,,
9:08.0,,,5-7,2,T. Snell makes 2-pt shot from 1 ft
8:48.0,Turnover by P. Pierce (bad pass),,5-7,,
8:32.0,,,5-10,3,D. Rose makes 3-pt shot from 25 ft (assist by P. Gasol)
8:25.0,,,5-10,,Personal foul by P. Gasol (drawn by N. Hilario)
8:18.0,B. Beal makes 2-pt shot from 21 ft (assist by N. Hilario),2,7-10,,
8:00.0,,,7-10,,T. Snell misses 2-pt shot from 19 ft
7:59.0,Defensive rebound by P. Pierce,,7-10,,
7:40.0,J. Wall misses 2-pt shot from 19 ft,,7-10,,
7:39.0,,,7-10,,Defensive rebound by J. Noah
7:32.0,,,7-12,2,D. Rose makes 2-pt shot from 1 ft (assist by J. Noah)
7:26.0,Shooting foul by D. Rose (drawn by P. Pierce),,7-12,,
7:26.0,P. Pierce makes free throw 1 of 2,1,8-12,,
7:26.0,P. Pierce makes free throw 2 of 2,1,9-12,,
7:05.0,,,9-12,,Turnover by D. Rose (step out of bounds)
6:57.0,B. Beal makes 2-pt shot from 19 ft (assist by J. Wall),2,11-12,,
6:42.0,,,11-12,,Turnover by P. Gasol (traveling)
6:31.0,N. Hilario makes 2-pt shot from 1 ft (assist by P. Pierce),2,13-12,,
6:09.0,,,13-15,3,T. Snell makes 3-pt shot from 23 ft (assist by J. Butler)
5:52.0,N. Hilario makes 2-pt shot from 11 ft (assist by B. Beal),2,15-15,,
5:32.0,,,15-15,,P. Gasol misses 2-pt shot from 11 ft
5:31.0,Defensive rebound by P. Pierce,,15-15,,
5:22.0,M. Gortat misses 2-pt shot from 11 ft,,15-15,,
5:21.0,,,15-15,,Defensive rebound by P. Gasol
5:09.0,,,15-15,,Shooting foul by N. Hilario (drawn by P. Gasol)
5:09.0,,,15-15,,Chicago full timeout
5:09.0,R. Butler enters the game for P. Pierce,,15-15,,
5:09.0,,,15-15,,P. Gasol misses free throw 1 of 2
5:09.0,,,15-15,,Offensive rebound by Team
5:09.0,,,15-16,1,P. Gasol makes free throw 2 of 2
4:49.0,J. Wall makes 2-pt shot from 16 ft,2,17-16,,
4:34.0,,,17-16,,J. Butler misses 2-pt shot from 11 ft
4:34.0,Defensive rebound by Team,,17-16,,
4:21.0,N. Hilario misses 2-pt shot from 20 ft,,17-16,,
4:20.0,,,17-16,,Defensive rebound by T. Snell
4:07.0,,,17-19,3,D. Rose makes 3-pt shot from 24 ft (assist by J. Noah)
3:47.0,J. Wall makes 2-pt shot from 11 ft (assist by B. Beal),2,19-19,,
3:36.0,,,19-21,2,D. Rose makes 2-pt shot from 1 ft
3:21.0,Shooting foul by J. Noah (drawn by N. Hilario),,19-21,,
3:21.0,N. Hilario makes free throw 1 of 2,1,20-21,,
3:21.0,M. Webster enters the game for B. Beal,,20-21,,
3:21.0,,,20-21,,T. Gibson enters the game for J. Noah
3:21.0,N. Hilario makes free throw 2 of 2,1,21-21,,
3:12.0,,,21-23,2,D. Rose makes 2-pt shot from 18 ft
2:52.0,Turnover by N. Hilario (bad pass; steal by J. Butler),,21-23,,
2:39.0,,,21-25,2,T. Gibson makes 2-pt shot from 5 ft
2:33.0,Washington full timeout,,21-25,,
