time,Dallas,pts.away,score,pts.home,Indiana
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Chandler vs. R. Hibbert (C. Parsons gains possession),,,,Jump ball: T. Chandler vs. R. Hibbert (C. Parsons gains possession)
11:49.0,D. Nowitzki makes 3-pt shot from 26 ft (assist by C. Parsons),3,3-0,,
11:29.0,,,3-0,,Shooting foul by R. Jefferson (drawn by R. Hibbert)
11:29.0,,,3-1,1,R. Hibbert makes free throw 1 of 2
11:29.0,,,3-2,1,R. Hibbert makes free throw 2 of 2
11:16.0,R. Jefferson misses 2-pt shot from 19 ft,,3-2,,
11:14.0,Offensive rebound by R. Rondo,,3-2,,
11:11.0,,,3-2,,Personal foul by S. Hill (drawn by R. Jefferson)
10:54.0,T. Chandler makes 2-pt shot from 2 ft (assist by R. Jefferson),2,5-2,,
10:40.0,,,5-2,,D. West misses 2-pt shot from 15 ft
10:39.0,Defensive rebound by T. Chandler,,5-2,,
10:31.0,R. Rondo misses 2-pt shot at rim,,5-2,,
10:30.0,,,5-2,,Defensive rebound by R. Hibbert
10:18.0,Personal foul by T. Chandler (drawn by R. Hibbert),,5-2,,
10:15.0,,,5-4,2,C. Miles makes 2-pt shot from 11 ft (assist by S. Hill)
10:06.0,R. Rondo makes 2-pt shot at rim,2,7-4,,
9:47.0,,,7-7,3,C. Miles makes 3-pt shot from 23 ft (assist by S. Hill)
9:26.0,D. Nowitzki misses 2-pt shot from 16 ft,,7-7,,
9:25.0,Offensive rebound by T. Chandler,,7-7,,
9:22.0,R. Jefferson misses 2-pt shot from 22 ft,,7-7,,
9:21.0,,,7-7,,Defensive rebound by R. Hibbert
9:10.0,,,7-10,3,C. Miles makes 3-pt shot from 23 ft (assist by S. Hill)
8:53.0,Turnover by D. Nowitzki (bad pass; steal by C. Miles),,7-10,,
8:33.0,,,7-10,,R. Hibbert misses 2-pt shot from 16 ft
8:32.0,Defensive rebound by C. Parsons,,7-10,,
8:21.0,R. Rondo misses 2-pt shot from 19 ft,,7-10,,
8:20.0,,,7-10,,Defensive rebound by R. Hibbert
8:05.0,,,7-12,2,D. West makes 2-pt shot from 14 ft
7:42.0,Shooting foul by S. Hill (drawn by C. Parsons),,7-12,,
7:42.0,C. Parsons misses free throw 1 of 2,,7-12,,
7:42.0,Offensive rebound by Team,,7-12,,
7:42.0,,,7-12,,R. Stuckey enters the game for S. Hill
7:42.0,C. Parsons makes free throw 2 of 2,1,8-12,,
7:35.0,,,8-14,2,D. West makes 2-pt shot from 18 ft (assist by G. Hill)
7:17.0,,,8-14,,Personal foul by C. Miles (drawn by R. Jefferson)
7:12.0,R. Rondo makes 2-pt shot from 1 ft,2,10-14,,
7:03.0,,,10-14,,Turnover by G. Hill (lost ball; steal by R. Rondo)
6:59.0,R. Rondo makes 2-pt shot at rim (assist by T. Chandler),2,12-14,,
6:54.0,Personal foul by R. Rondo (drawn by G. Hill),,12-14,,
6:42.0,,,12-14,,C. Miles misses 2-pt shot at rim
6:41.0,Defensive rebound by T. Chandler,,12-14,,
6:33.0,T. Chandler misses 2-pt shot from 3 ft,,12-14,,
6:33.0,,,12-14,,Defensive rebound by R. Hibbert
6:33.0,Personal foul by T. Chandler (drawn by R. Hibbert),,12-14,,
6:33.0,,,12-14,,Indiana full timeout
6:33.0,A. Stoudemire enters the game for T. Chandler,,12-14,,
6:20.0,,,12-14,,Turnover by D. West (bad pass)
6:04.0,R. Jefferson misses 2-pt shot from 1 ft,,12-14,,
6:04.0,Offensive rebound by Team,,12-14,,
6:04.0,Turnover by R. Jefferson (traveling),,12-14,,
5:54.0,,,12-14,,R. Stuckey misses 2-pt shot from 18 ft
5:53.0,Defensive rebound by C. Parsons,,12-14,,
5:41.0,R. Jefferson makes 2-pt shot at rim (assist by R. Rondo),2,14-14,,
5:33.0,,,14-17,3,C. Miles makes 3-pt shot from 24 ft (assist by R. Stuckey)
5:15.0,A. Stoudemire misses 2-pt shot from 19 ft,,14-17,,
5:14.0,,,14-17,,Defensive rebound by D. West
5:04.0,,,14-19,2,D. West makes 2-pt shot from 7 ft (assist by G. Hill)
4:41.0,C. Parsons makes 3-pt shot from 26 ft,3,17-19,,
4:21.0,,,17-22,3,C. Miles makes 3-pt shot from 23 ft (assist by R. Hibbert)
4:18.0,Dallas full timeout,,17-22,,
4:18.0,,,17-22,,I. Mahinmi enters the game for R. Hibbert
4:18.0,A. Aminu enters the game for D. Nowitzki,,17-22,,
4:18.0,D. Harris enters the game for R. Jefferson,,17-22,,
3:59.0,A. Stoudemire makes 2-pt shot from 6 ft,2,19-22,,
3:59.0,Shooting foul by I. Mahinmi (drawn by A. Stoudemire),,19-22,,
3:59.0,A. Stoudemire makes free throw 1 of 1,1,20-22,,
3:43.0,,,20-22,,C. Miles misses 2-pt shot from 10 ft
3:41.0,Defensive rebound by C. Parsons,,20-22,,
3:33.0,A. Aminu misses 2-pt shot at rim (block by D. West),,20-22,,
3:33.0,Offensive rebound by A. Aminu,,20-22,,
3:33.0,Jump ball: A. Aminu vs. D. West (R. Rondo gains possession),,,,Jump ball: A. Aminu vs. D. West (R. Rondo gains possession)
3:24.0,C. Parsons makes 2-pt shot from 1 ft (assist by R. Rondo),2,22-22,,
