time,Indiana,pts.away,score,pts.home,San Antonio
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Duncan vs. I. Mahinmi (T. Parker gains possession),,,,Jump ball: T. Duncan vs. I. Mahinmi (T. Parker gains possession)
11:41.0,,,0-0,,Turnover by K. Leonard (bad pass; steal by R. Stuckey)
11:38.0,R. Stuckey misses 2-pt shot from 2 ft (block by D. Green),,0-0,,
11:37.0,Offensive rebound by D. Sloan,,0-0,,
11:35.0,D. Sloan misses 2-pt shot from 1 ft,,0-0,,
11:33.0,,,0-0,,Defensive rebound by D. Green
11:24.0,,,0-2,2,K. Leonard makes 2-pt shot from 16 ft
11:07.0,L. Scola makes 2-pt shot from 19 ft (assist by I. Mahinmi),2,2-2,,
10:51.0,,,2-4,2,T. Parker makes 2-pt shot from 16 ft
10:34.0,S. Hill misses 2-pt shot from 2 ft (block by T. Duncan),,2-4,,
10:34.0,Offensive rebound by Team,,2-4,,
10:28.0,D. Sloan misses 3-pt shot from 28 ft,,2-4,,
10:27.0,,,2-4,,Defensive rebound by D. Green
10:13.0,,,2-6,2,D. Green makes 2-pt shot from 19 ft (assist by K. Leonard)
9:58.0,R. Stuckey misses 2-pt shot from 1 ft (block by T. Duncan),,2-6,,
9:57.0,,,2-6,,Defensive rebound by B. Diaw
9:50.0,,,2-6,,D. Green misses 3-pt shot from 25 ft
9:49.0,Defensive rebound by L. Scola,,2-6,,
9:36.0,L. Scola misses 2-pt shot from 2 ft,,2-6,,
9:35.0,,,2-6,,Defensive rebound by B. Diaw
9:20.0,,,2-6,,T. Parker misses 2-pt shot from 15 ft
9:19.0,Defensive rebound by I. Mahinmi,,2-6,,
9:01.0,L. Scola misses 2-pt shot from 19 ft,,2-6,,
8:59.0,Offensive rebound by R. Stuckey,,2-6,,
8:56.0,R. Stuckey makes 2-pt shot from 15 ft,2,4-6,,
8:38.0,,,4-6,,D. Green misses 2-pt shot from 17 ft
8:37.0,,,4-6,,Offensive rebound by T. Duncan
8:29.0,,,4-6,,T. Duncan misses 2-pt shot from 13 ft
8:28.0,Defensive rebound by L. Scola,,4-6,,
8:21.0,R. Stuckey misses 2-pt shot from 18 ft,,4-6,,
8:20.0,,,4-6,,Defensive rebound by T. Parker
8:14.0,,,4-8,2,T. Parker makes 2-pt shot from 2 ft
7:55.0,I. Mahinmi makes 2-pt shot from 2 ft (assist by R. Stuckey),2,6-8,,
7:37.0,,,6-8,,Turnover by T. Parker (bad pass; steal by I. Mahinmi)
7:27.0,Shooting foul by K. Leonard (drawn by R. Stuckey),,6-8,,
7:27.0,R. Stuckey makes free throw 1 of 2,1,7-8,,
7:27.0,R. Stuckey makes free throw 2 of 2,1,8-8,,
7:12.0,,,8-8,,Shooting foul by I. Mahinmi (drawn by T. Duncan)
7:12.0,,,8-9,1,T. Duncan makes free throw 1 of 2
7:12.0,,,8-9,,T. Duncan misses free throw 2 of 2
7:11.0,Defensive rebound by I. Mahinmi,,8-9,,
7:00.0,Turnover by S. Hill (lost ball; steal by B. Diaw),,8-9,,
6:55.0,,,8-9,,Turnover by B. Diaw (bad pass; steal by S. Hill)
6:49.0,R. Stuckey misses 3-pt shot from 23 ft,,8-9,,
6:47.0,,,8-9,,Defensive rebound by D. Green
6:34.0,,,8-11,2,K. Leonard makes 2-pt shot from 12 ft (assist by B. Diaw)
6:20.0,L. Scola makes 2-pt shot from 20 ft (assist by D. Sloan),2,10-11,,
6:04.0,,,10-14,3,K. Leonard makes 3-pt shot from 22 ft (assist by T. Parker)
5:42.0,I. Mahinmi makes 2-pt shot from 4 ft,2,12-14,,
5:31.0,,,12-16,2,T. Duncan makes 2-pt shot from 1 ft (assist by T. Parker)
5:12.0,R. Stuckey makes 2-pt shot from 9 ft,2,14-16,,
4:52.0,,,14-18,2,T. Parker makes 2-pt shot from 11 ft
4:45.0,D. Sloan misses 2-pt shot from 18 ft,,14-18,,
4:44.0,Offensive rebound by S. Hill,,14-18,,
4:38.0,R. Stuckey makes 2-pt shot from 17 ft (assist by S. Hill),2,16-18,,
4:17.0,,,16-18,,T. Parker misses 2-pt shot from 16 ft
4:16.0,Defensive rebound by I. Mahinmi,,16-18,,
4:08.0,L. Scola misses 2-pt shot from 17 ft,,16-18,,
4:07.0,,,16-18,,Defensive rebound by D. Green
3:55.0,,,16-20,2,K. Leonard makes 2-pt shot from 20 ft
3:38.0,L. Scola makes 2-pt shot from 2 ft (assist by D. Sloan),2,18-20,,
3:23.0,,,18-20,,Turnover by B. Diaw (lost ball; steal by L. Scola)
3:18.0,D. Sloan misses 2-pt shot from 1 ft (block by D. Green),,18-20,,
3:18.0,Offensive rebound by Team,,18-20,,
3:18.0,,,18-20,,San Antonio full timeout
3:18.0,,,18-20,,M. Ginobili enters the game for T. Parker
3:18.0,,,18-20,,M. Belinelli enters the game for D. Green
3:18.0,C. Copeland enters the game for L. Scola,,18-20,,
3:18.0,C. Miles enters the game for R. Stuckey,,18-20,,
3:04.0,D. Sloan makes 2-pt shot from 2 ft,2,20-20,,
2:49.0,Personal foul by C. Miles (drawn by K. Leonard),,20-20,,
2:49.0,Indiana full timeout,,20-20,,
2:49.0,,,20-20,,M. Bonner enters the game for B. Diaw
2:38.0,,,20-20,,K. Leonard misses 2-pt shot from 11 ft
2:37.0,Defensive rebound by D. Sloan,,20-20,,
2:16.0,C. Copeland misses 2-pt shot from 22 ft,,20-20,,
2:15.0,,,20-20,,Defensive rebound by K. Leonard
2:09.0,,,20-20,,Turnover by M. Ginobili (bad pass; steal by C. Miles)
2:03.0,C. Miles misses 2-pt shot from 18 ft,,20-20,,
2:02.0,,,20-20,,Defensive rebound by M. Belinelli
1:54.0,,,20-20,,Shooting foul by C. Miles (drawn by M. Belinelli)
1:54.0,,,20-21,1,M. Belinelli makes free throw 1 of 2
1:54.0,L. Allen enters the game for I. Mahinmi,,20-21,,
1:54.0,,,20-21,,A. Baynes enters the game for T. Duncan
1:54.0,,,20-21,,D. Green enters the game for K. Leonard
1:54.0,,,20-22,1,M. Belinelli makes free throw 2 of 2
1:38.0,S. Hill makes 3-pt shot from 24 ft (assist by D. Sloan),3,23-22,,
1:27.0,,,23-22,,M. Bonner misses 3-pt shot from 24 ft
1:26.0,Defensive rebound by D. Sloan,,23-22,,
1:22.0,,,23-22,,Personal foul by M. Ginobili (drawn by D. Sloan)
1:22.0,A. Price enters the game for D. Sloan,,23-22,,
1:11.0,S. Hill makes 2-pt shot at rim,2,25-22,,
0:46.0,,,25-24,2,M. Ginobili makes 2-pt shot from 2 ft
0:34.0,S. Hill misses 2-pt shot from 15 ft,,25-24,,
0:33.0,,,25-24,,Defensive rebound by M. Bonner
0:26.0,,,25-24,,Shooting foul by S. Hill (drawn by M. Ginobili)
0:26.0,,,25-25,1,M. Ginobili makes free throw 1 of 2
0:26.0,,,25-25,,M. Ginobili misses free throw 2 of 2
0:26.0,Defensive rebound by L. Allen,,25-25,,
0:04.0,S. Hill makes 2-pt shot from 1 ft,2,27-25,,
0:00.0,,,27-25,,D. Green misses 3-pt shot from 28 ft
0:00.0,,,27-25,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,L. Allen misses 2-pt shot from 21 ft,,27-25,,
11:44.0,,,27-25,,Defensive rebound by M. Ginobili
11:28.0,,,27-27,2,A. Baynes makes 2-pt shot from 1 ft (assist by D. Green)
11:13.0,C. Copeland makes 3-pt shot from 24 ft (assist by A. Price),3,30-27,,
10:59.0,,,30-29,2,M. Belinelli makes 2-pt shot from 20 ft (assist by M. Ginobili)
10:41.0,C. Miles misses 3-pt shot from 22 ft,,30-29,,
10:40.0,,,30-29,,Defensive rebound by D. Green
10:31.0,,,30-29,,M. Ginobili misses 2-pt shot from 18 ft
10:30.0,,,30-29,,Offensive rebound by A. Baynes
10:27.0,,,30-31,2,M. Ginobili makes 2-pt shot from 1 ft (assist by A. Baynes)
10:12.0,A. Price makes 2-pt shot from 6 ft,2,32-31,,
9:54.0,,,32-31,,M. Ginobili misses 3-pt shot from 24 ft
9:53.0,Defensive rebound by C. Copeland,,32-31,,
9:34.0,D. Rudez misses 3-pt shot from 24 ft,,32-31,,
9:33.0,,,32-31,,Defensive rebound by M. Bonner
9:27.0,,,32-31,,Turnover by M. Ginobili (lost ball; steal by C. Miles)
9:22.0,D. Rudez misses 2-pt shot at rim,,32-31,,
9:21.0,,,32-31,,Defensive rebound by A. Baynes
9:13.0,,,32-31,,Turnover by M. Ginobili (traveling)
9:13.0,,,32-31,,T. Parker enters the game for M. Ginobili
9:03.0,Offensive foul by D. Rudez,,32-31,,
9:03.0,Turnover by D. Rudez (offensive foul),,32-31,,
9:03.0,,,32-31,,K. Leonard enters the game for M. Belinelli
8:50.0,,,32-31,,T. Parker misses 2-pt shot from 8 ft
8:49.0,,,32-31,,Offensive rebound by T. Parker
8:44.0,,,32-31,,M. Bonner misses 3-pt shot from 24 ft
8:43.0,Defensive rebound by L. Allen,,32-31,,
8:21.0,C. Copeland misses 2-pt shot from 7 ft,,32-31,,
8:19.0,Offensive rebound by C. Copeland,,32-31,,
8:16.0,C. Copeland misses 2-pt shot from 4 ft,,32-31,,
8:15.0,Offensive rebound by L. Allen,,32-31,,
8:15.0,L. Allen makes 2-pt shot at rim,2,34-31,,
8:02.0,,,34-31,,Shooting foul by D. Rudez (drawn by K. Leonard)
