time,Orlando,pts.away,score,pts.home,Oklahoma City
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. N. Vucevic (R. Westbrook gains possession),,,,Jump ball: S. Adams vs. N. Vucevic (R. Westbrook gains possession)
11:49.0,,,0-2,2,D. Waiters makes 2-pt shot at rim
11:30.0,A. Gordon misses 2-pt shot from 2 ft,,0-2,,
11:29.0,,,0-2,,Defensive rebound by S. Adams
11:19.0,Personal foul by N. Vucevic (drawn by S. Adams),,0-2,,
11:13.0,,,0-2,,R. Westbrook misses 2-pt shot from 10 ft
11:13.0,Defensive rebound by A. Gordon,,0-2,,
11:02.0,E. Payton misses 2-pt shot at rim,,0-2,,
11:02.0,,,0-2,,Defensive rebound by S. Ibaka
10:46.0,,,0-2,,D. Waiters misses 2-pt shot from 8 ft
10:46.0,Defensive rebound by V. Oladipo,,0-2,,
10:37.0,T. Harris makes 2-pt shot at rim,2,2-2,,
10:23.0,,,2-2,,S. Adams misses 2-pt shot from 4 ft
10:21.0,Defensive rebound by T. Harris,,2-2,,
10:14.0,V. Oladipo makes 2-pt shot from 1 ft,2,4-2,,
10:01.0,,,4-4,2,R. Westbrook makes 2-pt shot from 1 ft
9:52.0,T. Harris misses 2-pt shot from 3 ft (block by R. Westbrook),,4-4,,
9:50.0,,,4-4,,Defensive rebound by R. Westbrook
9:44.0,,,4-6,2,S. Adams makes 2-pt shot from 2 ft (assist by A. Roberson)
9:18.0,A. Gordon misses 2-pt shot from 8 ft,,4-6,,
9:18.0,,,4-6,,Defensive rebound by S. Adams
9:13.0,,,4-6,,S. Ibaka misses 2-pt shot from 12 ft
9:12.0,Defensive rebound by A. Gordon,,4-6,,
9:09.0,,,4-6,,Personal foul by D. Waiters (drawn by A. Gordon)
9:04.0,Turnover by V. Oladipo (lost ball; steal by R. Westbrook),,4-6,,
9:00.0,,,4-8,2,D. Waiters makes 2-pt shot at rim (assist by R. Westbrook)
8:36.0,V. Oladipo makes 2-pt shot from 8 ft (assist by T. Harris),2,6-8,,
8:23.0,,,6-10,2,S. Ibaka makes 2-pt shot from 18 ft (assist by R. Westbrook)
7:53.0,A. Gordon misses 2-pt shot from 3 ft,,6-10,,
7:52.0,,,6-10,,Defensive rebound by S. Ibaka
7:37.0,,,6-13,3,S. Ibaka makes 3-pt shot from 22 ft (assist by R. Westbrook)
7:27.0,N. Vucevic makes 2-pt shot from 18 ft (assist by E. Payton),2,8-13,,
7:13.0,,,8-15,2,S. Ibaka makes 2-pt shot from 6 ft (assist by R. Westbrook)
6:45.0,E. Payton misses 2-pt shot from 3 ft (block by S. Ibaka),,8-15,,
6:44.0,Offensive rebound by V. Oladipo,,8-15,,
6:43.0,V. Oladipo misses 3-pt shot from 24 ft,,8-15,,
6:41.0,,,8-15,,Defensive rebound by R. Westbrook
6:26.0,,,8-15,,D. Waiters misses 2-pt shot from 2 ft
6:25.0,Defensive rebound by A. Gordon,,8-15,,
6:16.0,Orlando full timeout,,8-15,,
6:08.0,T. Harris makes 2-pt shot from 11 ft,2,10-15,,
5:46.0,,,10-15,,Turnover by S. Adams (lost ball; steal by V. Oladipo)
5:34.0,N. Vucevic makes 2-pt shot from 3 ft (assist by V. Oladipo),2,12-15,,
5:15.0,,,12-15,,R. Westbrook misses 2-pt shot from 7 ft
5:13.0,,,12-15,,Offensive rebound by A. Roberson
5:12.0,,,12-15,,A. Roberson misses 2-pt shot at rim
5:10.0,Defensive rebound by N. Vucevic,,12-15,,
5:04.0,T. Harris misses 2-pt shot from 5 ft,,12-15,,
5:03.0,Offensive rebound by A. Gordon,,12-15,,
5:03.0,A. Gordon makes 2-pt shot from 1 ft,2,14-15,,
4:48.0,,,14-15,,A. Roberson misses 3-pt shot from 22 ft
4:47.0,Defensive rebound by V. Oladipo,,14-15,,
4:40.0,V. Oladipo misses 2-pt shot from 3 ft,,14-15,,
4:39.0,Offensive rebound by N. Vucevic,,14-15,,
4:39.0,N. Vucevic misses 2-pt shot from 1 ft,,14-15,,
4:38.0,Offensive rebound by N. Vucevic,,14-15,,
4:37.0,,,14-15,,Violation by S. Adams (def goaltending)
4:37.0,N. Vucevic makes 2-pt shot from 2 ft,2,16-15,,
4:37.0,,,16-15,,Oklahoma City full timeout
4:37.0,,,16-15,,K. Perkins enters the game for S. Adams
