time,LA Clippers,pts.away,score,pts.home,New Orleans
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: O. Asik vs. D. Jordan (B. Griffin gains possession),,,,Jump ball: O. Asik vs. D. Jordan (B. Griffin gains possession)
11:35.0,J. Redick makes 2-pt shot from 18 ft (assist by B. Griffin),2,2-0,,
11:10.0,,,2-0,,R. Anderson misses 3-pt shot from 23 ft
11:08.0,Defensive rebound by D. Jordan,,2-0,,
10:45.0,C. Paul misses 3-pt shot from 24 ft,,2-0,,
10:44.0,Offensive rebound by Team,,2-0,,
10:44.0,,,2-0,,Loose ball foul by O. Asik (drawn by D. Jordan)
10:35.0,B. Griffin misses 2-pt shot from 18 ft,,2-0,,
10:32.0,,,2-0,,Defensive rebound by T. Evans
10:25.0,,,2-2,2,D. Cunningham makes 2-pt shot from 18 ft (assist by T. Evans)
10:13.0,J. Redick makes 2-pt shot from 21 ft (assist by C. Paul),2,4-2,,
9:52.0,,,4-2,,R. Anderson misses 2-pt shot from 15 ft (block by D. Jordan)
9:51.0,,,4-2,,Offensive rebound by R. Anderson
9:50.0,,,4-2,,Shooting foul by J. Redick (drawn by R. Anderson)
9:50.0,,,4-3,1,R. Anderson makes free throw 1 of 2
9:50.0,,,4-4,1,R. Anderson makes free throw 2 of 2
9:40.0,B. Griffin misses 2-pt shot at rim,,4-4,,
9:37.0,,,4-4,,Defensive rebound by D. Cunningham
9:30.0,,,4-6,2,D. Cunningham makes 2-pt shot from 19 ft (assist by T. Evans)
9:18.0,D. Jordan misses 2-pt shot from 3 ft,,4-6,,
9:17.0,,,4-6,,Defensive rebound by O. Asik
9:10.0,,,4-6,,T. Evans misses 2-pt shot from 1 ft
9:09.0,Defensive rebound by B. Griffin,,4-6,,
8:53.0,D. Jordan makes 2-pt shot from 2 ft (assist by B. Griffin),2,6-6,,
8:33.0,,,6-9,3,T. Evans makes 3-pt shot from 25 ft (assist by R. Anderson)
8:17.0,J. Redick misses 3-pt shot from 22 ft,,6-9,,
8:16.0,,,6-9,,Defensive rebound by D. Cunningham
8:11.0,,,6-9,,New Orleans full timeout
7:55.0,,,6-9,,E. Gordon misses 2-pt shot from 6 ft
7:55.0,,,6-9,,Offensive rebound by R. Anderson
7:55.0,,,6-9,,R. Anderson misses 2-pt shot from 1 ft
7:55.0,Defensive rebound by Team,,6-9,,
7:31.0,B. Griffin makes 2-pt shot from 14 ft (assist by C. Paul),2,8-9,,
7:13.0,,,8-9,,Shooting foul by B. Griffin (drawn by O. Asik)
7:13.0,,,8-9,,O. Asik misses free throw 1 of 2
7:13.0,,,8-9,,Offensive rebound by Team
7:13.0,,,8-9,,O. Asik misses free throw 2 of 2
7:12.0,Defensive rebound by B. Griffin,,8-9,,
7:03.0,J. Redick makes 2-pt shot from 2 ft (assist by C. Paul),2,10-9,,
6:48.0,,,10-9,,O. Asik misses 2-pt shot from 1 ft
6:47.0,Defensive rebound by C. Paul,,10-9,,
6:41.0,M. Barnes makes 3-pt shot from 23 ft (assist by J. Redick),3,13-9,,
6:25.0,,,13-9,,R. Anderson misses 3-pt shot from 26 ft
