time,Houston,pts.away,score,pts.home,Oklahoma City
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. D. Howard (R. Westbrook gains possession),,,,Jump ball: S. Adams vs. D. Howard (R. Westbrook gains possession)
11:43.0,,,0-0,,S. Adams misses 2-pt shot from 4 ft
11:39.0,Defensive rebound by T. Ariza,,0-0,,
11:31.0,T. Jones misses 3-pt shot from 25 ft,,0-0,,
11:30.0,,,0-0,,Defensive rebound by E. Kanter
11:20.0,Personal foul by J. Harden (drawn by D. Waiters),,0-0,,
11:10.0,,,0-0,,Shooting foul by T. Jones (drawn by S. Adams)
11:10.0,,,0-0,,S. Adams misses free throw 1 of 2
11:10.0,,,0-0,,Offensive rebound by Team
11:10.0,,,0-0,,S. Adams misses free throw 2 of 2
11:09.0,Defensive rebound by T. Ariza,,0-0,,
10:49.0,D. Howard makes 2-pt shot at rim,2,2-0,,
10:34.0,,,2-2,2,R. Westbrook makes 2-pt shot from 17 ft
10:11.0,D. Howard misses 2-pt shot from 3 ft,,2-2,,
10:10.0,,,2-2,,Defensive rebound by E. Kanter
10:04.0,Personal foul by D. Howard (drawn by E. Kanter),,2-2,,
9:58.0,,,2-4,2,S. Adams makes 2-pt shot from 1 ft (assist by R. Westbrook)
9:46.0,Shooting foul by S. Adams (drawn by T. Ariza),,2-4,,
9:46.0,T. Ariza misses free throw 1 of 2,,2-4,,
9:46.0,Offensive rebound by Team,,2-4,,
9:46.0,T. Ariza makes free throw 2 of 2,1,3-4,,
9:24.0,,,3-4,,D. Waiters misses 3-pt shot from 24 ft
9:23.0,Defensive rebound by D. Howard,,3-4,,
9:03.0,Turnover by D. Howard (step out of bounds),,3-4,,
9:03.0,Violation by Team (delay of game),,3-4,,
8:54.0,,,3-6,2,R. Westbrook makes 2-pt shot from 1 ft
8:53.0,Houston full timeout,,3-6,,
8:35.0,J. Terry misses 3-pt shot from 24 ft,,3-6,,
8:34.0,,,3-6,,Defensive rebound by S. Adams
8:17.0,,,3-6,,Turnover by E. Kanter (lost ball; steal by D. Howard)
8:10.0,,,3-6,,Personal foul by D. Waiters (drawn by J. Harden)
7:56.0,T. Jones misses 3-pt shot from 24 ft,,3-6,,
7:55.0,,,3-6,,Defensive rebound by E. Kanter
7:48.0,,,3-8,2,R. Westbrook makes 2-pt shot from 11 ft
7:32.0,J. Harden misses 2-pt shot at rim,,3-8,,
7:31.0,,,3-8,,Defensive rebound by S. Adams
7:26.0,,,3-10,2,R. Westbrook makes 2-pt shot at rim
7:05.0,J. Harden makes 3-pt shot from 26 ft (assist by J. Terry),3,6-10,,
6:45.0,,,6-10,,Turnover by E. Kanter (bad pass; steal by T. Ariza)
6:37.0,D. Howard makes 2-pt shot at rim (assist by J. Terry),2,8-10,,
6:22.0,,,8-10,,D. Waiters misses 2-pt shot from 16 ft
6:21.0,Defensive rebound by J. Terry,,8-10,,
6:17.0,T. Jones makes 2-pt shot at rim (assist by J. Harden),2,10-10,,
6:00.0,,,10-10,,E. Kanter misses 2-pt shot from 17 ft
5:59.0,Defensive rebound by T. Jones,,10-10,,
5:53.0,D. Howard makes 2-pt shot from 1 ft (assist by J. Harden),2,12-10,,
5:52.0,,,12-10,,Oklahoma City full timeout
5:52.0,,,12-10,,A. Morrow enters the game for K. Singler
5:52.0,J. Smith enters the game for T. Jones,,12-10,,
5:52.0,P. Prigioni enters the game for D. Howard,,12-10,,
5:52.0,J. Dorsey enters the game for J. Terry,,12-10,,
5:46.0,,,12-10,,Turnover by R. Westbrook (bad pass)
5:34.0,Shooting foul by D. Waiters (drawn by J. Harden),,12-10,,
5:34.0,J. Harden misses free throw 1 of 2,,12-10,,
5:34.0,Offensive rebound by Team,,12-10,,
5:34.0,,,12-10,,D. Augustin enters the game for D. Waiters
5:34.0,J. Harden makes free throw 2 of 2,1,13-10,,
5:18.0,,,13-10,,Turnover by S. Adams (lost ball; steal by J. Harden)
5:13.0,J. Harden misses 2-pt shot from 1 ft,,13-10,,
5:12.0,Offensive rebound by J. Dorsey,,13-10,,
5:12.0,,,13-10,,Personal foul by S. Adams (drawn by J. Dorsey)
5:12.0,J. Dorsey makes free throw 1 of 2,1,14-10,,
5:12.0,,,14-10,,K. Singler enters the game for S. Adams
5:12.0,J. Dorsey misses free throw 2 of 2,,14-10,,
5:11.0,,,14-10,,Defensive rebound by E. Kanter
5:00.0,,,14-10,,K. Singler misses 2-pt shot from 5 ft
4:59.0,,,14-10,,Offensive rebound by E. Kanter
4:59.0,,,14-10,,E. Kanter misses 2-pt shot from 2 ft
4:58.0,Defensive rebound by J. Dorsey,,14-10,,
4:50.0,J. Harden misses 2-pt shot from 1 ft,,14-10,,
4:49.0,Offensive rebound by J. Harden,,14-10,,
4:48.0,J. Harden makes 2-pt shot from 2 ft,2,16-10,,
4:37.0,,,16-10,,Turnover by R. Westbrook (lost ball; steal by P. Prigioni)
4:34.0,,,16-10,,Shooting block foul by K. Singler (drawn by T. Ariza)
4:34.0,T. Ariza makes free throw 1 of 2,1,17-10,,
4:34.0,T. Ariza makes free throw 2 of 2,1,18-10,,
4:22.0,Personal foul by T. Ariza (drawn by R. Westbrook),,18-10,,
4:22.0,C. Brewer enters the game for T. Ariza,,18-10,,
4:18.0,,,18-10,,Turnover by R. Westbrook (bad pass; steal by P. Prigioni)
4:17.0,,,18-10,,Clear path foul by K. Singler
4:17.0,P. Prigioni makes clear path free throw 1 of 2,1,19-10,,
4:17.0,P. Prigioni misses clear path free throw 2 of 2,,19-10,,
4:17.0,Offensive rebound by Team,,19-10,,
4:03.0,J. Smith makes 2-pt shot from 4 ft,2,21-10,,
3:41.0,,,21-10,,Shooting foul by C. Brewer (drawn by R. Westbrook)
3:41.0,,,21-11,1,R. Westbrook makes free throw 1 of 2
3:41.0,,,21-12,1,R. Westbrook makes free throw 2 of 2
3:17.0,J. Harden misses 2-pt shot from 19 ft,,21-12,,
3:16.0,Offensive rebound by J. Dorsey,,21-12,,
3:01.0,Turnover by J. Smith (lost ball),,21-12,,
2:42.0,,,21-12,,A. Morrow misses 2-pt shot from 4 ft
2:41.0,Defensive rebound by J. Smith,,21-12,,
2:36.0,C. Brewer misses 2-pt shot from 1 ft,,21-12,,
2:34.0,Offensive rebound by J. Dorsey,,21-12,,
2:28.0,J. Dorsey makes 2-pt shot at rim (assist by C. Brewer),2,23-12,,
2:25.0,,,23-12,,Oklahoma City full timeout
