time,LA Clippers,pts.away,score,pts.home,Utah
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Favors vs. D. Jordan (E. Kanter gains possession),,,,Jump ball: D. Favors vs. D. Jordan (E. Kanter gains possession)
11:45.0,,,0-0,,E. Kanter misses 2-pt shot from 18 ft
11:44.0,Defensive rebound by B. Griffin,,0-0,,
11:27.0,C. Paul makes 3-pt shot from 24 ft (assist by J. Redick),3,3-0,,
11:10.0,,,3-0,,T. Burke misses 2-pt shot from 19 ft
11:08.0,Defensive rebound by D. Jordan,,3-0,,
10:55.0,B. Griffin makes 2-pt shot from 20 ft (assist by J. Redick),2,5-0,,
10:36.0,,,5-0,,G. Hayward misses 2-pt shot from 14 ft
10:35.0,,,5-0,,Offensive rebound by E. Kanter
10:35.0,,,5-0,,E. Kanter misses 2-pt shot from 3 ft
10:33.0,Defensive rebound by D. Jordan,,5-0,,
10:29.0,Turnover by C. Paul (bad pass),,5-0,,
10:07.0,,,5-2,2,A. Burks makes 2-pt shot from 5 ft (assist by G. Hayward)
9:46.0,C. Paul misses 3-pt shot from 24 ft,,5-2,,
9:44.0,,,5-2,,Defensive rebound by G. Hayward
9:27.0,,,5-2,,D. Favors misses 2-pt shot from 16 ft
9:26.0,Defensive rebound by M. Barnes,,5-2,,
9:20.0,J. Redick makes 2-pt shot from 15 ft,2,7-2,,
9:01.0,,,7-2,,Shooting foul by D. Jordan (drawn by E. Kanter)
9:01.0,,,7-3,1,E. Kanter makes free throw 1 of 2
9:01.0,,,7-4,1,E. Kanter makes free throw 2 of 2
8:48.0,B. Griffin makes 2-pt shot from 20 ft,2,9-4,,
8:29.0,,,9-7,3,A. Burks makes 3-pt shot from 24 ft (assist by G. Hayward)
8:07.0,B. Griffin makes 2-pt shot from 18 ft (assist by C. Paul),2,11-7,,
7:53.0,,,11-9,2,E. Kanter makes 2-pt shot from 16 ft (assist by T. Burke)
7:47.0,B. Griffin makes 2-pt shot at rim (assist by C. Paul),2,13-9,,
7:26.0,,,13-9,,E. Kanter misses 2-pt shot from 2 ft
7:24.0,Defensive rebound by D. Jordan,,13-9,,
7:14.0,M. Barnes misses 2-pt shot from 1 ft,,13-9,,
7:13.0,Offensive rebound by D. Jordan,,13-9,,
7:13.0,D. Jordan makes 2-pt shot from 2 ft,2,15-9,,
6:46.0,,,15-9,,T. Burke misses 2-pt shot from 13 ft
6:45.0,,,15-9,,Offensive rebound by D. Favors
