time,New York,pts.away,score,pts.home,Atlanta
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Aldrich vs. M. Muscala (J. Smith gains possession),,,,Jump ball: C. Aldrich vs. M. Muscala (J. Smith gains possession)
11:44.0,L. Thomas misses 2-pt shot from 18 ft,,0-0,,
11:44.0,Offensive rebound by J. Smith,,0-0,,
11:44.0,Shooting foul by K. Korver (drawn by J. Smith),,0-0,,
11:44.0,J. Smith makes free throw 1 of 2,1,1-0,,
11:44.0,J. Smith makes free throw 2 of 2,1,2-0,,
11:31.0,,,2-2,2,A. Horford makes 2-pt shot from 20 ft (assist by M. Muscala)
11:15.0,J. Smith misses 2-pt shot from 20 ft,,2-2,,
11:14.0,,,2-2,,Defensive rebound by J. Teague
11:03.0,,,2-5,3,J. Teague makes 3-pt shot from 24 ft (assist by M. Muscala)
10:50.0,Turnover by T. Hardaway (bad pass),,2-5,,
10:39.0,Personal foul by L. Galloway (drawn by J. Teague),,2-5,,
10:27.0,,,2-7,2,D. Carroll makes 2-pt shot from 14 ft (assist by J. Teague)
10:08.0,T. Hardaway misses 3-pt shot from 23 ft,,2-7,,
10:06.0,,,2-7,,Defensive rebound by D. Carroll
9:53.0,,,2-9,2,A. Horford makes 2-pt shot from 8 ft (assist by J. Teague)
9:45.0,Turnover by L. Thomas (lost ball),,2-9,,
9:36.0,,,2-9,,J. Teague misses 3-pt shot from 24 ft
9:34.0,,,2-9,,Offensive rebound by M. Muscala
9:22.0,,,2-9,,A. Horford misses 2-pt shot from 14 ft
9:20.0,Defensive rebound by J. Smith,,2-9,,
9:12.0,Turnover by J. Smith (lost ball; steal by J. Teague),,2-9,,
9:09.0,,,2-9,,Shooting foul by T. Hardaway (drawn by D. Carroll)
9:09.0,,,2-10,1,D. Carroll makes free throw 1 of 2
9:09.0,New York full timeout,,2-10,,
9:09.0,L. Amundson enters the game for C. Aldrich,,2-10,,
9:09.0,,,2-11,1,D. Carroll makes free throw 2 of 2
8:55.0,L. Amundson makes 2-pt shot from 17 ft (assist by T. Hardaway),2,4-11,,
8:42.0,,,4-13,2,J. Teague makes 2-pt shot from 17 ft (assist by D. Carroll)
