time,Chicago,pts.away,score,pts.home,Utah
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Favors vs. P. Gasol (E. Kanter gains possession),,,,Jump ball: D. Favors vs. P. Gasol (E. Kanter gains possession)
11:42.0,,,0-0,,Turnover by A. Burks (bad pass; steal by J. Butler)
11:37.0,J. Butler makes 2-pt shot at rim,2,2-0,,
11:28.0,,,2-0,,Turnover by E. Kanter (bad pass; steal by J. Butler)
11:24.0,J. Butler misses 2-pt shot at rim,,2-0,,
11:21.0,Offensive rebound by J. Butler,,2-0,,
11:18.0,P. Gasol misses 2-pt shot from 7 ft,,2-0,,
11:16.0,,,2-0,,Defensive rebound by E. Kanter
11:06.0,,,2-0,,D. Favors misses 2-pt shot from 18 ft
11:04.0,Defensive rebound by J. Noah,,2-0,,
10:48.0,P. Gasol makes 2-pt shot from 1 ft (assist by D. Rose),2,4-0,,
10:39.0,,,4-0,,Turnover by G. Hayward (bad pass; steal by P. Gasol)
10:33.0,D. Rose makes 3-pt shot from 24 ft (assist by P. Gasol),3,7-0,,
10:12.0,,,7-0,,T. Burke misses 2-pt shot from 3 ft
10:10.0,,,7-0,,Offensive rebound by D. Favors
10:06.0,,,7-0,,A. Burks misses 2-pt shot from 21 ft
10:05.0,,,7-0,,Offensive rebound by D. Favors
9:50.0,,,7-0,,E. Kanter misses 2-pt shot from 21 ft
9:49.0,Defensive rebound by M. Dunleavy,,7-0,,
9:42.0,Shooting foul by T. Burke (drawn by D. Rose),,7-0,,
9:42.0,D. Rose makes free throw 1 of 3,1,8-0,,
9:42.0,D. Rose makes free throw 2 of 3,1,9-0,,
9:42.0,D. Rose misses free throw 3 of 3,,9-0,,
9:41.0,,,9-0,,Defensive rebound by E. Kanter
9:19.0,,,9-2,2,D. Favors makes 2-pt shot from 19 ft (assist by T. Burke)
8:57.0,D. Rose makes 2-pt shot from 16 ft (assist by M. Dunleavy),2,11-2,,
8:36.0,,,11-4,2,D. Favors makes 2-pt shot from 16 ft (assist by A. Burks)
8:22.0,D. Rose makes 3-pt shot from 24 ft,3,14-4,,
8:07.0,,,14-4,,Turnover by G. Hayward (bad pass; steal by D. Rose)
8:00.0,J. Butler makes 2-pt shot at rim (assist by J. Noah),2,16-4,,
8:00.0,,,16-4,,Utah full timeout
7:39.0,,,16-4,,Shooting foul by P. Gasol (drawn by A. Burks)
7:39.0,,,16-5,1,A. Burks makes free throw 1 of 2
7:39.0,,,16-6,1,A. Burks makes free throw 2 of 2
7:29.0,Turnover by D. Rose (bad pass; steal by D. Favors),,16-6,,
7:23.0,,,16-6,,T. Burke misses 2-pt shot from 6 ft
7:22.0,Defensive rebound by J. Noah,,16-6,,
7:10.0,D. Rose misses 3-pt shot from 24 ft,,16-6,,
7:09.0,,,16-6,,Defensive rebound by D. Favors
6:48.0,,,16-8,2,D. Favors makes 2-pt shot from 14 ft
6:20.0,Turnover by J. Noah (traveling),,16-8,,
6:08.0,,,16-8,,Turnover by D. Favors (bad pass)
5:53.0,P. Gasol makes 2-pt shot from 2 ft,2,18-8,,
5:47.0,,,18-8,,G. Hayward misses 2-pt shot from 12 ft
5:45.0,Defensive rebound by J. Noah,,18-8,,
5:40.0,,,18-8,,J. Ingles enters the game for G. Hayward
5:26.0,Shooting foul by D. Favors (drawn by J. Butler),,18-8,,
5:26.0,J. Butler makes free throw 1 of 2,1,19-8,,
5:26.0,J. Butler makes free throw 2 of 2,1,20-8,,
5:13.0,,,20-8,,A. Burks misses 2-pt shot from 20 ft
5:12.0,Defensive rebound by D. Rose,,20-8,,
5:08.0,Shooting foul by J. Ingles (drawn by D. Rose),,20-8,,
5:08.0,D. Rose misses free throw 1 of 2,,20-8,,
