time,Oklahoma City,pts.away,score,pts.home,LA Lakers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. J. Hill (S. Ibaka gains possession),,,,Jump ball: S. Adams vs. J. Hill (S. Ibaka gains possession)
11:43.0,R. Westbrook misses 2-pt shot from 6 ft,,0-0,,
11:42.0,,,0-0,,Defensive rebound by E. Davis
11:26.0,,,0-0,,E. Davis misses 2-pt shot from 1 ft (block by S. Adams)
11:24.0,,,0-0,,Offensive rebound by J. Hill
11:24.0,,,0-0,,J. Hill misses 2-pt shot from 1 ft (block by S. Ibaka)
11:24.0,,,0-0,,Offensive rebound by Team
11:15.0,,,0-2,2,R. Price makes 2-pt shot from 12 ft (assist by K. Bryant)
10:50.0,S. Ibaka misses 3-pt shot from 25 ft,,0-2,,
10:48.0,,,0-2,,Defensive rebound by J. Hill
10:34.0,,,0-2,,W. Johnson misses 3-pt shot from 24 ft
10:33.0,Defensive rebound by S. Adams,,0-2,,
10:24.0,R. Westbrook misses 2-pt shot from 1 ft,,0-2,,
10:21.0,,,0-2,,Defensive rebound by E. Davis
10:11.0,,,0-2,,K. Bryant misses 2-pt shot from 1 ft
10:10.0,Defensive rebound by S. Adams,,0-2,,
9:55.0,S. Ibaka makes 2-pt shot from 13 ft,2,2-2,,
9:27.0,,,2-2,,J. Hill misses 2-pt shot from 5 ft
9:25.0,,,2-2,,Offensive rebound by E. Davis
9:22.0,,,2-4,2,W. Johnson makes 2-pt shot from 16 ft (assist by K. Bryant)
9:11.0,Turnover by R. Westbrook (bad pass),,2-4,,
8:54.0,,,2-4,,W. Johnson misses 3-pt shot from 24 ft
8:53.0,Defensive rebound by S. Ibaka,,2-4,,
8:39.0,Shooting foul by J. Hill (drawn by R. Westbrook),,2-4,,
8:39.0,R. Westbrook makes free throw 1 of 2,1,3-4,,
8:39.0,R. Westbrook makes free throw 2 of 2,1,4-4,,
8:22.0,,,4-6,2,E. Davis makes 2-pt shot at rim (assist by W. Johnson)
8:06.0,Turnover by A. Roberson (bad pass; steal by W. Johnson),,4-6,,
7:55.0,,,4-9,3,R. Price makes 3-pt shot from 24 ft (assist by J. Hill)
7:38.0,A. Roberson misses 2-pt shot from 4 ft (block by J. Hill),,4-9,,
7:35.0,,,4-9,,Defensive rebound by E. Davis
7:30.0,,,4-12,3,R. Price makes 3-pt shot from 24 ft
7:23.0,Oklahoma City full timeout,,4-12,,
7:10.0,R. Westbrook misses 2-pt shot from 2 ft (block by E. Davis),,4-12,,
7:08.0,,,4-12,,Defensive rebound by E. Davis
6:58.0,,,4-14,2,J. Hill makes 2-pt shot from 2 ft (assist by E. Davis)
6:51.0,Oklahoma City full timeout,,4-14,,
6:51.0,N. Collison enters the game for S. Ibaka,,4-14,,
6:51.0,R. Jackson enters the game for P. Jones,,4-14,,
6:44.0,R. Westbrook makes 2-pt shot from 17 ft (assist by R. Jackson),2,6-14,,
6:44.0,Shooting foul by R. Price (drawn by R. Westbrook),,6-14,,
6:44.0,R. Westbrook makes free throw 1 of 1,1,7-14,,
6:26.0,,,7-17,3,R. Price makes 3-pt shot from 24 ft (assist by E. Davis)
6:00.0,R. Jackson misses 3-pt shot from 25 ft,,7-17,,
5:58.0,,,7-17,,Defensive rebound by K. Bryant
5:51.0,,,7-17,,R. Price misses 3-pt shot from 23 ft
5:50.0,Defensive rebound by R. Westbrook,,7-17,,
5:46.0,Shooting foul by W. Johnson (drawn by R. Westbrook),,7-17,,
5:46.0,R. Westbrook makes free throw 1 of 2,1,8-17,,
5:46.0,,,8-17,,C. Boozer enters the game for J. Hill
5:46.0,R. Westbrook makes free throw 2 of 2,1,9-17,,
5:26.0,,,9-17,,Turnover by K. Bryant (bad pass; steal by S. Adams)
5:21.0,R. Westbrook makes 2-pt shot from 1 ft (assist by S. Adams),2,11-17,,
4:54.0,,,11-19,2,E. Davis makes 2-pt shot from 2 ft (assist by R. Price)
4:38.0,,,11-19,,N. Young enters the game for W. Johnson
4:34.0,N. Collison misses 2-pt shot from 17 ft,,11-19,,
4:33.0,,,11-19,,Defensive rebound by N. Young
4:14.0,,,11-22,3,R. Price makes 3-pt shot from 24 ft (assist by K. Bryant)
3:54.0,A. Roberson makes 3-pt shot from 23 ft (assist by R. Westbrook),3,14-22,,
3:38.0,,,14-22,,R. Price misses 3-pt shot from 24 ft
3:37.0,Defensive rebound by R. Westbrook,,14-22,,
3:29.0,R. Westbrook misses 3-pt shot from 24 ft,,14-22,,
3:27.0,Offensive rebound by N. Collison,,14-22,,
3:17.0,R. Jackson makes 3-pt shot from 25 ft,3,17-22,,
2:57.0,,,17-22,,LA Lakers full timeout
2:57.0,,,17-22,,R. Sacre enters the game for E. Davis
2:57.0,,,17-22,,J. Lin enters the game for R. Price
2:57.0,A. Morrow enters the game for S. Adams,,17-22,,
2:57.0,S. Ibaka enters the game for R. Westbrook,,17-22,,
2:50.0,,,17-22,,K. Bryant misses 3-pt shot from 32 ft
2:50.0,,,17-22,,Offensive rebound by Team
2:50.0,,,17-22,,Turnover by Team (shot clock)
2:32.0,S. Ibaka misses 3-pt shot from 22 ft,,17-22,,
2:30.0,,,17-22,,Defensive rebound by K. Bryant
2:15.0,,,17-22,,C. Boozer misses 2-pt shot from 2 ft
2:14.0,Defensive rebound by R. Jackson,,17-22,,
2:09.0,R. Jackson misses 2-pt shot from 16 ft,,17-22,,
2:08.0,,,17-22,,Defensive rebound by C. Boozer
1:47.0,,,17-22,,R. Sacre misses 2-pt shot from 11 ft
1:46.0,Defensive rebound by N. Collison,,17-22,,
1:33.0,N. Collison misses 3-pt shot from 25 ft,,17-22,,
1:31.0,,,17-22,,Defensive rebound by J. Lin
1:19.0,,,17-22,,R. Sacre misses 2-pt shot from 6 ft
1:17.0,Defensive rebound by N. Collison,,17-22,,
1:10.0,R. Jackson misses 2-pt shot from 2 ft,,17-22,,
1:09.0,,,17-22,,Defensive rebound by R. Sacre
0:55.0,,,17-24,2,J. Lin makes 2-pt shot from 1 ft (assist by C. Boozer)
0:43.0,S. Ibaka misses 2-pt shot from 19 ft,,17-24,,
0:42.0,,,17-24,,Defensive rebound by J. Lin
0:32.0,,,17-26,2,J. Lin makes 2-pt shot from 6 ft
0:08.0,A. Morrow makes 2-pt shot from 1 ft,2,19-26,,
0:08.0,Shooting foul by R. Sacre (drawn by A. Morrow),,19-26,,
0:08.0,A. Morrow makes free throw 1 of 1,1,20-26,,
0:00.0,,,20-26,,N. Young misses 3-pt shot from 35 ft
0:00.0,,,20-26,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,,,20-29,3,N. Young makes 3-pt shot from 25 ft (assist by C. Boozer)
11:21.0,J. Lamb misses 3-pt shot from 24 ft,,20-29,,
11:19.0,Offensive rebound by A. Morrow,,20-29,,
11:16.0,A. Morrow misses 3-pt shot from 24 ft,,20-29,,
11:14.0,,,20-29,,Defensive rebound by R. Sacre
11:11.0,Personal foul by N. Collison (drawn by N. Young),,20-29,,
11:10.0,Personal foul by R. Jackson (drawn by J. Lin),,20-29,,
11:01.0,,,20-31,2,C. Boozer makes 2-pt shot from 10 ft (assist by J. Lin)
10:47.0,S. Ibaka misses 2-pt shot from 17 ft,,20-31,,
10:46.0,,,20-31,,Defensive rebound by J. Lin
10:39.0,,,20-31,,N. Young misses 3-pt shot from 25 ft
10:38.0,Defensive rebound by A. Morrow,,20-31,,
10:28.0,R. Jackson makes 2-pt shot from 2 ft,2,22-31,,
10:17.0,,,22-31,,Turnover by J. Lin (bad pass; steal by N. Collison)
10:11.0,R. Jackson makes 2-pt shot from 5 ft (assist by A. Morrow),2,24-31,,
