time,Denver,pts.away,score,pts.home,Portland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Faried vs. R. Lopez (T. Lawson gains possession),,,,Jump ball: K. Faried vs. R. Lopez (T. Lawson gains possession)
11:45.0,Turnover by R. Foye (lost ball; steal by A. Afflalo),,0-0,,
11:40.0,,,0-2,2,A. Afflalo makes 2-pt shot from 1 ft (assist by D. Lillard)
11:13.0,T. Lawson misses 2-pt shot from 20 ft,,0-2,,
11:12.0,,,0-2,,Defensive rebound by A. Afflalo
11:07.0,,,0-4,2,N. Batum makes 2-pt shot from 3 ft (assist by D. Lillard)
10:45.0,J. Hickson makes 2-pt shot from 12 ft (assist by R. Foye),2,2-4,,
10:29.0,,,2-6,2,A. Afflalo makes 2-pt shot from 18 ft
10:16.0,K. Faried misses 2-pt shot from 1 ft,,2-6,,
10:15.0,Offensive rebound by J. Hickson,,2-6,,
10:15.0,J. Hickson misses 2-pt shot at rim,,2-6,,
10:13.0,Offensive rebound by J. Hickson,,2-6,,
10:13.0,J. Hickson makes 2-pt shot from 1 ft,2,4-6,,
10:01.0,,,4-6,,A. Afflalo misses 2-pt shot from 19 ft
10:00.0,Defensive rebound by J. Hickson,,4-6,,
9:53.0,J. Hickson misses 2-pt shot from 4 ft,,4-6,,
9:51.0,Offensive rebound by K. Faried,,4-6,,
9:51.0,K. Faried misses 2-pt shot from 1 ft,,4-6,,
9:50.0,Offensive rebound by K. Faried,,4-6,,
9:50.0,K. Faried misses 2-pt shot from 1 ft,,4-6,,
9:50.0,Offensive rebound by K. Faried,,4-6,,
9:50.0,Shooting foul by L. Aldridge (drawn by K. Faried),,4-6,,
9:50.0,K. Faried makes free throw 1 of 2,1,5-6,,
9:50.0,K. Faried makes free throw 2 of 2,1,6-6,,
9:35.0,Personal foul by K. Faried (drawn by L. Aldridge),,6-6,,
9:24.0,,,6-6,,L. Aldridge misses 2-pt shot from 5 ft
9:23.0,Defensive rebound by J. Hickson,,6-6,,
9:14.0,J. Hickson misses 2-pt shot from 4 ft,,6-6,,
9:13.0,,,6-6,,Defensive rebound by R. Lopez
9:06.0,,,6-6,,Turnover by D. Lillard (bad pass; steal by J. Hickson)
9:00.0,J. Hickson makes 2-pt shot from 1 ft,2,8-6,,
8:50.0,,,8-8,2,D. Lillard makes 2-pt shot from 1 ft
8:39.0,Jump ball: J. Hickson vs. R. Lopez,,,,Jump ball: J. Hickson vs. R. Lopez
8:31.0,R. Foye makes 2-pt shot from 18 ft (assist by J. Hickson),2,10-8,,
8:15.0,,,10-8,,D. Lillard misses 2-pt shot from 1 ft
8:14.0,Defensive rebound by W. Chandler,,10-8,,
8:11.0,Offensive foul by K. Faried,,10-8,,
8:11.0,Turnover by K. Faried (offensive foul),,10-8,,
8:11.0,J. Lauvergne enters the game for K. Faried,,10-8,,
8:00.0,,,10-10,2,R. Lopez makes 2-pt shot from 1 ft (assist by N. Batum)
7:45.0,J. Lauvergne misses 2-pt shot from 4 ft,,10-10,,
7:44.0,,,10-10,,Defensive rebound by L. Aldridge
7:24.0,,,10-12,2,R. Lopez makes 2-pt shot from 8 ft
7:05.0,J. Lauvergne makes 2-pt shot from 19 ft (assist by W. Chandler),2,12-12,,
6:48.0,,,12-12,,Shooting foul by J. Lauvergne (drawn by L. Aldridge)
6:48.0,,,12-13,1,L. Aldridge makes free throw 1 of 2
6:48.0,,,12-14,1,L. Aldridge makes free throw 2 of 2
6:32.0,J. Hickson makes 2-pt shot from 17 ft (assist by J. Lauvergne),2,14-14,,
6:15.0,Personal foul by J. Lauvergne (drawn by L. Aldridge),,14-14,,
6:10.0,,,14-14,,Turnover by D. Lillard (bad pass; steal by R. Foye)
5:59.0,R. Foye misses 2-pt shot from 20 ft,,14-14,,
5:58.0,,,14-14,,Defensive rebound by L. Aldridge
5:49.0,,,14-14,,L. Aldridge misses 3-pt shot from 26 ft
5:48.0,Defensive rebound by W. Chandler,,14-14,,
5:25.0,R. Foye misses 3-pt shot from 34 ft,,14-14,,
5:24.0,,,14-14,,Defensive rebound by D. Lillard
5:12.0,,,14-16,2,A. Afflalo makes 2-pt shot from 13 ft (assist by D. Lillard)
4:50.0,W. Chandler makes 3-pt shot from 24 ft (assist by T. Lawson),3,17-16,,
4:50.0,,,17-16,,Portland full timeout
4:50.0,,,17-16,,C. McCollum enters the game for N. Batum
4:50.0,,,17-16,,D. Wright enters the game for A. Afflalo
4:50.0,W. Barton enters the game for R. Foye,,17-16,,
