time,Houston,pts.away,score,pts.home,Minnesota
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Black vs. G. Dieng (T. Young gains possession),,,,Jump ball: T. Black vs. G. Dieng (T. Young gains possession)
11:46.0,,,0-2,2,T. Young makes 2-pt shot from 1 ft (assist by A. Wiggins)
11:18.0,T. Ariza makes 3-pt shot from 24 ft,3,3-2,,
11:02.0,,,3-4,2,A. Wiggins makes 2-pt shot from 1 ft
11:02.0,,,3-4,,Shooting foul by T. Black (drawn by A. Wiggins)
11:02.0,,,3-5,1,A. Wiggins makes free throw 1 of 1
10:52.0,Turnover by T. Ariza (lost ball; steal by C. Brewer),,3-5,,
10:49.0,,,3-7,2,C. Brewer makes 2-pt shot at rim
10:31.0,J. Terry makes 3-pt shot from 24 ft (assist by J. Harden),3,6-7,,
10:06.0,,,6-7,,T. Young misses 3-pt shot from 24 ft
10:05.0,Defensive rebound by D. Motiejunas,,6-7,,
9:52.0,Turnover by T. Black (lost ball; steal by T. Young),,6-7,,
9:45.0,,,6-7,,A. Wiggins misses 3-pt shot from 23 ft
9:44.0,Defensive rebound by T. Ariza,,6-7,,
9:38.0,T. Ariza makes 3-pt shot from 25 ft (assist by J. Harden),3,9-7,,
9:15.0,,,9-9,2,G. Dieng makes 2-pt shot from 5 ft (assist by C. Brewer)
9:06.0,J. Harden makes 2-pt shot at rim,2,11-9,,
8:39.0,,,11-9,,Z. LaVine misses 2-pt shot from 22 ft
8:38.0,Defensive rebound by T. Ariza,,11-9,,
8:26.0,Turnover by D. Motiejunas (traveling),,11-9,,
8:14.0,,,11-9,,A. Wiggins misses 3-pt shot from 23 ft
8:13.0,Defensive rebound by D. Motiejunas,,11-9,,
8:07.0,,,11-9,,Personal foul by A. Wiggins (drawn by J. Harden)
7:51.0,J. Harden makes 2-pt shot from 17 ft,2,13-9,,
7:38.0,Personal foul by J. Harden (drawn by A. Wiggins),,13-9,,
7:34.0,,,13-11,2,A. Wiggins makes 2-pt shot at rim (assist by C. Brewer)
7:21.0,J. Terry makes 2-pt shot from 4 ft (assist by J. Harden),2,15-11,,
7:21.0,Shooting foul by Z. LaVine (drawn by J. Terry),,15-11,,
7:21.0,J. Terry misses free throw 1 of 1,,15-11,,
7:20.0,,,15-11,,Defensive rebound by T. Young
7:04.0,,,15-11,,C. Brewer misses 2-pt shot from 20 ft
7:02.0,Defensive rebound by D. Motiejunas,,15-11,,
6:51.0,T. Ariza misses 2-pt shot from 3 ft,,15-11,,
6:50.0,,,15-11,,Defensive rebound by Team
6:40.0,,,15-11,,Z. LaVine misses 2-pt shot from 10 ft
6:39.0,Defensive rebound by T. Black,,15-11,,
6:34.0,Shooting foul by T. Young (drawn by D. Motiejunas),,15-11,,
6:34.0,D. Motiejunas makes free throw 1 of 2,1,16-11,,
6:34.0,,,16-11,,Minnesota full timeout
6:34.0,D. Motiejunas misses free throw 2 of 2,,16-11,,
6:33.0,,,16-11,,Defensive rebound by C. Brewer
6:18.0,,,16-13,2,T. Young makes 2-pt shot at rim
6:05.0,D. Motiejunas misses 2-pt shot from 3 ft,,16-13,,
6:04.0,,,16-13,,Defensive rebound by G. Dieng
5:49.0,,,16-13,,T. Young misses 2-pt shot from 4 ft
5:46.0,N. Johnson enters the game for J. Terry,,16-13,,
5:46.0,Jump ball: T. Black vs. T. Young (T. Ariza gains possession),,,,Jump ball: T. Black vs. T. Young (T. Ariza gains possession)
5:45.0,Offensive rebound by Team,,16-13,,
5:36.0,Turnover by J. Harden (lost ball; steal by G. Dieng),,16-13,,
5:23.0,,,16-13,,G. Dieng misses 2-pt shot from 18 ft
5:21.0,Defensive rebound by T. Black,,16-13,,
5:07.0,D. Motiejunas makes 2-pt shot from 8 ft,2,18-13,,
4:42.0,,,18-15,2,T. Young makes 2-pt shot from 4 ft
4:16.0,T. Ariza makes 3-pt shot from 22 ft (assist by T. Black),3,21-15,,
3:51.0,,,21-17,2,T. Young makes 2-pt shot from 14 ft
3:28.0,Shooting foul by Z. LaVine (drawn by T. Black),,21-17,,
3:28.0,T. Black makes free throw 1 of 2,1,22-17,,
3:28.0,,,22-17,,C. Budinger enters the game for C. Brewer
3:28.0,F. Garcia enters the game for T. Ariza,,22-17,,
3:28.0,T. Black makes free throw 2 of 2,1,23-17,,
3:03.0,,,23-19,2,T. Young makes 2-pt shot from 19 ft (assist by C. Budinger)
2:54.0,,,23-19,,Personal foul by A. Wiggins (drawn by D. Motiejunas)
2:54.0,Houston full timeout,,23-19,,
2:54.0,J. Dorsey enters the game for T. Black,,23-19,,
2:54.0,,,23-19,,S. Muhammad enters the game for A. Wiggins
2:54.0,,,23-19,,C. Brewer enters the game for Z. LaVine
2:54.0,D. Motiejunas makes free throw 1 of 2,1,24-19,,
2:54.0,D. Motiejunas makes free throw 2 of 2,1,25-19,,
2:34.0,,,25-19,,T. Young misses 2-pt shot from 1 ft
2:32.0,Defensive rebound by Team,,25-19,,
2:32.0,K. Papanikolaou enters the game for D. Motiejunas,,25-19,,
2:09.0,K. Papanikolaou makes 2-pt shot at rim,2,27-19,,
1:53.0,,,27-19,,Turnover by C. Budinger (bad pass)
1:53.0,,,27-19,,A. Bennett enters the game for G. Dieng
1:44.0,Shooting foul by A. Bennett (drawn by J. Harden),,27-19,,
1:44.0,J. Harden misses free throw 1 of 2,,27-19,,
1:44.0,Offensive rebound by Team,,27-19,,
1:44.0,J. Harden makes free throw 2 of 2,1,28-19,,
1:33.0,,,28-19,,Turnover by C. Budinger (bad pass)
1:17.0,F. Garcia makes 3-pt shot from 24 ft (assist by J. Harden),3,31-19,,
1:00.0,Def 3 sec tech foul by J. Dorsey,,31-19,,
1:00.0,,,31-20,1,C. Budinger makes technical free throw
0:55.0,,,31-22,2,S. Muhammad makes 2-pt shot from 1 ft (assist by A. Bennett)
0:38.0,J. Harden misses 2-pt shot from 13 ft,,31-22,,
0:37.0,Offensive rebound by K. Papanikolaou,,31-22,,
0:28.0,N. Johnson misses 3-pt shot from 25 ft,,31-22,,
0:27.0,,,31-22,,Defensive rebound by C. Brewer
0:22.0,,,31-24,2,S. Muhammad makes 2-pt shot from 1 ft (assist by C. Budinger)
0:22.0,,,31-24,,Shooting foul by N. Johnson (drawn by S. Muhammad)
0:22.0,T. Ariza enters the game for J. Dorsey,,31-24,,
0:22.0,,,31-24,,S. Muhammad misses free throw 1 of 1
0:22.0,Defensive rebound by J. Harden,,31-24,,
0:02.0,Shooting foul by S. Muhammad (drawn by N. Johnson),,31-24,,
0:02.0,N. Johnson makes free throw 1 of 2,1,32-24,,
0:02.0,J. Dorsey enters the game for J. Harden,,32-24,,
0:02.0,N. Johnson makes free throw 2 of 2,1,33-24,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,Turnover by F. Garcia (traveling),,33-24,,
11:38.0,,,33-26,2,S. Muhammad makes 2-pt shot from 1 ft (assist by C. Brewer)
11:14.0,T. Ariza misses 3-pt shot from 23 ft,,33-26,,
11:13.0,,,33-26,,Defensive rebound by C. Budinger
11:03.0,,,33-26,,C. Budinger misses 2-pt shot from 6 ft
11:02.0,Defensive rebound by J. Dorsey,,33-26,,
10:54.0,J. Terry misses 2-pt shot from 23 ft,,33-26,,
10:53.0,Offensive rebound by J. Dorsey,,33-26,,
10:52.0,J. Dorsey misses 2-pt shot from 2 ft (block by J. Adrien),,33-26,,
10:51.0,Offensive rebound by J. Dorsey,,33-26,,
10:50.0,J. Dorsey misses 2-pt shot at rim (block by J. Adrien),,33-26,,
10:49.0,,,33-26,,Defensive rebound by A. Bennett
10:44.0,Shooting block foul by F. Garcia (drawn by C. Brewer),,33-26,,
10:44.0,,,33-27,1,C. Brewer makes free throw 1 of 2
10:44.0,,,33-28,1,C. Brewer makes free throw 2 of 2
10:34.0,J. Terry makes 2-pt shot from 10 ft,2,35-28,,
10:18.0,,,35-28,,A. Bennett misses 2-pt shot from 7 ft
10:16.0,,,35-28,,Offensive rebound by C. Budinger
9:56.0,,,35-28,,A. Bennett misses 2-pt shot from 13 ft
9:55.0,,,35-28,,Offensive rebound by S. Muhammad
9:53.0,,,35-28,,S. Muhammad misses 2-pt shot from 1 ft
9:52.0,,,35-28,,Offensive rebound by Team
9:50.0,,,35-28,,C. Budinger misses 2-pt shot from 13 ft
9:49.0,,,35-28,,Offensive rebound by J. Adrien
9:49.0,Personal foul by J. Dorsey (drawn by J. Adrien),,35-28,,
9:49.0,T. Black enters the game for J. Dorsey,,35-28,,
9:35.0,,,35-28,,S. Muhammad misses 2-pt shot at rim
9:34.0,,,35-28,,Offensive rebound by C. Budinger
9:32.0,,,35-30,2,C. Budinger makes 2-pt shot from 1 ft
9:11.0,T. Black makes 2-pt shot at rim (assist by F. Garcia),2,37-30,,
8:58.0,,,37-30,,Shooting foul by F. Garcia (drawn by S. Muhammad)
8:58.0,,,37-30,,Minnesota full timeout
8:58.0,,,37-31,1,S. Muhammad makes free throw 1 of 2
8:58.0,,,37-32,1,S. Muhammad makes free throw 2 of 2
8:53.0,Offensive foul by T. Black,,37-32,,
8:53.0,Turnover by T. Black (offensive foul),,37-32,,
8:43.0,,,37-32,,Turnover by A. Bennett (traveling)
8:34.0,T. Ariza misses 2-pt shot from 3 ft,,37-32,,
8:33.0,Offensive rebound by K. Papanikolaou,,37-32,,
8:29.0,F. Garcia misses 3-pt shot from 23 ft,,37-32,,
8:28.0,,,37-32,,Defensive rebound by C. Brewer
8:22.0,,,37-35,3,C. Budinger makes 3-pt shot from 24 ft (assist by C. Brewer)
8:01.0,T. Black misses 2-pt shot at rim (block by C. Brewer),,37-35,,
7:59.0,,,37-35,,Defensive rebound by A. Bennett
7:47.0,,,37-35,,S. Muhammad misses 2-pt shot from 20 ft
7:46.0,,,37-35,,Offensive rebound by C. Brewer
7:44.0,,,37-35,,C. Brewer misses 2-pt shot from 3 ft
7:43.0,,,37-35,,Offensive rebound by A. Bennett
7:42.0,,,37-37,2,A. Bennett makes 2-pt shot from 2 ft
7:39.0,Houston full timeout,,37-37,,
7:39.0,J. Harden enters the game for F. Garcia,,37-37,,
7:39.0,D. Motiejunas enters the game for T. Black,,37-37,,
7:27.0,Turnover by D. Motiejunas (lost ball; steal by C. Budinger),,37-37,,
7:08.0,,,37-39,2,C. Brewer makes 2-pt shot from 11 ft (assist by J. Adrien)
6:56.0,Turnover by J. Harden (bad pass; steal by J. Adrien),,37-39,,
6:46.0,,,37-39,,Turnover by C. Brewer (bad pass)
6:26.0,D. Motiejunas misses 2-pt shot at rim,,37-39,,
6:25.0,,,37-39,,Defensive rebound by A. Bennett
6:05.0,,,37-39,,C. Brewer misses 2-pt shot from 4 ft
6:04.0,Defensive rebound by J. Terry,,37-39,,
6:03.0,,,37-39,,Personal foul by J. Adrien (drawn by J. Terry)
6:03.0,,,37-39,,Z. LaVine enters the game for C. Brewer
5:50.0,J. Harden misses 2-pt shot at rim,,37-39,,
5:48.0,,,37-39,,Defensive rebound by J. Adrien
5:37.0,,,37-39,,Shooting foul by K. Papanikolaou (drawn by A. Bennett)
5:37.0,,,37-40,1,A. Bennett makes free throw 1 of 2
5:37.0,,,37-40,,A. Bennett misses free throw 2 of 2
5:37.0,Defensive rebound by T. Ariza,,37-40,,
5:18.0,J. Terry misses 3-pt shot from 24 ft,,37-40,,
5:16.0,,,37-40,,Defensive rebound by J. Adrien
