time,Toronto,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Valanciunas vs. A. Varejao,,,,Jump ball: J. Valanciunas vs. A. Varejao
12:00.0,,,0-0,,Loose ball foul by A. Varejao (drawn by J. Valanciunas)
11:42.0,K. Lowry misses 3-pt shot from 25 ft,,0-0,,
11:40.0,,,0-0,,Defensive rebound by S. Marion
11:21.0,,,0-2,2,A. Varejao makes 2-pt shot from 14 ft (assist by K. Irving)
11:04.0,J. Valanciunas misses 2-pt shot from 7 ft,,0-2,,
11:02.0,,,0-2,,Defensive rebound by L. James
10:56.0,,,0-4,2,A. Varejao makes 2-pt shot at rim (assist by L. James)
10:45.0,Turnover by D. DeRozan (bad pass; steal by S. Marion),,0-4,,
10:35.0,,,0-4,,S. Marion misses 2-pt shot from 8 ft
10:33.0,,,0-4,,Offensive rebound by A. Varejao
10:33.0,,,0-6,2,A. Varejao makes 2-pt shot at rim
10:10.0,D. DeRozan misses 2-pt shot from 19 ft,,0-6,,
10:09.0,,,0-6,,Defensive rebound by A. Varejao
10:00.0,Personal foul by K. Lowry (drawn by A. Varejao),,0-6,,
9:56.0,Personal foul by T. Ross (drawn by L. James),,0-6,,
9:41.0,,,0-6,,L. James misses 2-pt shot from 19 ft
9:41.0,,,0-6,,Offensive rebound by Team
9:41.0,,,0-6,,Turnover by Team (shot clock)
9:26.0,K. Lowry misses 2-pt shot from 16 ft (block by K. Irving),,0-6,,
9:24.0,,,0-6,,Defensive rebound by A. Varejao
9:20.0,Personal foul by K. Lowry (drawn by K. Love),,0-6,,
9:20.0,,,0-7,1,K. Love makes free throw 1 of 2
9:20.0,,,0-8,1,K. Love makes free throw 2 of 2
9:15.0,Toronto full timeout,,0-8,,
9:00.0,Turnover by D. DeRozan (bad pass; steal by L. James),,0-8,,
8:55.0,,,0-10,2,K. Irving makes 2-pt shot from 1 ft (assist by L. James)
8:31.0,Offensive rebound by A. Johnson,,0-10,,
8:30.0,A. Johnson misses 2-pt shot from 2 ft,,0-10,,
8:27.0,,,0-10,,Defensive rebound by K. Love
8:27.0,,,0-10,,Offensive charge foul by L. James
8:27.0,,,0-10,,Turnover by L. James (offensive foul)
8:11.0,D. DeRozan misses 2-pt shot from 10 ft,,0-10,,
8:08.0,,,0-10,,Defensive rebound by A. Varejao
7:50.0,Violation by A. Johnson (def goaltending),,0-10,,
7:50.0,,,0-12,2,L. James makes 2-pt shot from 2 ft (assist by A. Varejao)
7:29.0,K. Lowry makes 3-pt shot from 22 ft (assist by D. DeRozan),3,3-12,,
7:19.0,,,3-14,2,K. Irving makes 2-pt shot from 13 ft
7:09.0,J. Valanciunas makes 2-pt shot from 17 ft (assist by K. Lowry),2,5-14,,
6:49.0,,,5-14,,S. Marion misses 3-pt shot from 22 ft
6:48.0,,,5-14,,Offensive rebound by A. Varejao
6:43.0,,,5-17,3,L. James makes 3-pt shot from 25 ft (assist by K. Irving)
6:27.0,D. DeRozan misses 3-pt shot from 23 ft,,5-17,,
6:26.0,,,5-17,,Defensive rebound by A. Varejao
6:16.0,,,5-19,2,A. Varejao makes 2-pt shot at rim (assist by L. James)
6:08.0,Toronto full timeout,,5-19,,
5:58.0,K. Lowry misses 2-pt shot from 12 ft,,5-19,,
5:57.0,,,5-19,,Defensive rebound by K. Love
5:53.0,,,5-19,,Shooting foul by T. Ross (drawn by S. Marion)
5:53.0,,,5-20,1,L. James makes free throw 1 of 2
5:53.0,L. Williams enters the game for T. Ross,,5-20,,
5:53.0,P. Patterson enters the game for J. Valanciunas,,5-20,,
5:53.0,,,5-20,,D. Waiters enters the game for S. Marion
5:53.0,,,5-20,,Turnover by A. Varejao (lane violation.)
5:41.0,Shooting foul by D. Waiters (drawn by D. DeRozan),,5-20,,
5:41.0,D. DeRozan misses free throw 1 of 2,,5-20,,
5:41.0,Offensive rebound by Team,,5-20,,
5:41.0,D. DeRozan makes free throw 2 of 2,1,6-20,,
5:30.0,Violation by K. Lowry (kicked ball),,6-20,,
5:23.0,,,6-22,2,K. Love makes 2-pt shot from 16 ft
4:56.0,D. DeRozan misses 2-pt shot from 17 ft,,6-22,,
4:55.0,Offensive rebound by L. Williams,,6-22,,
4:51.0,P. Patterson misses 2-pt shot from 14 ft,,6-22,,
4:49.0,,,6-22,,Defensive rebound by D. Waiters
4:34.0,,,6-24,2,K. Love makes 2-pt shot from 7 ft
4:19.0,Shooting foul by D. Waiters (drawn by L. Williams),,6-24,,
4:19.0,L. Williams makes free throw 1 of 2,1,7-24,,
4:19.0,C. Hayes enters the game for A. Johnson,,7-24,,
4:19.0,G. Vasquez enters the game for K. Lowry,,7-24,,
4:19.0,L. Williams makes free throw 2 of 2,1,8-24,,
4:04.0,,,8-26,2,K. Love makes 2-pt shot from 16 ft (assist by A. Varejao)
3:48.0,L. Williams makes 2-pt shot from 14 ft,2,10-26,,
3:35.0,,,10-26,,K. Irving misses 2-pt shot from 13 ft
3:34.0,Defensive rebound by D. DeRozan,,10-26,,
3:26.0,P. Patterson makes 3-pt shot from 23 ft (assist by D. DeRozan),3,13-26,,
3:07.0,,,13-26,,K. Love misses 2-pt shot from 7 ft
3:04.0,Defensive rebound by P. Patterson,,13-26,,
2:55.0,Turnover by P. Patterson (bad pass; steal by K. Love),,13-26,,
2:48.0,,,13-28,2,D. Waiters makes 2-pt shot from 1 ft (assist by K. Irving)
2:37.0,L. Williams misses 2-pt shot at rim,,13-28,,
2:35.0,Offensive rebound by L. Williams,,13-28,,
2:35.0,L. Williams makes 2-pt shot at rim,2,15-28,,
2:29.0,,,15-28,,Cleveland full timeout
2:29.0,,,15-28,,W. Cherry enters the game for A. Varejao
2:29.0,,,15-28,,T. Thompson enters the game for K. Irving
2:13.0,,,15-28,,Turnover by W. Cherry (bad pass; steal by P. Patterson)
2:07.0,G. Vasquez misses 2-pt shot from 1 ft,,15-28,,
2:03.0,,,15-28,,Defensive rebound by T. Thompson
1:57.0,,,15-28,,D. Waiters misses 2-pt shot from 2 ft (block by P. Patterson)
1:57.0,,,15-28,,Offensive rebound by K. Love
1:57.0,,,15-28,,K. Love misses 2-pt shot at rim (block by C. Hayes)
1:57.0,,,15-28,,Offensive rebound by Team
1:56.0,,,15-28,,Shooting foul by C. Hayes (drawn by K. Love)
1:56.0,,,15-29,1,K. Love makes free throw 1 of 2
1:56.0,,,15-30,1,K. Love makes free throw 2 of 2
1:42.0,,,15-30,,Personal foul by W. Cherry (drawn by L. Williams)
1:42.0,L. Williams makes free throw 1 of 3,1,16-30,,
1:42.0,L. Williams makes free throw 2 of 3,1,17-30,,
1:42.0,L. Williams makes free throw 3 of 3,1,18-30,,
1:17.0,,,18-32,2,D. Waiters makes 2-pt shot from 20 ft (assist by W. Cherry)
0:51.0,G. Vasquez misses 2-pt shot from 1 ft,,18-32,,
0:49.0,,,18-32,,Defensive rebound by T. Thompson
0:44.0,,,18-34,2,T. Thompson makes 2-pt shot from 1 ft (assist by L. James)
0:34.0,Shooting foul by W. Cherry (drawn by L. Williams),,18-34,,
0:34.0,L. Williams makes 2-pt shot from 12 ft,2,20-34,,
0:34.0,,,20-34,,K. Irving enters the game for W. Cherry
0:34.0,L. Williams makes free throw 1 of 1,1,21-34,,
0:12.0,,,21-34,,T. Thompson misses 2-pt shot from 5 ft
0:10.0,Defensive rebound by C. Hayes,,21-34,,
0:00.0,L. Williams misses 2-pt shot from 11 ft,,21-34,,
0:00.0,Offensive rebound by Team,,21-34,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:38.0,,,21-37,3,K. Irving makes 3-pt shot from 24 ft (assist by T. Thompson)
11:24.0,G. Vasquez makes 3-pt shot from 24 ft (assist by C. Hayes),3,24-37,,
11:08.0,,,24-37,,J. Harris misses 3-pt shot from 23 ft
11:08.0,,,24-37,,Offensive rebound by Team
11:08.0,Personal foul by G. Vasquez (drawn by T. Thompson),,24-37,,
11:02.0,,,24-37,,D. Waiters misses 2-pt shot from 17 ft
11:00.0,Defensive rebound by Team,,24-37,,
10:48.0,G. Vasquez makes 2-pt shot from 7 ft,2,26-37,,
10:27.0,,,26-37,,Shooting foul by C. Hayes (drawn by T. Thompson)
10:27.0,,,26-37,,T. Thompson misses free throw 1 of 2
10:27.0,,,26-37,,Offensive rebound by Team
10:27.0,,,26-38,1,T. Thompson makes free throw 2 of 2
10:17.0,Shooting foul by S. Marion (drawn by L. Williams),,26-38,,
10:17.0,L. Williams makes free throw 1 of 3,1,27-38,,
10:17.0,L. Williams makes free throw 2 of 3,1,28-38,,
10:17.0,L. Williams makes free throw 3 of 3,1,29-38,,
10:03.0,,,29-38,,Turnover by D. Waiters (traveling)
9:45.0,K. Lowry makes 2-pt shot at rim (assist by P. Patterson),2,31-38,,
9:37.0,,,31-38,,K. Irving misses 2-pt shot from 20 ft
9:36.0,,,31-38,,Offensive rebound by T. Thompson
9:36.0,,,31-38,,T. Thompson misses 2-pt shot at rim
9:36.0,Defensive rebound by C. Hayes,,31-38,,
9:31.0,Shooting foul by D. Waiters (drawn by G. Vasquez),,31-38,,
9:31.0,G. Vasquez makes free throw 1 of 2,1,32-38,,
9:31.0,,,32-38,,M. Miller enters the game for D. Waiters
9:31.0,G. Vasquez makes free throw 2 of 2,1,33-38,,
9:17.0,,,33-38,,M. Miller misses 3-pt shot from 24 ft
9:16.0,Defensive rebound by P. Patterson,,33-38,,
9:07.0,C. Hayes makes 2-pt shot from 1 ft (assist by G. Vasquez),2,35-38,,
9:03.0,,,35-38,,Cleveland full timeout
8:45.0,,,35-38,,Shooting foul by G. Vasquez (drawn by K. Irving)
8:45.0,,,35-38,,K. Irving misses free throw 1 of 2
8:45.0,,,35-38,,Offensive rebound by Team
8:45.0,,,35-39,1,K. Irving makes free throw 2 of 2
8:34.0,L. Williams makes 3-pt shot from 23 ft (assist by G. Vasquez),3,38-39,,
8:11.0,,,38-39,,K. Irving misses 2-pt shot from 15 ft
8:10.0,Defensive rebound by C. Hayes,,38-39,,
8:04.0,L. Williams misses 2-pt shot from 11 ft,,38-39,,
8:01.0,,,38-39,,Defensive rebound by S. Marion
7:53.0,,,38-39,,J. Harris misses 3-pt shot from 24 ft
7:52.0,Defensive rebound by P. Patterson,,38-39,,
7:43.0,G. Vasquez misses 3-pt shot from 24 ft,,38-39,,
7:42.0,,,38-39,,Defensive rebound by T. Thompson
7:37.0,Shooting block foul by G. Vasquez (drawn by K. Irving),,38-39,,
7:37.0,,,38-40,1,K. Irving makes free throw 1 of 2
7:37.0,D. DeRozan enters the game for L. Williams,,38-40,,
7:37.0,A. Johnson enters the game for C. Hayes,,38-40,,
7:37.0,T. Ross enters the game for G. Vasquez,,38-40,,
7:37.0,,,38-40,,A. Varejao enters the game for S. Marion
7:37.0,,,38-40,,K. Love enters the game for T. Thompson
7:37.0,,,38-40,,L. James enters the game for J. Harris
7:37.0,,,38-41,1,K. Irving makes free throw 2 of 2
7:22.0,Offensive foul by A. Johnson,,38-41,,
7:22.0,Turnover by A. Johnson (offensive foul),,38-41,,
7:03.0,,,38-41,,A. Varejao misses 2-pt shot at rim (block by K. Lowry)
