time,LA Clippers,pts.away,score,pts.home,Sacramento
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Hollins vs. D. Jordan (R. McCallum gains possession),,,,Jump ball: R. Hollins vs. D. Jordan (R. McCallum gains possession)
11:35.0,,,0-0,,R. Gay misses 3-pt shot from 25 ft
11:35.0,Defensive rebound by D. Jordan,,0-0,,
11:24.0,D. Jordan misses 2-pt shot from 1 ft,,0-0,,
11:23.0,,,0-0,,Defensive rebound by J. Thompson
11:17.0,,,0-0,,R. McCallum misses 2-pt shot from 3 ft
11:17.0,Defensive rebound by C. Paul,,0-0,,
11:08.0,J. Redick misses 3-pt shot from 23 ft,,0-0,,
11:08.0,,,0-0,,Defensive rebound by R. Hollins
10:58.0,,,0-0,,B. McLemore misses 2-pt shot from 7 ft
10:56.0,,,0-0,,Offensive rebound by R. Hollins
10:53.0,,,0-0,,B. McLemore misses 3-pt shot from 22 ft
10:51.0,Defensive rebound by B. Griffin,,0-0,,
10:28.0,C. Paul misses 3-pt shot from 24 ft,,0-0,,
10:27.0,,,0-0,,Defensive rebound by R. Gay
10:13.0,,,0-0,,B. McLemore misses 2-pt shot from 3 ft
10:12.0,Defensive rebound by D. Jordan,,0-0,,
10:04.0,B. Griffin makes 2-pt shot from 2 ft (assist by C. Paul),2,2-0,,
9:54.0,,,2-0,,Shooting foul by D. Jordan (drawn by R. Hollins)
9:54.0,,,2-0,,R. Hollins misses free throw 1 of 2
9:54.0,,,2-0,,Offensive rebound by Team
9:54.0,,,2-1,1,R. Hollins makes free throw 2 of 2
9:41.0,H. Turkoglu misses 3-pt shot from 24 ft,,2-1,,
9:41.0,,,2-1,,Defensive rebound by J. Thompson
9:26.0,,,2-1,,R. Gay misses 2-pt shot from 20 ft
9:26.0,Defensive rebound by B. Griffin,,2-1,,
9:17.0,,,2-1,,Personal foul by R. Hollins (drawn by C. Paul)
9:05.0,Turnover by B. Griffin (bad pass; steal by R. McCallum),,2-1,,
9:00.0,,,2-3,2,R. McCallum makes 2-pt shot from 2 ft
8:48.0,H. Turkoglu makes 3-pt shot from 24 ft (assist by B. Griffin),3,5-3,,
8:26.0,,,5-5,2,J. Thompson makes 2-pt shot from 19 ft (assist by R. Hollins)
8:21.0,,,5-5,,Personal foul by J. Thompson (drawn by B. Griffin)
8:11.0,B. Griffin misses 2-pt shot from 15 ft,,5-5,,
8:10.0,Offensive rebound by D. Jordan,,5-5,,
8:07.0,J. Redick makes 3-pt shot from 25 ft (assist by D. Jordan),3,8-5,,
7:54.0,,,8-7,2,R. Hollins makes 2-pt shot at rim (assist by B. McLemore)
7:40.0,C. Paul makes 2-pt shot from 19 ft,2,10-7,,
7:21.0,,,10-7,,R. Gay misses 2-pt shot from 17 ft
7:19.0,,,10-7,,Offensive rebound by R. Hollins
7:19.0,,,10-7,,Sacramento full timeout
7:05.0,,,10-9,2,R. Hollins makes 2-pt shot from 18 ft (assist by R. Gay)
6:44.0,B. Griffin makes 2-pt shot from 18 ft (assist by J. Redick),2,12-9,,
6:25.0,,,12-11,2,R. Hollins makes 2-pt shot at rim (assist by R. Gay)
6:06.0,B. Griffin misses 2-pt shot from 20 ft,,12-11,,
6:05.0,,,12-11,,Defensive rebound by R. McCallum
