time,Houston,pts.away,score,pts.home,Phoenix
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Howard vs. A. Len (P. Beverley gains possession),,,,Jump ball: D. Howard vs. A. Len (P. Beverley gains possession)
11:42.0,D. Motiejunas misses 2-pt shot from 2 ft,,0-0,,
11:39.0,,,0-0,,Defensive rebound by M. Morris
11:32.0,,,0-0,,E. Bledsoe misses 3-pt shot from 25 ft
11:30.0,Defensive rebound by D. Howard,,0-0,,
11:21.0,,,0-0,,Personal foul by M. Morris (drawn by D. Motiejunas)
11:05.0,P. Beverley misses 2-pt shot from 1 ft,,0-0,,
11:02.0,,,0-0,,Defensive rebound by A. Len
11:01.0,,,0-0,,Turnover by M. Morris (bad pass; steal by J. Harden)
10:58.0,J. Harden misses 2-pt shot from 2 ft (block by A. Len),,0-0,,
10:55.0,,,0-0,,Defensive rebound by M. Morris
10:51.0,,,0-0,,P. Tucker misses 3-pt shot from 23 ft
10:48.0,Defensive rebound by T. Ariza,,0-0,,
10:45.0,T. Ariza makes 2-pt shot from 1 ft,2,2-0,,
10:38.0,,,2-0,,P. Tucker misses 2-pt shot from 8 ft
10:35.0,Defensive rebound by D. Motiejunas,,2-0,,
10:29.0,P. Beverley misses 2-pt shot from 1 ft,,2-0,,
10:27.0,,,2-0,,Defensive rebound by A. Len
10:15.0,,,2-2,2,A. Len makes 2-pt shot from 14 ft (assist by E. Bledsoe)
9:53.0,D. Motiejunas misses 2-pt shot from 10 ft,,2-2,,
9:49.0,,,2-2,,Defensive rebound by A. Len
9:46.0,,,2-4,2,G. Dragic makes 2-pt shot from 17 ft
9:29.0,J. Harden misses 2-pt shot from 16 ft,,2-4,,
9:27.0,,,2-4,,Defensive rebound by E. Bledsoe
9:26.0,,,2-4,,Turnover by E. Bledsoe (bad pass)
8:58.0,D. Howard makes 3-pt shot from 25 ft (assist by P. Beverley),3,5-4,,
8:45.0,,,5-4,,G. Dragic misses 3-pt shot from 24 ft
8:44.0,Defensive rebound by D. Motiejunas,,5-4,,
8:41.0,T. Ariza makes 2-pt shot at rim (assist by J. Harden),2,7-4,,
8:23.0,,,7-6,2,E. Bledsoe makes 2-pt shot from 1 ft (assist by M. Morris)
7:54.0,D. Howard makes 2-pt shot from 2 ft (assist by J. Harden),2,9-6,,
7:39.0,,,9-6,,M. Morris misses 2-pt shot from 17 ft
7:37.0,,,9-6,,Offensive rebound by P. Tucker
7:36.0,,,9-6,,P. Tucker misses 2-pt shot from 7 ft
7:33.0,Defensive rebound by D. Howard,,9-6,,
7:17.0,D. Motiejunas makes 2-pt shot from 1 ft (assist by D. Howard),2,11-6,,
7:07.0,Personal block foul by D. Motiejunas (drawn by E. Bledsoe),,11-6,,
7:02.0,Personal foul by D. Motiejunas (drawn by A. Len),,11-6,,
7:02.0,J. Smith enters the game for D. Motiejunas,,11-6,,
6:57.0,,,11-8,2,M. Morris makes 2-pt shot from 20 ft (assist by G. Dragic)
6:42.0,J. Smith misses 3-pt shot from 22 ft,,11-8,,
6:39.0,,,11-8,,Defensive rebound by E. Bledsoe
6:33.0,,,11-10,2,E. Bledsoe makes 2-pt shot from 8 ft
6:23.0,,,11-10,,Personal foul by P. Tucker (drawn by J. Harden)
6:18.0,Turnover by J. Smith (lost ball; steal by M. Morris),,11-10,,
6:14.0,,,11-12,2,P. Tucker makes 2-pt shot at rim (assist by E. Bledsoe)
5:53.0,J. Smith makes 2-pt shot from 8 ft (assist by P. Beverley),2,13-12,,
5:43.0,,,13-14,2,M. Morris makes 2-pt shot from 8 ft
5:27.0,P. Beverley makes 3-pt shot from 22 ft (assist by J. Smith),3,16-14,,
5:04.0,,,16-16,2,M. Morris makes 2-pt shot from 10 ft (assist by G. Dragic)
4:57.0,Turnover by J. Harden (bad pass),,16-16,,
4:57.0,,,16-16,,Phoenix full timeout
4:33.0,,,16-16,,E. Bledsoe misses 2-pt shot from 6 ft
4:30.0,,,16-16,,Offensive rebound by A. Len
4:30.0,,,16-16,,A. Len misses 2-pt shot from 3 ft
4:28.0,Defensive rebound by D. Howard,,16-16,,
4:23.0,P. Beverley misses 3-pt shot from 22 ft,,16-16,,
4:21.0,Offensive rebound by T. Ariza,,16-16,,
4:16.0,P. Beverley makes 3-pt shot from 22 ft (assist by T. Ariza),3,19-16,,
4:09.0,,,19-18,2,A. Len makes 2-pt shot from 7 ft (assist by E. Bledsoe)
3:54.0,T. Ariza makes 2-pt shot at rim,2,21-18,,
3:48.0,,,21-18,,Offensive foul by M. Morris
3:48.0,,,21-18,,Turnover by M. Morris (offensive foul)
3:48.0,,,21-18,,I. Thomas enters the game for E. Bledsoe
3:48.0,,,21-18,,M. Morris enters the game for M. Morris
3:32.0,J. Harden misses 2-pt shot from 7 ft,,21-18,,
3:32.0,Offensive rebound by Team,,21-18,,
3:32.0,,,21-18,,Personal foul by M. Morris (drawn by D. Howard)
3:32.0,C. Brewer enters the game for T. Ariza,,21-18,,
3:31.0,,,21-18,,Violation by M. Morris (kicked ball)
3:31.0,J. Dorsey enters the game for D. Howard,,21-18,,
3:31.0,,,21-18,,B. Wright enters the game for A. Len
3:21.0,Turnover by J. Smith (bad pass),,21-18,,
3:08.0,J. Terry enters the game for P. Beverley,,21-18,,
2:58.0,,,21-18,,G. Dragic misses 2-pt shot from 16 ft
2:54.0,Defensive rebound by J. Harden,,21-18,,
2:52.0,C. Brewer makes 2-pt shot from 1 ft (assist by J. Smith),2,23-18,,
2:37.0,,,23-18,,M. Morris misses 2-pt shot from 15 ft
2:36.0,Defensive rebound by J. Smith,,23-18,,
2:32.0,J. Smith makes 2-pt shot at rim,2,25-18,,
2:15.0,Houston full timeout,,25-18,,
2:15.0,,,25-18,,G. Green enters the game for G. Dragic
2:15.0,Jump ball: J. Dorsey vs. I. Thomas (J. Terry gains possession),,,,Jump ball: J. Dorsey vs. I. Thomas (J. Terry gains possession)
2:15.0,,,25-18,,Turnover by I. Thomas (lost ball; steal by J. Dorsey)
1:58.0,J. Harden makes 3-pt shot from 25 ft,3,28-18,,
1:37.0,,,28-18,,I. Thomas misses 2-pt shot from 19 ft
1:35.0,,,28-18,,Offensive rebound by B. Wright
1:33.0,,,28-18,,M. Morris misses 2-pt shot from 15 ft
1:31.0,Defensive rebound by J. Harden,,28-18,,
1:22.0,C. Brewer makes 2-pt shot from 10 ft,2,30-18,,
1:07.0,,,30-18,,G. Green misses 3-pt shot from 25 ft
1:05.0,,,30-18,,Offensive rebound by P. Tucker
0:57.0,,,30-18,,Turnover by I. Thomas (lost ball; steal by C. Brewer)
0:53.0,J. Harden misses 2-pt shot from 1 ft,,30-18,,
0:51.0,,,30-18,,Defensive rebound by M. Morris
0:46.0,,,30-21,3,I. Thomas makes 3-pt shot from 22 ft (assist by P. Tucker)
0:33.0,J. Smith misses 2-pt shot from 10 ft,,30-21,,
0:29.0,,,30-21,,Defensive rebound by P. Tucker
0:26.0,,,30-24,3,I. Thomas makes 3-pt shot from 25 ft
0:06.0,Shooting foul by B. Wright (drawn by J. Harden),,30-24,,
0:06.0,J. Harden makes free throw 1 of 2,1,31-24,,
