time,Detroit,pts.away,score,pts.home,Sacramento
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. J. Thompson (J. Smith gains possession),,,,Jump ball: A. Drummond vs. J. Thompson (J. Smith gains possession)
11:44.0,A. Drummond makes 2-pt shot from 7 ft (assist by B. Jennings),2,2-0,,
11:26.0,,,2-0,,Turnover by R. Hollins (lost ball)
11:14.0,Turnover by K. Singler (bad pass),,2-0,,
10:50.0,,,2-0,,D. Collison misses 3-pt shot from 25 ft
10:49.0,Defensive rebound by J. Smith,,2-0,,
10:44.0,A. Drummond makes 2-pt shot at rim (assist by K. Caldwell-Pope),2,4-0,,
10:22.0,,,4-0,,R. Gay misses 2-pt shot from 1 ft
10:21.0,,,4-0,,Offensive rebound by R. Gay
10:21.0,Personal take foul by A. Drummond (drawn by R. Gay),,4-0,,
10:21.0,,,4-1,1,R. Gay makes free throw 1 of 2
10:21.0,,,4-2,1,R. Gay makes free throw 2 of 2
9:57.0,J. Smith makes 2-pt shot from 18 ft (assist by B. Jennings),2,6-2,,
9:47.0,,,6-5,3,D. Collison makes 3-pt shot from 25 ft
9:34.0,Turnover by J. Smith (bad pass),,6-5,,
9:14.0,Personal foul by K. Caldwell-Pope (drawn by B. McLemore),,6-5,,
9:08.0,,,6-7,2,J. Thompson makes 2-pt shot from 22 ft (assist by R. Gay)
8:48.0,J. Smith misses 2-pt shot from 6 ft,,6-7,,
8:47.0,,,6-7,,Defensive rebound by J. Thompson
8:41.0,,,6-7,,Turnover by R. Gay (bad pass; steal by A. Drummond)
8:34.0,B. Jennings misses 3-pt shot from 24 ft,,6-7,,
8:33.0,,,6-7,,Defensive rebound by J. Thompson
8:28.0,,,6-7,,R. Gay misses 3-pt shot from 26 ft
8:27.0,Defensive rebound by J. Smith,,6-7,,
8:21.0,Turnover by J. Smith (bad pass),,6-7,,
8:14.0,Personal foul by B. Jennings (drawn by D. Collison),,6-7,,
8:09.0,,,6-9,2,J. Thompson makes 2-pt shot from 20 ft (assist by D. Collison)
7:53.0,K. Singler makes 3-pt shot from 25 ft (assist by J. Smith),3,9-9,,
7:34.0,,,9-9,,R. Gay misses 2-pt shot from 1 ft
7:33.0,Defensive rebound by J. Smith,,9-9,,
7:28.0,A. Drummond makes 2-pt shot at rim (assist by J. Smith),2,11-9,,
7:04.0,Personal foul by K. Singler (drawn by R. Gay),,11-9,,
7:01.0,,,11-11,2,J. Thompson makes 2-pt shot at rim (assist by R. Hollins)
6:38.0,K. Singler misses 2-pt shot from 10 ft,,11-11,,
6:36.0,,,11-11,,Defensive rebound by J. Thompson
6:32.0,,,11-11,,D. Collison misses 2-pt shot from 1 ft (block by J. Smith)
6:30.0,Defensive rebound by J. Smith,,11-11,,
6:26.0,Turnover by B. Jennings (bad pass),,11-11,,
6:06.0,,,11-14,3,B. McLemore makes 3-pt shot from 23 ft (assist by R. Gay)
5:49.0,J. Smith makes 2-pt shot from 2 ft (assist by B. Jennings),2,13-14,,
5:24.0,,,13-17,3,R. Gay makes 3-pt shot from 22 ft (assist by D. Collison)
5:08.0,K. Singler makes 2-pt shot from 4 ft,2,15-17,,
4:56.0,,,15-20,3,R. Gay makes 3-pt shot from 25 ft (assist by D. Collison)
4:45.0,Turnover by J. Smith (bad pass; steal by R. Gay),,15-20,,
4:31.0,,,15-20,,R. Hollins misses 2-pt shot from 2 ft
4:29.0,Defensive rebound by K. Caldwell-Pope,,15-20,,
4:17.0,A. Drummond misses 2-pt shot from 5 ft,,15-20,,
4:16.0,,,15-20,,Defensive rebound by B. McLemore
4:16.0,,,15-20,,Turnover by B. McLemore (lost ball)
4:16.0,,,15-20,,Sacramento full timeout
4:16.0,G. Monroe enters the game for A. Drummond,,15-20,,
4:16.0,J. Meeks enters the game for K. Caldwell-Pope,,15-20,,
4:04.0,J. Smith misses 2-pt shot from 19 ft,,15-20,,
4:03.0,,,15-20,,Defensive rebound by J. Thompson
3:49.0,,,15-20,,B. McLemore misses 3-pt shot from 26 ft
3:48.0,,,15-20,,Offensive rebound by B. McLemore
3:34.0,,,15-20,,J. Thompson misses 2-pt shot from 4 ft
3:34.0,Defensive rebound by Team,,15-20,,
3:34.0,,,15-20,,Loose ball foul by J. Thompson (drawn by K. Singler)
3:19.0,K. Singler misses 3-pt shot from 23 ft,,15-20,,
3:17.0,,,15-20,,Defensive rebound by R. Hollins
3:09.0,,,15-20,,Turnover by R. Gay (bad pass; steal by J. Smith)
3:03.0,G. Monroe misses 2-pt shot from 1 ft (block by R. Hollins),,15-20,,
3:00.0,Offensive rebound by J. Meeks,,15-20,,
2:53.0,J. Meeks misses 3-pt shot from 26 ft,,15-20,,
2:52.0,,,15-20,,Defensive rebound by J. Thompson
2:41.0,,,15-20,,R. Gay misses 2-pt shot from 7 ft
2:39.0,Defensive rebound by K. Singler,,15-20,,
2:36.0,J. Meeks misses 2-pt shot from 1 ft (block by D. Collison),,15-20,,
2:33.0,,,15-20,,Defensive rebound by D. Collison
2:22.0,,,15-22,2,J. Thompson makes 2-pt shot from 7 ft
2:01.0,B. Jennings makes 3-pt shot from 25 ft,3,18-22,,
1:38.0,,,18-22,,B. McLemore misses 2-pt shot from 3 ft (block by K. Singler)
1:36.0,,,18-22,,Offensive rebound by B. McLemore
1:33.0,,,18-22,,R. Gay misses 2-pt shot from 8 ft
1:31.0,Defensive rebound by Team,,18-22,,
1:31.0,Detroit full timeout,,18-22,,
1:31.0,A. Drummond enters the game for J. Smith,,18-22,,
1:31.0,,,18-22,,D. Williams enters the game for R. Gay
1:31.0,,,18-22,,C. Landry enters the game for R. Hollins
1:20.0,J. Meeks misses 2-pt shot from 1 ft,,18-22,,
1:19.0,,,18-22,,Defensive rebound by B. McLemore
1:06.0,,,18-22,,Turnover by J. Thompson (lost ball; steal by J. Meeks)
1:02.0,G. Monroe makes 2-pt shot from 1 ft (assist by J. Meeks),2,20-22,,
1:02.0,Shooting foul by B. McLemore (drawn by G. Monroe),,20-22,,
1:02.0,G. Monroe makes free throw 1 of 1,1,21-22,,
0:45.0,,,21-24,2,B. McLemore makes 2-pt shot from 15 ft (assist by D. Collison)
0:33.0,,,21-24,,Personal foul by C. Landry (drawn by G. Monroe)
0:33.0,G. Monroe makes free throw 1 of 2,1,22-24,,
0:33.0,G. Monroe makes free throw 2 of 2,1,23-24,,
0:10.0,,,23-24,,D. Williams misses 3-pt shot from 26 ft
