time,Washington,pts.away,score,pts.home,Denver
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. J. Nurkic (T. Lawson gains possession),,,,Jump ball: M. Gortat vs. J. Nurkic (T. Lawson gains possession)
11:36.0,,,0-2,2,T. Lawson makes 2-pt shot at rim (assist by J. Nurkic)
11:17.0,B. Beal makes 2-pt shot from 3 ft (assist by J. Wall),2,2-2,,
11:03.0,,,2-2,,A. Afflalo misses 2-pt shot from 9 ft
11:02.0,Defensive rebound by P. Pierce,,2-2,,
10:56.0,N. Hilario makes 2-pt shot from 18 ft (assist by J. Wall),2,4-2,,
10:42.0,,,4-5,3,W. Chandler makes 3-pt shot from 26 ft (assist by T. Lawson)
10:27.0,Turnover by P. Pierce (bad pass; steal by W. Chandler),,4-5,,
10:23.0,,,4-5,,Shooting foul by J. Wall (drawn by T. Lawson)
10:23.0,,,4-6,1,T. Lawson makes free throw 1 of 2
10:23.0,,,4-7,1,T. Lawson makes free throw 2 of 2
10:14.0,P. Pierce misses 2-pt shot at rim (block by W. Chandler),,4-7,,
10:11.0,,,4-7,,Defensive rebound by J. Nurkic
10:07.0,,,4-9,2,K. Faried makes 2-pt shot at rim (assist by W. Chandler)
10:01.0,Turnover by M. Gortat (bad pass; steal by T. Lawson),,4-9,,
9:58.0,,,4-9,,T. Lawson misses 3-pt shot from 23 ft
9:55.0,Defensive rebound by M. Gortat,,4-9,,
9:50.0,B. Beal misses 2-pt shot from 16 ft,,4-9,,
9:48.0,,,4-9,,Defensive rebound by J. Nurkic
9:44.0,,,4-9,,K. Faried misses 2-pt shot from 5 ft
9:42.0,Defensive rebound by M. Gortat,,4-9,,
9:30.0,J. Wall makes 3-pt shot from 24 ft (assist by B. Beal),3,7-9,,
9:14.0,,,7-11,2,A. Afflalo makes 2-pt shot from 15 ft (assist by T. Lawson)
9:04.0,Shooting foul by J. Nurkic (drawn by P. Pierce),,7-11,,
9:04.0,P. Pierce misses free throw 1 of 2,,7-11,,
9:04.0,Offensive rebound by Team,,7-11,,
9:04.0,P. Pierce makes free throw 2 of 2,1,8-11,,
8:41.0,,,8-11,,Turnover by W. Chandler (bad pass; steal by B. Beal)
8:38.0,Shooting foul by W. Chandler (drawn by P. Pierce),,8-11,,
8:38.0,P. Pierce makes free throw 1 of 2,1,9-11,,
8:38.0,P. Pierce makes free throw 2 of 2,1,10-11,,
8:29.0,Personal foul by B. Beal (drawn by A. Afflalo),,10-11,,
8:23.0,,,10-11,,A. Afflalo misses 2-pt shot from 16 ft
8:23.0,,,10-11,,Offensive rebound by Team
8:15.0,,,10-11,,K. Faried misses 2-pt shot from 5 ft
8:14.0,,,10-11,,Offensive rebound by Team
8:14.0,Loose ball foul by M. Gortat (drawn by J. Nurkic),,10-11,,
7:58.0,,,10-11,,J. Nurkic misses 2-pt shot from 16 ft
7:57.0,,,10-11,,Offensive rebound by K. Faried
7:52.0,,,10-11,,T. Lawson misses 2-pt shot from 1 ft
7:50.0,,,10-11,,Offensive rebound by K. Faried
7:48.0,,,10-13,2,K. Faried makes 2-pt shot from 1 ft (assist by T. Lawson)
7:35.0,,,10-13,,Personal foul by K. Faried (drawn by N. Hilario)
7:26.0,R. Butler enters the game for P. Pierce,,10-13,,
7:23.0,B. Beal misses 2-pt shot from 15 ft,,10-13,,
7:21.0,Offensive rebound by M. Gortat,,10-13,,
7:18.0,J. Wall misses 3-pt shot from 24 ft,,10-13,,
7:17.0,,,10-13,,Defensive rebound by J. Nurkic
7:08.0,,,10-13,,K. Faried misses 2-pt shot from 6 ft
7:06.0,Defensive rebound by N. Hilario,,10-13,,
7:00.0,B. Beal makes 2-pt shot at rim (assist by J. Wall),2,12-13,,
6:46.0,,,12-13,,K. Faried misses 2-pt shot from 1 ft
6:45.0,Defensive rebound by B. Beal,,12-13,,
6:39.0,J. Wall makes 2-pt shot from 2 ft,2,14-13,,
6:32.0,,,14-13,,Denver full timeout
6:32.0,K. Humphries enters the game for N. Hilario,,14-13,,
6:28.0,,,14-15,2,T. Lawson makes 2-pt shot from 1 ft (assist by J. Nurkic)
6:14.0,M. Gortat makes 2-pt shot from 2 ft (assist by J. Wall),2,16-15,,
6:05.0,,,16-15,,W. Chandler misses 2-pt shot from 1 ft
6:04.0,,,16-15,,Offensive rebound by J. Nurkic
6:01.0,,,16-15,,J. Nurkic misses 2-pt shot from 7 ft
6:00.0,Defensive rebound by M. Gortat,,16-15,,
