time,Charlotte,pts.away,score,pts.home,Orlando
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: N. Vucevic vs. C. Zeller (M. Williams gains possession),,,,Jump ball: N. Vucevic vs. C. Zeller (M. Williams gains possession)
11:39.0,M. Williams misses 2-pt shot from 2 ft,,0-0,,
11:38.0,Offensive rebound by C. Zeller,,0-0,,
11:38.0,C. Zeller makes 2-pt shot at rim,2,2-0,,
11:25.0,,,2-0,,Shooting foul by M. Kidd-Gilchrist (drawn by T. Harris)
11:25.0,,,2-0,,T. Harris misses free throw 1 of 2
11:25.0,,,2-0,,Offensive rebound by Team
11:25.0,,,2-1,1,T. Harris makes free throw 2 of 2
11:14.0,C. Zeller makes 2-pt shot at rim (assist by M. Williams),2,4-1,,
10:48.0,,,4-1,,C. Frye misses 3-pt shot from 24 ft
10:46.0,Defensive rebound by A. Jefferson,,4-1,,
10:36.0,M. Williams misses 2-pt shot from 19 ft,,4-1,,
10:35.0,,,4-1,,Defensive rebound by T. Harris
10:26.0,,,4-3,2,T. Harris makes 2-pt shot from 7 ft
10:08.0,,,4-3,,Def 3 sec tech foul by C. Frye
10:08.0,M. Williams makes technical free throw,1,5-3,,
10:00.0,A. Jefferson makes 2-pt shot from 15 ft (assist by G. Henderson),2,7-3,,
9:42.0,,,7-3,,N. Vucevic misses 2-pt shot from 18 ft
9:41.0,Defensive rebound by C. Zeller,,7-3,,
9:29.0,A. Jefferson misses 2-pt shot from 10 ft,,7-3,,
9:27.0,,,7-3,,Defensive rebound by C. Frye
9:12.0,,,7-6,3,T. Harris makes 3-pt shot from 25 ft (assist by N. Vucevic)
8:52.0,A. Jefferson misses 2-pt shot from 10 ft,,7-6,,
8:51.0,Offensive rebound by C. Zeller,,7-6,,
8:39.0,M. Kidd-Gilchrist makes 2-pt shot from 20 ft (assist by M. Williams),2,9-6,,
8:24.0,,,9-8,2,V. Oladipo makes 2-pt shot from 10 ft
8:09.0,C. Zeller makes 2-pt shot at rim (assist by M. Williams),2,11-8,,
7:59.0,,,11-10,2,N. Vucevic makes 2-pt shot from 18 ft (assist by E. Payton)
7:43.0,C. Zeller misses 2-pt shot from 11 ft,,11-10,,
7:41.0,,,11-10,,Defensive rebound by E. Payton
7:34.0,,,11-10,,E. Payton misses 2-pt shot from 6 ft
7:32.0,Defensive rebound by A. Jefferson,,11-10,,
7:13.0,A. Jefferson misses 2-pt shot from 15 ft,,11-10,,
7:11.0,,,11-10,,Defensive rebound by T. Harris
6:57.0,,,11-10,,N. Vucevic misses 2-pt shot from 6 ft
6:56.0,Defensive rebound by M. Kidd-Gilchrist,,11-10,,
6:48.0,Turnover by M. Kidd-Gilchrist (discontinued dribble),,11-10,,
6:35.0,,,11-10,,T. Harris misses 2-pt shot from 10 ft
6:34.0,Defensive rebound by M. Kidd-Gilchrist,,11-10,,
6:10.0,A. Jefferson makes 3-pt shot from 25 ft,3,14-10,,
6:09.0,,,14-10,,Orlando full timeout
6:09.0,,,14-10,,W. Green enters the game for E. Payton
5:58.0,,,14-10,,V. Oladipo misses 2-pt shot from 19 ft
5:57.0,Defensive rebound by M. Kidd-Gilchrist,,14-10,,
5:42.0,M. Kidd-Gilchrist makes 2-pt shot from 18 ft (assist by C. Zeller),2,16-10,,
5:16.0,,,16-12,2,C. Frye makes 2-pt shot from 21 ft (assist by T. Harris)
5:00.0,C. Zeller makes 2-pt shot from 16 ft (assist by M. Williams),2,18-12,,
4:37.0,,,18-15,3,C. Frye makes 3-pt shot from 28 ft (assist by N. Vucevic)
4:11.0,A. Jefferson misses 2-pt shot from 12 ft,,18-15,,
4:10.0,Offensive rebound by Team,,18-15,,
4:10.0,M. Williams enters the game for C. Zeller,,18-15,,
4:06.0,M. Williams makes 2-pt shot from 20 ft (assist by M. Kidd-Gilchrist),2,20-15,,
3:56.0,,,20-17,2,N. Vucevic makes 2-pt shot from 7 ft (assist by W. Green)
3:37.0,M. Williams makes 2-pt shot from 11 ft (assist by M. Williams),2,22-17,,
3:26.0,,,22-17,,Shooting foul by M. Williams (drawn by V. Oladipo)
3:26.0,,,22-17,,V. Oladipo misses free throw 1 of 2
3:26.0,,,22-17,,Offensive rebound by Team
3:26.0,B. Biyombo enters the game for A. Jefferson,,22-17,,
3:26.0,B. Roberts enters the game for G. Henderson,,22-17,,
3:26.0,,,22-18,1,V. Oladipo makes free throw 2 of 2
3:06.0,M. Kidd-Gilchrist misses 2-pt shot from 22 ft,,22-18,,
3:05.0,,,22-18,,Defensive rebound by N. Vucevic
2:51.0,,,22-18,,V. Oladipo misses 2-pt shot from 9 ft
2:49.0,Defensive rebound by B. Biyombo,,22-18,,
2:41.0,M. Williams makes 3-pt shot from 26 ft,3,25-18,,
2:25.0,,,25-18,,N. Vucevic misses 2-pt shot from 18 ft
2:24.0,Defensive rebound by B. Roberts,,25-18,,
2:14.0,M. Williams misses 3-pt shot from 25 ft,,25-18,,
2:14.0,,,25-18,,Defensive rebound by Team
2:14.0,Loose ball foul by B. Biyombo (drawn by N. Vucevic),,25-18,,
2:14.0,Charlotte full timeout,,25-18,,
2:14.0,L. Stephenson enters the game for M. Kidd-Gilchrist,,25-18,,
2:14.0,,,25-18,,L. Ridnour enters the game for C. Frye
2:14.0,,,25-18,,M. Harkless enters the game for N. Vucevic
2:14.0,,,25-18,,D. Dedmon enters the game for V. Oladipo
2:05.0,,,25-18,,T. Harris misses 2-pt shot from 10 ft
2:04.0,Defensive rebound by L. Stephenson,,25-18,,
1:52.0,,,25-18,,Personal foul by L. Ridnour (drawn by B. Biyombo)
1:40.0,B. Biyombo misses 2-pt shot from 13 ft,,25-18,,
1:38.0,,,25-18,,Defensive rebound by D. Dedmon
1:30.0,,,25-18,,W. Green misses 2-pt shot from 17 ft
1:28.0,Defensive rebound by M. Williams,,25-18,,
1:18.0,Offensive charge foul by B. Biyombo,,25-18,,
1:18.0,Turnover by B. Biyombo (offensive foul),,25-18,,
1:04.0,Personal foul by M. Williams (drawn by L. Ridnour),,25-18,,
0:57.0,,,25-18,,W. Green misses 2-pt shot from 16 ft
0:55.0,Defensive rebound by B. Roberts,,25-18,,
0:40.0,Turnover by L. Stephenson (bad pass; steal by M. Harkless),,25-18,,
0:35.0,,,25-20,2,T. Harris makes 2-pt shot from 2 ft (assist by W. Green)
0:29.0,Turnover by B. Biyombo (bad pass; steal by T. Harris),,25-20,,
0:24.0,,,25-22,2,D. Dedmon makes 2-pt shot at rim (assist by L. Ridnour)
0:02.0,M. Williams makes 3-pt shot from 27 ft,3,28-22,,
0:00.0,,,28-22,,L. Ridnour misses 3-pt shot from 40 ft
0:00.0,,,28-22,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,,,28-24,2,A. Nicholson makes 2-pt shot from 15 ft (assist by L. Ridnour)
11:33.0,,,28-24,,Personal foul by L. Ridnour (drawn by B. Biyombo)
11:25.0,B. Biyombo makes 2-pt shot from 2 ft,2,30-24,,
11:14.0,,,30-24,,A. Nicholson misses 2-pt shot from 19 ft
11:13.0,Defensive rebound by M. Kidd-Gilchrist,,30-24,,
11:02.0,Turnover by M. Kidd-Gilchrist (traveling),,30-24,,
10:40.0,Personal foul by C. Zeller (drawn by A. Nicholson),,30-24,,
10:35.0,,,30-24,,L. Ridnour misses 2-pt shot from 3 ft
10:33.0,Defensive rebound by C. Zeller,,30-24,,
10:23.0,C. Zeller misses 2-pt shot from 2 ft (block by M. Harkless),,30-24,,
10:21.0,,,30-24,,Defensive rebound by A. Nicholson
10:09.0,,,30-24,,D. Dedmon misses 2-pt shot from 10 ft
10:08.0,,,30-24,,Offensive rebound by M. Harkless
10:08.0,,,30-24,,M. Harkless misses 2-pt shot from 2 ft
10:08.0,Defensive rebound by Team,,30-24,,
10:08.0,,,30-24,,Personal foul by M. Harkless (drawn by C. Zeller)
9:48.0,Turnover by M. Kidd-Gilchrist (bad pass; steal by D. Dedmon),,30-24,,
9:39.0,,,30-24,,L. Ridnour misses 2-pt shot from 19 ft
9:38.0,,,30-24,,Offensive rebound by D. Dedmon
9:38.0,,,30-24,,D. Dedmon misses 2-pt shot from 2 ft
9:36.0,Defensive rebound by M. Kidd-Gilchrist,,30-24,,
9:27.0,B. Biyombo misses 2-pt shot from 6 ft,,30-24,,
9:26.0,Offensive rebound by C. Zeller,,30-24,,
9:24.0,Turnover by C. Zeller (bad pass; steal by L. Ridnour),,30-24,,
9:18.0,,,30-24,,W. Green misses 2-pt shot from 1 ft (block by B. Biyombo)
9:18.0,,,30-24,,Offensive rebound by Team
9:18.0,,,30-24,,V. Oladipo enters the game for W. Green
9:07.0,,,30-24,,A. Nicholson misses 2-pt shot from 11 ft
9:05.0,,,30-24,,Offensive rebound by D. Dedmon
8:51.0,,,30-24,,L. Ridnour misses 2-pt shot from 15 ft
8:50.0,,,30-24,,Offensive rebound by M. Harkless
8:34.0,,,30-26,2,A. Nicholson makes 2-pt shot from 19 ft (assist by V. Oladipo)
8:09.0,M. Kidd-Gilchrist misses 2-pt shot from 19 ft,,30-26,,
8:07.0,,,30-26,,Defensive rebound by A. Nicholson
7:52.0,,,30-26,,Shooting foul by C. Zeller (drawn by V. Oladipo)
7:52.0,Official timeout,,30-26,,
7:52.0,A. Jefferson enters the game for M. Kidd-Gilchrist,,30-26,,
7:52.0,G. Henderson enters the game for B. Biyombo,,30-26,,
7:52.0,,,30-27,1,V. Oladipo makes free throw 1 of 2
7:52.0,,,30-28,1,V. Oladipo makes free throw 2 of 2
7:40.0,A. Jefferson misses 2-pt shot from 6 ft (block by A. Nicholson),,30-28,,
7:38.0,,,30-28,,Defensive rebound by D. Dedmon
7:36.0,,,30-28,,Shooting foul by C. Zeller (drawn by M. Harkless)
7:36.0,,,30-28,,M. Harkless misses free throw 1 of 2
7:36.0,,,30-28,,Offensive rebound by Team
7:36.0,M. Williams enters the game for C. Zeller,,30-28,,
7:36.0,,,30-29,1,M. Harkless makes free throw 2 of 2
7:19.0,Turnover by G. Henderson (bad pass; steal by D. Dedmon),,30-29,,
6:57.0,,,30-31,2,A. Nicholson makes 2-pt shot from 10 ft (assist by L. Ridnour)
6:44.0,,,30-31,,Violation by D. Dedmon (kicked ball)
6:37.0,M. Williams makes 3-pt shot from 26 ft (assist by B. Roberts),3,33-31,,
6:19.0,,,33-31,,V. Oladipo misses 2-pt shot from 21 ft
6:18.0,Defensive rebound by A. Jefferson,,33-31,,
6:09.0,G. Henderson misses 2-pt shot from 18 ft,,33-31,,
6:07.0,,,33-31,,Defensive rebound by A. Nicholson
6:02.0,,,33-31,,Orlando full timeout
6:02.0,M. Williams enters the game for B. Roberts,,33-31,,
6:02.0,,,33-31,,N. Vucevic enters the game for D. Dedmon
6:02.0,,,33-31,,E. Payton enters the game for M. Harkless
6:02.0,,,33-31,,T. Harris enters the game for L. Ridnour
5:54.0,,,33-31,,Shooting foul by L. Stephenson (drawn by T. Harris)
5:54.0,,,33-32,1,T. Harris makes free throw 1 of 2
5:54.0,,,33-33,1,T. Harris makes free throw 2 of 2
5:34.0,G. Henderson misses 2-pt shot from 14 ft,,33-33,,
5:33.0,,,33-33,,Defensive rebound by T. Harris
5:12.0,,,33-33,,E. Payton misses 2-pt shot from 16 ft
5:11.0,Defensive rebound by M. Williams,,33-33,,
5:02.0,G. Henderson misses 2-pt shot from 15 ft,,33-33,,
5:00.0,,,33-33,,Defensive rebound by T. Harris
4:47.0,,,33-33,,E. Payton misses 2-pt shot from 9 ft
4:45.0,Defensive rebound by A. Jefferson,,33-33,,
4:27.0,L. Stephenson misses 3-pt shot from 25 ft,,33-33,,
4:26.0,,,33-33,,Defensive rebound by T. Harris
4:15.0,,,33-33,,A. Nicholson misses 2-pt shot from 18 ft
4:14.0,Defensive rebound by A. Jefferson,,33-33,,
4:03.0,M. Williams misses 3-pt shot from 24 ft,,33-33,,
4:01.0,,,33-33,,Defensive rebound by N. Vucevic
3:48.0,,,33-33,,Turnover by E. Payton (bad pass; steal by L. Stephenson)
3:44.0,L. Stephenson makes 2-pt shot from 1 ft,2,35-33,,
3:27.0,,,35-33,,T. Harris misses 2-pt shot from 15 ft
3:26.0,Defensive rebound by A. Jefferson,,35-33,,
3:10.0,M. Williams misses 2-pt shot from 10 ft (block by N. Vucevic),,35-33,,
3:08.0,,,35-33,,Defensive rebound by N. Vucevic
3:06.0,,,35-33,,V. Oladipo misses 2-pt shot from 2 ft
3:06.0,Defensive rebound by Team,,35-33,,
3:06.0,,,35-33,,C. Frye enters the game for E. Payton
3:06.0,,,35-33,,W. Green enters the game for A. Nicholson
3:06.0,M. Kidd-Gilchrist enters the game for M. Williams,,35-33,,
2:44.0,Shooting foul by W. Green (drawn by M. Kidd-Gilchrist),,35-33,,
2:44.0,Charlotte full timeout,,35-33,,
2:44.0,M. Kidd-Gilchrist makes free throw 1 of 2,1,36-33,,
2:44.0,M. Kidd-Gilchrist makes free throw 2 of 2,1,37-33,,
2:30.0,,,37-33,,N. Vucevic misses 2-pt shot from 18 ft
2:29.0,Defensive rebound by M. Kidd-Gilchrist,,37-33,,
2:25.0,Shooting foul by N. Vucevic (drawn by L. Stephenson),,37-33,,
2:25.0,L. Stephenson makes free throw 1 of 2,1,38-33,,
2:25.0,L. Stephenson makes free throw 2 of 2,1,39-33,,
2:14.0,,,39-35,2,V. Oladipo makes 2-pt shot from 13 ft
1:55.0,L. Stephenson misses 2-pt shot from 6 ft,,39-35,,
1:54.0,Offensive rebound by L. Stephenson,,39-35,,
1:45.0,L. Stephenson makes 2-pt shot from 16 ft,2,41-35,,
1:25.0,,,41-35,,Turnover by V. Oladipo (bad pass; steal by M. Kidd-Gilchrist)
1:19.0,L. Stephenson misses 2-pt shot from 2 ft,,41-35,,
1:18.0,,,41-35,,Defensive rebound by C. Frye
1:06.0,,,41-35,,Orlando full timeout
1:01.0,,,41-35,,N. Vucevic misses 2-pt shot from 13 ft
1:00.0,,,41-35,,Offensive rebound by T. Harris
0:59.0,,,41-37,2,T. Harris makes 2-pt shot from 1 ft
0:45.0,Turnover by L. Stephenson (bad pass; steal by C. Frye),,41-37,,
0:34.0,,,41-39,2,V. Oladipo makes 2-pt shot from 2 ft
0:26.0,,,41-39,,Personal foul by V. Oladipo (drawn by A. Jefferson)
0:26.0,A. Jefferson misses free throw 1 of 2,,41-39,,
0:26.0,Offensive rebound by Team,,41-39,,
0:26.0,A. Jefferson misses free throw 2 of 2,,41-39,,
0:25.0,,,41-39,,Defensive rebound by T. Harris
0:05.0,,,41-42,3,C. Frye makes 3-pt shot from 25 ft (assist by V. Oladipo)
0:00.0,G. Henderson makes 2-pt shot from 20 ft (assist by M. Williams),2,43-42,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,,,43-42,,Shooting foul by A. Jefferson (drawn by T. Harris)
11:46.0,,,43-43,1,T. Harris makes free throw 1 of 2
11:46.0,,,43-43,,T. Harris misses free throw 2 of 2
11:45.0,Defensive rebound by M. Kidd-Gilchrist,,43-43,,
11:33.0,,,43-43,,Personal foul by E. Payton (drawn by M. Williams)
11:26.0,Turnover by G. Henderson (bad pass; steal by T. Harris),,43-43,,
11:17.0,,,43-43,,Turnover by N. Vucevic (lost ball; steal by A. Jefferson)
11:10.0,G. Henderson makes 2-pt shot from 15 ft,2,45-43,,
10:46.0,,,45-43,,T. Harris misses 3-pt shot from 26 ft
10:45.0,Defensive rebound by M. Kidd-Gilchrist,,45-43,,
10:38.0,C. Zeller makes 2-pt shot at rim (assist by M. Williams),2,47-43,,
10:24.0,,,47-43,,Offensive foul by N. Vucevic
10:24.0,,,47-43,,Turnover by N. Vucevic (offensive foul)
10:13.0,A. Jefferson misses 2-pt shot from 17 ft,,47-43,,
10:12.0,,,47-43,,Defensive rebound by T. Harris
10:03.0,,,47-43,,V. Oladipo misses 2-pt shot from 12 ft (block by A. Jefferson)
10:01.0,Defensive rebound by C. Zeller,,47-43,,
9:58.0,C. Zeller makes 2-pt shot at rim (assist by M. Kidd-Gilchrist),2,49-43,,
9:57.0,,,49-43,,Orlando full timeout
9:40.0,,,49-43,,C. Frye misses 3-pt shot from 24 ft
9:39.0,,,49-43,,Offensive rebound by N. Vucevic
9:28.0,,,49-43,,E. Payton misses 2-pt shot from 4 ft (block by A. Jefferson)
9:26.0,Defensive rebound by M. Kidd-Gilchrist,,49-43,,
9:18.0,G. Henderson makes 3-pt shot from 23 ft (assist by M. Williams),3,52-43,,
8:55.0,,,52-45,2,V. Oladipo makes 2-pt shot from 5 ft
8:36.0,G. Henderson makes 2-pt shot from 20 ft (assist by C. Zeller),2,54-45,,
8:18.0,,,54-45,,T. Harris misses 2-pt shot from 15 ft
8:17.0,Defensive rebound by M. Kidd-Gilchrist,,54-45,,
8:10.0,,,54-45,,Personal foul by V. Oladipo (drawn by G. Henderson)
8:10.0,,,54-45,,W. Green enters the game for E. Payton
7:56.0,G. Henderson misses 3-pt shot from 25 ft,,54-45,,
7:55.0,,,54-45,,Defensive rebound by T. Harris
7:47.0,,,54-45,,T. Harris misses 2-pt shot from 2 ft
7:46.0,Defensive rebound by M. Kidd-Gilchrist,,54-45,,
