time,Phoenix,pts.away,score,pts.home,San Antonio
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Duncan vs. A. Len (M. Belinelli gains possession),,,,Jump ball: T. Duncan vs. A. Len (M. Belinelli gains possession)
11:45.0,Personal foul by E. Bledsoe (drawn by T. Splitter),,0-0,,
11:33.0,,,0-3,3,D. Green makes 3-pt shot from 26 ft
11:09.0,M. Morris misses 2-pt shot from 11 ft,,0-3,,
11:08.0,,,0-3,,Defensive rebound by T. Duncan
10:52.0,,,0-5,2,T. Splitter makes 2-pt shot from 4 ft (assist by T. Duncan)
10:37.0,M. Morris makes 2-pt shot from 18 ft (assist by G. Dragic),2,2-5,,
10:21.0,,,2-7,2,T. Duncan makes 2-pt shot from 1 ft (assist by T. Parker)
10:10.0,G. Dragic makes 2-pt shot from 15 ft,2,4-7,,
9:59.0,Personal block foul by M. Morris (drawn by T. Parker),,4-7,,
9:55.0,,,4-7,,D. Green misses 2-pt shot from 2 ft
9:54.0,,,4-7,,Offensive rebound by T. Splitter
9:54.0,,,4-7,,T. Splitter misses 2-pt shot at rim
9:53.0,,,4-7,,Offensive rebound by T. Splitter
9:53.0,,,4-7,,T. Splitter misses 2-pt shot at rim
9:49.0,Defensive rebound by M. Morris,,4-7,,
9:43.0,P. Tucker misses 3-pt shot from 24 ft,,4-7,,
9:39.0,Offensive rebound by M. Morris,,4-7,,
9:37.0,P. Tucker makes 2-pt shot from 11 ft,2,6-7,,
9:13.0,,,6-7,,T. Parker misses 2-pt shot from 19 ft
9:12.0,,,6-7,,Offensive rebound by T. Splitter
9:09.0,Personal block foul by G. Dragic (drawn by D. Green),,6-7,,
9:05.0,,,6-7,,M. Belinelli misses 3-pt shot from 25 ft
9:04.0,Defensive rebound by M. Morris,,6-7,,
8:47.0,M. Morris misses 2-pt shot from 10 ft,,6-7,,
8:46.0,,,6-7,,Defensive rebound by T. Splitter
8:40.0,,,6-7,,Turnover by T. Parker (offensive foul)
8:40.0,,,6-7,,Offensive foul by T. Parker
8:28.0,G. Dragic misses 2-pt shot from 13 ft,,6-7,,
8:27.0,,,6-7,,Defensive rebound by D. Green
8:12.0,,,6-9,2,M. Belinelli makes 2-pt shot from 13 ft
8:02.0,A. Len misses 2-pt shot from 2 ft,,6-9,,
8:00.0,,,6-9,,Defensive rebound by T. Splitter
7:54.0,,,6-9,,D. Green misses 3-pt shot from 23 ft
7:52.0,Defensive rebound by E. Bledsoe,,6-9,,
7:38.0,M. Morris misses 2-pt shot from 4 ft,,6-9,,
7:37.0,,,6-9,,Defensive rebound by T. Splitter
7:20.0,,,6-11,2,D. Green makes 2-pt shot from 1 ft (assist by T. Duncan)
6:58.0,A. Len misses 2-pt shot from 16 ft,,6-11,,
6:56.0,,,6-11,,Defensive rebound by M. Belinelli
6:47.0,,,6-11,,T. Parker misses 2-pt shot from 20 ft
6:46.0,Defensive rebound by A. Len,,6-11,,
6:37.0,M. Morris misses 2-pt shot from 8 ft,,6-11,,
6:37.0,Offensive rebound by A. Len,,6-11,,
6:37.0,A. Len makes 2-pt shot from 1 ft,2,8-11,,
6:37.0,,,8-11,,San Antonio full timeout
6:37.0,,,8-11,,P. Mills enters the game for D. Green
6:37.0,,,8-11,,C. Joseph enters the game for T. Parker
6:18.0,,,8-11,,T. Duncan misses 2-pt shot from 6 ft (block by A. Len)
6:16.0,Defensive rebound by P. Tucker,,8-11,,
6:09.0,E. Bledsoe misses 2-pt shot from 19 ft,,8-11,,
6:08.0,,,8-11,,Defensive rebound by M. Belinelli
5:56.0,,,8-11,,M. Belinelli misses 3-pt shot from 25 ft
5:55.0,Defensive rebound by M. Morris,,8-11,,
5:45.0,E. Bledsoe makes 2-pt shot from 18 ft,2,10-11,,
5:29.0,,,10-11,,T. Duncan misses 2-pt shot from 5 ft
5:27.0,Defensive rebound by A. Len,,10-11,,
5:14.0,M. Morris misses 2-pt shot from 12 ft,,10-11,,
5:13.0,,,10-11,,Defensive rebound by P. Mills
5:05.0,,,10-11,,T. Splitter misses 2-pt shot from 3 ft (block by G. Dragic)
5:04.0,,,10-11,,Offensive rebound by Team
5:04.0,,,10-11,,M. Ginobili enters the game for M. Belinelli
5:04.0,,,10-11,,B. Diaw enters the game for T. Splitter
5:04.0,G. Green enters the game for P. Tucker,,10-11,,
5:04.0,I. Thomas enters the game for E. Bledsoe,,10-11,,
5:04.0,M. Morris enters the game for M. Morris,,10-11,,
5:00.0,,,10-13,2,T. Duncan makes 2-pt shot from 2 ft (assist by B. Diaw)
4:39.0,G. Dragic misses 2-pt shot from 8 ft,,10-13,,
4:36.0,,,10-13,,Defensive rebound by T. Duncan
4:25.0,,,10-15,2,T. Duncan makes 2-pt shot from 2 ft (assist by B. Diaw)
4:09.0,G. Green misses 2-pt shot from 15 ft,,10-15,,
4:08.0,,,10-15,,Defensive rebound by C. Joseph
3:56.0,,,10-17,2,B. Diaw makes 2-pt shot from 4 ft (assist by M. Ginobili)
3:41.0,M. Morris makes 2-pt shot from 17 ft (assist by I. Thomas),2,12-17,,
3:21.0,,,12-19,2,T. Duncan makes 2-pt shot from 2 ft (assist by B. Diaw)
3:06.0,I. Thomas misses 2-pt shot from 7 ft,,12-19,,
3:05.0,Offensive rebound by I. Thomas,,12-19,,
