time,Boston,pts.away,score,pts.home,Miami
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Andersen vs. T. Zeller (M. Smart gains possession),,,,Jump ball: C. Andersen vs. T. Zeller (M. Smart gains possession)
11:43.0,A. Bradley makes 2-pt shot from 16 ft (assist by M. Smart),2,2-0,,
11:24.0,,,2-2,2,C. Andersen makes 2-pt shot from 2 ft (assist by L. Deng)
11:24.0,,,2-2,,Shooting foul by J. Sullinger (drawn by C. Andersen)
11:24.0,,,2-2,,C. Andersen misses free throw 1 of 1
11:23.0,Defensive rebound by J. Green,,2-2,,
11:14.0,Turnover by M. Smart (bad pass; steal by L. Deng),,2-2,,
11:09.0,,,2-4,2,L. Deng makes 2-pt shot from 1 ft
11:00.0,A. Bradley misses 2-pt shot from 3 ft,,2-4,,
10:56.0,,,2-4,,Defensive rebound by S. Williams
10:47.0,,,2-4,,M. Chalmers misses 2-pt shot at rim
10:46.0,Defensive rebound by J. Sullinger,,2-4,,
10:37.0,Turnover by J. Sullinger (bad pass; steal by S. Williams),,2-4,,
10:28.0,,,2-7,3,S. Williams makes 3-pt shot from 24 ft (assist by M. Chalmers)
10:15.0,Turnover by J. Green (bad pass),,2-7,,
9:54.0,,,2-7,,C. Andersen misses 2-pt shot from 13 ft
9:53.0,Defensive rebound by M. Smart,,2-7,,
9:45.0,Turnover by A. Bradley (lost ball; steal by C. Andersen),,2-7,,
9:40.0,,,2-9,2,N. Cole makes 2-pt shot at rim
9:19.0,J. Sullinger misses 2-pt shot from 15 ft,,2-9,,
9:18.0,,,2-9,,Defensive rebound by C. Andersen
9:04.0,,,2-9,,S. Williams misses 3-pt shot from 24 ft
9:03.0,Defensive rebound by T. Zeller,,2-9,,
8:41.0,J. Green makes 3-pt shot from 24 ft (assist by A. Bradley),3,5-9,,
8:26.0,,,5-12,3,S. Williams makes 3-pt shot from 23 ft (assist by M. Chalmers)
7:58.0,J. Sullinger misses 2-pt shot from 23 ft,,5-12,,
