time,San Antonio,pts.away,score,pts.home,LA Clippers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Duncan vs. D. Jordan (C. Paul gains possession),,,,Jump ball: T. Duncan vs. D. Jordan (C. Paul gains possession)
11:48.0,,,0-2,2,C. Paul makes 2-pt shot from 14 ft
11:30.0,T. Duncan makes 2-pt shot from 18 ft (assist by T. Parker),2,2-2,,
11:00.0,,,2-2,,M. Barnes misses 3-pt shot from 25 ft
10:58.0,Defensive rebound by T. Duncan,,2-2,,
10:45.0,A. Baynes makes 2-pt shot from 3 ft (assist by T. Duncan),2,4-2,,
10:33.0,,,4-4,2,J. Redick makes 2-pt shot from 19 ft (assist by C. Paul)
10:22.0,K. Leonard misses 3-pt shot from 27 ft,,4-4,,
10:21.0,,,4-4,,Defensive rebound by S. Hawes
10:14.0,,,4-7,3,C. Paul makes 3-pt shot from 25 ft
9:51.0,T. Duncan makes 2-pt shot from 20 ft (assist by T. Parker),2,6-7,,
9:44.0,,,6-7,,Turnover by J. Redick (lost ball)
9:24.0,T. Duncan makes 3-pt shot from 24 ft (assist by T. Parker),3,9-7,,
9:19.0,Personal foul by T. Duncan (drawn by D. Jordan),,9-7,,
9:12.0,,,9-7,,J. Redick misses 3-pt shot from 24 ft (block by A. Baynes)
9:11.0,Defensive rebound by D. Green,,9-7,,
9:03.0,T. Parker makes 2-pt shot from 16 ft,2,11-7,,
8:52.0,,,11-7,,Offensive charge foul by S. Hawes
8:52.0,,,11-7,,Turnover by S. Hawes (offensive foul)
8:36.0,K. Leonard misses 2-pt shot from 17 ft,,11-7,,
8:35.0,,,11-7,,Defensive rebound by J. Redick
8:28.0,,,11-9,2,C. Paul makes 2-pt shot from 3 ft
8:28.0,,,11-9,,Shooting foul by A. Baynes (drawn by C. Paul)
8:28.0,,,11-10,1,C. Paul makes free throw 1 of 1
8:08.0,Turnover by K. Leonard (bad pass; steal by D. Jordan),,11-10,,
8:05.0,,,11-12,2,J. Redick makes 2-pt shot from 1 ft (assist by C. Paul)
7:55.0,K. Leonard misses 2-pt shot from 14 ft,,11-12,,
7:54.0,,,11-12,,Defensive rebound by D. Jordan
7:38.0,,,11-12,,M. Barnes misses 2-pt shot at rim
7:35.0,Defensive rebound by T. Parker,,11-12,,
7:35.0,K. Leonard misses 2-pt shot from 2 ft (block by D. Jordan),,11-12,,
7:35.0,,,11-12,,Defensive rebound by Team
7:19.0,,,11-12,,S. Hawes misses 2-pt shot from 19 ft
7:18.0,Defensive rebound by A. Baynes,,11-12,,
7:11.0,T. Parker misses 2-pt shot from 10 ft,,11-12,,
7:09.0,,,11-12,,Defensive rebound by D. Jordan
7:06.0,,,11-14,2,J. Redick makes 2-pt shot from 1 ft (assist by C. Paul)
7:05.0,San Antonio full timeout,,11-14,,
6:48.0,K. Leonard misses 3-pt shot from 26 ft,,11-14,,
6:47.0,Offensive rebound by A. Baynes,,11-14,,
6:47.0,A. Baynes misses 2-pt shot from 2 ft,,11-14,,
6:43.0,,,11-14,,Defensive rebound by D. Jordan
6:38.0,,,11-14,,C. Paul misses 2-pt shot from 3 ft
6:37.0,Defensive rebound by D. Green,,11-14,,
6:26.0,T. Parker makes 2-pt shot from 21 ft,2,13-14,,
6:09.0,,,13-14,,Turnover by C. Paul (bad pass; steal by T. Parker)
5:50.0,T. Duncan misses 2-pt shot from 21 ft,,13-14,,
5:49.0,,,13-14,,Defensive rebound by S. Hawes
5:34.0,,,13-14,,Turnover by M. Barnes (lost ball; steal by K. Leonard)
5:33.0,,,13-14,,Personal take foul by M. Barnes (drawn by K. Leonard)
5:33.0,M. Ginobili enters the game for D. Green,,13-14,,
5:21.0,A. Baynes makes 2-pt shot from 2 ft (assist by K. Leonard),2,15-14,,
5:04.0,,,15-16,2,J. Redick makes 2-pt shot from 12 ft (assist by S. Hawes)
4:54.0,K. Leonard misses 3-pt shot from 25 ft,,15-16,,
4:53.0,,,15-16,,Defensive rebound by D. Jordan
4:41.0,,,15-16,,S. Hawes misses 2-pt shot from 3 ft (block by T. Duncan)
4:39.0,,,15-16,,Offensive rebound by D. Jordan
4:38.0,,,15-16,,D. Jordan misses 2-pt shot from 5 ft
4:35.0,Defensive rebound by A. Baynes,,15-16,,
4:22.0,T. Parker misses 2-pt shot from 15 ft,,15-16,,
4:21.0,,,15-16,,Defensive rebound by S. Hawes
4:07.0,,,15-18,2,D. Jordan makes 2-pt shot at rim (assist by C. Paul)
3:43.0,A. Baynes makes 2-pt shot from 3 ft (assist by T. Duncan),2,17-18,,
3:29.0,,,17-18,,J. Redick misses 3-pt shot from 27 ft
3:28.0,Defensive rebound by T. Duncan,,17-18,,
3:16.0,M. Ginobili misses 3-pt shot from 26 ft,,17-18,,
3:15.0,Offensive rebound by Team,,17-18,,
3:15.0,,,17-18,,J. Crawford enters the game for J. Redick
3:15.0,T. Splitter enters the game for A. Baynes,,17-18,,
3:05.0,T. Duncan makes 2-pt shot from 21 ft (assist by T. Parker),2,19-18,,
3:04.0,,,19-18,,LA Clippers full timeout
3:04.0,B. Diaw enters the game for T. Duncan,,19-18,,
2:46.0,,,19-18,,Turnover by C. Paul (traveling)
2:32.0,Turnover by K. Leonard (bad pass; steal by C. Paul),,19-18,,
