time,Orlando,pts.away,score,pts.home,Milwaukee
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Dedmon vs. Z. Pachulia (N. Vucevic gains possession),,,,Jump ball: D. Dedmon vs. Z. Pachulia (N. Vucevic gains possession)
11:41.0,E. Payton misses 2-pt shot at rim,,0-0,,
11:41.0,,,0-0,,Defensive rebound by Team
11:25.0,,,0-2,2,K. Middleton makes 2-pt shot from 16 ft (assist by Z. Pachulia)
11:03.0,T. Harris makes 2-pt shot from 5 ft,2,2-2,,
10:51.0,,,2-4,2,K. Middleton makes 2-pt shot from 17 ft (assist by G. Antetokounmpo)
10:35.0,N. Vucevic makes 2-pt shot from 17 ft (assist by V. Oladipo),2,4-4,,
10:13.0,,,4-4,,M. Carter-Williams misses 2-pt shot from 1 ft
10:11.0,Defensive rebound by N. Vucevic,,4-4,,
10:05.0,N. Vucevic misses 2-pt shot from 6 ft,,4-4,,
10:04.0,,,4-4,,Defensive rebound by G. Antetokounmpo
9:59.0,,,4-4,,Shooting foul by T. Harris (drawn by G. Antetokounmpo)
9:59.0,,,4-5,1,G. Antetokounmpo makes free throw 1 of 2
9:59.0,,,4-5,,G. Antetokounmpo misses free throw 2 of 2
9:59.0,Defensive rebound by N. Vucevic,,4-5,,
9:42.0,Turnover by D. Dedmon (lost ball; steal by K. Middleton),,4-5,,
9:36.0,,,4-7,2,M. Carter-Williams makes 2-pt shot from 14 ft
9:23.0,N. Vucevic makes 2-pt shot from 13 ft (assist by V. Oladipo),2,6-7,,
9:05.0,,,6-7,,G. Antetokounmpo misses 2-pt shot from 2 ft
9:04.0,Defensive rebound by N. Vucevic,,6-7,,
8:53.0,Turnover by V. Oladipo (lost ball; steal by K. Middleton),,6-7,,
8:53.0,,,6-7,,Turnover by G. Antetokounmpo (traveling)
8:41.0,N. Vucevic misses 2-pt shot from 17 ft,,6-7,,
8:40.0,,,6-7,,Defensive rebound by M. Carter-Williams
8:28.0,,,6-7,,E. Ilyasova misses 2-pt shot from 1 ft (block by D. Dedmon)
8:24.0,Defensive rebound by T. Harris,,6-7,,
8:19.0,,,6-7,,Personal block foul by E. Ilyasova (drawn by T. Harris)
8:13.0,Offensive foul by N. Vucevic,,6-7,,
8:13.0,Turnover by N. Vucevic (offensive foul),,6-7,,
8:03.0,,,6-7,,M. Carter-Williams misses 2-pt shot from 16 ft
8:01.0,Defensive rebound by N. Vucevic,,6-7,,
7:44.0,E. Payton makes 2-pt shot from 9 ft (assist by T. Harris),2,8-7,,
7:31.0,,,8-7,,Z. Pachulia misses 2-pt shot from 15 ft
7:30.0,Defensive rebound by N. Vucevic,,8-7,,
7:24.0,E. Payton misses 2-pt shot from 2 ft,,8-7,,
7:23.0,Offensive rebound by D. Dedmon,,8-7,,
7:21.0,D. Dedmon misses 2-pt shot from 3 ft,,8-7,,
7:19.0,Offensive rebound by N. Vucevic,,8-7,,
7:18.0,N. Vucevic misses 2-pt shot at rim,,8-7,,
7:17.0,,,8-7,,Defensive rebound by Z. Pachulia
7:08.0,,,8-7,,G. Antetokounmpo misses 2-pt shot at rim (block by D. Dedmon)
7:08.0,,,8-7,,Offensive rebound by Team
6:54.0,,,8-7,,Turnover by Team (shot clock)
6:35.0,D. Dedmon misses 2-pt shot from 5 ft,,8-7,,
6:34.0,,,8-7,,Defensive rebound by G. Antetokounmpo
6:26.0,Shooting block foul by D. Dedmon (drawn by Z. Pachulia),,8-7,,
6:26.0,,,8-8,1,Z. Pachulia makes free throw 1 of 2
6:26.0,,,8-8,,O. Mayo enters the game for K. Middleton
6:26.0,,,8-9,1,Z. Pachulia makes free throw 2 of 2
6:12.0,V. Oladipo misses 2-pt shot from 4 ft,,8-9,,
6:11.0,,,8-9,,Defensive rebound by E. Ilyasova
6:04.0,,,8-11,2,E. Ilyasova makes 2-pt shot at rim (assist by O. Mayo)
6:02.0,Orlando full timeout,,8-11,,
6:02.0,,,8-11,,M. Plumlee enters the game for Z. Pachulia
6:02.0,A. Gordon enters the game for N. Vucevic,,8-11,,
5:42.0,T. Harris makes 3-pt shot from 25 ft (assist by A. Gordon),3,11-11,,
5:29.0,,,11-11,,Turnover by O. Mayo (bad pass; steal by E. Payton)
5:25.0,T. Harris makes 2-pt shot at rim (assist by E. Payton),2,13-11,,
5:10.0,,,13-13,2,E. Ilyasova makes 2-pt shot from 20 ft (assist by M. Carter-Williams)
4:45.0,V. Oladipo misses 2-pt shot from 18 ft,,13-13,,
4:43.0,,,13-13,,Defensive rebound by G. Antetokounmpo
4:24.0,,,13-16,3,G. Antetokounmpo makes 3-pt shot from 26 ft (assist by E. Ilyasova)
4:09.0,Offensive foul by T. Harris,,13-16,,
4:09.0,Turnover by T. Harris (offensive foul),,13-16,,
3:59.0,,,13-18,2,M. Carter-Williams makes 2-pt shot at rim
3:53.0,Shooting foul by O. Mayo (drawn by V. Oladipo),,13-18,,
3:53.0,V. Oladipo makes free throw 1 of 2,1,14-18,,
3:53.0,V. Oladipo makes free throw 2 of 2,1,15-18,,
3:40.0,,,15-18,,E. Ilyasova misses 2-pt shot from 21 ft
3:39.0,Defensive rebound by D. Dedmon,,15-18,,
3:31.0,A. Gordon makes 3-pt shot from 22 ft (assist by E. Payton),3,18-18,,
3:14.0,,,18-18,,M. Carter-Williams misses 2-pt shot from 5 ft
3:13.0,Defensive rebound by A. Gordon,,18-18,,
3:03.0,D. Dedmon makes 2-pt shot at rim (assist by V. Oladipo),2,20-18,,
2:43.0,,,20-18,,G. Antetokounmpo misses 2-pt shot from 1 ft
2:41.0,,,20-18,,Offensive rebound by E. Ilyasova
2:41.0,,,20-20,2,E. Ilyasova makes 2-pt shot at rim
2:33.0,A. Gordon misses 3-pt shot from 24 ft,,20-20,,
2:32.0,,,20-20,,Defensive rebound by M. Plumlee
2:23.0,,,20-22,2,M. Plumlee makes 2-pt shot at rim (assist by G. Antetokounmpo)
2:07.0,E. Payton makes 2-pt shot at rim (assist by V. Oladipo),2,22-22,,
2:05.0,,,22-22,,Milwaukee full timeout
2:05.0,,,22-22,,J. Dudley enters the game for G. Antetokounmpo
2:05.0,,,22-22,,T. Ennis enters the game for E. Ilyasova
2:05.0,,,22-22,,K. Middleton enters the game for M. Carter-Williams
1:53.0,,,22-24,2,O. Mayo makes 2-pt shot from 19 ft (assist by T. Ennis)
1:40.0,,,22-24,,Personal foul by J. Dudley (drawn by E. Payton)
1:33.0,Shooting foul by M. Plumlee (drawn by E. Payton),,22-24,,
1:33.0,E. Payton makes free throw 1 of 2,1,23-24,,
1:33.0,E. Payton makes free throw 2 of 2,1,24-24,,
1:22.0,,,24-27,3,T. Ennis makes 3-pt shot from 25 ft (assist by K. Middleton)
1:02.0,V. Oladipo makes 3-pt shot from 26 ft,3,27-27,,
0:51.0,,,27-29,2,J. Dudley makes 2-pt shot from 18 ft (assist by O. Mayo)
