time,Memphis,pts.away,score,pts.home,Dallas
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Chandler vs. M. Gasol,,,,Jump ball: T. Chandler vs. M. Gasol
11:46.0,M. Conley misses 2-pt shot from 13 ft,,0-0,,
11:45.0,,,0-0,,Defensive rebound by D. Nowitzki
11:35.0,Personal foul by M. Conley (drawn by D. Nowitzki),,0-0,,
11:26.0,,,0-0,,D. Nowitzki misses 2-pt shot from 22 ft
11:25.0,Defensive rebound by M. Gasol,,0-0,,
11:15.0,Z. Randolph misses 2-pt shot from 4 ft,,0-0,,
11:14.0,Offensive rebound by T. Allen,,0-0,,
11:11.0,T. Allen makes 2-pt shot at rim,2,2-0,,
11:00.0,,,2-2,2,T. Chandler makes 2-pt shot at rim
10:41.0,Z. Randolph misses 2-pt shot from 14 ft,,2-2,,
10:40.0,,,2-2,,Defensive rebound by R. Rondo
10:28.0,,,2-2,,D. Nowitzki misses 2-pt shot from 20 ft
10:27.0,Defensive rebound by M. Gasol,,2-2,,
10:19.0,M. Gasol misses 2-pt shot from 1 ft,,2-2,,
10:17.0,,,2-2,,Defensive rebound by T. Chandler
10:12.0,,,2-5,3,D. Nowitzki makes 3-pt shot from 24 ft (assist by R. Rondo)
9:51.0,M. Gasol makes 2-pt shot from 18 ft (assist by M. Conley),2,4-5,,
9:32.0,,,4-5,,Shooting foul by M. Gasol (drawn by C. Parsons)
9:32.0,,,4-5,,C. Parsons misses free throw 1 of 2
9:32.0,,,4-5,,Offensive rebound by Team
9:32.0,,,4-6,1,C. Parsons makes free throw 2 of 2
9:13.0,Shooting foul by D. Nowitzki (drawn by M. Gasol),,4-6,,
9:13.0,M. Gasol makes free throw 1 of 2,1,5-6,,
9:13.0,M. Gasol makes free throw 2 of 2,1,6-6,,
8:58.0,,,6-6,,M. Ellis misses 2-pt shot from 14 ft
8:57.0,Defensive rebound by M. Gasol,,6-6,,
8:39.0,C. Lee misses 2-pt shot from 2 ft,,6-6,,
8:36.0,,,6-6,,Defensive rebound by C. Parsons
