time,Indiana,pts.away,score,pts.home,Washington
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:37.0,S. Hill misses 2-pt shot from 5 ft,,0-0,,
12:00.0,Jump ball: M. Gortat vs. R. Hibbert (G. Hill gains possession),,,,Jump ball: M. Gortat vs. R. Hibbert (G. Hill gains possession)
11:36.0,,,0-0,,Defensive rebound by M. Gortat
11:23.0,,,0-0,,J. Wall misses 2-pt shot from 20 ft
11:22.0,Defensive rebound by S. Hill,,0-0,,
11:08.0,R. Hibbert misses 2-pt shot from 9 ft,,0-0,,
11:07.0,,,0-0,,Defensive rebound by P. Pierce
10:58.0,Personal foul by R. Hibbert (drawn by M. Gortat),,0-0,,
10:45.0,,,0-0,,M. Gortat misses 2-pt shot from 6 ft
10:44.0,Defensive rebound by D. West,,0-0,,
10:39.0,S. Hill makes 2-pt shot at rim,2,2-0,,
10:27.0,,,2-0,,P. Pierce misses 2-pt shot from 14 ft
10:25.0,Defensive rebound by D. West,,2-0,,
10:14.0,G. Hill makes 2-pt shot from 1 ft (assist by D. West),2,4-0,,
9:52.0,,,4-0,,Turnover by N. Hilario (lost ball; steal by D. West)
9:46.0,S. Hill misses 2-pt shot from 19 ft,,4-0,,
9:45.0,,,4-0,,Defensive rebound by M. Gortat
9:36.0,,,4-0,,J. Wall misses 2-pt shot from 17 ft
9:35.0,Defensive rebound by S. Hill,,4-0,,
9:26.0,D. West misses 2-pt shot from 22 ft,,4-0,,
9:25.0,,,4-0,,Defensive rebound by P. Pierce
9:14.0,,,4-0,,N. Hilario misses 2-pt shot from 15 ft
9:13.0,Defensive rebound by R. Hibbert,,4-0,,
8:58.0,Shooting foul by N. Hilario (drawn by G. Hill),,4-0,,
8:58.0,G. Hill makes free throw 1 of 2,1,5-0,,
8:58.0,G. Hill makes free throw 2 of 2,1,6-0,,
8:36.0,,,6-2,2,B. Beal makes 2-pt shot from 19 ft
8:19.0,R. Hibbert misses 2-pt shot from 15 ft,,6-2,,
8:18.0,,,6-2,,Defensive rebound by N. Hilario
8:12.0,,,6-2,,B. Beal misses 3-pt shot from 25 ft
8:10.0,Defensive rebound by G. Hill,,6-2,,
8:00.0,D. West misses 2-pt shot from 7 ft,,6-2,,
7:59.0,,,6-2,,Defensive rebound by M. Gortat
7:48.0,,,6-5,3,B. Beal makes 3-pt shot from 23 ft (assist by J. Wall)
7:31.0,C. Miles misses 3-pt shot from 27 ft,,6-5,,
7:30.0,,,6-5,,Defensive rebound by P. Pierce
7:24.0,,,6-7,2,M. Gortat makes 2-pt shot at rim (assist by J. Wall)
7:00.0,Turnover by G. Hill (step out of bounds),,6-7,,
6:50.0,,,6-10,3,P. Pierce makes 3-pt shot from 22 ft (assist by B. Beal)
6:50.0,Indiana full timeout,,6-10,,
6:27.0,D. West misses 2-pt shot from 17 ft,,6-10,,
6:26.0,,,6-10,,Defensive rebound by M. Gortat
6:07.0,,,6-10,,N. Hilario misses 2-pt shot from 17 ft
6:06.0,Defensive rebound by D. West,,6-10,,
5:45.0,C. Miles makes 3-pt shot from 26 ft (assist by G. Hill),3,9-10,,
5:23.0,,,9-10,,B. Beal misses 2-pt shot from 18 ft
5:22.0,Defensive rebound by S. Hill,,9-10,,
5:17.0,,,9-10,,Personal foul by J. Wall (drawn by G. Hill)
5:17.0,,,9-10,,M. Webster enters the game for P. Pierce
5:07.0,Turnover by S. Hill (bad pass; steal by J. Wall),,9-10,,
5:03.0,,,9-12,2,J. Wall makes 2-pt shot at rim
4:52.0,G. Hill misses 3-pt shot from 28 ft,,9-12,,
4:51.0,,,9-12,,Defensive rebound by M. Webster
4:34.0,,,9-14,2,N. Hilario makes 2-pt shot from 1 ft
4:12.0,C. Miles misses 3-pt shot from 27 ft,,9-14,,
4:11.0,,,9-14,,Defensive rebound by M. Gortat
4:01.0,,,9-14,,M. Webster misses 3-pt shot from 26 ft
4:00.0,Defensive rebound by D. West,,9-14,,
3:53.0,D. Rudez enters the game for S. Hill,,9-14,,
3:53.0,I. Mahinmi enters the game for R. Hibbert,,9-14,,
3:53.0,,,9-14,,R. Sessions enters the game for J. Wall
3:50.0,Shooting foul by R. Sessions (drawn by G. Hill),,9-14,,
3:50.0,G. Hill makes free throw 1 of 3,1,10-14,,
3:50.0,G. Hill makes free throw 2 of 3,1,11-14,,
3:50.0,G. Hill makes free throw 3 of 3,1,12-14,,
3:30.0,,,12-16,2,M. Gortat makes 2-pt shot from 15 ft (assist by R. Sessions)
3:10.0,,,12-16,,D. Gooden enters the game for N. Hilario
3:10.0,C. Watson enters the game for G. Hill,,12-16,,
3:05.0,C. Miles makes 2-pt shot from 19 ft (assist by D. Rudez),2,14-16,,
2:47.0,,,14-16,,B. Beal misses 2-pt shot from 20 ft
2:46.0,,,14-16,,Offensive rebound by M. Gortat
2:41.0,,,14-16,,D. Gooden misses 2-pt shot from 8 ft
2:40.0,Defensive rebound by D. West,,14-16,,
2:34.0,,,14-16,,Personal foul by D. Gooden (drawn by D. West)
2:34.0,,,14-16,,Washington full timeout
2:19.0,Turnover by C. Watson (bad pass; steal by B. Beal),,14-16,,
2:00.0,,,14-18,2,M. Gortat makes 2-pt shot from 7 ft (assist by B. Beal)
1:43.0,Turnover by D. Rudez (bad pass),,14-18,,
1:43.0,L. Scola enters the game for D. West,,14-18,,
1:27.0,Personal block foul by L. Scola (drawn by B. Beal),,14-18,,
