time,Indiana,pts.away,score,pts.home,Orlando
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Hibbert vs. N. Vucevic (C. Watson gains possession),,,,Jump ball: R. Hibbert vs. N. Vucevic (C. Watson gains possession)
11:38.0,R. Stuckey makes 2-pt shot from 18 ft (assist by S. Hill),2,2-0,,
11:22.0,,,2-2,2,N. Vucevic makes 2-pt shot from 5 ft (assist by E. Payton)
10:59.0,R. Stuckey misses 2-pt shot from 19 ft,,2-2,,
10:58.0,,,2-2,,Defensive rebound by N. Vucevic
10:50.0,,,2-2,,Shooting foul by R. Stuckey (drawn by A. Gordon)
10:50.0,,,2-3,1,A. Gordon makes free throw 1 of 2
10:50.0,,,2-4,1,A. Gordon makes free throw 2 of 2
10:29.0,R. Hibbert misses 2-pt shot from 18 ft,,2-4,,
10:28.0,,,2-4,,Defensive rebound by A. Gordon
10:20.0,,,2-6,2,N. Vucevic makes 2-pt shot from 12 ft (assist by E. Payton)
9:55.0,D. West misses 2-pt shot from 13 ft,,2-6,,
9:53.0,Offensive rebound by R. Hibbert,,2-6,,
9:43.0,R. Hibbert misses 2-pt shot from 11 ft,,2-6,,
9:42.0,,,2-6,,Defensive rebound by N. Vucevic
9:33.0,,,2-8,2,N. Vucevic makes 2-pt shot at rim (assist by E. Payton)
9:12.0,D. West makes 2-pt shot from 16 ft (assist by R. Stuckey),2,4-8,,
8:56.0,,,4-8,,Turnover by E. Payton (bad pass; steal by R. Stuckey)
8:51.0,R. Stuckey misses 2-pt shot at rim (block by A. Gordon),,4-8,,
8:48.0,,,4-8,,Defensive rebound by E. Payton
8:43.0,,,4-8,,C. Frye misses 3-pt shot from 25 ft
8:40.0,Defensive rebound by R. Hibbert,,4-8,,
8:32.0,D. West makes 2-pt shot from 17 ft (assist by C. Watson),2,6-8,,
8:18.0,,,6-8,,Shooting foul by R. Hibbert (drawn by E. Payton)
8:18.0,,,6-8,,E. Payton misses free throw 1 of 2
8:18.0,,,6-8,,Offensive rebound by Team
8:18.0,,,6-9,1,E. Payton makes free throw 2 of 2
8:06.0,,,6-9,,Personal foul by V. Oladipo (drawn by R. Stuckey)
7:58.0,C. Watson misses 3-pt shot from 23 ft,,6-9,,
7:57.0,,,6-9,,Defensive rebound by C. Frye
7:51.0,,,6-11,2,A. Gordon makes 2-pt shot at rim (assist by V. Oladipo)
7:37.0,R. Stuckey makes 3-pt shot from 23 ft (assist by D. West),3,9-11,,
7:20.0,,,9-13,2,N. Vucevic makes 2-pt shot from 2 ft
7:00.0,S. Hill misses 3-pt shot from 26 ft,,9-13,,
6:59.0,,,9-13,,Defensive rebound by E. Payton
6:51.0,,,9-16,3,V. Oladipo makes 3-pt shot from 26 ft (assist by E. Payton)
6:50.0,Indiana full timeout,,9-16,,
6:37.0,R. Hibbert makes 2-pt shot from 10 ft,2,11-16,,
6:21.0,,,11-16,,E. Payton misses 2-pt shot from 5 ft
6:19.0,Defensive rebound by D. West,,11-16,,
6:14.0,,,11-16,,Violation by N. Vucevic (kicked ball)
6:00.0,Turnover by R. Stuckey (bad pass),,11-16,,
5:48.0,,,11-16,,V. Oladipo misses 3-pt shot from 23 ft
5:45.0,Defensive rebound by R. Hibbert,,11-16,,
5:24.0,R. Hibbert misses 2-pt shot from 8 ft,,11-16,,
5:22.0,Offensive rebound by R. Hibbert,,11-16,,
5:15.0,D. West makes 2-pt shot at rim (assist by R. Stuckey),2,13-16,,
5:04.0,,,13-16,,N. Vucevic misses 2-pt shot from 10 ft
5:03.0,Defensive rebound by S. Hill,,13-16,,
4:53.0,D. West makes 2-pt shot from 10 ft (assist by S. Hill),2,15-16,,
4:35.0,,,15-16,,V. Oladipo misses 2-pt shot from 8 ft
4:35.0,Defensive rebound by Team,,15-16,,
4:35.0,,,15-16,,Personal foul by N. Vucevic (drawn by R. Stuckey)
4:35.0,G. Hill enters the game for R. Hibbert,,15-16,,
4:35.0,I. Mahinmi enters the game for C. Watson,,15-16,,
4:35.0,,,15-16,,D. Marble enters the game for A. Gordon
4:21.0,S. Hill makes 2-pt shot at rim,2,17-16,,
4:10.0,,,17-16,,C. Frye misses 2-pt shot from 12 ft
4:09.0,Defensive rebound by S. Hill,,17-16,,
4:03.0,S. Hill misses 2-pt shot from 2 ft (block by D. Marble),,17-16,,
4:03.0,,,17-16,,Defensive rebound by V. Oladipo
3:58.0,,,17-16,,V. Oladipo misses 2-pt shot at rim (block by G. Hill)
3:55.0,Defensive rebound by I. Mahinmi,,17-16,,
3:42.0,G. Hill misses 3-pt shot from 24 ft,,17-16,,
3:41.0,Offensive rebound by I. Mahinmi,,17-16,,
3:39.0,G. Hill makes 2-pt shot at rim (assist by I. Mahinmi),2,19-16,,
3:39.0,,,19-16,,Orlando full timeout
3:39.0,,,19-16,,E. Fournier enters the game for C. Frye
3:39.0,,,19-16,,T. Harris enters the game for V. Oladipo
3:39.0,D. Rudez enters the game for R. Stuckey,,19-16,,
3:23.0,,,19-18,2,N. Vucevic makes 2-pt shot from 17 ft
3:10.0,,,19-18,,Personal foul by E. Fournier (drawn by G. Hill)
3:10.0,,,19-18,,K. O'Quinn enters the game for N. Vucevic
3:10.0,,,19-18,,W. Green enters the game for E. Payton
2:58.0,Turnover by S. Hill (traveling),,19-18,,
2:40.0,Personal foul by S. Hill (drawn by T. Harris),,19-18,,
2:40.0,,,19-19,1,T. Harris makes free throw 1 of 2
2:40.0,,,19-20,1,T. Harris makes free throw 2 of 2
2:24.0,D. West misses 2-pt shot from 17 ft,,19-20,,
2:23.0,,,19-20,,Defensive rebound by T. Harris
2:14.0,,,19-20,,Turnover by T. Harris (bad pass; steal by D. Rudez)
2:02.0,D. West misses 2-pt shot from 18 ft,,19-20,,
2:01.0,Offensive rebound by I. Mahinmi,,19-20,,
2:00.0,I. Mahinmi makes 2-pt shot at rim,2,21-20,,
1:50.0,,,21-22,2,E. Fournier makes 2-pt shot from 14 ft (assist by W. Green)
1:28.0,G. Hill makes 3-pt shot from 24 ft (assist by D. West),3,24-22,,
1:06.0,,,24-24,2,K. O'Quinn makes 2-pt shot from 10 ft (assist by W. Green)
0:50.0,Turnover by I. Mahinmi (bad pass; steal by E. Fournier),,24-24,,
0:46.0,Personal foul by G. Hill (drawn by T. Harris),,24-24,,
0:46.0,L. Scola enters the game for D. West,,24-24,,
0:41.0,,,24-27,3,T. Harris makes 3-pt shot from 26 ft (assist by W. Green)
0:33.0,G. Hill misses 2-pt shot from 8 ft,,24-27,,
0:32.0,,,24-27,,Defensive rebound by T. Harris
0:27.0,,,24-27,,Turnover by W. Green (bad pass; steal by G. Hill)
0:09.0,,,24-27,,Personal take foul by W. Green (drawn by G. Hill)
0:08.0,,,24-27,,Personal foul by T. Harris (drawn by L. Scola)
0:08.0,L. Scola misses free throw 1 of 2,,24-27,,
0:08.0,Offensive rebound by Team,,24-27,,
0:08.0,R. Stuckey enters the game for D. Rudez,,24-27,,
0:08.0,L. Scola misses free throw 2 of 2,,24-27,,
