time,Toronto,pts.away,score,pts.home,Brooklyn
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Lopez vs. J. Valanciunas (T. Young gains possession),,,,Jump ball: B. Lopez vs. J. Valanciunas (T. Young gains possession)
11:39.0,,,0-2,2,B. Lopez makes 2-pt shot from 2 ft
11:18.0,Turnover by J. Valanciunas (traveling),,0-2,,
11:00.0,,,0-4,2,J. Johnson makes 2-pt shot from 14 ft
10:37.0,G. Vasquez misses 3-pt shot from 22 ft,,0-4,,
10:36.0,,,0-4,,Defensive rebound by M. Brown
10:26.0,,,0-4,,B. Lopez misses 2-pt shot from 19 ft
10:25.0,Defensive rebound by G. Vasquez,,0-4,,
10:10.0,Turnover by T. Ross (lost ball; steal by M. Brown),,0-4,,
9:58.0,,,0-4,,M. Brown misses 2-pt shot from 5 ft
9:57.0,Defensive rebound by J. Valanciunas,,0-4,,
9:50.0,,,0-4,,Personal foul by M. Brown (drawn by D. DeRozan)
9:42.0,D. DeRozan makes 2-pt shot from 21 ft (assist by G. Vasquez),2,2-4,,
9:29.0,,,2-4,,Turnover by D. Williams (bad pass; steal by D. DeRozan)
9:25.0,T. Ross makes 2-pt shot at rim (assist by D. DeRozan),2,4-4,,
9:08.0,,,4-4,,Shooting foul by T. Ross (drawn by D. Williams)
9:08.0,,,4-5,1,D. Williams makes free throw 1 of 2
9:08.0,,,4-6,1,D. Williams makes free throw 2 of 2
8:42.0,G. Vasquez makes 2-pt shot from 8 ft (assist by D. DeRozan),2,6-6,,
8:26.0,,,6-6,,J. Johnson misses 2-pt shot from 7 ft
8:25.0,,,6-6,,Offensive rebound by B. Lopez
8:24.0,,,6-6,,B. Lopez misses 2-pt shot from 1 ft
8:23.0,Defensive rebound by J. Valanciunas,,6-6,,
8:13.0,Turnover by T. Ross (bad pass; steal by T. Young),,6-6,,
8:10.0,,,6-6,,Shooting foul by T. Ross (drawn by T. Young)
8:10.0,,,6-7,1,T. Young makes free throw 1 of 2
8:10.0,L. Williams enters the game for T. Ross,,6-7,,
8:10.0,,,6-8,1,T. Young makes free throw 2 of 2
7:58.0,Shooting foul by T. Young (drawn by A. Johnson),,6-8,,
7:58.0,A. Johnson makes 2-pt shot from 8 ft,2,8-8,,
7:58.0,A. Johnson makes free throw 1 of 1,1,9-8,,
7:47.0,,,9-8,,B. Lopez misses 2-pt shot from 9 ft
7:46.0,,,9-8,,Offensive rebound by B. Lopez
7:44.0,,,9-10,2,B. Lopez makes 2-pt shot from 2 ft
7:23.0,A. Johnson makes 2-pt shot from 10 ft (assist by L. Williams),2,11-10,,
7:11.0,,,11-10,,T. Young misses 3-pt shot from 24 ft
7:10.0,Defensive rebound by D. DeRozan,,11-10,,
7:00.0,G. Vasquez misses 3-pt shot from 24 ft,,11-10,,
6:59.0,Offensive rebound by A. Johnson,,11-10,,
6:54.0,Turnover by D. DeRozan (bad pass),,11-10,,
6:47.0,,,11-12,2,D. Williams makes 2-pt shot from 8 ft
6:32.0,G. Vasquez misses 2-pt shot from 5 ft,,11-12,,
6:31.0,,,11-12,,Defensive rebound by B. Lopez
6:09.0,,,11-14,2,T. Young makes 2-pt shot from 1 ft (assist by D. Williams)
6:09.0,,,11-14,,Shooting foul by A. Johnson (drawn by T. Young)
6:09.0,,,11-15,1,T. Young makes free throw 1 of 1
5:55.0,J. Valanciunas makes 2-pt shot from 4 ft (assist by D. DeRozan),2,13-15,,
5:45.0,,,13-15,,D. Williams misses 2-pt shot from 7 ft
5:44.0,,,13-15,,Offensive rebound by M. Brown
5:41.0,,,13-15,,M. Brown misses 2-pt shot from 2 ft
5:40.0,,,13-15,,Offensive rebound by T. Young
5:39.0,,,13-17,2,T. Young makes 2-pt shot from 1 ft
5:32.0,Toronto full timeout,,13-17,,
5:22.0,D. DeRozan makes 2-pt shot from 17 ft,2,15-17,,
5:01.0,,,15-19,2,B. Lopez makes 2-pt shot from 7 ft (assist by D. Williams)
4:48.0,A. Johnson makes 2-pt shot from 4 ft (assist by D. DeRozan),2,17-19,,
4:40.0,,,17-21,2,T. Young makes 2-pt shot from 5 ft (assist by D. Williams)
4:27.0,,,17-21,,Personal block foul by M. Brown (drawn by L. Williams)
4:12.0,A. Johnson misses 3-pt shot from 23 ft,,17-21,,
4:11.0,,,17-21,,Defensive rebound by B. Lopez
4:00.0,,,17-23,2,J. Johnson makes 2-pt shot from 8 ft
3:50.0,L. Williams misses 2-pt shot from 2 ft,,17-23,,
3:49.0,,,17-23,,Defensive rebound by B. Lopez
3:42.0,,,17-25,2,D. Williams makes 2-pt shot from 2 ft
3:34.0,Toronto full timeout,,17-25,,
3:34.0,J. Johnson enters the game for G. Vasquez,,17-25,,
3:34.0,P. Patterson enters the game for J. Valanciunas,,17-25,,
3:34.0,,,17-25,,A. Anderson enters the game for M. Brown
3:27.0,D. DeRozan misses 2-pt shot from 5 ft,,17-25,,
3:26.0,Offensive rebound by A. Johnson,,17-25,,
3:25.0,A. Johnson makes 2-pt shot from 1 ft,2,19-25,,
3:15.0,,,19-25,,D. Williams misses 2-pt shot from 2 ft
3:14.0,,,19-25,,Offensive rebound by B. Lopez
3:13.0,,,19-27,2,B. Lopez makes 2-pt shot from 1 ft
2:58.0,Offensive foul by A. Johnson,,19-27,,
2:58.0,Turnover by A. Johnson (offensive foul),,19-27,,
2:58.0,,,19-27,,Brooklyn full timeout
2:58.0,T. Hansbrough enters the game for A. Johnson,,19-27,,
2:58.0,,,19-27,,E. Clark enters the game for T. Young
2:40.0,,,19-27,,J. Johnson misses 2-pt shot from 17 ft
2:39.0,Defensive rebound by L. Williams,,19-27,,
2:26.0,L. Williams makes 3-pt shot from 23 ft (assist by D. DeRozan),3,22-27,,
2:07.0,,,22-30,3,D. Williams makes 3-pt shot from 24 ft
1:41.0,T. Hansbrough misses 2-pt shot from 3 ft,,22-30,,
1:40.0,,,22-30,,Defensive rebound by E. Clark
1:27.0,,,22-32,2,D. Williams makes 2-pt shot from 2 ft
1:03.0,P. Patterson makes 2-pt shot from 15 ft,2,24-32,,
0:50.0,,,24-34,2,A. Anderson makes 2-pt shot from 2 ft (assist by J. Johnson)
0:28.0,D. DeRozan misses 2-pt shot from 15 ft,,24-34,,
0:26.0,Offensive rebound by T. Hansbrough,,24-34,,
0:25.0,T. Hansbrough misses 2-pt shot from 1 ft,,24-34,,
0:24.0,Offensive rebound by D. DeRozan,,24-34,,
0:10.0,,,24-34,,Personal foul by A. Anderson (drawn by D. DeRozan)
0:10.0,,,24-34,,M. Plumlee enters the game for B. Lopez
0:01.0,P. Patterson makes 3-pt shot from 23 ft (assist by D. DeRozan),3,27-34,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,T. Ross makes 2-pt shot from 16 ft (assist by P. Patterson),2,29-34,,
11:25.0,,,29-34,,E. Clark misses 3-pt shot from 24 ft
11:24.0,Defensive rebound by J. Johnson,,29-34,,
11:11.0,L. Williams misses 2-pt shot from 6 ft,,29-34,,
11:10.0,,,29-34,,Defensive rebound by M. Plumlee
10:59.0,,,29-34,,J. Jack misses 2-pt shot from 12 ft
10:58.0,Defensive rebound by J. Johnson,,29-34,,
10:51.0,T. Ross misses 3-pt shot from 23 ft,,29-34,,
10:50.0,,,29-34,,Defensive rebound by Team
10:50.0,Loose ball foul by T. Hansbrough (drawn by M. Plumlee),,29-34,,
10:43.0,,,29-34,,Turnover by J. Jack (bad pass; steal by L. Williams)
10:30.0,J. Johnson misses 2-pt shot from 2 ft,,29-34,,
10:29.0,,,29-34,,Defensive rebound by B. Bogdanovic
10:14.0,,,29-36,2,A. Anderson makes 2-pt shot from 18 ft
10:01.0,L. Williams makes 2-pt shot from 7 ft,2,31-36,,
9:47.0,,,31-36,,E. Clark misses 2-pt shot from 1 ft
9:46.0,Defensive rebound by P. Patterson,,31-36,,
9:38.0,Turnover by P. Patterson (bad pass; steal by E. Clark),,31-36,,
9:32.0,Personal foul by T. Ross (drawn by J. Jack),,31-36,,
9:32.0,G. Vasquez enters the game for T. Ross,,31-36,,
9:20.0,,,31-36,,M. Plumlee misses 2-pt shot from 2 ft
9:19.0,Defensive rebound by T. Hansbrough,,31-36,,
9:10.0,T. Hansbrough makes 2-pt shot at rim (assist by P. Patterson),2,33-36,,
8:49.0,,,33-38,2,M. Plumlee makes 2-pt shot at rim (assist by A. Anderson)
8:23.0,L. Williams misses 2-pt shot from 8 ft,,33-38,,
8:22.0,Offensive rebound by T. Hansbrough,,33-38,,
8:19.0,L. Williams misses 3-pt shot from 23 ft,,33-38,,
8:18.0,Offensive rebound by P. Patterson,,33-38,,
8:17.0,Shooting foul by M. Plumlee (drawn by P. Patterson),,33-38,,
8:17.0,Official timeout,,33-38,,
8:17.0,,,33-38,,T. Young enters the game for E. Clark
8:17.0,D. DeRozan enters the game for L. Williams,,33-38,,
8:17.0,P. Patterson makes free throw 1 of 2,1,34-38,,
8:17.0,P. Patterson misses free throw 2 of 2,,34-38,,
8:16.0,,,34-38,,Defensive rebound by M. Plumlee
8:03.0,,,34-40,2,B. Bogdanovic makes 2-pt shot from 5 ft (assist by J. Jack)
7:45.0,,,34-40,,Personal foul by M. Plumlee (drawn by P. Patterson)
7:45.0,,,34-40,,B. Lopez enters the game for M. Plumlee
7:45.0,J. Valanciunas enters the game for T. Hansbrough,,34-40,,
7:36.0,D. DeRozan makes 2-pt shot from 14 ft,2,36-40,,
7:36.0,Shooting foul by A. Anderson (drawn by D. DeRozan),,36-40,,
7:36.0,D. DeRozan makes free throw 1 of 1,1,37-40,,
7:15.0,,,37-40,,J. Jack misses 2-pt shot from 10 ft
7:14.0,Defensive rebound by J. Valanciunas,,37-40,,
7:04.0,J. Johnson misses 2-pt shot from 15 ft,,37-40,,
7:03.0,,,37-40,,Defensive rebound by J. Jack
6:44.0,,,37-40,,Offensive foul by B. Lopez
6:44.0,,,37-40,,Turnover by B. Lopez (offensive foul)
6:44.0,,,37-40,,J. Johnson enters the game for A. Anderson
6:29.0,G. Vasquez makes 3-pt shot from 24 ft (assist by D. DeRozan),3,40-40,,
6:18.0,,,40-40,,B. Bogdanovic misses 2-pt shot from 5 ft
6:17.0,,,40-40,,Offensive rebound by B. Bogdanovic
