time,Denver,pts.away,score,pts.home,Orlando
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Faried vs. N. Vucevic (E. Payton gains possession),,,,Jump ball: K. Faried vs. N. Vucevic (E. Payton gains possession)
11:44.0,,,0-2,2,N. Vucevic makes 2-pt shot from 15 ft (assist by A. Nicholson)
11:20.0,W. Chandler misses 2-pt shot from 17 ft (block by V. Oladipo),,0-2,,
11:17.0,,,0-2,,Defensive rebound by V. Oladipo
11:11.0,,,0-2,,A. Nicholson misses 2-pt shot from 13 ft
11:09.0,Defensive rebound by J. Nurkic,,0-2,,
10:59.0,T. Lawson misses 2-pt shot from 16 ft,,0-2,,
10:57.0,,,0-2,,Defensive rebound by M. Harkless
10:43.0,,,0-2,,Shooting foul by J. Nurkic (drawn by A. Nicholson)
10:43.0,,,0-2,,A. Nicholson misses free throw 1 of 2
10:43.0,,,0-2,,Offensive rebound by Team
10:43.0,,,0-3,1,A. Nicholson makes free throw 2 of 2
10:26.0,,,0-3,,Personal foul by E. Payton (drawn by W. Chandler)
10:21.0,K. Faried misses 2-pt shot from 10 ft,,0-3,,
10:19.0,,,0-3,,Defensive rebound by N. Vucevic
10:08.0,,,0-3,,E. Payton misses 2-pt shot from 4 ft (block by J. Nurkic)
10:06.0,Defensive rebound by D. Gallinari,,0-3,,
10:04.0,,,0-3,,Personal foul by V. Oladipo (drawn by K. Faried)
10:04.0,K. Faried misses free throw 1 of 2,,0-3,,
10:04.0,Offensive rebound by Team,,0-3,,
10:04.0,K. Faried makes free throw 2 of 2,1,1-3,,
9:50.0,,,1-3,,V. Oladipo misses 2-pt shot from 20 ft
9:48.0,Defensive rebound by K. Faried,,1-3,,
9:39.0,,,1-3,,Personal foul by M. Harkless (drawn by D. Gallinari)
9:34.0,D. Gallinari makes 3-pt shot from 23 ft (assist by T. Lawson),3,4-3,,
9:16.0,,,4-5,2,A. Nicholson makes 2-pt shot from 20 ft (assist by V. Oladipo)
9:03.0,J. Nurkic makes 2-pt shot from 1 ft (assist by D. Gallinari),2,6-5,,
8:54.0,,,6-5,,N. Vucevic misses 2-pt shot from 19 ft
8:52.0,Defensive rebound by T. Lawson,,6-5,,
8:46.0,W. Chandler misses 2-pt shot from 17 ft,,6-5,,
8:44.0,,,6-5,,Defensive rebound by A. Nicholson
8:40.0,,,6-5,,Turnover by E. Payton (bad pass)
8:23.0,Turnover by T. Lawson (bad pass; steal by E. Payton),,6-5,,
8:19.0,,,6-7,2,E. Payton makes 2-pt shot at rim (assist by V. Oladipo)
8:04.0,K. Faried misses 2-pt shot from 14 ft,,6-7,,
8:03.0,,,6-7,,Defensive rebound by A. Nicholson
7:45.0,,,6-9,2,N. Vucevic makes 2-pt shot from 17 ft
7:30.0,K. Faried misses 2-pt shot from 2 ft (block by M. Harkless),,6-9,,
7:27.0,,,6-9,,Defensive rebound by V. Oladipo
7:17.0,,,6-11,2,A. Nicholson makes 2-pt shot from 22 ft (assist by V. Oladipo)
7:00.0,K. Faried misses 2-pt shot from 7 ft,,6-11,,
6:59.0,,,6-11,,Defensive rebound by N. Vucevic
6:56.0,,,6-11,,Shooting foul by D. Gallinari (drawn by V. Oladipo)
6:56.0,,,6-12,1,V. Oladipo makes free throw 1 of 2
6:56.0,,,6-13,1,V. Oladipo makes free throw 2 of 2
6:39.0,W. Chandler makes 2-pt shot at rim (assist by K. Faried),2,8-13,,
6:28.0,,,8-13,,N. Vucevic misses 2-pt shot from 16 ft
6:24.0,Defensive rebound by T. Lawson,,8-13,,
6:12.0,D. Gallinari makes 3-pt shot from 25 ft (assist by W. Chandler),3,11-13,,
5:56.0,,,11-15,2,A. Nicholson makes 2-pt shot from 1 ft (assist by V. Oladipo)
5:46.0,D. Gallinari misses 3-pt shot from 25 ft,,11-15,,
5:43.0,,,11-15,,Defensive rebound by N. Vucevic
5:39.0,,,11-17,2,M. Harkless makes 2-pt shot at rim (assist by E. Payton)
5:38.0,Denver full timeout,,11-17,,
5:25.0,D. Gallinari makes 2-pt shot from 2 ft,2,13-17,,
5:25.0,Shooting foul by A. Nicholson (drawn by D. Gallinari),,13-17,,
5:25.0,D. Gallinari makes free throw 1 of 1,1,14-17,,
5:09.0,,,14-17,,M. Harkless misses 3-pt shot from 24 ft
5:08.0,Defensive rebound by W. Chandler,,14-17,,
4:57.0,K. Faried misses 2-pt shot from 5 ft,,14-17,,
4:56.0,Offensive rebound by W. Chandler,,14-17,,
