time,Brooklyn,pts.away,score,pts.home,Boston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Olynyk vs. M. Plumlee (K. Garnett gains possession),,,,Jump ball: K. Olynyk vs. M. Plumlee (K. Garnett gains possession)
11:46.0,,,0-0,,Personal foul by J. Green (drawn by J. Johnson)
11:33.0,K. Garnett misses 2-pt shot from 14 ft,,0-0,,
11:32.0,,,0-0,,Defensive rebound by J. Sullinger
11:24.0,,,0-0,,Turnover by A. Bradley (lost ball)
11:10.0,Shooting foul by A. Bradley (drawn by D. Williams),,0-0,,
11:10.0,D. Williams makes free throw 1 of 2,1,1-0,,
11:10.0,D. Williams makes free throw 2 of 2,1,2-0,,
10:56.0,,,2-0,,K. Olynyk misses 3-pt shot from 24 ft
10:54.0,,,2-0,,Offensive rebound by J. Green
10:52.0,,,2-2,2,J. Green makes 2-pt shot from 1 ft
10:40.0,B. Bogdanovic misses 2-pt shot from 4 ft (block by R. Rondo),,2-2,,
10:39.0,Offensive rebound by Team,,2-2,,
10:37.0,Offensive foul by K. Garnett,,2-2,,
10:37.0,Turnover by K. Garnett (offensive foul),,2-2,,
10:23.0,,,2-5,3,A. Bradley makes 3-pt shot from 25 ft (assist by R. Rondo)
10:11.0,Offensive charge foul by J. Johnson,,2-5,,
10:11.0,Turnover by J. Johnson (offensive foul),,2-5,,
10:01.0,,,2-5,,A. Bradley misses 3-pt shot from 25 ft
9:59.0,Defensive rebound by M. Plumlee,,2-5,,
9:54.0,,,2-5,,Personal foul by K. Olynyk (drawn by K. Garnett)
9:44.0,B. Bogdanovic makes 2-pt shot from 1 ft (assist by K. Garnett),2,4-5,,
9:28.0,,,4-5,,J. Sullinger misses 2-pt shot from 4 ft
9:27.0,,,4-5,,Offensive rebound by K. Olynyk
9:26.0,Violation by M. Plumlee (def goaltending),,4-5,,
9:26.0,,,4-7,2,J. Sullinger makes 2-pt shot from 1 ft (assist by K. Olynyk)
9:06.0,J. Johnson makes 2-pt shot from 15 ft,2,6-7,,
8:44.0,,,6-7,,K. Olynyk misses 2-pt shot at rim (block by M. Plumlee)
8:43.0,,,6-7,,Offensive rebound by J. Green
8:41.0,,,6-10,3,J. Green makes 3-pt shot from 25 ft
8:32.0,K. Garnett makes 2-pt shot from 20 ft (assist by D. Williams),2,8-10,,
8:23.0,Personal foul by B. Bogdanovic (drawn by R. Rondo),,8-10,,
8:19.0,Personal foul by M. Plumlee (drawn by J. Green),,8-10,,
8:14.0,,,8-12,2,A. Bradley makes 2-pt shot at rim (assist by R. Rondo)
8:07.0,,,8-12,,Personal foul by A. Bradley (drawn by D. Williams)
7:56.0,J. Johnson misses 2-pt shot from 6 ft,,8-12,,
7:55.0,,,8-12,,Defensive rebound by J. Green
7:42.0,,,8-15,3,J. Sullinger makes 3-pt shot from 25 ft (assist by R. Rondo)
7:22.0,D. Williams misses 2-pt shot from 16 ft,,8-15,,
7:20.0,,,8-15,,Defensive rebound by J. Green
7:12.0,,,8-15,,A. Bradley misses 2-pt shot from 17 ft
7:11.0,Defensive rebound by M. Plumlee,,8-15,,
7:03.0,D. Williams makes 2-pt shot from 7 ft,2,10-15,,
6:47.0,,,10-17,2,K. Olynyk makes 2-pt shot from 1 ft (assist by R. Rondo)
6:23.0,,,10-17,,M. Smart enters the game for R. Rondo
6:23.0,,,10-17,,E. Turner enters the game for A. Bradley
6:19.0,K. Garnett makes 2-pt shot from 6 ft (assist by B. Bogdanovic),2,12-17,,
6:05.0,,,12-17,,Shooting foul by M. Plumlee (drawn by K. Olynyk)
6:05.0,,,12-18,1,K. Olynyk makes free throw 1 of 2
6:05.0,A. Kirilenko enters the game for K. Garnett,,12-18,,
6:05.0,M. Teletovic enters the game for M. Plumlee,,12-18,,
6:05.0,,,12-19,1,K. Olynyk makes free throw 2 of 2
5:47.0,A. Kirilenko misses 2-pt shot from 2 ft,,12-19,,
5:46.0,,,12-19,,Defensive rebound by J. Sullinger
5:39.0,,,12-21,2,K. Olynyk makes 2-pt shot from 17 ft (assist by E. Turner)
5:20.0,M. Teletovic misses 2-pt shot from 6 ft,,12-21,,
5:19.0,Offensive rebound by Team,,12-21,,
5:19.0,,,12-21,,Loose ball foul by J. Green (drawn by A. Kirilenko)
5:19.0,,,12-21,,Boston full timeout
5:19.0,,,12-21,,M. Thornton enters the game for J. Green
5:19.0,,,12-21,,B. Bass enters the game for J. Sullinger
5:19.0,A. Kirilenko makes free throw 1 of 2,1,13-21,,
5:19.0,A. Kirilenko misses free throw 2 of 2,,13-21,,
5:18.0,,,13-21,,Defensive rebound by K. Olynyk
5:03.0,Personal foul by M. Teletovic (drawn by E. Turner),,13-21,,
4:56.0,,,13-24,3,K. Olynyk makes 3-pt shot from 25 ft (assist by B. Bass)
4:41.0,M. Teletovic misses 3-pt shot from 25 ft,,13-24,,
4:39.0,Offensive rebound by A. Kirilenko,,13-24,,
4:28.0,D. Williams misses 3-pt shot from 25 ft,,13-24,,
4:28.0,,,13-24,,Defensive rebound by E. Turner
4:21.0,,,13-24,,K. Olynyk misses 2-pt shot at rim
4:18.0,,,13-24,,Offensive rebound by K. Olynyk
4:17.0,,,13-24,,K. Olynyk misses 2-pt shot from 1 ft
4:16.0,Defensive rebound by M. Teletovic,,13-24,,
4:10.0,B. Bogdanovic makes 2-pt shot from 1 ft (assist by M. Teletovic),2,15-24,,
3:54.0,,,15-24,,Turnover by K. Olynyk (bad pass; steal by J. Johnson)
3:42.0,,,15-24,,Personal block foul by K. Olynyk (drawn by D. Williams)
3:42.0,D. Williams makes free throw 1 of 2,1,16-24,,
3:42.0,,,16-24,,J. Sullinger enters the game for K. Olynyk
3:42.0,D. Williams makes free throw 2 of 2,1,17-24,,
3:21.0,,,17-26,2,M. Thornton makes 2-pt shot from 1 ft
3:15.0,Brooklyn full timeout,,17-26,,
3:15.0,A. Anderson enters the game for B. Bogdanovic,,17-26,,
3:15.0,J. Jack enters the game for D. Williams,,17-26,,
3:02.0,J. Johnson makes 2-pt shot from 9 ft,2,19-26,,
2:43.0,,,19-28,2,B. Bass makes 2-pt shot at rim (assist by M. Smart)
2:25.0,,,19-28,,R. Rondo enters the game for M. Smart
2:19.0,A. Kirilenko misses 2-pt shot at rim (block by J. Sullinger),,19-28,,
2:18.0,Offensive rebound by A. Kirilenko,,19-28,,
2:18.0,Turnover by Team (shot clock),,19-28,,
2:11.0,,,19-28,,Offensive foul by J. Sullinger
2:11.0,,,19-28,,Turnover by J. Sullinger (offensive foul)
1:55.0,J. Jack misses 2-pt shot from 15 ft,,19-28,,
1:54.0,,,19-28,,Defensive rebound by R. Rondo
1:43.0,,,19-30,2,E. Turner makes 2-pt shot from 19 ft (assist by R. Rondo)
1:31.0,A. Anderson makes 2-pt shot at rim,2,21-30,,
1:19.0,,,21-30,,E. Turner misses 3-pt shot from 25 ft
1:18.0,Defensive rebound by M. Teletovic,,21-30,,
1:07.0,J. Johnson makes 2-pt shot at rim,2,23-30,,
0:44.0,,,23-32,2,B. Bass makes 2-pt shot from 16 ft
0:24.0,J. Johnson misses 2-pt shot from 4 ft,,23-32,,
0:23.0,,,23-32,,Defensive rebound by B. Bass
0:23.0,,,23-32,,Turnover by B. Bass (bad pass; steal by A. Kirilenko)
0:21.0,A. Kirilenko misses 2-pt shot from 1 ft,,23-32,,
0:20.0,,,23-32,,Defensive rebound by Team
0:20.0,J. Jordan enters the game for A. Kirilenko,,23-32,,
0:20.0,,,23-32,,T. Zeller enters the game for J. Sullinger
0:20.0,,,23-32,,A. Bradley enters the game for M. Thornton
0:02.0,,,23-32,,T. Zeller misses 2-pt shot at rim
0:01.0,Defensive rebound by J. Jordan,,23-32,,
0:01.0,A. Anderson misses 3-pt shot from 40 ft (block by E. Turner),,23-32,,
0:00.0,,,23-32,,Defensive rebound by E. Turner
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,,,23-32,,B. Bass misses 2-pt shot from 20 ft
11:47.0,Defensive rebound by Team,,23-32,,
11:47.0,,,23-32,,Loose ball foul by T. Zeller (drawn by K. Garnett)
11:34.0,Turnover by J. Jack (bad pass; steal by J. Green),,23-32,,
11:24.0,,,23-34,2,B. Bass makes 2-pt shot at rim (assist by T. Zeller)
11:08.0,Turnover by K. Garnett (bad pass; steal by B. Bass),,23-34,,
11:02.0,,,23-34,,Turnover by R. Rondo (traveling)
10:51.0,M. Teletovic makes 3-pt shot from 25 ft (assist by D. Williams),3,26-34,,
10:37.0,,,26-34,,Turnover by B. Bass (traveling)
10:29.0,M. Teletovic misses 3-pt shot from 25 ft,,26-34,,
10:27.0,,,26-34,,Defensive rebound by R. Rondo
10:18.0,,,26-36,2,T. Zeller makes 2-pt shot at rim (assist by R. Rondo)
10:10.0,,,26-36,,M. Smart enters the game for B. Bass
10:08.0,J. Jack misses 2-pt shot from 9 ft,,26-36,,
10:07.0,,,26-36,,Defensive rebound by T. Zeller
9:49.0,,,26-38,2,T. Zeller makes 2-pt shot at rim (assist by R. Rondo)
9:40.0,Brooklyn full timeout,,26-38,,
9:39.0,Turnover by A. Anderson (bad pass; steal by M. Smart),,26-38,,
9:35.0,,,26-40,2,M. Smart makes 2-pt shot at rim
9:10.0,K. Garnett misses 2-pt shot from 11 ft,,26-40,,
9:08.0,Offensive rebound by M. Teletovic,,26-40,,
9:08.0,M. Teletovic makes 2-pt shot at rim,2,28-40,,
8:52.0,,,28-40,,J. Green misses 2-pt shot from 18 ft
8:51.0,Defensive rebound by M. Teletovic,,28-40,,
8:42.0,Turnover by M. Teletovic (lost ball; steal by M. Smart),,28-40,,
8:37.0,,,28-40,,A. Bradley misses 2-pt shot from 2 ft (block by D. Williams)
8:35.0,Defensive rebound by D. Williams,,28-40,,
8:23.0,M. Teletovic makes 3-pt shot from 22 ft (assist by D. Williams),3,31-40,,
8:05.0,,,31-42,2,A. Bradley makes 2-pt shot from 6 ft (assist by J. Green)
7:43.0,J. Jack makes 2-pt shot from 10 ft (assist by D. Williams),2,33-42,,
7:27.0,,,33-44,2,R. Rondo makes 2-pt shot from 6 ft
7:18.0,D. Williams misses 2-pt shot from 18 ft,,33-44,,
7:16.0,,,33-44,,Defensive rebound by Team
7:16.0,J. Johnson enters the game for M. Teletovic,,33-44,,
7:01.0,,,33-46,2,T. Zeller makes 2-pt shot from 5 ft (assist by R. Rondo)
6:46.0,J. Johnson misses 2-pt shot from 8 ft,,33-46,,
6:44.0,Offensive rebound by J. Johnson,,33-46,,
6:43.0,J. Johnson misses 2-pt shot from 2 ft,,33-46,,
6:41.0,,,33-46,,Defensive rebound by R. Rondo
6:34.0,,,33-46,,R. Rondo misses 3-pt shot from 24 ft
6:33.0,Defensive rebound by K. Garnett,,33-46,,
6:26.0,J. Johnson misses 3-pt shot from 23 ft,,33-46,,
6:25.0,,,33-46,,Defensive rebound by R. Rondo
6:18.0,,,33-46,,Boston full timeout
6:18.0,,,33-46,,M. Thornton enters the game for J. Green
6:18.0,,,33-46,,E. Turner enters the game for A. Bradley
6:18.0,,,33-46,,J. Sullinger enters the game for R. Rondo
6:18.0,,,33-46,,K. Olynyk enters the game for T. Zeller
6:18.0,B. Bogdanovic enters the game for A. Anderson,,33-46,,
6:04.0,,,33-46,,M. Smart misses 3-pt shot from 24 ft
6:02.0,Defensive rebound by K. Garnett,,33-46,,
5:52.0,Shooting foul by K. Olynyk (drawn by J. Johnson),,33-46,,
5:52.0,J. Johnson misses free throw 1 of 2,,33-46,,
5:52.0,Offensive rebound by Team,,33-46,,
