time,Toronto,pts.away,score,pts.home,LA Lakers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Hill vs. J. Valanciunas (A. Johnson gains possession),,,,Jump ball: J. Hill vs. J. Valanciunas (A. Johnson gains possession)
11:43.0,G. Vasquez makes 2-pt shot from 4 ft,2,2-0,,
11:20.0,,,2-2,2,J. Hill makes 2-pt shot from 4 ft
11:01.0,K. Lowry makes 2-pt shot from 20 ft (assist by J. Valanciunas),2,4-2,,
10:46.0,,,4-2,,C. Boozer misses 2-pt shot from 2 ft
10:44.0,Defensive rebound by K. Lowry,,4-2,,
10:36.0,A. Johnson makes 2-pt shot from 3 ft (assist by K. Lowry),2,6-2,,
10:15.0,,,6-2,,J. Lin misses 2-pt shot from 13 ft
10:13.0,,,6-2,,Offensive rebound by J. Hill
10:09.0,,,6-4,2,J. Hill makes 2-pt shot from 5 ft
9:53.0,K. Lowry misses 3-pt shot from 23 ft,,6-4,,
9:51.0,,,6-4,,Defensive rebound by J. Hill
9:42.0,,,6-6,2,C. Boozer makes 2-pt shot from 14 ft (assist by K. Bryant)
9:19.0,J. Valanciunas makes 2-pt shot from 3 ft (assist by G. Vasquez),2,8-6,,
9:03.0,,,8-6,,J. Lin misses 3-pt shot from 24 ft
9:02.0,Defensive rebound by K. Lowry,,8-6,,
8:44.0,Offensive foul by A. Johnson,,8-6,,
8:44.0,Turnover by A. Johnson (offensive foul),,8-6,,
8:30.0,,,8-8,2,W. Johnson makes 2-pt shot from 20 ft (assist by C. Boozer)
8:13.0,G. Vasquez misses 3-pt shot from 23 ft,,8-8,,
8:10.0,,,8-8,,Defensive rebound by K. Bryant
8:02.0,,,8-8,,Turnover by K. Bryant (bad pass; steal by K. Lowry)
7:56.0,K. Lowry misses 2-pt shot from 3 ft (block by J. Hill),,8-8,,
7:55.0,Offensive rebound by Team,,8-8,,
7:47.0,T. Ross misses 2-pt shot from 20 ft,,8-8,,
7:44.0,,,8-8,,Defensive rebound by C. Boozer
7:38.0,,,8-8,,W. Johnson misses 3-pt shot from 24 ft
7:36.0,,,8-8,,Offensive rebound by C. Boozer
7:32.0,,,8-10,2,C. Boozer makes 2-pt shot from 13 ft
7:21.0,A. Johnson misses 2-pt shot from 18 ft,,8-10,,
7:16.0,,,8-10,,Defensive rebound by J. Lin
7:11.0,,,8-10,,J. Lin misses 2-pt shot from 3 ft
7:08.0,Defensive rebound by A. Johnson,,8-10,,
7:00.0,G. Vasquez makes 2-pt shot from 16 ft,2,10-10,,
6:46.0,,,10-12,2,C. Boozer makes 2-pt shot from 17 ft (assist by K. Bryant)
6:22.0,A. Johnson misses 2-pt shot from 3 ft,,10-12,,
6:21.0,Offensive rebound by A. Johnson,,10-12,,
6:17.0,A. Johnson makes 2-pt shot from 3 ft,2,12-12,,
6:01.0,,,12-15,3,J. Lin makes 3-pt shot from 23 ft (assist by K. Bryant)
5:43.0,J. Valanciunas misses 2-pt shot from 4 ft,,12-15,,
5:42.0,,,12-15,,Defensive rebound by Team
5:42.0,,,12-15,,LA Lakers full timeout
5:21.0,,,12-15,,J. Hill misses 2-pt shot from 2 ft
5:19.0,Defensive rebound by K. Lowry,,12-15,,
5:10.0,J. Valanciunas misses 2-pt shot from 5 ft,,12-15,,
5:07.0,,,12-15,,Defensive rebound by K. Bryant
4:48.0,,,12-15,,C. Boozer misses 2-pt shot from 3 ft
4:47.0,Defensive rebound by J. Valanciunas,,12-15,,
4:42.0,,,12-15,,N. Young enters the game for W. Johnson
4:42.0,,,12-15,,E. Davis enters the game for C. Boozer
4:31.0,G. Vasquez makes 2-pt shot from 1 ft,2,14-15,,
4:13.0,,,14-18,3,N. Young makes 3-pt shot from 22 ft (assist by K. Bryant)
3:55.0,A. Johnson makes 2-pt shot from 3 ft (assist by K. Lowry),2,16-18,,
