time,Portland,pts.away,score,pts.home,Phoenix
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Len vs. R. Lopez (M. Morris gains possession),,,,Jump ball: A. Len vs. R. Lopez (M. Morris gains possession)
11:41.0,,,0-0,,Turnover by M. Morris (lost ball)
11:23.0,A. Afflalo misses 3-pt shot from 23 ft,,0-0,,
11:21.0,,,0-0,,Defensive rebound by M. Morris
11:11.0,,,0-2,2,M. Morris makes 2-pt shot from 19 ft (assist by M. Morris)
10:51.0,N. Batum misses 2-pt shot from 20 ft,,0-2,,
10:49.0,,,0-2,,Defensive rebound by M. Morris
10:40.0,,,0-5,3,M. Morris makes 3-pt shot from 25 ft (assist by E. Bledsoe)
10:20.0,L. Aldridge misses 2-pt shot from 15 ft,,0-5,,
10:17.0,,,0-5,,Defensive rebound by M. Morris
10:06.0,,,0-5,,Turnover by M. Morris (bad pass; steal by L. Aldridge)
10:00.0,A. Afflalo makes 2-pt shot from 13 ft,2,2-5,,
9:36.0,,,2-5,,P. Tucker misses 2-pt shot from 14 ft
9:33.0,Defensive rebound by L. Aldridge,,2-5,,
9:24.0,L. Aldridge misses 3-pt shot from 25 ft,,2-5,,
9:23.0,Offensive rebound by R. Lopez,,2-5,,
9:23.0,R. Lopez makes 2-pt shot from 1 ft,2,4-5,,
9:23.0,Shooting foul by A. Len (drawn by R. Lopez),,4-5,,
9:23.0,R. Lopez misses free throw 1 of 1,,4-5,,
9:21.0,,,4-5,,Defensive rebound by M. Morris
9:06.0,,,4-5,,M. Morris misses 3-pt shot from 23 ft
9:04.0,,,4-5,,Offensive rebound by A. Len
8:56.0,,,4-7,2,E. Bledsoe makes 2-pt shot from 6 ft
8:40.0,D. Lillard makes 3-pt shot from 25 ft,3,7-7,,
8:20.0,,,7-7,,Turnover by M. Morris (traveling)
8:08.0,,,7-7,,Personal foul by M. Morris (drawn by L. Aldridge)
7:58.0,L. Aldridge makes 2-pt shot from 21 ft (assist by N. Batum),2,9-7,,
7:40.0,,,9-9,2,M. Morris makes 2-pt shot from 17 ft
7:18.0,L. Aldridge makes 2-pt shot from 16 ft,2,11-9,,
6:55.0,,,11-9,,M. Morris misses 2-pt shot from 19 ft
6:52.0,Defensive rebound by A. Afflalo,,11-9,,
6:44.0,L. Aldridge makes 2-pt shot from 15 ft (assist by D. Lillard),2,13-9,,
6:28.0,,,13-9,,M. Morris misses 3-pt shot from 24 ft
6:26.0,,,13-9,,Offensive rebound by M. Morris
6:21.0,,,13-9,,M. Morris misses 2-pt shot from 6 ft
6:19.0,,,13-9,,Offensive rebound by P. Tucker
6:05.0,,,13-9,,E. Bledsoe misses 2-pt shot from 3 ft
6:03.0,,,13-9,,Offensive rebound by A. Len
6:03.0,,,13-11,2,A. Len makes 2-pt shot from 1 ft
6:00.0,Turnover by D. Lillard (bad pass; steal by M. Morris),,13-11,,
6:00.0,,,13-11,,Offensive charge foul by M. Morris
6:00.0,,,13-11,,Turnover by M. Morris (offensive foul)
