time,Memphis,pts.away,score,pts.home,Utah
1:13.0,M. Gasol misses 2-pt shot from 18 ft,,98-86,,
1:11.0,,,98-86,,Defensive rebound by E. Millsap
1:02.0,,,98-86,,C. Johnson misses 3-pt shot from 24 ft
1:01.0,,,98-86,,Offensive rebound by E. Kanter
1:01.0,,,98-88,2,E. Kanter makes 2-pt shot from 1 ft
0:44.0,Shooting foul by R. Gobert (drawn by M. Conley),,98-88,,
0:44.0,M. Conley makes free throw 1 of 2,1,99-88,,
0:44.0,M. Conley makes free throw 2 of 2,1,100-88,,
0:30.0,,,100-88,,E. Kanter misses 2-pt shot from 2 ft
0:29.0,,,100-88,,Offensive rebound by R. Gobert
0:29.0,,,100-90,2,R. Gobert makes 2-pt shot at rim
0:12.0,Z. Randolph misses 2-pt shot at rim,,100-90,,
0:11.0,Offensive rebound by C. Lee,,100-90,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
