time,Memphis,pts.away,score,pts.home,Utah
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:36.0,,,30-23,,E. Millsap misses 3-pt shot from 24 ft
11:34.0,Defensive rebound by J. Leuer,,30-23,,
11:20.0,B. Udrih makes 3-pt shot from 25 ft (assist by N. Calathes),3,33-23,,
10:57.0,,,33-23,,T. Booker misses 2-pt shot from 18 ft
10:56.0,Defensive rebound by T. Allen,,33-23,,
10:40.0,K. Koufos makes 2-pt shot from 7 ft (assist by J. Leuer),2,35-23,,
10:21.0,,,35-23,,T. Booker misses 2-pt shot from 4 ft
10:18.0,,,35-23,,Offensive rebound by D. Exum
10:12.0,,,35-25,2,E. Millsap makes 2-pt shot from 3 ft
10:12.0,,,35-25,,Shooting foul by B. Udrih (drawn by E. Millsap)
10:12.0,,,35-26,1,E. Millsap makes free throw 1 of 1
9:58.0,B. Udrih misses 3-pt shot from 25 ft,,35-26,,
9:57.0,,,35-26,,Defensive rebound by T. Booker
9:46.0,,,35-26,,Turnover by E. Millsap (bad pass; steal by B. Udrih)
9:42.0,,,35-26,,Personal foul by E. Millsap (drawn by T. Allen)
9:42.0,T. Allen misses free throw 1 of 2,,35-26,,
9:42.0,Offensive rebound by Team,,35-26,,
9:42.0,,,35-26,,D. Favors enters the game for T. Booker
9:42.0,T. Allen makes free throw 2 of 2,1,36-26,,
9:33.0,,,36-28,2,T. Burke makes 2-pt shot from 22 ft (assist by D. Exum)
9:17.0,Turnover by T. Allen (traveling),,36-28,,
9:03.0,Personal foul by T. Allen (drawn by E. Millsap),,36-28,,
8:53.0,,,36-30,2,E. Kanter makes 2-pt shot from 4 ft
8:48.0,Memphis full timeout,,36-30,,
8:48.0,,,36-30,,C. Johnson enters the game for E. Millsap
8:40.0,J. Leuer misses 2-pt shot from 19 ft,,36-30,,
8:38.0,Offensive rebound by K. Koufos,,36-30,,
8:38.0,K. Koufos misses 2-pt shot from 1 ft,,36-30,,
8:37.0,Offensive rebound by K. Koufos,,36-30,,
8:37.0,K. Koufos misses 2-pt shot from 2 ft,,36-30,,
8:36.0,Offensive rebound by K. Koufos,,36-30,,
8:36.0,K. Koufos misses 2-pt shot from 2 ft,,36-30,,
8:35.0,,,36-30,,Defensive rebound by E. Kanter
8:16.0,,,36-32,2,E. Kanter makes 2-pt shot from 17 ft (assist by D. Exum)
8:01.0,K. Koufos makes 2-pt shot from 2 ft (assist by J. Leuer),2,38-32,,
7:39.0,,,38-32,,Turnover by D. Favors (lost ball; steal by B. Udrih)
7:34.0,N. Calathes makes 2-pt shot from 1 ft (assist by B. Udrih),2,40-32,,
7:11.0,,,40-32,,Shooting foul by J. Leuer (drawn by D. Favors)
7:11.0,,,40-33,1,D. Favors makes free throw 1 of 2
7:11.0,,,40-33,,G. Hayward enters the game for T. Burke
7:11.0,M. Gasol enters the game for K. Koufos,,40-33,,
7:11.0,M. Conley enters the game for B. Udrih,,40-33,,
