time,Oklahoma City,pts.away,score,pts.home,Utah
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. R. Gobert (E. Kanter gains possession),,,,Jump ball: S. Adams vs. R. Gobert (E. Kanter gains possession)
11:43.0,E. Kanter misses 2-pt shot from 9 ft,,0-0,,
11:42.0,,,0-0,,Defensive rebound by R. Gobert
11:31.0,,,0-0,,Shooting foul by K. Singler (drawn by G. Hayward)
11:31.0,,,0-1,1,G. Hayward makes free throw 1 of 2
11:31.0,,,0-1,,G. Hayward misses free throw 2 of 2
11:30.0,Defensive rebound by S. Adams,,0-1,,
11:13.0,S. Adams makes 2-pt shot from 2 ft (assist by R. Westbrook),2,2-1,,
10:50.0,,,2-1,,R. Hood misses 3-pt shot from 25 ft
10:48.0,Defensive rebound by S. Adams,,2-1,,
10:43.0,Shooting foul by D. Exum (drawn by R. Westbrook),,2-1,,
10:43.0,R. Westbrook makes free throw 1 of 2,1,3-1,,
10:43.0,R. Westbrook makes free throw 2 of 2,1,4-1,,
10:21.0,,,4-1,,D. Exum misses 3-pt shot from 25 ft
10:20.0,Defensive rebound by R. Westbrook,,4-1,,
9:57.0,R. Westbrook makes 2-pt shot from 8 ft,2,6-1,,
9:46.0,,,6-1,,T. Booker misses 2-pt shot from 3 ft
9:43.0,Defensive rebound by K. Singler,,6-1,,
9:29.0,Turnover by D. Waiters (lost ball; steal by R. Gobert),,6-1,,
9:24.0,,,6-1,,Offensive charge foul by R. Hood
9:24.0,,,6-1,,Turnover by R. Hood (offensive foul)
9:12.0,Turnover by E. Kanter (offensive foul),,6-1,,
9:12.0,Offensive charge foul by E. Kanter,,6-1,,
9:01.0,,,6-4,3,D. Exum makes 3-pt shot from 25 ft (assist by G. Hayward)
8:51.0,,,6-4,,Personal foul by D. Exum (drawn by R. Westbrook)
8:51.0,,,6-4,,T. Burke enters the game for D. Exum
8:43.0,,,6-4,,Personal foul by T. Burke (drawn by S. Adams)
8:34.0,R. Westbrook makes 2-pt shot from 14 ft,2,8-4,,
8:13.0,,,8-4,,T. Booker misses 2-pt shot from 3 ft
8:12.0,Defensive rebound by S. Adams,,8-4,,
8:06.0,R. Westbrook makes 3-pt shot from 24 ft (assist by S. Adams),3,11-4,,
7:49.0,,,11-4,,T. Burke misses 3-pt shot from 24 ft
7:48.0,Defensive rebound by E. Kanter,,11-4,,
7:41.0,R. Westbrook misses 3-pt shot from 24 ft,,11-4,,
7:40.0,Offensive rebound by S. Adams,,11-4,,
7:34.0,R. Westbrook misses 3-pt shot from 25 ft,,11-4,,
7:33.0,,,11-4,,Defensive rebound by T. Burke
7:21.0,,,11-6,2,T. Booker makes 2-pt shot from 1 ft (assist by T. Burke)
7:05.0,D. Waiters misses 2-pt shot from 10 ft,,11-6,,
7:04.0,,,11-6,,Defensive rebound by R. Gobert
6:53.0,,,11-6,,G. Hayward misses 2-pt shot from 2 ft
6:52.0,Defensive rebound by S. Adams,,11-6,,
6:50.0,Turnover by R. Westbrook (lost ball; steal by T. Burke),,11-6,,
6:46.0,Personal foul by S. Adams (drawn by R. Gobert),,11-6,,
6:40.0,,,11-8,2,T. Burke makes 2-pt shot from 2 ft
6:31.0,Oklahoma City full timeout,,11-8,,
6:24.0,R. Westbrook makes 2-pt shot from 2 ft,2,13-8,,
6:03.0,,,13-10,2,R. Hood makes 2-pt shot from 6 ft
6:03.0,Shooting block foul by S. Adams (drawn by R. Hood),,13-10,,
6:03.0,M. McGary enters the game for S. Adams,,13-10,,
6:03.0,,,13-10,,R. Hood misses free throw 1 of 1
6:02.0,Defensive rebound by E. Kanter,,13-10,,
5:42.0,Turnover by D. Waiters (bad pass; steal by R. Gobert),,13-10,,
5:31.0,,,13-10,,R. Hood misses 2-pt shot from 21 ft
5:29.0,Defensive rebound by K. Singler,,13-10,,
5:22.0,E. Kanter makes 2-pt shot from 14 ft (assist by D. Waiters),2,15-10,,
5:02.0,,,15-10,,R. Gobert misses 2-pt shot from 2 ft (block by E. Kanter)
4:59.0,Defensive rebound by D. Waiters,,15-10,,
4:54.0,D. Waiters misses 2-pt shot from 2 ft,,15-10,,
4:51.0,Offensive rebound by E. Kanter,,15-10,,
4:51.0,E. Kanter makes 2-pt shot from 1 ft,2,17-10,,
4:44.0,,,17-10,,G. Hayward misses 2-pt shot from 2 ft
4:43.0,,,17-10,,Offensive rebound by R. Gobert
