time,Detroit,pts.away,score,pts.home,Brooklyn
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. M. Plumlee (J. Smith gains possession),,,,Jump ball: A. Drummond vs. M. Plumlee (J. Smith gains possession)
11:40.0,B. Jennings misses 2-pt shot from 21 ft,,0-0,,
11:39.0,,,0-0,,Defensive rebound by J. Johnson
11:27.0,,,0-0,,Turnover by J. Johnson (bad pass)
11:14.0,K. Singler misses 3-pt shot from 25 ft,,0-0,,
11:13.0,Offensive rebound by A. Drummond,,0-0,,
11:12.0,A. Drummond misses 2-pt shot from 1 ft,,0-0,,
11:11.0,,,0-0,,Defensive rebound by M. Plumlee
10:45.0,,,0-3,3,J. Johnson makes 3-pt shot from 25 ft (assist by M. Plumlee)
10:32.0,J. Smith misses 2-pt shot from 21 ft,,0-3,,
10:31.0,,,0-3,,Defensive rebound by K. Garnett
10:21.0,,,0-5,2,K. Garnett makes 2-pt shot from 20 ft (assist by J. Johnson)
10:01.0,K. Singler misses 2-pt shot from 3 ft (block by M. Plumlee),,0-5,,
10:00.0,Offensive rebound by A. Drummond,,0-5,,
9:58.0,Shooting foul by K. Garnett (drawn by A. Drummond),,0-5,,
9:58.0,A. Drummond misses free throw 1 of 2,,0-5,,
9:58.0,Offensive rebound by Team,,0-5,,
9:58.0,A. Drummond makes free throw 2 of 2,1,1-5,,
9:40.0,,,1-7,2,M. Plumlee makes 2-pt shot at rim (assist by K. Garnett)
9:23.0,J. Smith makes 2-pt shot from 5 ft (assist by B. Jennings),2,3-7,,
8:59.0,,,3-9,2,J. Jack makes 2-pt shot from 10 ft (assist by K. Garnett)
8:45.0,K. Caldwell-Pope makes 3-pt shot from 22 ft (assist by B. Jennings),3,6-9,,
8:25.0,,,6-12,3,S. Karasev makes 3-pt shot from 24 ft (assist by J. Johnson)
8:09.0,Shooting foul by M. Plumlee (drawn by A. Drummond),,6-12,,
8:09.0,A. Drummond misses free throw 1 of 2,,6-12,,
8:09.0,Offensive rebound by Team,,6-12,,
8:09.0,A. Drummond misses free throw 2 of 2,,6-12,,
8:08.0,,,6-12,,Defensive rebound by K. Garnett
7:48.0,,,6-14,2,K. Garnett makes 2-pt shot from 19 ft (assist by J. Jack)
7:44.0,Detroit full timeout,,6-14,,
7:33.0,K. Caldwell-Pope misses 2-pt shot from 17 ft,,6-14,,
7:32.0,Offensive rebound by A. Drummond,,6-14,,
7:31.0,A. Drummond misses 2-pt shot at rim,,6-14,,
7:30.0,,,6-14,,Defensive rebound by M. Plumlee
7:17.0,,,6-14,,J. Jack misses 3-pt shot from 24 ft
7:16.0,Defensive rebound by A. Drummond,,6-14,,
7:10.0,K. Caldwell-Pope makes 3-pt shot from 22 ft (assist by J. Smith),3,9-14,,
6:45.0,,,9-14,,M. Plumlee misses 2-pt shot from 3 ft (block by A. Drummond)
6:44.0,,,9-14,,Offensive rebound by J. Johnson
6:41.0,,,9-14,,K. Garnett misses 2-pt shot from 19 ft
6:40.0,Defensive rebound by Team,,9-14,,
6:40.0,,,9-14,,Loose ball foul by J. Johnson (drawn by K. Singler)
6:20.0,J. Smith makes 2-pt shot from 22 ft (assist by B. Jennings),2,11-14,,
6:09.0,,,11-16,2,M. Plumlee makes 2-pt shot from 2 ft (assist by J. Jack)
5:51.0,K. Caldwell-Pope misses 3-pt shot from 22 ft,,11-16,,
5:50.0,,,11-16,,Defensive rebound by K. Garnett
5:42.0,,,11-16,,M. Teletovic enters the game for K. Garnett
5:31.0,,,11-18,2,J. Johnson makes 2-pt shot from 17 ft
5:17.0,J. Smith makes 2-pt shot from 1 ft,2,13-18,,
5:06.0,,,13-18,,J. Johnson misses 3-pt shot from 23 ft
5:05.0,Defensive rebound by J. Smith,,13-18,,
4:58.0,Turnover by J. Smith (lost ball; steal by J. Jack),,13-18,,
4:52.0,,,13-20,2,M. Teletovic makes 2-pt shot from 15 ft (assist by J. Jack)
4:30.0,K. Caldwell-Pope misses 3-pt shot from 26 ft,,13-20,,
4:29.0,,,13-20,,Defensive rebound by M. Plumlee
4:12.0,,,13-20,,Shooting foul by K. Caldwell-Pope (drawn by S. Karasev)
4:12.0,,,13-21,1,S. Karasev makes free throw 1 of 2
4:12.0,G. Monroe enters the game for A. Drummond,,13-21,,
4:12.0,,,13-21,,A. Anderson enters the game for J. Johnson
4:12.0,C. Butler enters the game for K. Singler,,13-21,,
4:12.0,,,13-22,1,S. Karasev makes free throw 2 of 2
3:54.0,G. Monroe misses 2-pt shot from 5 ft,,13-22,,
3:53.0,,,13-22,,Defensive rebound by M. Plumlee
3:44.0,,,13-22,,J. Jack misses 2-pt shot from 6 ft
3:43.0,Defensive rebound by G. Monroe,,13-22,,
