time,Dallas,pts.away,score,pts.home,Sacramento
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Chandler vs. J. Thompson (R. Rondo gains possession),,,,Jump ball: T. Chandler vs. J. Thompson (R. Rondo gains possession)
11:46.0,C. Parsons misses 3-pt shot from 24 ft,,0-0,,
11:45.0,Offensive rebound by R. Rondo,,0-0,,
11:38.0,C. Parsons makes 3-pt shot from 22 ft (assist by M. Ellis),3,3-0,,
11:13.0,,,3-0,,D. Cousins misses 2-pt shot from 6 ft
11:12.0,Defensive rebound by R. Rondo,,3-0,,
11:01.0,C. Parsons misses 2-pt shot from 5 ft,,3-0,,
11:01.0,,,3-0,,Defensive rebound by R. Gay
10:54.0,,,3-2,2,B. McLemore makes 2-pt shot from 6 ft (assist by R. Gay)
10:42.0,T. Chandler makes 2-pt shot from 2 ft (assist by M. Ellis),2,5-2,,
10:31.0,,,5-4,2,J. Thompson makes 2-pt shot from 1 ft (assist by D. Collison)
10:22.0,C. Parsons makes 2-pt shot from 1 ft,2,7-4,,
10:13.0,,,7-6,2,D. Collison makes 2-pt shot from 1 ft
10:13.0,,,7-6,,Shooting foul by M. Ellis (drawn by D. Collison)
10:13.0,,,7-7,1,D. Collison makes free throw 1 of 1
9:58.0,M. Ellis misses 2-pt shot from 3 ft,,7-7,,
9:57.0,,,7-7,,Defensive rebound by D. Cousins
9:48.0,,,7-7,,D. Collison misses 2-pt shot from 16 ft
9:48.0,Defensive rebound by D. Nowitzki,,7-7,,
9:38.0,M. Ellis makes 3-pt shot from 24 ft (assist by R. Rondo),3,10-7,,
9:23.0,,,10-7,,Shooting foul by D. Nowitzki (drawn by B. McLemore)
9:23.0,,,10-8,1,B. McLemore makes free throw 1 of 2
9:23.0,,,10-9,1,B. McLemore makes free throw 2 of 2
9:05.0,D. Nowitzki makes 2-pt shot from 16 ft (assist by C. Parsons),2,12-9,,
8:52.0,,,12-9,,B. McLemore misses 2-pt shot from 18 ft
8:51.0,Defensive rebound by M. Ellis,,12-9,,
